"lang"
{
"Language"	"japanese"
"Tokens"
{
"DOTA_Tooltip_modifier_get_xp"	"Golden オーラ"
"[english]DOTA_Tooltip_modifier_get_xp"	"Golden Aura"
"DOTA_Tooltip_modifier_get_xp_global"	"Global オーラ"
"[english]DOTA_Tooltip_modifier_get_xp_global"	"Global Aura"
"DOTA_Tooltip_modifier_fountain_aura_effect_lua"	"噴水 オーラ"
"[english]DOTA_Tooltip_modifier_fountain_aura_effect_lua"	"Fountain Aura"
"DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"	"回復"
"[english]DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"	"Healing"
"DOTA_Tooltip_ability_item_bag_of_gold"	"300 ゴールド"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"300 Gold"
"DOTA_Tooltip_ability_item_treasure_chest"	"宝箱"
"[english]DOTA_Tooltip_ability_item_treasure_chest"	"Treasure Chest"
"PointsToWin"	"あと+{d:points_to_win}で勝利"
"[english]PointsToWin"	"+{d:points_to_win} more"
"PointsToWin_CloseToVictory"	"あと+{d:points_to_win}で勝利"
"[english]PointsToWin_CloseToVictory"	"+{d:points_to_win} more"
"PointsToWin_VeryCloseToVictory"	"あと+{d:points_to_win} で勝利！"
"[english]PointsToWin_VeryCloseToVictory"	"+{d:points_to_win} more!"
"PointsToWin_Victory"	"勝利！"
"[english]PointsToWin_Victory"	"Victory!"
"InstructionsTitle"	"OVERTHROW"
"[english]InstructionsTitle"	"OVERTHROW"
"Chest"	"アイテム"
"[english]Chest"	"ITEM"
"NoTeam"	"チーム無し"
"[english]NoTeam"	"No Team"
"DOTA_GoodGuys"	"Teal Tiger"
"[english]DOTA_GoodGuys"	"Teal Tiger"
"DOTA_BadGuys"	"Yellow Monkey"
"[english]DOTA_BadGuys"	"Yellow Monkey"
"DOTA_Custom1"	"Pink Dragon"
"[english]DOTA_Custom1"	"Pink Dragon"
"DOTA_Custom2"	"Orange Dog"
"[english]DOTA_Custom2"	"Orange Dog"
"DOTA_Custom3"	"Blue Rooster"
"[english]DOTA_Custom3"	"Blue Rooster"
"DOTA_Custom4"	"Green Ram"
"[english]DOTA_Custom4"	"Green Ram"
"DOTA_Custom5"	"Brown Rat"
"[english]DOTA_Custom5"	"Brown Rat"
"DOTA_Custom6"	"Cyan Boar"
"[english]DOTA_Custom6"	"Cyan Boar"
"DOTA_Custom7"	"Olive Snake"
"[english]DOTA_Custom7"	"Olive Snake"
"DOTA_Custom8"	"Purple Horse"
"[english]DOTA_Custom8"	"Purple Horse"
"OverthrowTextPickup"	"が拾った"
"[english]OverthrowTextPickup"	"HAS PICKED UP"
"Remaining"	"残り"
"[english]Remaining"	"REMAINING"
"Overtime"	"オーバータイム！"
"[english]Overtime"	"OVERTIME!"
"OvertimeInstructions"	"勝利に必要なスコア"
"[english]OvertimeInstructions"	"SCORE TO WIN"
"KillMessageText"	"がリーダーを倒した　"
"[english]KillMessageText"	"HAS KILLED THE LEADER"
"KillMessageBounty"	"500 ボーナスゴールド！"
"[english]KillMessageBounty"	"FOR 500 BONUS GOLD!"
"addonname"	"Overthrow"
"[english]addonname"	"Overthrow"
"overthrow_game_info_header_how_to_play"	"遊び方:"
"[english]overthrow_game_info_header_how_to_play"	"How To Play:"
"overthrow_game_info_tips_header"	"コツ:"
"[english]overthrow_game_info_tips_header"	"Tips:"
"npc_dota_hero_bounty_hunter"	"Bounty Hunter (改造)"
"[english]npc_dota_hero_bounty_hunter"	"Bounty Hunter (Modified)"
"npc_dota_hero_broodmother"	"Broodmother (改造)"
"[english]npc_dota_hero_broodmother"	"Broodmother (Modified)"
"npc_dota_hero_necrolyte"	"Necrophos (改造)"
"[english]npc_dota_hero_necrolyte"	"Necrophos (Modified)"
"npc_dota_hero_riki"	"Riki (改造)"
"[english]npc_dota_hero_riki"	"Riki (Modified)"
"npc_dota_hero_silencer"	"Silencer (改造)"
"[english]npc_dota_hero_silencer"	"Silencer (Modified)"
"npc_dota_hero_zuus"	"Zeus (改造)"
"[english]npc_dota_hero_zuus"	"Zeus (Modified)"
"npc_dota_hero_pudge"	"Pudge (改造)"
"[english]npc_dota_hero_pudge"	"Pudge (Modified)"
"DOTA_Tooltip_Ability_item_ward_sentry"	"Sentry Ward (改造)"
"[english]DOTA_Tooltip_Ability_item_ward_sentry"	"Sentry Ward (Modified)"
"DOTA_Tooltip_Ability_item_dust"	"Dust of Appearance (調整済み)"
"[english]DOTA_Tooltip_Ability_item_dust"	"Dust of Appearance (Modified)"
"DOTA_Tooltip_ability_bounty_hunter_wind_walk_Description"	"攻撃するかアビリティを使用するまでの間透明になり、ユニットの間を通り抜けることができる。攻撃によって透明でなくなった場合には、その攻撃にボーナスダメージが追加される。\n\n<font color='#70EA72'>Wind Walk のクールダウン、マナコストと透明になるまでの時間が上昇したが、Overthrow では持続時間とボーナスダメージが減少する。</font>"
"[english]DOTA_Tooltip_ability_bounty_hunter_wind_walk_Description"	"Bounty Hunter becomes invisible and gains the ability to move through other units until he attacks or uses an ability.  If he breaks the invisibility with an attack, that attack will deal bonus damage.\n\n<font color='#70EA72'>Wind Walk has increased cooldown, mana cost, and fade time, while it has reduced duration and bonus damage in Overthrow.</font>"
"DOTA_Tooltip_ability_broodmother_spin_web_Description"	"巨大な巣をつくり、その付近では透明になる。その間、自由に動けるようになりパッシブで移動速度と自然回復速度が上昇する。巣のチャージは%charge_restore_time%秒ごとに回復する。ダメージを受けると、自由に動き回ることができなくなり、移動速度上昇が %damage_time% 秒間半減する。新しい巣がすでにある巣に近接する限り、どこにでもキャストすることができる。巣が消滅することはないが、破壊することはできる。個数の上限をコスト、古い巣から消滅する。\n\n<font color='#70EA72'>Overthrow では個数と自然回復速度および移動速度が減少する。</font>"
"[english]DOTA_Tooltip_ability_broodmother_spin_web_Description"	"Spins a large web that renders Broodmother invisible, grants a passive movement speed increase, gives free movement, and boosts regeneration while in its vicinity. Spin Web charges restore every %charge_restore_time% seconds. If damage is taken, free movement is disabled and the movement speed increase is halved for %damage_time% seconds. Spin Web can be cast from anywhere as long as the new web touches an existing web. Webs never expire, and can be manually destroyed. When the maximum limit of webs is exceeded, the oldest web disappears.\n\n<font color='#70EA72'>Spin Web has reduced count, health regen, and bonus movement speed for Overthrow.</font>"
"DOTA_Tooltip_ability_necrolyte_reapers_scythe_Description"	"対象の敵ヒーローをスタンし、そのヒーローが失っているHPの分量に応じてダメージを与える。\n\n<font color='#70EA72'>Overthrow では、ヒーローがReaper's Scytheに殺されると、復活タイマーに２０秒追加される。</font>\n\nこの効果期間中のキルはNecrophosの物としてカウントされる。\n\nAghanim's Scepterでアップグレード可能。"
"[english]DOTA_Tooltip_ability_necrolyte_reapers_scythe_Description"	"Stuns the target enemy hero, then deals damage based on how much life it is missing.\n\n<font color='#70EA72'>In Overthrow, heroes killed by Reaper's Scythe will have 20 seconds added to their respawn timer.</font>\n\nAny kill under this effect is credited to Necrophos.\n\nUpgradable by Aghanim's Scepter."
"DOTA_Tooltip_ability_riki_permanent_invisibility_Description"	"影に溶け込み、透明となって追加の自然回復を得る。敵を攻撃すると透明ではなくなる。\n\n<font color='#70EA72'> Overthrow では、Cloak と Daggaer の透明になるまでの時間と遅延時間が延長時間が上がっている。</font>"
"[english]DOTA_Tooltip_ability_riki_permanent_invisibility_Description"	"Riki fades into the shadows, becoming invisible and gaining additional health regeneration.  If Riki attacks an enemy, he will become visible.\n\n<font color='#70EA72'>Cloak and Dagger's fade time and fade delay have been increased for Overthrow.</font>"
"DOTA_Tooltip_ability_riki_blink_strike_Description"	"対象ユニットの背後にテレポートし、それが敵であれば攻撃してボーナスダメージを与える。 \n\n<font color='#70EA72'>Overthrow では、範囲とボーナスダメージが減少している。</font>"
"[english]DOTA_Tooltip_ability_riki_blink_strike_Description"	"Teleports behind the target unit, striking for bonus damage if it is an enemy. \n\n<font color='#70EA72'>In Overthrow, Blink Strike has reduced range and bonus damage.</font>"
"DOTA_Tooltip_ability_zuus_thundergods_wrath_Description"	"位置を問わず、すべての敵ヒーローを稲妻で撃つ。撃たれたひーとーの周囲の True Sight を得る。透明状態の敵ヒーローにはダメージを与えないが、その周りに True Sight を発生させる。\n\nAghanim's Scepter でアップグレード可能。\n\n<font color='#70EA72'>Overthrow ではクールダウンと消費マナ上昇し、ダメージは減少する。</font>"
