"lang"
{
"Language"	"romanian"
"Tokens"
{
"addon_game_name"	"Overthrow"
"[english]addon_game_name"	"Overthrow"
"DOTA_Tooltip_ability_item_bag_of_gold"	"300 Aur"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"300 Gold"
"InstructionsObjectiveText"	"Răpune-ți inamicii! Fii primul care obține numărul de ucideri stabilit ca obiectiv sau echipa cu cele mai multe ucideri când se încheie runda și vei fi victorios."
"[english]InstructionsObjectiveText"	"Slay your enemies! Be the first to earn the goal number of kills, or the team with the most kills when the round ends, and you will be victorious."
"ItemWillSpawn"	"ESTE PE CALE SĂ FIE LIVRAT!"
"[english]ItemWillSpawn"	"IS ABOUT TO BE DELIVERED!"
"ItemHasSpawned"	"E PE DRUM!"
"[english]ItemHasSpawned"	"IS ON ITS WAY!"
"NoTeam"	"Nicio echipă"
"[english]NoTeam"	"No Team"
"KillMessageBounty"	"PENTRU 500 AUR BONUS!"
"[english]KillMessageBounty"	"FOR 500 BONUS GOLD!"
"addonname"	"Overthrow"
"[english]addonname"	"Overthrow"
"overthrow_brief_description"	"Răpune-ți inamicii! Prima echipă care ajunge la limita de ucideri câștigă!"
"[english]overthrow_brief_description"	"Slay your enemies! First team to hit the kill limit wins!"
"overthrow_game_info_throne"	"Apropie-te de <span class='midas_throne'>Midas Throne</span> pentru a câștiga <span class='gold'>aur</span> și <span class='xp'>experiență</span> bonus."
"[english]overthrow_game_info_throne"	"Approach the <span class='midas_throne'>Midas Throne</span> to earn bonus <span class='gold'>gold</span> and <span class='xp'>experience</span>."
"overthrow_game_info_tip01"	"Liderul actual are o coroană de aur și vei primi aur suplimentar pentru uciderea sa."
"[english]overthrow_game_info_tip01"	"The current leader has a gold crown, and you will get extra gold for killing them."
"overthrow_game_info_tip02"	"Obiectele pot fi date coechipierilor sau vândute în baza ta."
"[english]overthrow_game_info_tip02"	"Items can be given to teammates or sold at your base."
"overthrow_game_info_tip03"	"Poate e nevoie să te coordonezi cu o echipă oponentă pentru a doborî un oponent puternic."
"[english]overthrow_game_info_tip03"	"You may need to coordinate with an opposing team to take out a strong opponent."
"overthrow_game_info_tip04"	"Cu cât mai puține ucideri are echipa ta, cu atât mai puternice arme vei primi dintr-o livrare."
"[english]overthrow_game_info_tip04"	"The fewer kills your team has, the stronger items you will recieve from a delivery."
"npc_dota_hero_bounty_hunter"	"Bounty Hunter (Modificat)"
"[english]npc_dota_hero_bounty_hunter"	"Bounty Hunter (Modified)"
"npc_dota_hero_broodmother"	"Broodmother (Modificat)"
"[english]npc_dota_hero_broodmother"	"Broodmother (Modified)"
"npc_dota_hero_necrolyte"	"Necrophos (Modificat)"
"[english]npc_dota_hero_necrolyte"	"Necrophos (Modified)"
"npc_dota_hero_riki"	"Riki (Modificat)"
"[english]npc_dota_hero_riki"	"Riki (Modified)"
"npc_dota_hero_silencer"	"Silencer (Modificat)"
"[english]npc_dota_hero_silencer"	"Silencer (Modified)"
"npc_dota_hero_zuus"	"Zeus (Modificat)"
"[english]npc_dota_hero_zuus"	"Zeus (Modified)"
"npc_dota_hero_pudge"	"Pudge (Modificat)"
"[english]npc_dota_hero_pudge"	"Pudge (Modified)"
"DOTA_Tooltip_Ability_item_ward_sentry"	"Sentry Ward (Modificat)"
"[english]DOTA_Tooltip_Ability_item_ward_sentry"	"Sentry Ward (Modified)"
"DOTA_Tooltip_Ability_item_dust"	"Dust of Appearance (Modificat)"
"[english]DOTA_Tooltip_Ability_item_dust"	"Dust of Appearance (Modified)"
"DOTA_Tooltip_ability_bounty_hunter_wind_walk_Description"	"Bounty Hunter devine invizibil și obține abilitatea de a trece prin alte unități până când va ataca sau va folosi o abilitate. Dacă întrerupe invizibilitatea cu un atac, acel atac va provoca damage bonus.\n\n<font color='#70EA72'>Wind Walk are cooldown, cost de mana și timp de dispariție mărite, în timp ce în Overthrow durata și bonus damage-ul se reduc.</font>"
"[english]DOTA_Tooltip_ability_bounty_hunter_wind_walk_Description"	"Bounty Hunter becomes invisible and gains the ability to move through other units until he attacks or uses an ability.  If he breaks the invisibility with an attack, that attack will deal bonus damage.\n\n<font color='#70EA72'>Wind Walk has increased cooldown, mana cost, and fade time, while it has reduced duration and bonus damage in Overthrow.</font>"
"DOTA_Tooltip_ability_broodmother_spin_web_Description"	"Țese o pânză mare care o face pe Broodmother invizibilă, acordă un bonus pasiv de viteză de mișcare, oferă mișcare liberă și mărește regenerarea cât timp se află în vecinătatea sa. Şarjările lui Spin Web se refac la fiecare %charge_restore_time% secunde. Dacă Broodmother primește damage, mișcarea liberă este anulată și creşterea vitezei de mişcare este înjumătățită pentru %damage_time% secunde. Spin Web poate fi activat de oriunde cât timp noua pânză atinge o pânză existentă. Pânzele nu expiră niciodată și pot fi distruse manual. Când numărul maxim de pânze este depășit, cea mai veche pânză dispare.\n\n<font color='#70EA72'>Spin Web are un număr redus, regenare a vieții redusă și bonus redus la viteza de mișcare pentru Overthrow.</font>"
"[english]DOTA_Tooltip_ability_broodmother_spin_web_Description"	"Spins a large web that renders Broodmother invisible, grants a passive movement speed increase, gives free movement, and boosts regeneration while in its vicinity. Spin Web charges restore every %charge_restore_time% seconds. If damage is taken, free movement is disabled and the movement speed increase is halved for %damage_time% seconds. Spin Web can be cast from anywhere as long as the new web touches an existing web. Webs never expire, and can be manually destroyed. When the maximum limit of webs is exceeded, the oldest web disappears.\n\n<font color='#70EA72'>Spin Web has reduced count, health regen, and bonus movement speed for Overthrow.</font>"
"DOTA_Tooltip_ability_riki_blink_strike_Description"	"Te teleportează în spatele unităţii ţintite lovind-o cu un bonus de damage dacă aceasta este un inamic. \n\n<font color='#70EA72'>În Overthrow, Blink Strike are rază redusă şi damage suplimentar.</font>"
"[english]DOTA_Tooltip_ability_riki_blink_strike_Description"	"Teleports behind the target unit, striking for bonus damage if it is an enemy. \n\n<font color='#70EA72'>In Overthrow, Blink Strike has reduced range and bonus damage.</font>"
"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Description"	"Silencer își farmecă armele cu înțelepciunea sa, provocând damage adițional în funcție de Intelligence. \n\nGlaives of Wisdom este un modificator unic de atac, și nu se cumulează cu alți modificatori unici de atac .\n\n<font color='#70EA72'> Procentajul de intelligence și raza Glaives of Wisdom sunt reduse în Overthrow.</font>"
"[english]DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Description"	"Silencer enchants his glaives with his wisdom, dealing additional damage based on his Intelligence. \n\nGlaives of Wisdom is a Unique Attack Modifier, and does not stack with other Unique Attack Modifiers.\n\n<font color='#70EA72'>Glaives of Wisdom intelligence percentage and range is reduced in Overthrow.</font>"
"DOTA_Tooltip_ability_zuus_thundergods_wrath_Description"	"Lovește toți eroii inamici cu un fulger, oriunde ar fi aceștia. De asemenea, Thundergod's Wrath oferă True Sight în jurul fiecărui erou lovit. Dacă un erou inamic este invizibil, True Sight mai este creat la locația sa.\n\nPoate fi îmbunătățit cu Aghanim's Scepter.\n\n<font color='#70EA72'>Thundergod's Wrath are cooldownul și costul mana reduse în Overthrow.</font>"
"[english]DOTA_Tooltip_ability_zuus_thundergods_wrath_Description"	"Strikes all enemy heroes with a bolt of lightning, no matter where they may be.  Thundergod's Wrath also provides True Sight around each hero struck.  If an enemy hero is invisible, it takes no damage, but the True Sight is still created at that hero's location.\n\nUpgradable by Aghanim's Scepter.\n\n<font color='#70EA72'>Thundergod's Wrath has increased cooldown and mana cost and has reduced damage in Overthrow.</font>"
}
}
