"lang"
{
"Language"	"danish"
"Tokens"
{
"addon_game_name"	"Overthrow"
"[english]addon_game_name"	"Overthrow"
"DOTA_Tooltip_modifier_get_xp"	"Gylden aura"
"[english]DOTA_Tooltip_modifier_get_xp"	"Golden Aura"
"DOTA_Tooltip_modifier_get_xp_Description"	"Får mere guld og erfaring!"
"[english]DOTA_Tooltip_modifier_get_xp_Description"	"Gaining more gold and experience!"
"DOTA_Tooltip_modifier_get_xp_global"	"Global aura"
"[english]DOTA_Tooltip_modifier_get_xp_global"	"Global Aura"
"DOTA_Tooltip_modifier_get_xp_global_Description"	"Får guld og erfaring"
"[english]DOTA_Tooltip_modifier_get_xp_global_Description"	"Gaining gold and experience"
"DOTA_Tooltip_modifier_fountain_aura_effect_lua"	"Springvandsaura"
"[english]DOTA_Tooltip_modifier_fountain_aura_effect_lua"	"Fountain Aura"
"DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"	"Heler"
"[english]DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"	"Healing"
"DOTA_Tooltip_ability_item_bag_of_gold"	"300 guld"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"300 Gold"
"DOTA_Tooltip_ability_item_treasure_chest"	"Skattekiste"
"[english]DOTA_Tooltip_ability_item_treasure_chest"	"Treasure Chest"
"PointsToWin"	"mangler {d:points_to_win}"
"[english]PointsToWin"	"+{d:points_to_win} more"
"PointsToWin_CloseToVictory"	"mangler {d:points_to_win}"
"[english]PointsToWin_CloseToVictory"	"+{d:points_to_win} more"
"PointsToWin_VeryCloseToVictory"	"mangler {d:points_to_win}!"
"[english]PointsToWin_VeryCloseToVictory"	"+{d:points_to_win} more!"
"PointsToWin_Victory"	"Sejr!"
"[english]PointsToWin_Victory"	"Victory!"
"InstructionsTitle"	"OVERTHROW"
"[english]InstructionsTitle"	"OVERTHROW"
"InstructionsObjective"	"MÅL"
"[english]InstructionsObjective"	"OBJECTIVE"
"InstructionsObjectiveText"	"Slå dine fjender ihjel! Du vinder ved at være den første til at opnå det vindende antal drab, eller ved at være på holdet med flest drab, når runden slutter."
"[english]InstructionsObjectiveText"	"Slay your enemies! Be the first to earn the goal number of kills, or the team with the most kills when the round ends, and you will be victorious."
"InstructionsHowToPlay"	"HVORDAN MAN SPILLER"
"[english]InstructionsHowToPlay"	"HOW TO PLAY"
"InstructionsLines"	"-Nærm dig Midas-tronen for at optjene bonus-guld og -erfaring.<br>
-Snup enhver gigantisk mønt, som Over-bossen smider, for at optjene endnu mere guld.<br>
-Hold øje med genstandsleveringer. Der vises et ikon på dit kort, der hvor genstanden vil dukke op.<br>
-Jo færre drab dit hold har, jo bedre en genstand modtager I fra en levering.<br>
-Slå enhver ihjel, der ikke er på dit hold."
"[english]InstructionsLines"	"-Approach the Midas Throne to earn bonus gold and experience.<br>
													-Snatch up any giant coins the Over Boss tosses to earn even more gold.<br>
													-Keep an eye out for item deliveries. An icon will appear on your map where an item will appear.<br>
													-The fewer kills your team has, the better the item you will receive from a delivery.<br>
													-Slay anyone who isn't on your team."
"Chest"	"EN GENSTAND"
"[english]Chest"	"ITEM"
"ItemWillSpawn"	"BLIVER SNART LEVERET!"
"[english]ItemWillSpawn"	"IS ABOUT TO BE DELIVERED!"
"ItemHasSpawned"	"ER PÅ VEJ!"
"[english]ItemHasSpawned"	"IS ON ITS WAY!"
"Unassigned"	"Ikke-tilknyttet hold"
"[english]Unassigned"	"Unassigned Team"
"Spectator"	"Tilskuerhold"
"[english]Spectator"	"Spectator Team"
"Neutrals"	"Neutralt hold"
"[english]Neutrals"	"Neutral Team"
"NoTeam"	"Intet hold"
"[english]NoTeam"	"No Team"
"DOTA_GoodGuys"	"Blågrøn tiger"
"[english]DOTA_GoodGuys"	"Teal Tiger"
"DOTA_BadGuys"	"Gul abe"
"[english]DOTA_BadGuys"	"Yellow Monkey"
"DOTA_Custom1"	"Lyserød drage"
"[english]DOTA_Custom1"	"Pink Dragon"
"DOTA_Custom2"	"Orange hund"
"[english]DOTA_Custom2"	"Orange Dog"
"DOTA_Custom3"	"Blå hane"
"[english]DOTA_Custom3"	"Blue Rooster"
"DOTA_Custom4"	"Grøn vædder"
"[english]DOTA_Custom4"	"Green Ram"
"DOTA_Custom5"	"Brun rotte"
"[english]DOTA_Custom5"	"Brown Rat"
"DOTA_Custom6"	"Turkis vildsvin"
"[english]DOTA_Custom6"	"Cyan Boar"
"DOTA_Custom7"	"Olivengrøn slange"
"[english]DOTA_Custom7"	"Olive Snake"
"DOTA_Custom8"	"Lilla hest"
"[english]DOTA_Custom8"	"Purple Horse"
"OverthrowTextPickup"	"HAR ANSKAFFET SIG"
"[english]OverthrowTextPickup"	"HAS PICKED UP"
"Remaining"	"TILBAGE"
"[english]Remaining"	"REMAINING"
"Overtime"	"OVERTID!"
"[english]Overtime"	"OVERTIME!"
"OvertimeInstructions"	"POINT TIL SEJR:"
"[english]OvertimeInstructions"	"SCORE TO WIN"
"KillMessageText"	"HAR DRÆBT FØREREN"
"[english]KillMessageText"	"HAS KILLED THE LEADER"
"KillMessageBounty"	"FOR 500 BONUS-GULD!"
"[english]KillMessageBounty"	"FOR 500 BONUS GOLD!"
"addonname"	"Overthrow"
"[english]addonname"	"Overthrow"
"overthrow_game_info_header_objective"	"Mål:"
"[english]overthrow_game_info_header_objective"	"Objective:"
"overthrow_brief_description"	"Slå dine fjender ihjel! Det første hold, som når drabsgrænsen, vinder!"
"[english]overthrow_brief_description"	"Slay your enemies! First team to hit the kill limit wins!"
"overthrow_game_info_header_how_to_play"	"Hvordan man spiller:"
"[english]overthrow_game_info_header_how_to_play"	"How To Play:"
"overthrow_game_info_throne"	"Nærm dig <span class='midas_throne'>Midas-tronen</span> for at optjene bonus-<span class='gold'>guld</span> og <span class='xp'>-erfaring</span>."
"[english]overthrow_game_info_throne"	"Approach the <span class='midas_throne'>Midas Throne</span> to earn bonus <span class='gold'>gold</span> and <span class='xp'>experience</span>."
"overthrow_game_info_coins"	"Snup mønter, som <span class='overboss'>Over-bossen</span> smider, for at optjene endnu mere <span class='gold'>guld</span>."
"[english]overthrow_game_info_coins"	"Snatch up coins the <span class='overboss'>Overboss</span> tosses to earn more <span class='gold'>gold</span>."
"overthrow_game_info_items"	"Hold øje med <span class='treasure'>skatte</span>leveringer. Der vises et ikon på dit kort, der hvor <span class='items'>genstanden</span> vil dukke op."
"[english]overthrow_game_info_items"	"Keep an eye out for <span class='treasure'>treasure</span> deliveries. An icon will appear on your map where an <span class='items'>item</span> will appear."
"overthrow_game_info_tips_header"	"Tips:"
"[english]overthrow_game_info_tips_header"	"Tips:"
"overthrow_game_info_tip01"	"Den nuværende fører har en guldkrone over sig, og du får ekstra guld af at slå vedkommende ihjel."
"[english]overthrow_game_info_tip01"	"The current leader has a gold crown, and you will get extra gold for killing them."
"overthrow_game_info_tip02"	"Genstande kan gives til holdkammerater eller sælges ved jeres base."
"[english]overthrow_game_info_tip02"	"Items can be given to teammates or sold at your base."
"overthrow_game_info_tip03"	"I er muligvis nødt til at koordinere med et modstanderhold for at slå en stærk fjende ihjel."
"[english]overthrow_game_info_tip03"	"You may need to coordinate with an opposing team to take out a strong opponent."
"overthrow_game_info_tip04"	"Jo færre drab dit hold har, jo stærkere genstande modtager I fra en levering."
"[english]overthrow_game_info_tip04"	"The fewer kills your team has, the stronger items you will recieve from a delivery."
"npc_dota_hero_bounty_hunter"	"Bounty Hunter (modificeret)"
"[english]npc_dota_hero_bounty_hunter"	"Bounty Hunter (Modified)"
"npc_dota_hero_broodmother"	"Broodmother (modificeret)"
"[english]npc_dota_hero_broodmother"	"Broodmother (Modified)"
"npc_dota_hero_necrolyte"	"Necrophos (modificeret)"
"[english]npc_dota_hero_necrolyte"	"Necrophos (Modified)"
"npc_dota_hero_riki"	"Riki (modificeret)"
"[english]npc_dota_hero_riki"	"Riki (Modified)"
"npc_dota_hero_silencer"	"Silencer (modificeret)"
"[english]npc_dota_hero_silencer"	"Silencer (Modified)"
"npc_dota_hero_zuus"	"Zeus (modificeret)"
"[english]npc_dota_hero_zuus"	"Zeus (Modified)"
"npc_dota_hero_pudge"	"Pudge (modificeret)"
"[english]npc_dota_hero_pudge"	"Pudge (Modified)"
"DOTA_Tooltip_Ability_item_ward_sentry"	"Sentry Ward (modificeret)"
"[english]DOTA_Tooltip_Ability_item_ward_sentry"	"Sentry Ward (Modified)"
"DOTA_Tooltip_Ability_item_dust"	"Dust of Appearance (modificeret)"
"[english]DOTA_Tooltip_Ability_item_dust"	"Dust of Appearance (Modified)"
