"lang"
{
	"Language"		"norwegian"
	"Tokens"
	{		
		"addon_game_name"										"JUNGLE COLOSSEUM"
		"DOTA_GameMode_15"										"JUNGLE COLOSSEUM"
		"CP_Instructions_Title"									"EROBRE PUNKT FOR Å TJENE POENG FOR LAGET"
		"CP_Instructions_Body"									"FØRSTE LAG TIL 4000 POENG VINNER!"
		"CP_Objective"											"EROBRE PUNKT PÅ KARTET"
		"CP_Time"												"SEKUNDER IGJEN %value%"
		"CP_AdditionalTime"										"TILLEGGSTID ER BLITT LAGT TIL"
		"CP_Expired"											"TIDEN HAR UTLØPT"
		"CP1"													"1"
		"CP2"													"2"
		"CP3"													"3"
		"CP4"													"4"
		"CP5"													"5"
		"CP_Radiant"											"RADIANT"
		"CP_Dire"												"DIRE"
		"CP_Neutral"											"NØYTRAL"
		"Radiant_Base"											"RADIANTS BASE"
		"Dire_Base"												"DIRES BASE"

		"DOTA_Tooltip_ability_item_bag_of_gold"					"100 gull"
		"DOTA_Tooltip_ability_item_fountain_potion"				"Rejuvenation Potion"
		"DOTA_Tooltip_ability_item_mango_juice"					"Mango Juice"
		"DOTA_Tooltip_ability_item_health_treat"				"Health Treat"
		"DOTA_Tooltip_ability_item_mana_treat"					"Mana Treat"
		"DOTA_Tooltip_ability_item_halloween_candy"				"Candy (300 gull)"
		"DOTA_Tooltip_modifier_get_xp_global"					"Global erfaring"
		"DOTA_Tooltip_modifier_invis_revealed"					"Klarsyn"
		"DOTA_Tooltip_modifier_phase"							"Fri ferdsel"
		"DOTA_Tooltip_ability_item_waypoint_entrance_radiant"	"Radiants knutepunktinngang"
		"DOTA_Tooltip_ability_item_waypoint_exit_radiant"		"Radiants knutepunktutgang"
		"DOTA_Tooltip_ability_item_button_pendulum_radiant"		"Radiants pendelknapp"
		"DOTA_Tooltip_ability_item_button_firetrap_radiant"		"Radiants ildfelleknapp"
		"DOTA_Tooltip_ability_item_button_venomtrap_radiant"	"Radiants giftfelleknapp"
		"DOTA_Tooltip_ability_item_waypoint_entrance_dire"		"Dires knutepunktinngang"
		"DOTA_Tooltip_ability_item_waypoint_exit_dire"			"Dires knutepunktutgang"
		"DOTA_Tooltip_ability_item_button_pendulum_dire"		"Dires pendelknapp"
		"DOTA_Tooltip_ability_item_button_firetrap_dire"		"Dires ildfelleknapp"
		"DOTA_Tooltip_ability_item_button_venomtrap_dire"		"Dires giftfelleknapp"
		"DOTA_Tooltip_ability_item_button_sawblade_radiant"		"Radiants sagknapp"
		"DOTA_Tooltip_ability_item_button_sawblade_dire"		"Dires sagknapp"
		"DOTA_Tooltip_ability_item_button_boulder_radiant"		"Radiants kampesteinknapp"
		"DOTA_Tooltip_ability_item_button_boulder_dire"			"Dires kampesteinknapp"
		
		"DOTA_Tooltip_modifier_fountain_aura_effect_lua" 				"Fontenehelbredelse"
		"DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"	"Regenererer helse og mana."
		"DOTA_Tooltip_modifier_item_greater_salve"						"Får helse"
		"DOTA_Tooltip_modifier_item_greater_clarity"					"Får mana"

		"npc_dota_creep_radiant_golem"					"Radiants kjempe"
		"npc_dota_creep_dire_golem"						"Dires kjempe"
		"npc_dota_creep_radiant_hulk"					"Radiants kjempe"
		"npc_dota_creep_dire_hulk"						"Dires kjempe"
		"npc_dota_spike_trap_ward"						"Spydfelle"
		"npc_dota_pendulum_trap_ward"					"Pendelfelle"
		"npc_dota_fire_trap_ward"						"Ildfelle"
		"npc_dota_venom_trap_ward"						"Giftfelle"
		"npc_dota_sawblade_trap_ward"					"Sagfelle"
		"npc_dota_dig_site"								"Utgraving"

		"DOTA_Tooltip_modifier_fountain_glyph"					"Glyph of Fortification"
		"DOTA_Tooltip_modifier_fountain_glyph_Description"		"Alle punkt kan midlertidig ikke erobres.  Lagpoeng samles ikke opp mens glyfen er aktiv."
		"DOTA_Hotkeys_Tooltip_ActivateGlyph"  					"Aktiverer Glyph of Fortification slik at alle kontrollpunkt og lagpoeng fryses i 10 sekunder."
		"DOTA_Chat_GlyphUsedGood"								"Radiant har befestet alle kontrollpunktene."
		"DOTA_Chat_GlyphUsedBad"								"Dire har befestet alle kontrollpunktene."
		"DOTA_Tooltip_ability_fountain_glyph"					"Glyph of Fortification"
		"DOTA_Tooltip_ability_fountain_glyph_Description"		"Alle eide punkt kan midlertidig ikke erobres.  Lagpoeng samles ikke opp mens glyfen er aktiv. Nøytrale punkt kan ikke befestes."
		
		"dota_hud_error_dig_site_cooldown"				"Utgravingen er tom"
		"dota_hud_error_dig_site_unowned"				"Kan ikke bruke fiendens utgraving"

		"dota_game_end_victory_title_radiant"	"Radiant seiret!\nFørste til 4000 poeng."
		"dota_game_end_victory_title_dire"		"Dire seiret!\nFørste til 4000 poeng."

		"DOTA_HUD_Radiant_CaptureZone"			"<font color='#62ff42'>Radiant</font> erobret punkt {d:int_value}!"
		"DOTA_HUD_Dire_CaptureZone"				"<font color='#e03e2e'>Dire</font> erobret punkt {d:int_value}!"
		"DOTA_HUD_Radiant_CaptureZone_NowScoring"			"<font color='#62ff42'>Radiant</font> erobret punkt {d:int_value} og får nå poeng!"
		"DOTA_HUD_Dire_CaptureZone_NowScoring"				"<font color='#e03e2e'>Dire</font> erobret punkt {d:int_value} og får nå poeng!"
	}
}
