"lang"
{
"Language"	"italian"
"Tokens"
{
"addon_game_name"	"Furia dei Mo'rokai"
"[english]addon_game_name"	"Wrath of the Mo'rokai"
"DOTA_Tooltip_ability_item_bag_of_gold"	"Sacco d'oro"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_GameMode_15"	"Furia dei Mo'rokai"
"[english]DOTA_GameMode_15"	"Wrath of the Mo'rokai"
"DOTA_GameMode_19"	"Furia dei Mo'rokai"
"[english]DOTA_GameMode_19"	"Wrath of the Mo'rokai"
"npc_dota_creature_jungle_spirit"	"Mo'rokai"
"[english]npc_dota_creature_jungle_spirit"	"Mo'rokai"
"npc_dota_jungle_spirit_summon_1"	"Spirito Guerriero"
"[english]npc_dota_jungle_spirit_summon_1"	"Spirit Warrior"
"npc_dota_jungle_spirit_summon_2"	"Spirito Guardiano"
"[english]npc_dota_jungle_spirit_summon_2"	"Spirit Guardian"
"npc_dota_gem_pinata"	"Tesoro di Essenza"
"[english]npc_dota_gem_pinata"	"Essence Treasure"
"npc_battle_point_pinata"	"Tesoro Raro"
"[english]npc_battle_point_pinata"	"Rare Treasure"
"DOTA_Tooltip_ability_item_spirit_gem"	"Essenza"
"[english]DOTA_Tooltip_ability_item_spirit_gem"	"Essence"
"MorokaiMarchTimer"	"IL MO'ROKAI DEI {s:next_march_team} STA AVANZANDO IN {s:march_lane}"
"[english]MorokaiMarchTimer"	"{s:next_march_team} MO'ROKAI MARCHING {s:march_lane}"
"JungleSpirits_Tooltip_View_Branches"	"Mostra abilità del Mo'rokai"
"[english]JungleSpirits_Tooltip_View_Branches"	"View Mo'rokai Path Abilities"
"hud_error_not_enough_gems"	"Essenza insufficiente"
"[english]hud_error_not_enough_gems"	"Not Enough Essence"
"hud_error_took_damage_recently"	"Impossibile usare l'essenza - Danni subiti di recente"
"[english]hud_error_took_damage_recently"	"Cannot Spend Essence - Recent Player Damage"
"hud_error_cooldown_not_ready"	"Impossibile usare l'essenza - Miglioramento in ricarica"
"[english]hud_error_cooldown_not_ready"	"Cannot Spend Essence - Upgrade On Cooldown"
"hud_error_spirit_is_active"	"Impossibile usare l'essenza - Spirito attivo"
"[english]hud_error_spirit_is_active"	"Cannot Spend Essence - Spirit is Active"
"jungle_branch_cost"	"Spirito"
"[english]jungle_branch_cost"	"Spirit"
"storm_branch_cost"	"Tempesta"
"[english]storm_branch_cost"	"Storm"
"volcano_branch_cost"	"Furia"
"[english]volcano_branch_cost"	"Wrath"
"spirit_branch"	"Spirito"
"[english]spirit_branch"	"Spirit"
"wrath_branch"	"Furia"
"[english]wrath_branch"	"Wrath"
"storm_branch"	"Tempesta"
"[english]storm_branch"	"Storm"
"JungleSpirits_NewMarchRadiant"	"<panel class='MorokaiIcon'/>Il <font color='#27E100'>Mo'rokai dei Radiant</font> sta avanzando nella corsia {s:locstring_value}!"
"[english]JungleSpirits_NewMarchRadiant"	"<panel class='MorokaiIcon'/><font color='#27E100'>Radiant Mo'rokai</font> is charging down {s:locstring_value} lane!"
"JungleSpirits_NewMarchDire"	"Il <panel class='MorokaiIcon'/><font color='#ff4d4d'>Mo'rokai dei Dire</font> sta avanzando nella corsia {s:locstring_value}!"
"[english]JungleSpirits_NewMarchDire"	"<panel class='MorokaiIcon'/><font color='#ff4d4d'>Dire Mo'rokai</font> is charging down {s:locstring_value} lane!"
"JungleSpirits_GemWarning"	"<panel class='MorokaiEssenceWarningIcon'/>Sta per comparire un tesoro di <font color='#06FFFF'>essenza</font>."
"[english]JungleSpirits_GemWarning"	"<panel class='MorokaiEssenceWarningIcon'/>An <font color='#06FFFF'>essence</font> treasure is about to spawn."
"JungleSpirits_BattlePointsPackageWarning"	"<panel class='MorokaiEssenceWarningRareIcon'/>Sta per comparire un tesoro <font color='#FF55FF'>raro</font>."
"[english]JungleSpirits_BattlePointsPackageWarning"	"<panel class='MorokaiEssenceWarningRareIcon'/>A <font color='#FF55FF'>rare</font> treasure is about to spawn."
"JungleSpirits_CreatureGainedLevel"	"<panel class='MorokaiIcon'/>Il tuo Mo'rokai ha raggiunto il <font color='#668cff'>livello {s:locstring_value}</font>!"
"[english]JungleSpirits_CreatureGainedLevel"	"<panel class='MorokaiIcon'/>Your Mo'rokai gained <font color='#668cff'>level {s:locstring_value}</font>!"
"GameEvent_PlayerOpenedCarePackage"	"{s:player_name} ha aperto un tesoro di <font color='#06FFFF'>essenza</font>!"
"[english]GameEvent_PlayerOpenedCarePackage"	"{s:player_name} opened an <font color='#06FFFF'>essence</font> treasure!"
"GameEvent_PlayerOpenedLargeCarePackage"	"{s:player_name} ha aperto un tesoro <font color='#FF55FF'>raro</font>!"
"[english]GameEvent_PlayerOpenedLargeCarePackage"	"{s:player_name} opened a <font color='#FF55FF'>rare</font> treasure!"
"GameEvent_PlayerOpenedBPPackage"	"{s:player_name} ha trovato <font color='#FF55FF'>{d:int_value} Punti Battaglia</font> da dividere tra i giocatori dei Radiant!"
"[english]GameEvent_PlayerOpenedBPPackage"	"{s:player_name} looted <font color='#FF55FF'> {d:int_value} battle points </font> split between Radiant players!"
"GameEvent_PlayerOpenedBPPackage_Dire"	"{s:player_name} ha trovato <font color='#FF55FF'>{d:int_value} Punti Battaglia</font> da dividere tra i giocatori dei Dire!"
"[english]GameEvent_PlayerOpenedBPPackage_Dire"	"{s:player_name} looted <font color='#FF55FF'> {d:int_value} battle points </font> split between Dire players!"
"Morokai_Killed_Player"	"<font color='#27E100'>Mo'rokai dei {s:locstring_value}</font><panel class='CombatEventKillIcon'/>{s:player_name}"
"[english]Morokai_Killed_Player"	"<font color='#27E100'>{s:locstring_value} Mo'rokai</font><panel class='CombatEventKillIcon'/>{s:player_name}"
"Morokai_Killed_Player_Dire"	"<font color='#ff4d4d'>Mo'rokai dei {s:locstring_value}</font><panel class='CombatEventKillIcon'/>{s:player_name}"
"[english]Morokai_Killed_Player_Dire"	"<font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font><panel class='CombatEventKillIcon'/>{s:player_name}"
"Player_Killed_Morokai"	"{s:player_name}<panel class='CombatEventKillIcon'/><font color='#27E100'>Mo'rokai dei {s:locstring_value}</font>"
"[english]Player_Killed_Morokai"	"{s:player_name}<panel class='CombatEventKillIcon'/><font color='#27E100'>{s:locstring_value} Mo'rokai</font>"
"Player_Killed_Morokai_Dire"	"{s:player_name}<panel class='CombatEventKillIcon'/><font color='#ff4d4d'>Mo'rokai dei {s:locstring_value}</font>"
"[english]Player_Killed_Morokai_Dire"	"{s:player_name}<panel class='CombatEventKillIcon'/><font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font>"
"Morokai_Killed_NoPlayer"	"<panel class='CombatEventKillIcon'/>Il <font color='#27E100'>Mo'rokai dei {s:locstring_value}</font> è stato ucciso!"
"[english]Morokai_Killed_NoPlayer"	"<panel class='CombatEventKillIcon'/><font color='#27E100'>{s:locstring_value} Mo'rokai</font> was killed!"
"Morokai_Killed_NoPlayer_Dire"	"Il <panel class='CombatEventKillIcon'/><font color='#ff4d4d'>Mo'rokai dei {s:locstring_value}</font> è stato ucciso!"
"[english]Morokai_Killed_NoPlayer_Dire"	"<panel class='CombatEventKillIcon'/><font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font> was killed!"
"Morokai_EssenceMeter_Tooltip"	"Quando la barra dell'essenza è piena, potrai far salire di livello il tuo Mo'rokai. Clicca sulla barra per aprire l'albero delle abilità e scegliere uno dei percorsi."
"[english]Morokai_EssenceMeter_Tooltip"	"When your essence meter is full you can level up your Mo'rokai. Click the meter to show the skill tree and pick a Mo'rokai path to level up."
"DOTA_Tooltip_Ability_item_travel_boots_morokai"	"Stivali eleganti del Mo'rokai"
"[english]DOTA_Tooltip_Ability_item_travel_boots_morokai"	"Stylish Mo'rokai Boots"
"DOTA_Tooltip_Ability_item_platemail_morokai"	"Armatura trendy del Mo'rokai"
"[english]DOTA_Tooltip_Ability_item_platemail_morokai"	"Trendy Mo'rokai Armor"
"DOTA_Tooltip_Ability_item_battle_points"	"125 Punti Battaglia"
"[english]DOTA_Tooltip_Ability_item_battle_points"	"125 Battle Points"
"DOTA_Tooltip_Ability_item_battle_points_250"	"250 Punti Battaglia"
"[english]DOTA_Tooltip_Ability_item_battle_points_250"	"250 Battle Points"
"DOTA_Tooltip_Ability_item_battle_points_500"	"500 Punti Battaglia"
"[english]DOTA_Tooltip_Ability_item_battle_points_500"	"500 Battle Points"
"DOTA_Tooltip_Ability_item_battle_points_2000"	"2000 Punti Battaglia"
"[english]DOTA_Tooltip_Ability_item_battle_points_2000"	"2000 Battle Points"
"DOTA_Tooltip_Ability_item_battle_points_5000"	"5000 Punti Battaglia"
