"lang"
{
"Language"	"greek"
"Tokens"
{
"addon_game_name"	"Wrath of the Mo'rokai"
"[english]addon_game_name"	"Wrath of the Mo'rokai"
"DOTA_Tooltip_ability_item_bag_of_gold"	"Σάκος χρυσού"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_GameMode_15"	"Wrath of the Mo'rokai"
"[english]DOTA_GameMode_15"	"Wrath of the Mo'rokai"
"DOTA_GameMode_19"	"Wrath of the Mo'rokai"
"[english]DOTA_GameMode_19"	"Wrath of the Mo'rokai"
"npc_dota_creature_jungle_spirit"	"Mo'rokai"
"[english]npc_dota_creature_jungle_spirit"	"Mo'rokai"
"npc_dota_jungle_spirit_summon_1"	"Πνεύμα πολεμιστής"
"[english]npc_dota_jungle_spirit_summon_1"	"Spirit Warrior"
"npc_dota_jungle_spirit_summon_2"	"Πνεύμα φύλακας"
"[english]npc_dota_jungle_spirit_summon_2"	"Spirit Guardian"
"npc_dota_gem_pinata"	"Θησαυρός ουσίας"
"[english]npc_dota_gem_pinata"	"Essence Treasure"
"npc_battle_point_pinata"	"Σπάνιος θησαυρός"
"[english]npc_battle_point_pinata"	"Rare Treasure"
"DOTA_Tooltip_ability_item_spirit_gem"	"Ουσία"
"[english]DOTA_Tooltip_ability_item_spirit_gem"	"Essence"
"MorokaiMarchTimer"	"ΤΟ {s:next_march_team} MO'ROKAI ΠΡΟΕΛΑΥΝΕΙ {s:march_lane}"
"[english]MorokaiMarchTimer"	"{s:next_march_team} MO'ROKAI MARCHING {s:march_lane}"
"JungleSpirits_Tooltip_View_Branches"	"Προβολή μονοπατιού ικανοτήτων Mo'rokai"
"[english]JungleSpirits_Tooltip_View_Branches"	"View Mo'rokai Path Abilities"
"hud_error_not_enough_gems"	"Χωρίς αρκετή ουσία"
"[english]hud_error_not_enough_gems"	"Not Enough Essence"
"hud_error_took_damage_recently"	"Αδυναμία ξοδέματος ουσίας - Πρόσφατη ζημιά παίκτη"
"[english]hud_error_took_damage_recently"	"Cannot Spend Essence - Recent Player Damage"
"hud_error_cooldown_not_ready"	"Αδυναμία ξοδέματος ουσίας - Αναβάθμιση σε επαναφόρτιση"
"[english]hud_error_cooldown_not_ready"	"Cannot Spend Essence - Upgrade On Cooldown"
"hud_error_spirit_is_active"	"Αδυναμία ξοδέματος ουσίας - Το πνεύμα είναι ενεργό"
"[english]hud_error_spirit_is_active"	"Cannot Spend Essence - Spirit is Active"
"jungle_branch_cost"	"ΠΝΕΥΜΑ"
"[english]jungle_branch_cost"	"Spirit"
"storm_branch_cost"	"ΚΑΤΑΙΓΙΔΑ"
"[english]storm_branch_cost"	"Storm"
"volcano_branch_cost"	"ΟΡΓΗ"
"[english]volcano_branch_cost"	"Wrath"
"spirit_branch"	"ΠΝΕΥΜΑ"
"[english]spirit_branch"	"Spirit"
"wrath_branch"	"ΟΡΓΗ"
"[english]wrath_branch"	"Wrath"
"storm_branch"	"ΚΑΤΑΙΓΙΔΑ"
"[english]storm_branch"	"Storm"
"JungleSpirits_NewMarchRadiant"	"Το <panel class='MorokaiIcon'/><font color='#27E100'>Radiant Mo'rokai</font> εφορμάει στο {s:locstring_value} μέτωπο!"
"[english]JungleSpirits_NewMarchRadiant"	"<panel class='MorokaiIcon'/><font color='#27E100'>Radiant Mo'rokai</font> is charging down {s:locstring_value} lane!"
"JungleSpirits_NewMarchDire"	"Το <panel class='MorokaiIcon'/><font color='#ff4d4d'>Dire Mo'rokai</font> εφορμάει στο {s:locstring_value} μέτωπο!"
"[english]JungleSpirits_NewMarchDire"	"<panel class='MorokaiIcon'/><font color='#ff4d4d'>Dire Mo'rokai</font> is charging down {s:locstring_value} lane!"
"JungleSpirits_GemWarning"	"<panel class='MorokaiEssenceWarningIcon'/>Πρόκειται να εμφανιστεί ένας θησαυρός <font color='#06FFFF'>ουσίας</font>."
"[english]JungleSpirits_GemWarning"	"<panel class='MorokaiEssenceWarningIcon'/>An <font color='#06FFFF'>essence</font> treasure is about to spawn."
"JungleSpirits_BattlePointsPackageWarning"	"<panel class='MorokaiEssenceWarningRareIcon'/>Πρόκειται να εμφανιστεί ένας <font color='#FF55FF'>σπάνιος</font> θησαυρός."
"[english]JungleSpirits_BattlePointsPackageWarning"	"<panel class='MorokaiEssenceWarningRareIcon'/>A <font color='#FF55FF'>rare</font> treasure is about to spawn."
"GameEvent_PlayerOpenedCarePackage"	"Ο {s:player_name} άνοιξε ένα θησαυρό <font color='#06FFFF'>ουσίας</font>!"
"[english]GameEvent_PlayerOpenedCarePackage"	"{s:player_name} opened an <font color='#06FFFF'>essence</font> treasure!"
"GameEvent_PlayerOpenedLargeCarePackage"	"Ο {s:player_name} άνοιξε ένα <font color='#FF55FF'>σπάνιο</font> θησαυρό!"
"[english]GameEvent_PlayerOpenedLargeCarePackage"	"{s:player_name} opened a <font color='#FF55FF'>rare</font> treasure!"
"GameEvent_PlayerOpenedBPPackage"	"Ο {s:player_name} σύλλεξε <font color='#FF55FF'> {d:int_value} πόντους μάχης </font> που μοιράζονται οι παίκτες Radiant!"
"[english]GameEvent_PlayerOpenedBPPackage"	"{s:player_name} looted <font color='#FF55FF'> {d:int_value} battle points </font> split between Radiant players!"
"GameEvent_PlayerOpenedBPPackage_Dire"	"Ο {s:player_name} σύλλεξε <font color='#FF55FF'> {d:int_value} πόντους μάχης </font> που μοιράζονται οι παίκτες Dire!"
"[english]GameEvent_PlayerOpenedBPPackage_Dire"	"{s:player_name} looted <font color='#FF55FF'> {d:int_value} battle points </font> split between Dire players!"
"Morokai_Killed_Player"	"<font color='#27E100'>{s:locstring_value} Mo'rokai</font><panel class='CombatEventKillIcon'/>{s:player_name}"
"[english]Morokai_Killed_Player"	"<font color='#27E100'>{s:locstring_value} Mo'rokai</font><panel class='CombatEventKillIcon'/>{s:player_name}"
"Morokai_Killed_Player_Dire"	"<font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font><panel class='CombatEventKillIcon'/>{s:player_name}"
"[english]Morokai_Killed_Player_Dire"	"<font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font><panel class='CombatEventKillIcon'/>{s:player_name}"
"Player_Killed_Morokai"	"{s:player_name}<panel class='CombatEventKillIcon'/><font color='#27E100'>{s:locstring_value} Mo'rokai</font>"
"[english]Player_Killed_Morokai"	"{s:player_name}<panel class='CombatEventKillIcon'/><font color='#27E100'>{s:locstring_value} Mo'rokai</font>"
"Player_Killed_Morokai_Dire"	"{s:player_name}<panel class='CombatEventKillIcon'/><font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font>"
"[english]Player_Killed_Morokai_Dire"	"{s:player_name}<panel class='CombatEventKillIcon'/><font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font>"
"Morokai_Killed_NoPlayer"	"<panel class='CombatEventKillIcon'/>Το <font color='#27E100'>{s:locstring_value} Mo'rokai</font> σκοτώθηκε!"
"[english]Morokai_Killed_NoPlayer"	"<panel class='CombatEventKillIcon'/><font color='#27E100'>{s:locstring_value} Mo'rokai</font> was killed!"
"Morokai_Killed_NoPlayer_Dire"	"<panel class='CombatEventKillIcon'/>Το <font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font> σκοτώθηκε!"
"[english]Morokai_Killed_NoPlayer_Dire"	"<panel class='CombatEventKillIcon'/><font color='#ff4d4d'>{s:locstring_value} Mo'rokai</font> was killed!"
"Morokai_EssenceMeter_Tooltip"	"Όταν ο μετρητής ουσίας σας γεμίσει μπορείτε να αναβαθμίσετε το Mo'rokai σας. Πατήστε το μετρητή για εμφάνιση του δέντρου ικανοτήτων και επιλέξτε ένα μονοπάτι Mo'rokai για να αναβαθμίσετε."
"[english]Morokai_EssenceMeter_Tooltip"	"When your essence meter is full you can level up your Mo'rokai. Click the meter to show the skill tree and pick a Mo'rokai path to level up."
"DOTA_Tooltip_Ability_item_travel_boots_morokai"	"ΣΤΥΛΑΤΕΣ ΜΠΟΤΕΣ Mo'rokai"
"[english]DOTA_Tooltip_Ability_item_travel_boots_morokai"	"Stylish Mo'rokai Boots"
"DOTA_Tooltip_Ability_item_platemail_morokai"	"ΜΟΔΑΤΗ ΘΩΡΑΚΙΣΗ Mo'rokai"
"[english]DOTA_Tooltip_Ability_item_platemail_morokai"	"Trendy Mo'rokai Armor"
"DOTA_Tooltip_Ability_item_battle_points"	"125 πόντοι μάχης"
"[english]DOTA_Tooltip_Ability_item_battle_points"	"125 Battle Points"
"DOTA_Tooltip_Ability_item_battle_points_250"	"250 πόντοι μάχης"
"[english]DOTA_Tooltip_Ability_item_battle_points_250"	"250 Battle Points"
"DOTA_Tooltip_Ability_item_battle_points_500"	"500 πόντοι μάχης"
