"addon"
{
"DemoOptions_MinimizeButton"	"試玩選項"
"[english]DemoOptions_MinimizeButton"	"Demo Options"
"Hero_ButtonCategory"	"英雄"
"[english]Hero_ButtonCategory"	"Hero"
"Spawn_ButtonCategory"	"重生"
"[english]Spawn_ButtonCategory"	"Spawn"
"Misc_ButtonCategory"	"自訂"
"[english]Misc_ButtonCategory"	"Customize"
"Refresh_Button"	"重新整理"
"[english]Refresh_Button"	"Refresh"
"LevelUp_Button"	"升級"
"[english]LevelUp_Button"	"Level Up"
"Invulnerability_Button"	"無敵"
"[english]Invulnerability_Button"	"Invulnerability"
"Enemy_Button"	"敵方"
"[english]Enemy_Button"	"Enemy"
"LevelUpEnemy_Button"	"升級敵方"
"[english]LevelUpEnemy_Button"	"Level Up Enemy"
"DummyTarget_Button"	"假人目標"
"[english]DummyTarget_Button"	"Dummy Target"
"RemoveSpawns_Button"	"移除重生點"
"[english]RemoveSpawns_Button"	"Remove Spawns"
"SelectCosmetics_Button"	"裝備新物品"
"[english]SelectCosmetics_Button"	"Equip New Items"
"ChangeHero_Button"	"選擇新英雄"
"[english]ChangeHero_Button"	"Select New Hero"
"PauseDemo_Button"	"暫停"
"[english]PauseDemo_Button"	"Pause"
"QuitDemo_Button"	"退出"
"[english]QuitDemo_Button"	"Quit"
"addon_game_name"	"英雄試玩模式"
"[english]addon_game_name"	"Hero Demo Mode"
"LevelUp_Msg"	"英雄已升級"
"[english]LevelUp_Msg"	"Hero Levelled Up"
"InvulnerabilityOn_Msg"	"無敵：開"
"[english]InvulnerabilityOn_Msg"	"Invulnerability: On"
"SpawnAlly_Msg"	"盟友已重生"
"[english]SpawnAlly_Msg"	"Ally Spawned"
"SpawnEnemy_Msg"	"敵方已重生"
"[english]SpawnEnemy_Msg"	"Enemy Spawned"
"LevelUpEnemy_Msg"	"敵方已升級"
"[english]LevelUpEnemy_Msg"	"Enemies Levelled Up"
"LaneCreepsOn_Msg"	"對線小兵：開"
"[english]LaneCreepsOn_Msg"	"Lane Creeps: On"
"LaneCreepsOff_Msg"	"對線小兵：關"
"[english]LaneCreepsOff_Msg"	"Lane Creeps: Off"
}
