"lang"
{
	"Language"		"dutch"
	"Tokens"
	{		
		"addon_game_name"			"DE NAAM VAN JE ADD-ON"
"scenario_support_survival_task_buy_glimmer_cape"	"Koop een Glimmer Cape."
		"scenario_support_survival_task_buy_force_staff"	"Koop een Force Staff."
		"scenario_support_survival_task_do_not_die"			"Ga niet dood!"
		
		"scenario_support_survival_time_remaining"			"Tijd resterend:"

		// Scenario: Glimmer Cape
		"scenario_glimmer_cape_task_move_to_location_1"		"Ga naar het routepunt."
		
		"scenario_glimmer_cape_task_do_not_die"				"Ga niet dood!"

		"scenario_glimmer_cape_task_move_to_escape"					"Ontwijk Chaos Knight en ga naar het routepunt."
		"scenario_glimmer_cape_task_move_to_escape_Description"		"Klik op je Glimmer Cape en klik vervolgens op jouw held wanneer Chaos Knight nadert."

		"scenario_glimmer_cape_task_move_to_location_2"					"Ga naar het routepunt."
		"scenario_glimmer_cape_task_move_to_location_2_Description"		"Klik met de rechtermuisknop in de buurt van het routepunt om je held te verplaatsen."

		"scenario_glimmer_cape_task_protect_ogre"					"Begeleid Ogre Magi stroomafwaarts."
		"scenario_glimmer_cape_task_protect_ogre_Description"		"Klik op je Glimmer Cape en klik vervolgens op Ogre Magi wanneer Chaos Knight nadert."

		"scenario_glimmer_cape_task_kill_necrophos"					"Help Sniper overleven en versla Necrophos."
		"scenario_glimmer_cape_task_kill_necrophos_Description"		"Klik op je Glimmer Cape en klik op Sniper om hem tegen Reaper's Scythe te beschermen."

		"scenario_glimmer_cape_wizard_tip_intro_Text"				"De Glimmer Cape kan je kort onzichtbaar maken, waardoor je kunt ontsnappen."
		"scenario_glimmer_cape_wizard_tip_ally_Text"				"Je kunt de Glimmer Cape ook op je bondgenoten gebruiken om ze onzichtbaar te maken. Zoals Ogre Magi hier!"
		"scenario_glimmer_cape_wizard_tip_magic_resist_Text"		"De actieve vaardigheid van Glimmer Cape biedt veel magieweerstand en is daarom erg handig tegen krachtige spreuken."

		"scenario_glimmer_cape_failure_ogre_died"			"Ogre Magi is doodgegaan."
		"scenario_glimmer_cape_failure_sniper_died"			"Sniper is doodgegaan."

		// Scenario: Roshan
		"scenario_roshan_task_move_to_location_1"				"Kom samen met je teamgenoten"
		"scenario_roshan_task_move_to_location_1_Description"	"Klik met de rechtermuisknop in de buurt van het routepunt om je held te verplaatsen."

		"scenario_roshan_task_kill_roshan"					"Versla Roshan in zijn kuil"
		"scenario_roshan_task_kill_roshan_Description"		"Gebruik je aanvallen en vaardigheden tegen Roshan."

		"scenario_roshan_task_pick_up_aegis"				"Pak de Aegis of the Immortal op"
		"scenario_roshan_task_pick_up_aegis_Description"	"Klik met de rechtermuisknop op de Aegis om hem op te pakken."

		"scenario_roshan_task_exit_pit"						"Verlaat Roshans kuil"
		"scenario_roshan_task_exit_pit_Description"			"Klik met de rechtermuisknop in de buurt van het routepunt om je held te verplaatsen."

		"scenario_roshan_task_kill_juggernaut"				"Versla Juggernaut met de kracht van de Aegis"
		"scenario_roshan_task_kill_juggernaut_Description"	"Gebruik je aanvallen en vaardigheden tegen Juggernaut."

		"scenario_roshan_wizard_tip_intro_Text"					"Roshan is een krachtig onsterfelijk beest dat geweldige beloningen bij zich heeft, waaronder de Aegis of the Immortal! Laten we hem doden."

		"scenario_roshan_wizard_tip_fight_Text"					"Roshan verschijnt aan het begin van het spel in zijn kuil. Om hem te verslaan kun je het beste eerst wat levels omhoog gaan, items kopen en er teamgenoten bijhalen."

		"scenario_roshan_wizard_tip_rosh_killed_Text"			"Wanneer je Roshan doodt, krijgt je gehele team goud en XP. Hij verschijnt na een tijdje weer opnieuw, mét meer beloningen."

		"scenario_roshan_wizard_tip_aegis_pickup_Text"			"Als je doodgaat, zorgt de Aegis ervoor dat je na een korte vertraging weer tot leven komt op de plek waar je bent doodgegaan."

		"scenario_roshan_failure_aegis_denied"					"De Aegis is vernietigd!"

		// Scenario: Invisibility
		"scenario_invisibility_task_buy_sentry"							"Koop een Sentry Ward."
		"scenario_invisibility_task_buy_sentry_Description"				"Klik op de knop van de winkel. Klik met de rechtermuisknop op de Sentry Ward."
		
		"scenario_invisibility_task_place_sentry"						"Plaats een Sentry Ward om True Sight in een gebied te krijgen."
		"scenario_invisibility_task_place_sentry_Description"			"Klik op de Sentry Ward of gebruik de bijbehorende sneltoets en klik daarna op de locatie."

		"scenario_invisibility_task_destroy_enemy_ward"					"Vernietig de Observer Ward die door je True Sight is onthuld."
		"scenario_invisibility_task_destroy_enemy_ward_Description"		"Klik met de rechtermuisknop om hem aan te vallen."

		"scenario_invisibility_task_kill_riki"							"Versla Riki ondanks zijn onzichtbaarheid."
		"scenario_invisibility_task_kill_riki_Description"				"Blijf bij je Sentry Ward staan en gebruik je aanvallen en vaardigheden."

		"scenario_invisibility_task_move_to_shop"						"Ga naar de volgende winkel."
		"scenario_invisibility_task_move_to_shop_Description"			"Klik met de rechtermuisknop om je held naar het routepunt te verplaatsen."

		"scenario_invisibility_task_buy_dust"							"Koop Dust of Appearance."
		"scenario_invisibility_task_buy_dust_Description"				"Klik op de knop van de winkel. Klik met de rechtermuisknop op de Dust of Appearance."

		"scenario_invisibility_task_dust_bounty_hunter"					"Onthul Bounty Hunter met Dust of Appearance."
		"scenario_invisibility_task_dust_bounty_hunter_Description"		"Klik op de Dust of Appearance in je inventaris wanneer je bij hem in de buurt bent."

		"scenario_invisibility_task_kill_bounty_hunter"					"Versla Bounty Hunter voordat hij naar de rivier ontsnapt."
		"scenario_invisibility_task_kill_bounty_hunter_Description"		"Gebruik je aanvallen en vaardigheden terwijl hij onder invloed van Dust of Appearance is."

		"scenario_invisibility_task_pick_up_gem"							"Pak de Gem of True Sight op."
		"scenario_invisibility_task_pick_up_gem_Description"				"Klik met de rechtermuisknop op de Gem of True Sight."

		"scenario_invisibility_task_destroy_enemy_gem_wards"				"Zoek en vernietig 3 vijandelijke wards met de Gem."
		"scenario_invisibility_wizard_tip_intro_Text"			"Onzichtbaarheid is een aspect in Dota 2 met een grote impact.\nAlles kan daarbuiten op je loeren!"

		"scenario_invisibility_wizard_tip_sentry_wards_Text"	"Je kunt die Sentry Ward gebruiken om onzichtbare objecten te detecteren."

		"scenario_invisibility_wizard_tip_observer_wards_Text"			"Een vijandelijke Observer Ward!\nWards zijn onzichtbaar en je hebt True Sight nodig om ze te kunnen zien."

		"scenario_invisibility_wizard_tip_dust_intro_Text"				"Er zijn andere manieren om onzichtbare eenheden te detecteren.\nKoop maar een paar Dust of Appearance uit de winkel."
"scenario_sven_hint_narration_sven1_4"			"Gnoll: Je leeft maar een keer!<br>Sven: Boeien, ze gaan er allemaal aan!"
		"scenario_sven_hint_narration_sven2_centaur_dead"	"Centaur: Liederen... over mijn moed...."
		"scenario_sven_hint_narration_sven3_gnolls_stun"	"Gnoll: Ugh! Verlamd!"
"scenario1_task_see_the_boss_up_close"			"Kom de baas onder ogen."
		"scenario1_task_mini_bosses"					"Versla de drie slechte bevelhebbers!"
		"npc_dota_badguys_tower1_bot_weak"				"Toren"
"scenario_economy_task_gain_level_9_Description"					"Verdien ervaring door je in de buurt van vijandelijke eenheden te bevinden wanneer ze doodgaan."
		"scenario_economy_task_gain_level_10_Description"					"Verdien ervaring door je in de buurt van vijandelijke eenheden te bevinden wanneer ze doodgaan."
		"scenario_economy_task_clear_the_jungle_Description"				"Dood alle creeps in elk kamp."
		
	
		"scenario_economy_task_kill_sf_Description"						"Val Shadow Fiend aan en gebruik je vaardigheden om hem te verslaan."
		"scenario_economy_wizard_tip_use_the_courier_Text"				"Elke speler beschikt over een koerier die voorwerpen voor je uit de basis kan ophalen!"
		"scenario_economy_ui_tip_click_to_open_shop"					"Klik hier om de winkel te openen!"
"scenario_navigation_task_move_to_location_1_Description"			"Klik met de rechtermuisknop op de grond om te bewegen."
"initiation_teamfight_task_move_to_p2_loc"				"Doorgaan"
"lockdown_single_target_task_protect_lina"				"Bescherm Lina."
"scenario_tp_scroll_items"									"Town Portal Scroll"
		"scenario_tp_scroll_wizard_tip_wait_Text"					"Wacht! Laten we een extra Town Portal Scroll kopen voordat we teleporteren. Anders zitten we er later om verlegen."
"scenario_regen_task_buy_salve"						"Koop een Healing Salve"
		// Scenario: Courier
		"scenario_courier_main_objective"															"Gebruik je koerier om een Aghanim's Scepter af te maken"
		"scenario_courier_task_root"																	"Verkrijg de componenten van een Aghanim's Scepter"
		"scenario_courier_ui_tip_click_to_open_shop"							"Klik hier om de winkel te openen"
		"scenario_courier_ui_tip_click_to_select_courier"					"Klik hier om je koerier te selecteren"
		"scenario_courier_items"									"Componenten van Aghanim's Scepter"
