"lang"
{
	"Language"		"korean"
	"Tokens"
	{		
		"addon_game_name"			"다이어타이드"
		"DOTA_GameMode_15"			"다이어타이드"
		"DOTA_GameMode_19"			"다이어타이드"

		// candy shoppe

		"buy_spooky_tp"					"으스스한 순간이동 주문서 사기"
		"buy_spooky_tp_description"		"신출귀몰한 힘을 얻고 지도 위의 적 팀 진영을 침공합니다!"
		"spawn_enemy_wave"				"괴물 생성"
		"spawn_enemy_wave_description"	"현재 차례의 괴물 무리를 상대편에 보냅니다!"
		"rosh_trick_or_treat"			"로샨 사탕 아니면 골탕"
		"rosh_trick_or_treat_description"	"로샨을 보내 무작위 적 영웅에게 사탕 아니면 골탕을 먹입니다! 로샨은 쫀득사탕을 받아내거나 아니면... 목숨을 받아낼 겁니다!"

		"DOTA_HUD_RoshanTrickOrTreat_Toast"		"{s:player_name} 님이 사탕 아니면 골탕을 먹이도록 로샨을 보냈습니다!"
		"DOTA_HUD_RoshanTrickOrTreat_Target_Toast"	"로샨이 {s:player_name} 님에게 사탕 아니면 골탕을 먹이는 중입니다!"
		"DOTA_HUD_PlayerInvasion_Toast"			"{s:player_name} 님이 적 팀을 침공했습니다!"
		"DOTA_HUD_RoshanAttackRadiant_Toast"	"다이어가 쫀득사탕을 충분히 모았습니다! 로샨이 풀려나 래디언트를 공격하러 갑니다!"
		"DOTA_HUD_RoshanAttackDire_Toast"		"래디언트가 쫀득사탕을 충분히 모았습니다! 로샨이 풀려나 다이어를 공격하러 갑니다!"
		"DOTA_HUD_SpookyTPUsed_Toast"			"{s:player_name} 님이 차원문을 타고 적 팀을 침공하고 있습니다!"
		"DOTA_HUD_PortalUnlocked_Toast"			"{s:player_name} 님이 팀을 위해 차원문을 열었습니다!"
		"DOTA_HUD_PortalUnlockedGood_Toast"			"래디언트가 팀을 위해 차원문을 열었습니다!"
		"DOTA_HUD_PortalUnlockedBad_Toast"			"다이어가 팀을 위해 차원문을 열었습니다!"
		"DOTA_HUD_RuneSpawned_Toast"			"{s:player_name} 님이 팀을 위해 룬을 생성했습니다!"
		"DOTA_HUD_CandyBucketVulnerableGood_Toast"			"지금 래디언트의 본진 바구니가 취약해졌으므로 공격할 수 있습니다!"
		"DOTA_HUD_CandyBucketVulnerableBad_Toast"			"지금 다이어의 본진 바구니가 취약해졌으므로 공격할 수 있습니다!"
		"DOTA_HUD_RoshanCursedGoodTeam_Toast"		"래디언트가 로샨을 먹이지 않아 저주를 받았습니다!"
		"DOTA_HUD_RoshanCursedBadTeam_Toast"		"다이어가 로샨을 먹이지 않아 저주를 받았습니다!"
		"DOTA_HUD_ScarecrowStashRespawn"			"허수아비 보관함이 다시 생성되었습니다!"
		"DOTA_HUD_Diretide_UnscoredCandy"			"점수에 포함되지 않은 채 영웅이 소지한 사탕"

		"DOTA_diretide_gameplay_tips_count"			"수고비 {d:current_tip_num} / {d:num_tips}"
		"DOTA_diretide_gameplay_tips_text"			"{s:tip_text}"

		"DOTA_diretide_gameplay_tip_00"				"쫀득사탕 바구니 능력을 사용하여 아군을 대상으로 지정하면 쫀득사탕 보관함을 통째로 던질 수 있습니다."
		"DOTA_diretide_gameplay_tip_01"				"가지고 있는 쫀득사탕 한 개당 적은 비율로 최대 체력이 감소합니다."
		"DOTA_diretide_gameplay_tip_02"				"쫀득사탕을 들고 있는 크립에 마지막 타격을 가하면, 쫀득사탕이 날아옵니다!"
		"DOTA_diretide_gameplay_tip_03"				"라운드마다 다른 크립이 등장합니다! 각각의 장점과 약점을 파악해 보세요."
		"DOTA_diretide_gameplay_tip_04"				"크립이 패배하면 팀 전체가 골드와 경험치를 얻습니다."
		"DOTA_diretide_gameplay_tip_05"				"허수아비 보관함에는 쫀득사탕과 중립 아이템이 여러 가지 들어 있습니다."
		"DOTA_diretide_gameplay_tip_06"				"허수아비 보관함 2개가 라운드마다 1, 3, 5분에 지도의 북쪽과 남쪽에서 생성됩니다."
		"DOTA_diretide_gameplay_tip_07"				"로샨은 라운드 시작 2분 후에 풀려납니다."
		"DOTA_diretide_gameplay_tip_08"				"쫀득사탕은 한 번에 하나씩 본진 바구니로 보내야 하며, 방해받을 수 있습니다."
		"DOTA_diretide_gameplay_tip_09"				"룬은 로샨 소굴에서 2, 3, 4, 5분에 생성됩니다."
		"DOTA_diretide_gameplay_tip_10"				"적의 쫀득사탕 우물을 파괴하면 본진 바구니에서 쫀득사탕 10개를 빼냅니다."
		"DOTA_diretide_gameplay_tip_11"				"로샨의 머리 위나 HUD의 상단을 보면 필요한 쫀득사탕이 몇 개인지 확인할 수 있습니다."
		"DOTA_diretide_gameplay_tip_12"				"로샨은 영웅을 처치하면 팀 전체에 저주를 겁니다. 잊지 말고 야수에게 먹이를 주세요!"
		"DOTA_diretide_gameplay_tip_13"				"로샨의 저주는 체력을 강하게 빨아들이지만, 목숨을 빼앗지는 못합니다!"
		"DOTA_diretide_gameplay_tip_14"				"쫀득사탕 수호자는 처치될 수 있으며 라운드 종료 시까지 부활하지 않습니다."
		"DOTA_diretide_gameplay_tip_15"				"감시 와드는 라운드 사이에 재입고됩니다."
		"DOTA_diretide_gameplay_tip_16"				"쫀득사탕 우물 한 곳이 파괴되지 않으면 본진 바구니는 공격받지 않습니다."
		"DOTA_diretide_gameplay_tip_17"				"적의 본진 바구니를 공격하면 그 안에서 쫀득사탕을 빼냅니다."
		"DOTA_diretide_gameplay_tip_18"				"지도상에 상점 3곳이 있습니다. 해당 상점에서 아이템을 구매하고 중립 아이템을 이용할 수 있습니다."
		"DOTA_diretide_gameplay_tip_19"				"로샨은 가는 경로에 있는 유닛 모두를 뒤로 밀치고 피해를 줍니다. 로샨을 적팀으로 이끌어 대혼란을 일으켜 보세요."
		"DOTA_diretide_gameplay_tip_20"				"쫀득사탕 우물과 본진 바구니는 주위 반경에 진실의 시야를 제공합니다."
		"DOTA_diretide_gameplay_tip_21"				"쫀득사탕을 많이 모은 다음 순간이동 주문서를 사용하면 본진 바구니로 돌아갈 수 있습니다."
		"DOTA_diretide_gameplay_tip_22"				"쫀득사탕 수호자는 타격 시 주기적으로 영웅을 공포에 휩싸이게 하고 자신의 우물 근처에서 체력을 회복합니다."
		"DOTA_diretide_gameplay_tip_23"				"영웅 쿨다운은 라운드마다 초기화됩니다."
		"DOTA_diretide_gameplay_tip_24"				"라운드 종료 시 팀이 동점을 이루면, 추가 시간 30초가 더해집니다!"
		"DOTA_diretide_gameplay_tip_25"				"팀은 라운드마다 강화의 문양을 한 번 사용할 수 있습니다. 신중하게 사용하세요!"
		"DOTA_diretide_gameplay_tip_26"				"라운드마다 한 번 골드 부활할 수 있습니다."
		"DOTA_diretide_gameplay_tip_27"				"그리빌 쫀득사탕 주머니는 쫀득사탕 5개에 해당합니다."
		"DOTA_diretide_gameplay_tip_28"				"라운드 수는 라운드 숫자는 허수아비 보관함에서 나타나는 중립 아이템의 급 수와 일치합니다."


		"DOTA_Holdout_Round_Skeletons"				"해-골 때리는 즐거움"
		"DOTA_Holdout_Round_Zombies"				"어기적거리는 좀비"
		"DOTA_Holdout_Round_Hulks"					"심연 괴물"
		"DOTA_Holdout_Round_Ghosts"					"으스스한 유령"
		"DOTA_Holdout_Round_Spiders"				"폭발성 거미"

		"DOTA_Radiant_Wins_Round"					"래디언트 승리"
		"DOTA_Dire_Wins_Round"						"다이어 승리"

		"DOTA_Radiant_Candy_Score"					"{d:radiant_candy}"
		"DOTA_Dire_Candy_Score"						"{d:dire_candy}"
		"DOTA_HUD_VS"								"대"
		"DOTA_Round_Number"							"{d:round_number}라운드"

		"DOTA_HUD_Diretide_CurrentScore"			"현재 점수"
		"DOTA_HUD_Diretide_FinalScore"				"최종 점수"

		"DOTA_HUD_Diretide_RoshanCurse_Radiant"		"로샨이 래디언트에 저주를 걸었습니다"
		"DOTA_HUD_Diretide_RoshanCurse_Dire"		"로샨이 다이어에 저주를 걸었습니다"
		"DOTA_HUD_Diretide_RoshanCurse_You"			"로샨이 아군에<br>저주를 걸었습니다"
		"DOTA_HUD_Diretide_RoshanCurse_Enemy"		"로샨이 적군에<br>저주를 걸었습니다"
		"DOTA_HUD_Diretide_Overtime"				"추가 시간<br><span class=\"BoldMessageSmall\">+{d:extra_time}초 추가</span>"

		"DOTA_HUD_Diretide_TimeLeft1"				"1"
		"DOTA_HUD_Diretide_TimeLeft2"				"2"
		"DOTA_HUD_Diretide_TimeLeft3"				"3"
		"DOTA_HUD_Diretide_TimeLeft10"				"10초 남음"
		"DOTA_HUD_Diretide_TimeLeft20"				"20초 남음"

		"DOTA_HUD_Diretide_RoshanTarget_Radiant"	"로샨이 래디언트를 대상으로 합니다"
