"lang"
{
"Language"	"dutch"
"Tokens"
{
"addon_game_name"	"Diretide"
"[english]addon_game_name"	"Diretide"
"DOTA_GameMode_15"	"Diretide"
"[english]DOTA_GameMode_15"	"Diretide"
"DOTA_GameMode_19"	"Diretide"
"[english]DOTA_GameMode_19"	"Diretide"
"buy_spooky_tp_description"	"Word spookachtig sterk en val de kant van de map van het vijandelijke team binnen!"
"[english]buy_spooky_tp_description"	"Become hauntingly powerful and invade the enemy team's side of the map!"
"spawn_enemy_wave_description"	"Stuur een golf van de huidige monsters op je tegenstanders af!"
"[english]spawn_enemy_wave_description"	"Send a wave of the current monsters at your opponents!"
"DOTA_HUD_RoshanTrickOrTreat_Toast"	"{s:player_name} heeft Roshan op snoepjacht gestuurd!"
"[english]DOTA_HUD_RoshanTrickOrTreat_Toast"	"{s:player_name} sent Roshan trick or treating!"
"DOTA_HUD_RoshanTrickOrTreat_Target_Toast"	"Roshan richt zich nu op {s:player_name}!"
"[english]DOTA_HUD_RoshanTrickOrTreat_Target_Toast"	"Roshan is now targeting {s:player_name}!"
"DOTA_HUD_PlayerInvasion_Toast"	"{s:player_name} is het vijandelijke team binnengevallen!"
"[english]DOTA_HUD_PlayerInvasion_Toast"	"{s:player_name} has invaded the enemy team!"
"DOTA_HUD_RoshanAttackRadiant_Toast"	"De Dire heeft genoeg toffee verzameld! Roshan is ontketend om de Radiant aan te vallen!"
"[english]DOTA_HUD_RoshanAttackRadiant_Toast"	"The Dire collected enough taffy! Roshan has been unleashed to attack The Radiant!"
"DOTA_HUD_RoshanAttackDire_Toast"	"De Radiant heeft genoeg toffee verzameld! Roshan is ontketend om de Dire aan te vallen!"
"[english]DOTA_HUD_RoshanAttackDire_Toast"	"The Radiant collected enough taffy! Roshan has been unleashed to attack The Dire!"
"DOTA_HUD_SpookyTPUsed_Toast"	"{s:player_name} valt het vijandelijke team via een portaal binnen!"
"[english]DOTA_HUD_SpookyTPUsed_Toast"	"{s:player_name} is invading the enemy team through a portal!"
"DOTA_HUD_PortalUnlocked_Toast"	"{s:player_name} heeft een portaal voor het team ontgrendeld!"
"[english]DOTA_HUD_PortalUnlocked_Toast"	"{s:player_name} unlocked a portal for their team!"
"DOTA_HUD_PortalUnlockedGood_Toast"	"De Radiant heeft een portaal ontgrendeld!"
"[english]DOTA_HUD_PortalUnlockedGood_Toast"	"The Radiant unlocked a portal for their team!"
"DOTA_HUD_PortalUnlockedBad_Toast"	"De Dire heeft een portaal ontgrendeld!"
"[english]DOTA_HUD_PortalUnlockedBad_Toast"	"The Dire unlocked a portal for their team!"
"DOTA_HUD_RuneSpawned_Toast"	"{s:player_name} heeft een rune voor diens team laten verschijnen!"
"[english]DOTA_HUD_RuneSpawned_Toast"	"{s:player_name} spawned a rune for their team!"
"DOTA_HUD_CandyBucketVulnerableGood_Toast"	"De thuisemmer van de Radiant is nu kwetsbaar!"
"[english]DOTA_HUD_CandyBucketVulnerableGood_Toast"	"The Radiant's Home Bucket is now vulnerable!"
"DOTA_HUD_CandyBucketVulnerableBad_Toast"	"De thuisemmer van de Dire is nu kwetsbaar!"
"[english]DOTA_HUD_CandyBucketVulnerableBad_Toast"	"The Dire's Home Bucket is now vulnerable!"
"DOTA_HUD_ScarecrowStashRespawn"	"De vogelverschrikkers zijn terug!"
"[english]DOTA_HUD_ScarecrowStashRespawn"	"The Scarecrow Stashes have respawned!"
"DOTA_diretide_gameplay_tips_text"	"{s:tip_text}"
"[english]DOTA_diretide_gameplay_tips_text"	"{s:tip_text}"
"DOTA_diretide_gameplay_tip_00"	"Je kunt je volledige voorraad toffee naar een bondgenoot gooien wanneer je de vaardigheid Taffy Bag op hem gebruikt."
"[english]DOTA_diretide_gameplay_tip_00"	"You can throw your entire stash of Taffy to an ally by targeting them with the Taffy Bucket ability."
"DOTA_diretide_gameplay_tip_01"	"Je maximale gezondheid wordt per toffee die je met je meedraagt met een klein percentage verlaagd."
"[english]DOTA_diretide_gameplay_tip_01"	"Your maximum health is decreased by a small percentage for each taffy that you are carrying."
"DOTA_diretide_gameplay_tip_02"	"Als je een creep met toffee met een laatste treffer doodt, vliegt de toffee jouw kant op!"
"[english]DOTA_diretide_gameplay_tip_02"	"Getting the last hit on a creep that's holding taffy will launch the taffy to you!"
"DOTA_diretide_gameplay_tip_03"	"Elke ronde heeft andere creeps! Leer hun sterke en zwakke punten kennen."
"[english]DOTA_diretide_gameplay_tip_03"	"Each round has different creeps! Get to know their strengths and weaknesses."
"DOTA_diretide_gameplay_tip_04"	"Het hele team verdient goud en XP wanneer creeps worden verslagen."
"[english]DOTA_diretide_gameplay_tip_04"	"Your entire team earns gold and xp as creeps are defeated."
"DOTA_diretide_gameplay_tip_05"	"Vogelverschrikkers bevatten veel toffees en neutrale items."
"[english]DOTA_diretide_gameplay_tip_05"	"Scarecrow Stashes contain lots of taffy and neutral items."
"DOTA_diretide_gameplay_tip_06"	"De vogelverschrikkers verschijnen ten noorden en zuiden op de kaart wanneer elke ronde nog 1, 3 en 5 minuten duurt."
"[english]DOTA_diretide_gameplay_tip_06"	"Two Scarecrow Stashes spawn at minutes 1, 3, and 5 of each round at the north and south locations on the map."
"DOTA_diretide_gameplay_tip_07"	"Roshan wordt na twee minuten in een ronde losgelaten."
"[english]DOTA_diretide_gameplay_tip_07"	"Roshan is released 2 minutes into each round."
"DOTA_diretide_gameplay_tip_08"	"Toffee kun je per stuk met een oproeping in je eigen emmer achterlaten. Dit kan worden onderbroken."
"[english]DOTA_diretide_gameplay_tip_08"	"Taffy must be channeled one at a time into the home bucket and can be interrupted."
"DOTA_diretide_gameplay_tip_09"	"Op de minuten 2, 3, 4 en 5 verschijnen er runes in Roshans kuil."
"[english]DOTA_diretide_gameplay_tip_09"	"Runes spawn in Roshan’s pit at minutes 2, 3, 4, and 5."
"DOTA_diretide_gameplay_tip_10"	"Als je een toffeeput van de vijand vernietigt, haal je tien toffees uit hun emmer."
"[english]DOTA_diretide_gameplay_tip_10"	"Destroying an enemy’s Taffy Well will extract 10 taffy from their home bucket."
"DOTA_diretide_gameplay_tip_11"	"Boven Roshans hoofd of bovenaan de HUD zie je hoeveel toffee hij nodig heeft."
"[english]DOTA_diretide_gameplay_tip_11"	"Look above Roshan’s head or to the top of the HUD to find out how much taffy he needs."
"DOTA_diretide_gameplay_tip_12"	"Roshan vervloekt het gehele team als hij een held doodt. Zorg dat je het beest voedt!"
"[english]DOTA_diretide_gameplay_tip_12"	"Roshan will curse the entire team if he kills a hero. Make sure to feed The Beast!"
"DOTA_diretide_gameplay_tip_13"	"De vloek van Roshan is een enorme aanslag op je gezondheid, maar gelukkig is het niet dodelijk!"
"[english]DOTA_diretide_gameplay_tip_13"	"Roshan’s curse is a powerful drain on your health, but it’s not fatal!"
"DOTA_diretide_gameplay_tip_14"	"Taffy Guardians kunnen worden gedood en verschijnen pas weer aan het eind van de ronde."
"[english]DOTA_diretide_gameplay_tip_14"	"Taffy Guardians can be killed and will not respawn until the end of the round."
"DOTA_diretide_gameplay_tip_15"	"De voorraad Sentry Wards in de winkel wordt tussen rondes weer aangevuld."
"[english]DOTA_diretide_gameplay_tip_15"	"Sentry wards restock in-between rounds."
"DOTA_diretide_gameplay_tip_16"	"Je eigen emmer kan niet worden aangevallen totdat een van je toffeeputten wordt vernietigd."
"[english]DOTA_diretide_gameplay_tip_16"	"Your home bucket cannot be attacked until one of your Taffy Wells is destroyed."
"DOTA_diretide_gameplay_tip_17"	"Als je de emmer van de vijand aanvalt, haal je er toffees uit."
"[english]DOTA_diretide_gameplay_tip_17"	"Attacking the enemy’s home bucket will extract taffy from it."
"DOTA_diretide_gameplay_tip_18"	"Er zijn drie winkels op de kaart. In deze winkels kun je items kopen en heb je toegang tot neutrale items."
"[english]DOTA_diretide_gameplay_tip_18"	"There are 3 shops on the map. You can buy items and access neutral items from these shops."
"DOTA_diretide_gameplay_tip_19"	"Roshan duwt alle eenheden op zijn pad aan de kant en deelt schade aan ze uit. Leid hem naar het vijandelijke team om ultieme chaos te creëren."
"[english]DOTA_diretide_gameplay_tip_19"	"Roshan creates a knock back and damages any unit in his path.  Lead him into the enemy team to cause maximum chaos."
"DOTA_diretide_gameplay_tip_20"	"Toffeeputten en emmers hebben True Sight in een straal om zich heen."
"[english]DOTA_diretide_gameplay_tip_20"	"Taffy Wells and the home buckets have a true sight radius around them."
"DOTA_diretide_gameplay_tip_21"	"Gebruik TP Scrolls om naar je emmer terug te keren nadat je veel toffees hebt verzameld."
"[english]DOTA_diretide_gameplay_tip_21"	"Use TP scrolls to return to your home bucket after collecting a lot of taffy."
