"lang"
{
"Language"	"swedish"
"Tokens"
{
"addon_game_name"	"Last Hit-träning"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"LAST HIT-TRÄNING"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Få poäng genom last hits och nekade creeps"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 poäng per last hit, 50 per nekat creep"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Varje runda är 3 minuter"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Nivåer: <span class=\"TierBronze\">Brons (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Guld (2600)</span>, <span class=\"TierDiamond\">Diamant (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Börja"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Dödade"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Nekade"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Nekat"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Guld"
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"XP"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Ingen"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Brons"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Silver"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Guld"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Diamant"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Spela igen"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Ny hjälte"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Avsluta"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Alternativ"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Starta om runda"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Välj ny hjälte"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Avsluta"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"RUNDA SLUTFÖRD"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Spela igen"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Stäng"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"SLUTPOÄNG:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"LÄNGSTA SERIE:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"NIVÅ UPPNÅDD:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"LAST HITS:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"NUVARANDE SERIE:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"NEKADE:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% DÖDADE ELLER NEKADE:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"POÄNG:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"TID KVAR"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
