"lang"
{
"Language"	"latam"
"Tokens"
{
"addon_game_name"	"Entrenador de últimos golpes"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"ENTRENADOR DE\nÚLTIMOS GOLPES"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Sube puntuación consiguiendo últimos golpes y denegaciones."
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 puntos por cada último golpe y 50 por cada denegación."
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Cada ronda dura 3 minutos."
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Niveles: <span class=\"TierBronze\">Bronce (600)</span>, <span class=\"TierSilver\">Plata (1600)</span>, <span class=\"TierGold\">Oro (2600)</span>, <span class=\"TierDiamond\">Diamante (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Iniciar"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Víctimas"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Denegaciones"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Denegar"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Oro"
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"EXP"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Ninguno"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Bronce"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Plata"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Oro"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Diamante"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Jugar otra vez"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Nuevo héroe"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Salir"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Opciones"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Reiniciar ronda"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Elegir nuevo héroe"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Salir"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"RONDA COMPLETADA"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Jugar otra vez"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Cerrar"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"PUNT. FINAL:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"RACHA MÁS LARGA:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"NIVEL ALCANZADO:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"ÚLTIMOS GOLPES:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"RACHA ACTUAL:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"DENEGACIONES:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% DE Ú.G. O DENEGADOS:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"PUNTUACIÓN:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"TIEMPO RESTANTE"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
