"lang"
{
"Language"	"czech"
"Tokens"
{
"addon_game_name"	"Trénink Last Hitů"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"TRÉNINK LAST HITŮ"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Získávej body za provádění Last Hitů a Denyů"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• Za Last Hit je 100 bodů, za Deny 50"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Každé kolo trvá 3 minuty"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• <span class=\"TierBronze\">Bronzová (600)</span>, <span class=\"TierSilver\">stříbrná (1600)</span>, <span class=\"TierGold\">zlatá (2600)</span> a <span class=\"TierDiamond\">diamantová (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Zahájit"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Zabití"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Denyů"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Deny"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Zlať."
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"XP"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Žádná"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Bronzová"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Stříbrná"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Zlatá"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Diamantová"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Restartovat"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Změnit hrdinu"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Ukončit"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Možnosti"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Restartovat kolo"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Změnit hrdinu"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Exit"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"KONEC KOLA"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Restartovat"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Zavřít"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"SKÓRE:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"NEJDELŠÍ SÉRIE:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"DOSAŽENÁ ÚROVEŇ:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"LAST HITY:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"MOMENTÁLNÍ SÉRIE:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"DENYE:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% LAST HITŮ/DENYŮ:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"SKÓRE:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"ZBÝVAJÍCÍ ČAS"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
