"lang"
{
"Language"	"russian"
"Tokens"
{
"addon_game_name"	"Добивание крипов"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"ДОБИВАНИЕ\nКРИПОВ"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Добивайте крипов, чтобы зарабатывать очки"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 очков за вражеского крипа, 50 — за своего"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Игра длится 3 минуты"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Ранги: <span class=\"TierBronze\">бронза (600)</span>, <span class=\"TierSilver\">серебро (1600)</span>, <span class=\"TierGold\">золото (2600)</span>, <span class=\"TierDiamond\">алмаз (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Начать"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Врага"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Своих"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Своих"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Зол."
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"Опыт"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Нет"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Бронза"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Серебро"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Золото"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Алмаз"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Повторить"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Сменить героя"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Выйти"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Добивание крипов"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Начать сначала"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Сменить героя"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"×"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"ИГРА ОКОНЧЕНА"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Начать сначала"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Закрыть"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"ВАШ СЧЁТ:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"ЛУЧШАЯ СЕРИЯ УБИЙСТВ:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"ВАШ РАНГ:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"ДОБИТО ВРАГОВ:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"ТЕКУЩАЯ СЕРИЯ УБИЙСТВ:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"ДОБИТО СВОИХ:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"ДОЛЯ ОТ ВСЕХ КРИПОВ:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"СЧЁТ:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"ВРЕМЕНИ ОСТАЛОСЬ"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
