"lang"
{
"Language"	"ukrainian"
"Tokens"
{
"addon_game_name"	"Тренер останніх ударів"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"ТРЕНЕР\nОСТАННІХ УДАРІВ"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Робіть останні удари й добивання для ліпшого рахунку"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 очок за останній удар, 50 очок за добивання"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Кожен раунд триває 3 хвилини"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Рівні: <span class=\"TierBronze\">бронза (600)</span>, <span class=\"TierSilver\">срібло (1600)</span>, <span class=\"TierGold\">золото (2600)</span>, <span class=\"TierDiamond\">діамант (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Розпочати"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Убивств"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Добивання"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Добивання"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Золото"
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"ОД"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Немає"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Бронза"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Срібло"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Золото"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Діамант"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Грати знову"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Новий герой"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Вийти"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Параметри"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Перезапустити раунд"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Обрати нового героя"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Вийти"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"РАУНД ЗАВЕРШЕНО"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Грати знову"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Закрити"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"ПІДСУМОК:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"НАЙДОВША СЕРІЯ:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"ЗДОБУТО РІВЕНЬ:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"ОСТАННІХ УДАРІВ:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"ПОТОЧНА СЕРІЯ:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"ДОБИТО:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% ОСТ. УДАРІВ ЧИ ДОБИВАНЬ:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"РАХУНОК:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"ЗАЛИШИЛОСЯ ЧАСУ"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
