"lang"
{
"Language"	"danish"
"Tokens"
{
"addon_game_name"	"Last-Hit-træner"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT-TRÆNER"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Giv dødsstød og nægtelser for at øge din score"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 point per dødsstød, 50 per nægtelse"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Hver runde varer 3 minutter"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Niveauer: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Sølv (1600)</span>, <span class=\"TierGold\">Guld (2600)</span>, <span class=\"TierDiamond\">Diamant (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Start"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Drab"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Denies"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Nægtelser"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Guld"
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"XP"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Ingen"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Bronze"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Sølv"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Guld"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Diamant"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Spil igen"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Ny helt"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Afslut"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Indstillinger"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Genstart runde"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Vælg ny helt"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Afslut"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"RUNDE GENNEMFØRT"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Spil igen"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Luk"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"SLUTSCORE:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"LÆNGSTE RÆKKE:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"NIVEAU OPNÅET:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"DØDSSTØD:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"NUVÆRENDE RÆKKE:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"DENIES:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% DØDSSTØD ELLER NÆGTET:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"SCORE:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"TID TILBAGE"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
