"lang"
{
"Language"	"bulgarian"
"Tokens"
{
"addon_game_name"	"Тренажор за последни удари"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"ТРЕНАЖОР ЗА ПОСЛЕДНИ УДАРИ"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Правете последни удари и откази, за да повишите своя резултат;"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 точки за последен удар, 50 за отказване;"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Всеки рунд трае 3 минути;"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Равнища: <span class=\"TierBronze\">бронзово (600)</span>, <span class=\"TierSilver\">сребърно (1 600)</span>, <span class=\"TierGold\">златно (2 600)</span>, <span class=\"TierDiamond\">диамантено (3 600)</span>."
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Стартиране"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Убийства"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Откази"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Отказване"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Злато"
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"Опит"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Никакво"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Бронзовo"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Сребърнo"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Златно"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Диамантено"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Играйте отново"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Нов герой"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Изход"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Опции"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Рестартиране на рунда"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Избиране на нов герой"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Изход"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"РУНДЪТ ЗАВЪРШИ"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Играйте отново"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Затваряне"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"КРАЕН РЕЗУЛТАТ:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"НАЙ-ДЪЛГА ПОРЕДИЦА:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"ДОСТИГНАТО РАВНИЩЕ:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"ПОСЛЕДНИ УДАРИ:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"ТЕКУЩА ПОРЕДИЦА:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"ОТКАЗИ:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% ПОСЛЕДНИ УДАРИ ИЛИ ОТКАЗИ:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"РЕЗУЛТАТ:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"ОСТАВАЩО ВРЕМЕ"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
