"lang"
{
"Language"	"vietnamese"
"Tokens"
{
"addon_game_name"	"Tập luyện kết liễu"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"TẬP LUYỆN\nKẾT LIỄU"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Thực hiện kết liễu (last hit) và chối bỏ (deny) để tăng điểm của mình"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 điểm mỗi đòn kết liễu, 50 cho mỗi chối bỏ"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Mỗi vòng có 3 phút"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Phân hạng: <span class=\"TierBronze\">Đồng (600)</span>, <span class=\"TierSilver\">Bạc (1600)</span>, <span class=\"TierGold\">Vàng (2600)</span>, <span class=\"TierDiamond\">Kim cương (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Bắt đầu"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Giết"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Chối bỏ"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Chối bỏ"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Vàng"
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"XP"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Không"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Đồng"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Bạc"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Vàng"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Kim cương"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Chơi lại"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Tướng mới"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Thoát"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Tùy chọn"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Chơi lại vòng"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Chọn tướng mới"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Thoát"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"HOÀN THÀNH VÒNG"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Chơi lại"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Đóng"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"TỔNG ĐIỂM:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"CHUỖI CAO NHẤT:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"THỨ HẠNG ĐẠT ĐƯỢC:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"SỐ KẾT LIỄU:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"CHUỖI HIỆN TẠI:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"CHỐI BỎ:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% KẾT LIỄU HAY CHỐI BỎ:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"ĐIỂM:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"THỜI GIAN CÒN LẠI"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
