"lang"
{
"Language"	"greek"
"Tokens"
{
"addon_game_name"	"Προπόνηση"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"ΠΡΟΠΟΝΗΣΗ"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Κατορθώστε τελ. επιθέσεις και αρνήσεις για να αυξήσετε το σκορ σας"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 πόντοι ανά τελ. επίθεση, 50 ανά άρνηση"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Κάθε γύρος διαρκεί 3 λεπτά"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Βαθμίδες: <span class=\"TierBronze\">Χάλκινο (600)</span>, <span class=\"TierSilver\">Ασημένιο (1600)</span>, <span class=\"TierGold\">Χρυσό (2600)</span>, <span class=\"TierDiamond\">Διαμαντένιο (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"ΕΝΑΡΞΗ"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Σκοτωμοί"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"ΑΡΝΗΣΕΙΣ"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"ΑΡΝΗΣΗ"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"ΧΡΥΣΟΣ"
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"ΕΜΠΕΙΡΙΑ"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Κανένα"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Χάλκινο"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Ασημένιο"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Χρυσό"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Διαμαντένιο"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Παίξτε ξανά"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Νέος ήρωας"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Έξοδος"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Επιλογές"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Επανεκκίνηση γύρου"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Επιλογή νέου ήρωα"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Χ"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"ΤΕΛΟΣ ΓΥΡΟΥ"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Παίξτε ξανά"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Κλείσιμο"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"ΤΕΛΙΚΟ ΣΚΟΡ:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"ΜΕΓΑΛΥΤΕΡΟ ΣΕΡΙ:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"ΒΑΘΜΙΔΑ:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"ΤΕΛΙΚΕΣ ΕΠΙΘΕΣΕΙΣ:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"ΤΡΕΧΟΝ ΣΕΡΙ:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"ΑΡΝΗΣΕΙΣ:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% ΤΕΛ. ΕΠΙΘΕΣΕΙΣ Ή ΑΡΝΗΣΕΙΣ:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"ΣΚΟΡ:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"ΥΠΟΛΟΙΠΟΣ ΧΡΟΝΟΣ"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
