"lang"
{
"Language"	"bulgarian"
"Tokens"
{
"DOTA_AttackMove"	"Атакуване / Принудителна атака"
"DOTA_Move"	"Придвижване"
"DOTA_UnitQuery"	"Проверка на обект/единица"
"DOTA_ExecuteAbility0"	"Умение 1"
"DOTA_ExecuteAbility1"	"Умение 2"
"DOTA_ExecuteAbility2"	"Умение 3"
"DOTA_ExecuteAbility3"	"Умение 4"
"DOTA_ExecuteAbility4"	"Умение 5"
"DOTA_ExecuteAbility5"	"Ултимат"
"DOTA_RespawnTime"	"Прераждане след %s1 секунди"
"DOTA_RespawnTimeShort"	"Прераждане след %s1 сек."
"DOTA_UnitLevel"	"%s1 ниво"
"DOTA_StrengthStatus"	"%s1 СИЛА"
"DOTA_STR"	"СИЛА"
"DOTA_AgilityStatus"	"%s1 ЛОВК."
"DOTA_AGI"	"ЛОВК."
"DOTA_IntellectStatus"	"%s1 ИНТ."
"DOTA_INT"	"ИНТ."
"DOTA_DamageStatus"	"%s1 щети"
"DOTA_ArmorStatus"	"%s1 броня"
"DOTA_ARMOR"	"БРОНЯ"
"DOTA_UnitHold"	"Задържане на позицията"
"DOTA_UnitStop"	"Спиране"
"DOTA_LevelUp"	"НИВО"
"DOTA_LevelUp_Req"	"Изисква герой %s1 ниво"
"DOTA_AttributesUp"	"%s1 НИВО"
"DOTA_Abilities"	"УМЕНИЯ"
"DOTA_Items"	"ЕКИПИРАНИ АРТИКУЛИ"
"DOTA_HUDShop"	"МАГАЗИН"
"DOTA_AttribArmor"	"Броня"
"DOTA_AttribDamage"	"Щети"
"DOTA_More"	"ОЩЕ"
"DOTA_Developer"	"Разработчик"
"DOTA_NeedMana"	"%s1 сек."
"DOTA_ManaCost"	"НУЖНА МАНА — %s1"
"DOTA_Basics"	"ОСНОВНИ"
"DOTA_Upgrades"	"ПОДОБРЕНИЯ"
"DOTA_Attributes"	"АТРИБУТИ"
"DOTA_LevelLabel"	"Ниво: %s1"
"DOTA_StackCount"	"Брой: %s1"
"DOTA_Charges"	"Заряди: %s1"
"DOTA_Health"	"ЗДРАВЕ"
"DOTA_Mana"	"МАНА"
"DOTA_Skills"	"УМЕНИЯ"
"DOTA_AttributeFooter"	"ЩЕТИ: %s1 БРОНЯ: %s2"
"DOTA_UnitSelection_Title"	"ИЗБОР НА ЕДИНИЦА"
"DOTA_SelectHeroAndCenter"	"Изберете герой и центрирайте камерата"
"DOTA_TabUnit"	"Преминете през избраните единици"
"DOTA_ControlGroup1"	"Група 1"
"DOTA_ControlGroup2"	"Група 2"
"DOTA_ControlGroup3"	"Група 3"
"DOTA_ControlGroup4"	"Група 4"
"DOTA_ControlGroup5"	"Група 5"
"DOTA_StatTooltip_Header"	"Атрибути на героя:\n\n"
"DOTA_StatTooltip_Strength"	"Сила:"
"DOTA_StatTooltip_Agility"	"Ловкост:"
"DOTA_StatTooltip_Intelligence"	"Интелект:"
"DOTA_StatTooltip_PrimaryAttrib"	"основен атрибут\n"
"DOTA_StatTooltip_StrengthBonus"	"— Всяка точка увеличава здравето с 20\n— Всяка точка добавя 0,03 към реген. на здраве\n"
"DOTA_StatTooltip_AgilityBonus"	"— Всеки 7 точки увеличават бронята с 1\n— Всяка точка увеличава бързината на атака с 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"— Всяка точка увеличава маната с 12\n— Всяка точка увеличава реген. на мана с 0,04\n— Всеки 16 точки увеличават щетите от заклинания с 1%\n"
"DOTA_StatTooltip_PrimaryBonus"	"— Всяка точка увеличава щетите с 1\n"
"DOTA_StatTooltip_Buyback"	"Текуща цена за откупуване: %s1\n"
"DOTA_GoodGuys"	"Radiant"
"DOTA_BadGuys"	"Dire"
"DOTA_Towers"	"Оставащи кули: %s1"
"DOTA_Barracks"	"Бараки: %s1"
"DOTA_NotAvailable"	"Недостъпно"
"DOTA_MoveForward"	"Камера напред"
"DOTA_MoveBack"	"Камера назад"
"DOTA_MoveLeft"	"Камера наляво"
"DOTA_MoveRight"	"Камера надясно"
"DOTA_CameraGrip"	"Контрол над камерата"
"DOTA_HeroSelect"	"Избор на герой"
"DOTA_HeroCenter"	"Центриране на героя"
"DOTA_HeroMoveHome"	"Връщане на героя в базата"
"DOTA_ControlGroupCycle"	"Следваща единица"
"DOTA_ControlGroup6"	"Група 6"
"DOTA_Escape"	"Бягство"
"DOTA_Scoreboard"	"Табло с резултати"
"DOTA_Screenshot"	"Снимка"
"DOTA_Voice"	"Глас"
"DOTA_VoiceLane"	"Поток на гласа"
"DOTA_ChatGlobal"	"Чат с всички"
"DOTA_ChatTeam"	"Чат с отбора"
"DOTA_Learn_Abilities"	"Научаване на умение"
"DOTA_Learn_Stats"	"Подобряване на статистиките"
"DOTA_UseActionItem_Key"	"Артикул с действие"
"DOTA_StatTooltip_TotalAttributesSkilled"	"Ниво на атрибутите: "
"DOTA_DmgArmorTooltip_AttackSpeed"	"Скорост на атака: "
"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"сек. за атака"
"DOTA_DmgArmorTooltip_MoveSpeed"	"Скорост на движение: "
"DOTA_DmgArmorTooltip_AttackDamage"	"Щети от атака: "
"DOTA_DmgArmorTooltip_AttackRange"	"Обсег на атака: "
"DOTA_DmgArmorTooltip_Armor"	"Физическа броня: "
"DOTA_DmgArmorTooltip_DmgResist"	"Устойчивост на физически щети: "
"DOTA_DmgArmorTooltip_MagicArmor"	"Магическа броня: "
"DOTA_DmgArmorTooltip_MagicDmgResist"	"Устойчивост на магически щети: "
"DOTA_HeroTaunt_Key"	"Артикул за присмех"
"DOTAUI_AspectNormal"	"4:3"
"DOTAUI_AspectWide16x9"	"16:9"
"DOTAUI_AspectWide16x10"	"16:10"
"DOTAUI_Fullscreen"	"Цял екран"
"DOTAUI_Window"	"В прозорец"
"DOTAUI_BorderlessWindow"	"Прозорец без рамка"
"DOTA_Welcome"	"Добре дошли в Dota"
"DOTA_Chat_Team"	"[СЪЮЗНИЦИ] %s1: %s2"
"DOTA_Chat_Team_Dead"	"*МЪРТЪВ*[СЪЮЗНИЦИ] %s1: %s2"
"DOTA_Chat_Spec"	"[Наблюдател] %s1: %s2"
"DOTA_Chat_All"	"%s1: %s2"
"DOTA_Chat_PlayerKilled"	"%s1 току-що отнесе главата на %s2 за %s3 злато!"
"DOTA_Chat_PlayerDenied"	"%s1 току-що отхвърли %s2!"
"DOTA_Chat_PlayerDeniedSelf"	"%s1 току-що се самоуби!"
"DOTA_Chat_PlayerKilledGood"	"%s1 току-що беше убит от отбор Dire! %s2 злато се разпределя между всички герои на Dire."
"DOTA_Chat_PlayerKilledBad"	"%s1 току-що беше убит от отбор Radiant! %s2 злато се разпределя между всички герои на Radiant."
"DOTA_Chat_PlayerKilledGeneric"	"%s1 току-що беше убит от неутрален крийп!"
"DOTA_Chat_PlayerKilledAssist"	"%s1 току-що беше убит! %s2 злато е разделено между асистиралите:"
"DOTA_Chat_TowerPlayerKilled"	"%s1 унищожи кула!"
"DOTA_Chat_TowerKilledGood"	"Беше унищожена кула от Dire!"
"DOTA_Chat_TowerKilledBad"	"Беше унищожена кула от Radiant!"
"DOTA_Chat_BarracksKilled"	"%s2 %s3 барака на %s1 беше унищожена!"
"DOTA_Chat_TowerDenied"	"%s1 отхвърли кула!"
"DOTA_Chat_FirstBlood"	"%s1 %s2 проля първа кръв убивайки %s3"
"DOTA_Chat_DoubleKill"	"%s1 %s2 направи двойно убийство!"
"DOTA_Chat_TripleKill"	"%s1 %s2 направи ТРОЙНО убийство!"
"DOTA_Chat_QuadKill"	"%s1 %s2 направи УЛТРА УБИЙСТВО!"
"DOTA_Chat_QuintupleKill"	"%s1 %s2 СЕ РАЗВИЛНЯ!!"
"DOTA_Chat_BuyBack"	"%s1 си откупи завръщане в играта!"
"DOTA_Chat_PickedUpAegis"	"%s1 взе Aegis of the Immortal!"
"DOTA_Chat_KilledRoshanGood"	"Roshan беше убит от Radiant! %s1 злато за всеки герой от Radiant!"
"DOTA_Chat_KilledRoshanBad"	"Roshan беше убит от Dire! %s1 злато за всеки герой от Dire!"
"DOTA_Chat_SuperCreepsGood"	"Всички бараки на Dire паднаха. Сега Radiant имат мега крийпове!"
"DOTA_Chat_SuperCreepsBad"	"Всички бараки на Radiant паднаха. Сега Dire имат мега крийпове!"
"DOTA_Chat_ItemPurchase"	"%s1 закупи %s2!"
"DOTA_Chat_Connect"	"%s1 се присъедини към играта."
"DOTA_Chat_Disconnect"	"%s1 се разкачи от играта."
"DOTA_Chat_DisconnectWaitForReconnect"	"%s1 се разкачи от играта. Моля, изчакайте да се свърже повторно."
