"lang"
{ 
	"Language" "vietnamese" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"ƯU ĐÃI!"
		"DOTA_SalePrice"		"Giá ưu đãi"
		"DOTA_MoreInfo"			"Xem thêm"
		"DOTA_MoreInformation"	"Tìm hiểu thêm"
		
		"DOTA_AttackMove"		"Tấn công / Buộc tấn công"
		"DOTA_Move"			"Di chuyển"
		"DOTA_UnitQuery"		"Chọn một đối tượng/đơn vị"
		"DOTA_ExecuteAbility0"		"Kỹ năng 1"
		"DOTA_ExecuteAbility1"		"Kỹ năng 2"
		"DOTA_ExecuteAbility2"		"Kỹ năng 3"
		"DOTA_ExecuteAbility3"		"Kỹ năng 4"
		"DOTA_ExecuteAbility4"		"Kỹ năng 5"
		"DOTA_ExecuteAbility5"		"Tuyệt kỹ"
		"DOTA_AutocastAbility0"		"Tự động dùng kỹ năng 1"
		"DOTA_AutocastAbility1"		"Tự động dùng kỹ năng 2"
		"DOTA_AutocastAbility2"		"Tự động dùng kỹ năng 3"
		"DOTA_AutocastAbility3"		"Tự động dùng kỹ năng 4"
		"DOTA_AutocastAbility4"		"Tự động dùng kỹ năng 5"
		"DOTA_AutocastAbility5"		"Tự động dùng tuyệt kỹ"
		"DOTA_QuickCastAbility0"	"Sử dụng nhanh kỹ năng 1"
		"DOTA_QuickCastAbility1"	"Sử dụng nhanh kỹ năng 2"
		"DOTA_QuickCastAbility2"	"Sử dụng nhanh kỹ năng 3"
		"DOTA_QuickCastAbility3"	"Sử dụng nhanh kỹ năng 4"
		"DOTA_QuickCastAbility4"	"Sử dụng nhanh kỹ năng 5"
		"DOTA_QuickCastAbility5"	"Dùng nhanh tuyệt kỹ"
		"DOTA_CourierAbility1"		"Trở về căn cứ"
		"DOTA_CourierAbility2"		"Đến cửa hàng ẩn"
		"DOTA_CourierAbility3"		"Cất đồ vào kho"
		"DOTA_CourierAbility4"		"Nhận trang bị"
		"DOTA_CourierAbility5"		"Chuyển vật phẩm"
		"DOTA_CourierAbility6"		"Bứt tốc"
		"DOTA_NeutralAbility1"		"Kỹ năng đệ 1"
		"DOTA_NeutralAbility2"		"Kỹ năng đệ 2"
		"DOTA_NeutralAbility3"		"Kỹ năng đệ 3"
		"DOTA_NeutralAbility4"		"Kỹ năng đệ 4"
		"DOTA_NeutralAbility5"		"Kỹ năng đệ 5"
		"DOTA_NeutralAbility6"		"Tuyệt kỹ quái đệ"
		"DOTA_RespawnTime"			"Hồi sinh sau %s1 giây"
		"DOTA_RespawnOutOfLives"	"Không thể hồi sinh, đội đã hết số mạng"
		"DOTA_RespawnTimeShort"		"Hồi sinh sau %s1 giây"
		"DOTA_UnitLevel"		"Cấp độ %s1"
		"DOTA_StrengthStatus"		"%s1 SM"
		"DOTA_STR"			"SM"
		"DOTA_AgilityStatus"		"%s1 NN"
		"DOTA_AGI"			"NN"
		"DOTA_IntellectStatus"		"%s1 TT"
		"DOTA_INT"			"TT"
		"DOTA_DamageStatus"		"%s1 sát thương"
		"DOTA_ArmorStatus"		"%s1 giáp"
		"DOTA_ARMOR"			"GIÁP"
		"DOTA_UnitHold"			"Giữ vị trí"
		"DOTA_UnitStop"			"Dừng"
		"DOTA_LevelUp_Req"		"Yêu cầu tướng cấp %s1"
		"DOTA_AttributesUp"		"CẤP ĐỘ %s1"
		"DOTA_Abilities"		"KỸ NĂNG"
		"DOTA_Items"			"VẬT PHẨM ĐÃ TRANG BỊ"
		"DOTA_Shop"			"Mở cửa hàng"
		"DOTA_HUDShop"	"CỬA HÀNG"
		"DOTA_AttribArmor"		"Giáp"
		"DOTA_AttribDamage"		"Sát thương"
		"DOTA_More"			"XEM THÊM"
		"DOTA_More_ellipses"			"xem thêm..."
		"DOTA_Developer"		"Nhà phát triển"
		"DOTA_NeedMana"			"%s1 giây"
		"DOTA_ManaCost"			"MANA TỐN %s1"
		"DOTA_Basics"			"CƠ BẢN"
		"DOTA_Upgrades"			"NÂNG CẤP"
		"DOTA_Attributes"		"THUỘC TÍNH"
