"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"AKCIÓ!"
		"DOTA_SalePrice"		"Az ára"
		"DOTA_MoreInfo"			"Több infó"
		"DOTA_MoreInformation"	"További információ"
		
		"DOTA_AttackMove"		"Támadás / Kényszerített támadás"
		"DOTA_Move"			"Mozgás"
		"DOTA_UnitQuery"		"Egység/tárgy információ"
		"DOTA_ExecuteAbility0"		"1. képesség"
		"DOTA_ExecuteAbility1"		"2. képesség"
		"DOTA_ExecuteAbility2"		"3. képesség"
		"DOTA_ExecuteAbility3"		"4. képesség"
		"DOTA_ExecuteAbility4"		"5. képesség"
		"DOTA_ExecuteAbility5"		"Ultimate képesség"
		"DOTA_AutocastAbility0"		"1. képesség auto-varázslása"
		"DOTA_AutocastAbility1"		"2. képesség auto-varázslása"
		"DOTA_AutocastAbility2"		"3. képesség auto-varázslása"
		"DOTA_AutocastAbility3"		"4. képesség auto-varázslása"
		"DOTA_AutocastAbility4"		"5. képesség auto-varázslása"
		"DOTA_AutocastAbility5"		"Ultimate képesség auto-varázslása"
		"DOTA_QuickCastAbility0"	"1. képesség gyors-varázslása"
		"DOTA_QuickCastAbility1"	"2. képesség gyors-varázslása"
		"DOTA_QuickCastAbility2"	"3. képesség gyors-varázslása"
		"DOTA_QuickCastAbility3"	"4. képesség gyors-varázslása"
		"DOTA_QuickCastAbility4"	"5. képesség gyors-varázslása"
		"DOTA_QuickCastAbility5"	"Ultimate képesség gyors-varázslása"
		"DOTA_CourierAbility1"		"Vissza a bázisra"
		"DOTA_CourierAbility2"		"Menj a titkos bolthoz"
		"DOTA_CourierAbility3"		"Tárgyak talonba helyezése"
		"DOTA_CourierAbility4"		"Tárgyak kivétele a talonból"
		"DOTA_CourierAbility5"		"Tárgyak kiszállítása"
		"DOTA_CourierAbility6"		"Sebességlöket"
		"DOTA_NeutralAbility1"		"Semleges 1. képessége"
		"DOTA_NeutralAbility2"		"Semleges 2. képessége"
		"DOTA_NeutralAbility3"		"Semleges 3. képessége"
		"DOTA_NeutralAbility4"		"Semleges 4. képessége"
		"DOTA_NeutralAbility5"		"Semleges 5. képessége"
		"DOTA_NeutralAbility6"		"Semleges Ultimate képessége"
		"DOTA_RespawnTime"			"Újraéledés %s1 másodperc múlva"
		"DOTA_RespawnOutOfLives"	"Nem lehet újraéledni, a csapat kifogyott az életekből"
		"DOTA_RespawnTimeShort"		"Újraéledés %s1 mp múlva"
		"DOTA_UnitLevel"		"%s1. szint"
		"DOTA_StrengthStatus"		"%s1 ERŐ"
		"DOTA_STR"			"ERŐ"
		"DOTA_AgilityStatus"		"%s1 ÜGY"
		"DOTA_AGI"			"ÜGY"
		"DOTA_IntellectStatus"		"%s1 INT"
		"DOTA_INT"			"INT"
		"DOTA_DamageStatus"		"%s1 sebzés"
		"DOTA_ArmorStatus"		"%s1 páncél"
		"DOTA_ARMOR"			"PÁNCÉL"
		"DOTA_UnitHold"			"Pozíció tartása"
		"DOTA_UnitStop"			"Megállás"
		"DOTA_LevelUp_Req"		"%s1. szintű hős szükséges"
		"DOTA_AttributesUp"		"%s1. SZINT"
		"DOTA_Abilities"		"KÉPESSÉGEK"
		"DOTA_Items"			"TÁRGYAK NÁLAD"
		"DOTA_Shop"			"Bolt megnyitása"
		"DOTA_HUDShop"	"BOLT"
		"DOTA_AttribArmor"		"Páncél"
		"DOTA_AttribDamage"		"Sebzés"
		"DOTA_More"			"TOVÁBB"
		"DOTA_More_ellipses"			"tovább..."
		"DOTA_Developer"		"Fejlesztő"
		"DOTA_NeedMana"			"%s1 mp"
		"DOTA_ManaCost"			"MANAKÖLTSÉG: %s1"
		"DOTA_Basics"			"ALAPOK"
		"DOTA_Upgrades"			"ÖSSZETETTEK"
		"DOTA_Attributes"		"TULAJDONSÁGOK"
		"DOTA_LevelLabel"		"Szint: %s1"
		"DOTA_StackCount"		"Darab: %s1"
		"DOTA_Charges"			"Töltetek: %s1"
		"DOTA_Aura_Active"		"Aura: aktív"
		"DOTA_Aura_Inactive"	"Aura: inaktív"
		"DOTA_Aura_Allied"		"Aura: Szövetségesek"
		"DOTA_Aura_Enemy"	"Aura: Ellenség"
		"DOTA_Health"			"ÉLETERŐ"
		"DOTA_Mana"			"MANA"
		"DOTA_Skills"			"KÉPESSÉGEK"
		"DOTA_AttributeFooter"		"SEBZÉS: %s1 PÁNCÉL: %s2"
		"DOTA_UnitSelection_Title"	"EGYSÉGVÁLASZTÁS"
		"DOTA_SelectHeroAndCenter"		"Hős kiválasztása és kamera ráállítása"
		"DOTA_TabUnit"			"Lépkedés a kiválasztott egységek között"
		"DOTA_ActivateGlyph"	"Glyph aktiválása"	
		"DOTA_ActivateRadar"	"Felderítés"
		"DOTA_RecentEvent"		"Közelmúltbeli események mutatása"
		"DOTA_SelectAllOthers"	"Összes többi egység kiválasztása"
		"DOTA_SelectAll"	"Összes egység kiválasztása"
		"DOTA_PurchaseQuickbuy"	"Gyorsvétel végrehajtása"
		"DOTA_PurchaseSticky"	"Kiemelt megvásárlása"
		"DOTA_GrabStashItems"	"Tárgyak felvétele talonból"
		"DOTA_Pause"			"Szünet"
		"DOTA_Summary"			"Összegzés"
