"lang"
{ 
	"Language" "ukrainian" 
	"Tokens" 
	{

				"npc_dota_hero_antimage_bio"													"Монахи турстаркурі спостерігали за нерівними долинами біля підніжжя їхнього гірського монастиря, а разом з тим загарбники, хвиля за хвилею, проривалися через нижні королівства. Відлюдні та прагматичні, у віддаленому монастирі вони стояли осторонь від світської ворожнечі, поринувши у медитацію, яка не знала ні богів, ні магії. Потім прийшов Легіон Мертвого бога, хрестоносці зі зловісною метою — замінити всі місцеві культи отруйною вірою в неживого бога. Із земель, які тисячоліттями не знали нічого, окрім крові та війни, вони направили легіони полеглих мерців проти турстаркурі. Протягом двох тижнів монастир стримував натиск загарбників, а ті монахи, які прокинулися від задумливого сну, сприйняли напад як спробу відволікти їх від медитації за допомогою демонських ілюзій. Вони померли, сидячи на своїх шовкових подушках. Уцілів лише один парубок — паломник, який приїхав у пошуках мудрості, але ще не прийнятий до монастиря. Із жахом він спостерігав, як монахи, яким він служив та подавав чай, гинули на своїх місцях, а потім воскресали для служіння Мертвому богу. Не маючи нічого, окрім декількох сувоїв турстаркурі, він втік до безпечнішого місця, давши клятву знищити не тільки магів Мертвого бога, але й усі чари світу."

				"npc_dota_hero_queenofpain_bio"													"Король-проповідник краю Ельзе жадав болю, забороненого болю. Був би це хтось не такий впливовий, цю пристрасть уважали б сороміцькою. Але вся велич Божественного Трону марніла, коли згубному бажанню піддався його владика. Тож король звернувся до чорнокнижників, замкнених у підземеллях, пообіцявши волю тому з них, хто подарує монархові покірного суккуба-мучителя. Прикликана істота на ймення Акаша тішила короля вишуканими катуваннями, за що він звав її Таємною Королевою. Кожнісіньку вільну хвилину владика віддавався її вигадливим тортурам, аж поки не занедбав своїх обов’язків, поринаючи в тенета болісних утіх. Королева Болю могла підвести його до межі смерті, однак руни присяги змушували її зберігати монарху життя. Безвідповідальність короля зрештою призвела до повстання в країні. Владику винесли з його покоїв та скинули з Вежі Заклиначів. У мить його смерті Королева Болю здобула жадану свободу. Вільна від служіння, вона пішла світом, аби нести страждання всякому, хто припаде їй до душі."

				"npc_dota_hero_lina_bio"														"Сестринське суперництво Ліни-спустошувачки та Рилеї, Кришталевої Діви породило багато переказів у тім спокійному краї, де вони прожили своє бурхливе дитинство. Перевагу завжди здобувала Ліна — Рилея була наївним дівчам, тоді як розум та хитрість Ліни не поступалися її запальному норову. А бідолашні батьки оцих сварливих дівчат лишень міняли будинки, бо ж то хата у вогні згорить, то зледеніє. Так і вирішили вони розлучити дітей, бо інакше не бачити їм було спокійного життя. Ліну, як старшу, відправили до терплячої тітки в пустелю Мізрул. Тутешній клімат чудово пасував палкій войовниці. Власне, її прибуття розворушило зануджених тубільців: чимало залицяльників разом із відмовою Ліни отримували попечені пальці та обсмалені брови. Ліна — гордовита й рішуча, і ніщо не притлумить її полум’я."

				"npc_dota_hero_mirana_bio"														"Принцеса Мірана — спадкоємиця королівської династії та наступна в черзі на Сонячний Трон, добровільно відмовилася від претензій на мирську землю та титули задля служіння протягом усього свого життя Селемене, богині Місяця. З того часу, відома як Принцеса Місяця, Мірана охороняє священне Сріблолісся від тих, хто наважиться зірвати священний сяйнистий лотос зі сріблястих озер у заказниках Богині. Верхи на своєму могутньому та вірному звірові, вона холоднокровно, благородно та безстрашно служить у злагоді з фазами місяця та рухом великих сузір’їв. Її стріли з гострими наконечниками із місячної руди наділені божественною силою та пронизують ворогів Мірани місячним сяйвом."

				"npc_dota_hero_life_stealer_bio"												"У підземеллях Деварка мстивий чаклун сидів у кайданах і замислював утечу. В’язницю свою він ділив з белькотливим створінням на ймення Найкс — злодієм, що його Мерзотна рада зробила невмирущим, аби довічне ув’язнення за крадіжки й ошуканство було якнайсуворішою карою. За довгі роки зіржавіли ланцюги бранця і глузд його прогнив; Найкс геть забув своє колишнє життя і навіть не мріяв про втечу.
<br><br>Чаклун побачив у ньому ідеальне знаряддя для свого задуму, наклав чари Паразитування і вселився у тіло Найкса з метою розбурхати його лють; а поки почвара шаленіла би, чаклун сподівався повернутися до свого тіла та втекти непоміченим. Натомість чаклун опинився у лабетах чужого божевілля, настільки сильного, що сам був змушений йому скоритися. Пробуджений раптовим ковтком свіжого життя, Найкс прокинувся з кошмару безумства і скорився безтілесному голосу в своїй голові, який бажав лише одного — втекти.
<br><br>У ту мить народився Життєкрад. Істота проникла у помисли вартових і солдат, змусивши їх відчинити в’язницю та повбивати одне одного. І перед бранцем лежав шлях на волю, устелений тілами для бенкетування. Життєкрад досі носить розірвані кайдани, як знак того, що ніхто не зможе його поневолити, але і сам він усередині залишається бранцем. Бо ж у єдиному тілі мешкає дві душі — безіменна лиховісна почвара та пан, чиєму голосу він нібито кориться."

				"npc_dota_hero_furion_bio"														"Коли богиня лісів Веродиція закінчила заповнювати світ зеленню, посадивши наповнені духом насіння, піднявши води зі скелястих надр і взявши зі сонця обітницю зберігати все зростаюче, вона зрозуміла, що її час добіг кінця і, як падає додолу пожовкле листя, вона повинна впасти на землю, так і не побачивши плодів своєї праці. Їй було боляче покидати світ, адже паростки ще не пробилися крізь землю і все ще були ніжні та вразливі до всякої шкоди. У мішечку, де вона тримала насіння, богиня знайшла останнє зерня, забуте нею раніше. Прошепотівши в нього єдине слово, вона проковтнула зерня і впала на землю. За зиму її неосяжне тіло розклалося й присмачило землю. І в ранок весняного рівнодення, коли весь ліс ще навіть не почав прокидатися, те саме призабуте насіння зійшло,породивши Провісника Природи, уквітчаного, могутнього та мудрого. І мав провісник силу Веродиції передбачати, де він потрібен найбільше — захищати зелені нетрі або ж тих, хто називає його союзником."	

				"npc_dota_hero_windrunner_bio"													"Західні ліси гарно охороняють свої секрети. Один з них — Ліралей, майстриня стрільби з лука та улюблена хрещениця вітру, відома зараз під ім’ям Вітрогонки. Сім’я Ліралей загинула в ніч її народження, під час грози. Їхній будинок змела буря, а залишки відійшли на поталу вітрам. Лише новонароджене дитя вижило посеред купи уламків, що нагадували лише про смерть і руйнування. Трохи згодом, після бурі, сам вітер звернув увагу на немовля-щасливця, що плакало у траві. Йому стало шкода дитину, і тому він підніс її в повітря та вклав на поріг будинку в сусідньому селі. У наступні роки вітер час від часу повертався до життя цієї дитини, спостерігаючи за нею звіддаля, а вона вдосконалювала свої навички. Зараз, після багатьох років тренувань, Вітрогонка стріляє точнісінько в ціль. Вона рухається з такою приголомшливою швидкістю, неначе вітер підганяє її в спину. Шквалом стріл вона розбиває своїх ворогів ущент, стаючи майже самою силою природи."

				"npc_dota_hero_lion_bio"														"Колись Великий магістр демонології, Лайон зажив небувалої слави серед побратимів — борців на боці світла й праведності. Але безперервні лестощі розбестили його. Коли на втілення амбіцій забракло власних сил, засліплений спокусою чаклун продав свою душу демону і став на бік зла. Після низки нелюдських злочинів його душа вкрай зіпсувалась. Тоді демон зрадив мага і приєднався до ворогів. Лють демонолога не мала меж. Він вирушив у саме пекло, де розірвав зрадника на шматки та привласнив його демонічну руку. Однак така «хірургія» далася взнаки: сам чаклун змінився, його тіло стало чимось невпізнаваним. Він піднявся з пекла втіленням люті, вбивав навіть тих, хто колись називав його учителем, спустошував землі, де був раніше шанованим. Лайон, останній демонолог, досі ходить по світу, а як знайде когось, ласого до його науки, із того він вичавить усю магічну силу й розвіє за легким вітерцем."

				"npc_dota_hero_vengefulspirit_bio"												"Чого від скайреса в житті не дочекатися — то це прихильності. Це раса злопам’ятних істот, які не вибачають жодної образи й мстяться за найменшу кривду. Одначе жоден із них не зрівняється за силою ненависті з тією, котру прозвали Мстивою Душею. Колись Шендельзара була скайреською кронпринцесою в домі Похмурої Зграї, і за правом народження мала успадкувати монарше гніздо. Та не так сталося, як гадалося — її зрадила власна сестра, котра найняла вбивць, щоби позбутися єдиної перешкоди перед короною. Потрапивши в тенета, Шендельзарі довелося пожертвувати крилами, аби вирватися на волю. Понівечена і без крил, вона знала, що таку правительку скайреси ніколи не приймуть, а до монаршого Тернового Гнізда, де тепер сиділа недоторканна сестра, можна дістатися лише повітрям. Не бажаючи доживати віку прикутою до землі калікою та понад усе жадаючи помсти, занепала принцеса уклала угоду з богинею Скріок — зреклася понівеченого тіла й перетворилася на нетлінного духа, який шукає помсти й може завдавати величезної шкоди в матеріальному світі. Вона готова провести вічність без крил, але будь-якою ціною звершить свою відплату."

