"lang"
{ 
	"Language" "spanish" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"¡OFERTA!"
		"DOTA_SalePrice"		"Precio"
		"DOTA_MoreInfo"			"Más información"
		"DOTA_MoreInformation"	"Más información"
		
		"DOTA_AttackMove"		"Ataque / Forzar ataque"
		"DOTA_Move"			"Desplazarse"
		"DOTA_UnitQuery"		"Colocar objeto/unidad en cola"
		"DOTA_ExecuteAbility0"		"Habilidad 1"
		"DOTA_ExecuteAbility1"		"Habilidad 2"
		"DOTA_ExecuteAbility2"		"Habilidad 3"
		"DOTA_ExecuteAbility3"		"Habilidad 4"
		"DOTA_ExecuteAbility4"		"Habilidad 5"
		"DOTA_ExecuteAbility5"		"Habilidad definitiva"
		"DOTA_AutocastAbility0"		"Lanzar automáticamente habilidad 1"
		"DOTA_AutocastAbility1"		"Lanzar automáticamente habilidad 2"
		"DOTA_AutocastAbility2"		"Lanzar automáticamente habilidad 3"
		"DOTA_AutocastAbility3"		"Lanzar automáticamente habilidad 4"
		"DOTA_AutocastAbility4"		"Lanzar automáticamente habilidad 5"
		"DOTA_AutocastAbility5"		"Lanzar automáticamente habilidad definitiva"
		"DOTA_QuickCastAbility0"	"Lanzamiento Rápido de Habilidad 1"
		"DOTA_QuickCastAbility1"	"Lanzamiento Rápido de Habilidad 2"
		"DOTA_QuickCastAbility2"	"Lanzamiento Rápido de Habilidad 3"
		"DOTA_QuickCastAbility3"	"Lanzamiento Rápido de Habilidad 4"
		"DOTA_QuickCastAbility4"	"Lanzamiento Rápido de Habilidad  5"
		"DOTA_QuickCastAbility5"	"Lanzamiento Rápido de Habilidad Definitiva"
		"DOTA_CourierAbility1"		"Regresar a la base"
		"DOTA_CourierAbility2"		"Ir a la Tienda Secreta"
		"DOTA_CourierAbility3"		"Poner objetos en la reserva"
		"DOTA_CourierAbility4"		"Recupera objetos de la reserva"
		"DOTA_CourierAbility5"		"Entregar objetos"
		"DOTA_CourierAbility6"		"Subidón de Velocidad"
		"DOTA_NeutralAbility1"		"Habilidad de neutral 1"
		"DOTA_NeutralAbility2"		"Habilidad de neutral 2"
		"DOTA_NeutralAbility3"		"Habilidad de neutral 3"
		"DOTA_NeutralAbility4"		"Habilidad de neutral 4"
		"DOTA_NeutralAbility5"		"Habilidad de neutral 5"
		"DOTA_NeutralAbility6"		"Habilidad definitiva de neutral"
		"DOTA_RespawnTime"			"Reapareciendo en %s1 s"
		"DOTA_RespawnOutOfLives"	"No puedes reaparecer, el equipo no tiene vidas"
		"DOTA_RespawnTimeShort"		"Reaparición en %s1 s"
		"DOTA_UnitLevel"		"Nivel %s1"
		"DOTA_StrengthStatus"		"%s1 FRZ"
		"DOTA_STR"			"FRZ"
		"DOTA_AgilityStatus"		"%s1 AGI"
		"DOTA_AGI"			"AGI"
		"DOTA_IntellectStatus"		"%s1 INT"
		"DOTA_INT"			"INT"
		"DOTA_DamageStatus"		"%s1 de daño"
		"DOTA_ArmorStatus"		"%s1 de armadura"
		"DOTA_ARMOR"			"ARMADURA"
		"DOTA_UnitHold"			"Mantener la posición"
		"DOTA_UnitStop"			"Detenerse"
		"DOTA_LevelUp_Req"		"Requiere héroe de nivel %s1"
		"DOTA_AttributesUp"		"NIVEL %s1"
		"DOTA_Abilities"		"HABILIDADES"
		"DOTA_Items"			"OBJETOS EQUIPADOS"
		"DOTA_Shop"			"Abrir tienda"
		"DOTA_HUDShop"	"TIENDA"
		"DOTA_AttribArmor"		"Armadura"
		"DOTA_AttribDamage"		"Daño"
		"DOTA_More"			"MÁS"
		"DOTA_More_ellipses"			"más..."
		"DOTA_Developer"		"Desarrollador"
		"DOTA_NeedMana"			"%s1 seg"
		"DOTA_ManaCost"			"COSTE DE MANÁ %s1"
		"DOTA_Basics"			"BÁSICOS"
		"DOTA_Upgrades"			"MEJORAS"
		"DOTA_Attributes"		"ATRIBUTOS"
		"DOTA_LevelLabel"		"Nivel: %s1"
		"DOTA_StackCount"		"Acumulaciones: %s1"
		"DOTA_Charges"			"Cargas: %s1"
		"DOTA_Aura_Active"		"Aura: Activa"
		"DOTA_Aura_Inactive"	"Aura: Inactiva"
		"DOTA_Aura_Allied"		"Aura: Aliado"
		"DOTA_Aura_Enemy"	"Aura: Enemigo"
		"DOTA_Health"			"VIDA"
		"DOTA_Mana"			"MANÁ"
		"DOTA_Skills"			"HABILIDADES"
		"DOTA_AttributeFooter"		"DAÑO: %s1 ARMADURA: %s2"
		"DOTA_UnitSelection_Title"	"SELECCIÓN DE UNIDADES"
		"DOTA_SelectHeroAndCenter"		"Seleccionar héroe y centrar cámara"
		"DOTA_TabUnit"			"Rotar entre las unidades seleccionadas"
		"DOTA_ActivateGlyph"	"Activar Glifo"	
		"DOTA_ActivateRadar"	"Usar radar"
		"DOTA_RecentEvent"		"Mostrar evento reciente"
		"DOTA_SelectAllOthers"	"Seleccionar el resto de unidades"
		"DOTA_SelectAll"	"Seleccionar todas las unidades"
		"DOTA_PurchaseQuickbuy"	"Adquirir compra rápida"
		"DOTA_PurchaseSticky"	"Adquirir marcado"
		"DOTA_GrabStashItems"	"Coger objetos de la reserva"
		"DOTA_Pause"			"Pausa"
		"DOTA_Summary"			"Resumen"
		"DOTA_Lore"				"Historia"
		"DOTA_View_Lore"		"Ver historia del héroe"
		"DOTA_SkillsLabel"		"Habilidades:"
		"DOTA_RoleLabel"		"Rol:"
		"DOTA_Legacy"			"Usar teclas clásicas"
