"lang"
{ 
	"Language" "danish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"helbred"					// $health
		"dota_ability_variable_mana"				"mana"						// $mana
		"dota_ability_variable_armor"				"rustning"						// $armor
		"dota_ability_variable_damage"				"skade"					// $damage
		"dota_ability_variable_str"					"styrke"					// $str
		"dota_ability_variable_int"					"intelligens"				// $int
		"dota_ability_variable_agi"					"agilitet"					// $agi
		"dota_ability_variable_all"					"alle attributter"			// $all
		"dota_ability_variable_primary_attribute"	"primær attribut"			// $primary_attribute
		"dota_ability_variable_attack"				"angrebshastighed"				// $attack
		"dota_ability_variable_hp_regen"			"HP-regenerering"		// $hp_regen
		"dota_ability_variable_lifesteal"			"livsstjæl"					// $lifesteal
		"dota_ability_variable_mana_regen"			"mana-regenerering"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"mana-regenerering som aura"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"evneskade"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"debuff-varighed"			// $debuff_amp
		"dota_ability_variable_move_speed"			"bevægelseshastighed"			// $move_speed
		"dota_ability_variable_evasion"				"undvigelse"					// $evasion
		"dota_ability_variable_spell_resist"		"magisk resistens"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"evnelivsstjæl"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"evnelivsstjæl (kryb)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"evnelivsstjæl (helte)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"valgt attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"angrebsrækkevidde <font color='#7d7d7d'>(kun afstandshelte)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"angrebsrækkevidde <font color='#7d7d7d'>(kun nærkamp)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"kasterækkevidde"				// $cast_range
		"dota_ability_variable_status_resist"		"statusresistens"			// $status_resist
		"dota_ability_variable_projectile_speed"	"projektilhastighed"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"reduceret mana-omkostning"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"nedkølingsreduktion"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"ekstra maks. mana"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"skade (intelligenshelte)"
		"dota_ability_variable_damage_agi_hero"	"skade (agilitetshelte)"
		"dota_ability_variable_damage_str_hero"	"skade (styrkehelte)"

		//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"Attribut-bonus"
		"DOTA_Tooltip_ability_attribute_bonus_Description"								"Forbedrer alle attributter per point brugt"
		"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"				"BONUS:"

		"DOTA_Tooltip_Ability_invoker_attribute_bonus"									"Attribut-bonus"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_Description"						"Forbedrer alle attributter per point brugt"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_attribute_bonus_per_level"		"BONUS:"

		//ATTACK
		"DOTA_Tooltip_ability_default_attack"											"Angreb"
		"DOTA_Tooltip_ability_default_attack_Description"								"Skade gjort ved direkte angreb."
		
		//FOUNTAIN
		"DOTA_Tooltip_ability_fountain_glyph"											"Glyph of Fortification {s:glyph_hotkey}"
		"DOTA_Tooltip_ability_fountain_glyph_Description"								"Gør jeres bygninger og kryb udødelige i 6 sekunder. Opdateres, når det første tårn på hvert niveau falder."
		"DOTA_Tooltip_ability_fountain_glyph_duration"									"VARIGHED:"
		"DOTA_Tooltip_glyph_cooldown_ready"												"Klar"
		"DOTA_Tooltip_glyph_cooldown"													"Nedkøling: %s1"
		"DOTA_Tooltip_ability_fountain_buyback"											"Køb tilbage"
		"DOTA_Tooltip_ability_fountain_buyback_Description"								"Lader din helt vende tilbage med det samme imod betaling."
		"DOTA_Tooltip_ability_fountain_buyback_cost"									"OMKOSTNING:"

		// Radar
		"DOTA_Tooltip_ability_radar"													"Scan {s:scan_hotkey}"
		"DOTA_Tooltip_ability_radar_Description"										"Scanner det valgte område på 900 enheder i 8 sekunder. Angiver om der er fjendtlige helte i det område i løbet af de 8 sekunder."
		"DOTA_Tooltip_radar_cooldown_ready"												"Klar"
		"DOTA_Tooltip_radar_cooldown"													"Nedkøling: %s1"

		// Courier Tooltip		
		"DOTA_Tooltip_courier_status"													"Kurér-status"
		"DOTA_Tooltip_courier_no_couriers"												"Ingen kurérer fundet"
		"DOTA_Tooltip_courier_status_at_base"											"Ved base"					// idle at the fountain, or working with the stash
		"DOTA_Tooltip_courier_status_idle_in_world"										"Står stille uden for basen"			// idle somewhere out in the world
		"DOTA_Tooltip_courier_status_moving"											"På vej"				// moving somewhere
		"DOTA_Tooltip_courier_status_returning"											"Vender tilbage til base"			// move dest is the fountain
		"DOTA_Tooltip_courier_status_delivering"										"Leverer genstande til %s1"	// moving to a hero

		"DOTA_Tooltip_courier_respawn"													"Død\nVender tilbage om %s1"
		
        // Game mode modifiers
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable"								"Usårlig"
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable_Description"					"Kuréren frygter ikke dine besværgelser."
		"DOTA_Tooltip_modifier_turbo_courier_haste"										"Speedy Flyer"
		"DOTA_Tooltip_modifier_turbo_courier_haste_Description"							"Bevægelseshastighed øget."

		"DOTA_Tooltip_ability_ad_scepter_grant"											"Scepter tildeler en ny evne: <font color=\"#ffffff\"><b>%s1</b></font>"
		"DOTA_Tooltip_ability_ad_shard_grant"											"Shard tildeler en ny evne: <font color=\"#ffffff\"><b>%s1</b></font>"

		// BUILDING
		"DOTA_Tooltip_ability_backdoor_protection"										"Backdoor Protection"
		"DOTA_Tooltip_ability_backdoor_protection_Description"										"Bygningen tager reduceret skade og regenererer hurtigt al skade taget, så længe der ikke er fjendtlige kryb i nærheden."
		"DOTA_Tooltip_ability_backdoor_protection_in_base"								"Backdoor Protection"
		"DOTA_Tooltip_ability_backdoor_protection_in_base_Description"			"Bygningen tager reduceret skade og regenererer hurtigt al skade taget, så længe der ikke er fjendtlige kryb i nærheden."
		"DOTA_Tooltip_ability_filler_ability"										"Sanctuary"
		"DOTA_Tooltip_ability_filler_ability_Description"						"Skaber en aura som giver øget HP- og mana-regenerering til allierede i nærheden, når den aktiveres."
		"DOTA_Tooltip_ability_filler_ability_Note0"								"Højreklik på Shrinen for at aktivere."
		"DOTA_Tooltip_ability_filler_ability_Note1"								"De regenererende værdier øges med +2/1 helbred/mana per minut."
		"DOTA_Tooltip_ability_filler_ability_Note2"								"Gendanner desuden 2% af din HP/mana per sekund."
		"DOTA_Tooltip_ability_filler_ability_hp_heal"							"HP-REGENERERING:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal"							"MANA-REGENERERING:"
		"DOTA_Tooltip_ability_filler_ability_duration"							"VARIGHED:"
		"DOTA_Tooltip_ability_filler_ability_radius"							"RADIUS:"

		//COURIER
		"DOTA_Tooltip_ability_courier_return_to_base"									"Vend tilbage til basen"
		"DOTA_Tooltip_ability_courier_return_to_base_Description"						"Kurerén vender tilbage til basen"
		"DOTA_Tooltip_ability_courier_transfer_items"									"Levér genstande"
		"DOTA_Tooltip_ability_courier_transfer_items_Description"						"Levér genstande til helt"
		"DOTA_Tooltip_ability_courier_go_to_secretshop"									"Gå til hemmelig butik"
		"DOTA_Tooltip_ability_courier_go_to_secretshop_Description"						"Sender kuréren til dit holds hemmelige butik"
		"DOTA_Tooltip_ability_courier_return_stash_items"								"Returnér genstande"
		"DOTA_Tooltip_ability_courier_return_stash_items_Description"					"Returnér genstande til lager"
		"DOTA_Tooltip_ability_courier_shield"											"Skjold"
		"DOTA_Tooltip_ability_courier_shield_Description"								"Skaber et beskyttende skjold omkring kuréren"
		"DOTA_Tooltip_ability_courier_shield_duration"									"VARIGHED:"
		"DOTA_Tooltip_ability_courier_burst"											"Spurt"
		"DOTA_Tooltip_ability_courier_burst_Description"								"Kuréren får øget hastighed i %duration% sekunder"
