"lang"
{ 
	"Language" "german" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"Lebenspunkte"					// $health
		"dota_ability_variable_mana"				"Mana"						// $mana
		"dota_ability_variable_armor"				"Rüstung"						// $armor
		"dota_ability_variable_damage"				"Schaden"					// $damage
		"dota_ability_variable_str"					"Stärke"					// $str
		"dota_ability_variable_int"					"Intelligenz"				// $int
		"dota_ability_variable_agi"					"Agilität"					// $agi
		"dota_ability_variable_all"					"Alle Attribute"			// $all
		"dota_ability_variable_primary_attribute"	"Primärattribut"			// $primary_attribute
		"dota_ability_variable_attack"				"Angriffstempo"				// $attack
		"dota_ability_variable_hp_regen"			"Lebensregeneration"		// $hp_regen
		"dota_ability_variable_lifesteal"			"Lebensraub"					// $lifesteal
		"dota_ability_variable_mana_regen"			"Manaregeneration"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"Manaregeneration (Aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"Zauberschaden"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"Schwächungsdauer"			// $debuff_amp
		"dota_ability_variable_move_speed"			"Bewegungstempo"			// $move_speed
		"dota_ability_variable_evasion"				"Ausweichen"					// $evasion
		"dota_ability_variable_spell_resist"		"Magieresistenz"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"Zauberlebensraub"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"Zauberlebensraub (Diener)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"Zauberlebensraub (Helden)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"Ausgewähltes Attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"Angriffsreichweite <font color='#7d7d7d'>(nur Fernkampf)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"Angriffsreichweite <font color='#7d7d7d'>(Nur Nahkampf)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"Zauberreichweite"				// $cast_range
		"dota_ability_variable_status_resist"		"Statusresistenz"			// $status_resist
		"dota_ability_variable_projectile_speed"	"Projektiltempo"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"Manakostenreduzierung"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Abklingzeitreduzierung"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"Max. Manabonus"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"Schaden (Intelligenzheld)"
		"dota_ability_variable_damage_agi_hero"	"Schaden (Agilitätsheld)"
		"dota_ability_variable_damage_str_hero"	"Schaden (Stärkeheld)"

		//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"Attributsbonus"
		"DOTA_Tooltip_ability_attribute_bonus_Description"								"Erhöht alle Attribute pro verwendeten Punkt"
		"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"				"BONUS:"

		"DOTA_Tooltip_Ability_invoker_attribute_bonus"									"Attributsbonus"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_Description"						"Erhöht alle Attribute pro verwendeten Punkt"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_attribute_bonus_per_level"		"BONUS:"

		"DOTA_Tooltip_Ability_dota_base_ability_Description"							"Attributlevel"
		
		//ATTACK
		"DOTA_Tooltip_ability_default_attack"											"Angriffe"
		"DOTA_Tooltip_ability_default_attack_Description"								"Durch direkte Angriffe verursachter Schaden."
		
		//FOUNTAIN
		"DOTA_Tooltip_ability_fountain_glyph"											"Glyphe der Verstärkung {s:glyph_hotkey}"
		"DOTA_Tooltip_ability_fountain_glyph_Description"								"Macht Ihre Gebäude und Pfaddiener für 6 Sekunden unverwundbar. Falls ein Turm aus Ihrer äußeren Turmreihe fällt, wird die Abklingzeit zurückgesetzt."
		"DOTA_Tooltip_ability_fountain_glyph_duration"									"DAUER:"
		"DOTA_Tooltip_glyph_cooldown_ready"												"Bereit"
		"DOTA_Tooltip_glyph_cooldown"													"Bereit in: %s1"
		"DOTA_Tooltip_ability_fountain_buyback"											"Rückkauf"
		"DOTA_Tooltip_ability_fountain_buyback_Description"								"Sofortiger Wiedereinstieg gegen Bezahlung."
		"DOTA_Tooltip_ability_fountain_buyback_cost"									"KOSTEN:"

		// Radar
		"DOTA_Tooltip_ability_radar"													"Scan {s:scan_hotkey}"
		"DOTA_Tooltip_ability_radar_Description"										"Überwacht für 8 Sekunden einen Bereich von 900 Einheiten rund um den Zielort. Zeigt in dieser Zeit an, ob sich gegnerische Helden im überwachten Bereich aufhalten."
		"DOTA_Tooltip_radar_cooldown_ready"												"Bereit"
		"DOTA_Tooltip_radar_cooldown"													"Bereit in: %s1"

		// Courier Tooltip		
		"DOTA_Tooltip_courier_status"													"Kurierstatus"
		"DOTA_Tooltip_courier_no_couriers"												"Keine Kuriere gefunden"
		"DOTA_Tooltip_courier_status_at_base"											"In der Basis"					// idle at the fountain, or working with the stash
		"DOTA_Tooltip_courier_status_idle_in_world"										"Untätig auf dem Schlachtfeld"			// idle somewhere out in the world
		"DOTA_Tooltip_courier_status_moving"											"Unterwegs"				// moving somewhere
		"DOTA_Tooltip_courier_status_returning"											"Kehrt zur Basis zurück"			// move dest is the fountain
		"DOTA_Tooltip_courier_status_delivering"										"Liefert Gegenstände an %s1"	// moving to a hero

		"DOTA_Tooltip_courier_respawn"													"Tot\nWiedereinstieg in %s1"
		
        // Game mode modifiers
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable"								"Unverwundbar"
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable_Description"					"Der Kurier fürchtet Eure Zauber nicht."
		"DOTA_Tooltip_modifier_turbo_courier_haste"										"Flotter Flieger"
		"DOTA_Tooltip_modifier_turbo_courier_haste_Description"							"Bewegungstempo erhöht."

		"DOTA_Tooltip_ability_ad_scepter_grant"											"Zepter gewährt neue Fähigkeit: <font color=\"#ffffff\"><b>%s1</b></font>"
