"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"พลังชีวิต"					// $health
		"dota_ability_variable_mana"				"มานา"						// $mana
		"dota_ability_variable_armor"				"เกราะป้องกัน"						// $armor
		"dota_ability_variable_damage"				"พลังโจมตี"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"ค่าคุณสมบัติทั้งหมด"			// $all
		"dota_ability_variable_primary_attribute"	"ค่าสถานะหลัก"			// $primary_attribute
		"dota_ability_variable_attack"				"ความเร็วในการโจมตี"				// $attack
		"dota_ability_variable_hp_regen"			"อัตราการฟื้นฟูพลังชีวิต"		// $hp_regen
		"dota_ability_variable_lifesteal"			"ดูดพลังชีวิต"					// $lifesteal
		"dota_ability_variable_mana_regen"			"อัตราฟื้นฟูมานา"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"ออราอัตราฟื้นฟูมานา"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"ความเสียหายสกิล"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"ระยะเวลาดีบัฟ"			// $debuff_amp
		"dota_ability_variable_move_speed"			"ความเร็วในการเคลื่อนที่"			// $move_speed
		"dota_ability_variable_evasion"				"อัตราหลบหลีก"					// $evasion
		"dota_ability_variable_spell_resist"		"ความต้านทานเวทมนตร์"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"สกิลดูดพลังชีวิต"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"สกิลดูดพลังชีวิต (ครีป)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"สกิลดูดพลังชีวิต (ฮีโร่)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ค่าคุณสมบัติที่เลือก"		// $selected_attribute
		"dota_ability_variable_attack_range"		"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะไกล)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะประชิด)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"ระยะร่าย"				// $cast_range
		"dota_ability_variable_status_resist"		"ความต้านทานสถานะ"			// $status_resist
		"dota_ability_variable_projectile_speed"	"ความเร็วกระสุน"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"ลดมานาที่ใช้"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"ลดคูลดาวน์"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"เพิ่มมานาสูงสุด"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"พลังโจมตี (ฮีโร่ Intelligence)"
		"dota_ability_variable_damage_agi_hero"	"พลังโจมตี (ฮีโร่ Agility)"
		"dota_ability_variable_damage_str_hero"	"พลังโจมตี (ฮีโร่ Strength)"

		//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"เพิ่มค่าความสามารถ"
		"DOTA_Tooltip_ability_attribute_bonus_Description"								"เพิ่มความสามารถทุกชนิดต่อหนึ่งแต้มที่ใช้ไป"
		"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"				"เพิ่มขึ้น:"

		"DOTA_Tooltip_Ability_invoker_attribute_bonus"									"เพิ่มค่าความสามารถ"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_Description"						"เพิ่มความสามารถทุกชนิดต่อหนึ่งแต้มที่ใช้ไป"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_attribute_bonus_per_level"		"เพิ่มขึ้น:"

		"DOTA_Tooltip_Ability_dota_base_ability_Description"							"เลเวลค่าความสามารถ"
		
		//ATTACK
		"DOTA_Tooltip_ability_default_attack"											"โจมตี"
		"DOTA_Tooltip_ability_default_attack_Description"								"สร้างความเสียหายโดยการโจมตีโดยตรง"
		
		//FOUNTAIN
		"DOTA_Tooltip_ability_fountain_glyph"											"Glyph of Fortification {s:glyph_hotkey}"
		"DOTA_Tooltip_ability_fountain_glyph_Description"								"ทำให้สิ่งก่อสร้างและครีปเลนทั้งหมดของทีมคุณเป็นอมตะ 6 วินาที คูลดาวน์จะถูกล้างเมื่อป้อมแรกของแต่ละชั้นถูกทำลาย"
		"DOTA_Tooltip_ability_fountain_glyph_duration"									"ระยะเวลา:"
		"DOTA_Tooltip_glyph_cooldown_ready"												"พร้อมใช้งาน"
		"DOTA_Tooltip_glyph_cooldown"													"คูลดาวน์: %s1"
		"DOTA_Tooltip_ability_fountain_buyback"											"ซื้อเกิด"
		"DOTA_Tooltip_ability_fountain_buyback_Description"								"ใช้ทองเพื่อแลกกับการเกิดใหม่ของฮีโร่ของคุณทันที"
		"DOTA_Tooltip_ability_fountain_buyback_cost"									"ราคา:"

		// Radar
		"DOTA_Tooltip_ability_radar"													"Scan {s:scan_hotkey}"
		"DOTA_Tooltip_ability_radar_Description"										"สแกนพื้นที่เป้าหมายรัศมี 900 หน่วยเป็นเวลา 8 วินาที โดยจะบอกว่ามีฮีโร่ศัตรูอยู่ในพื้นที่นั้นหรือไม่ในช่วง 8 วินาที"
		"DOTA_Tooltip_radar_cooldown_ready"												"พร้อมใช้งาน"
		"DOTA_Tooltip_radar_cooldown"													"คูลดาวน์: %s1"

		// Courier Tooltip		
		"DOTA_Tooltip_courier_status"													"สถานะของ Courier"
		"DOTA_Tooltip_courier_no_couriers"												"ไม่พบ Courier"
		"DOTA_Tooltip_courier_status_at_base"											"ที่ฐาน"					// idle at the fountain, or working with the stash
