"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_antimage_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_antimage_laugh"	"[大笑]"
"[english]dota_chatwheel_label_antimage_laugh"	"Laugh"
"dota_chatwheel_label_axe_laugh"	"[大笑]"
"[english]dota_chatwheel_label_axe_laugh"	"Laugh"
"dota_chatwheel_label_bane_laugh"	"[大笑]"
"[english]dota_chatwheel_label_bane_laugh"	"Laugh"
"dota_chatwheel_label_bloodseeker_laugh"	"[大笑]"
"[english]dota_chatwheel_label_bloodseeker_laugh"	"Laugh"
"dota_chatwheel_label_crystal_maiden_laugh"	"[大笑]"
"[english]dota_chatwheel_label_crystal_maiden_laugh"	"Laugh"
"dota_chatwheel_label_drow_ranger_laugh"	"[大笑]"
"[english]dota_chatwheel_label_drow_ranger_laugh"	"Laugh"
"dota_chatwheel_label_earthshaker_laugh"	"[大笑]"
"[english]dota_chatwheel_label_earthshaker_laugh"	"Laugh"
"dota_chatwheel_label_juggernaut_laugh"	"[大笑]"
"[english]dota_chatwheel_label_juggernaut_laugh"	"Laugh"
"dota_chatwheel_label_mirana_laugh"	"[大笑]"
"[english]dota_chatwheel_label_mirana_laugh"	"Laugh"
"dota_chatwheel_label_morphling_laugh"	"[大笑]"
"[english]dota_chatwheel_label_morphling_laugh"	"Laugh"
"dota_chatwheel_label_nevermore_laugh"	"[大笑]"
"[english]dota_chatwheel_label_nevermore_laugh"	"Laugh"
"dota_chatwheel_label_phantom_lancer_laugh"	"[大笑]"
"[english]dota_chatwheel_label_phantom_lancer_laugh"	"Laugh"
"dota_chatwheel_label_puck_laugh"	"[大笑]"
"[english]dota_chatwheel_label_puck_laugh"	"Laugh"
"dota_chatwheel_label_pudge_laugh"	"[大笑]"
"[english]dota_chatwheel_label_pudge_laugh"	"Laugh"
"dota_chatwheel_label_razor_laugh"	"[大笑]"
"[english]dota_chatwheel_label_razor_laugh"	"Laugh"
"dota_chatwheel_label_sand_king_laugh"	"[大笑]"
"[english]dota_chatwheel_label_sand_king_laugh"	"Laugh"
"dota_chatwheel_label_storm_spirit_laugh"	"[大笑]"
"[english]dota_chatwheel_label_storm_spirit_laugh"	"Laugh"
"dota_chatwheel_label_sven_laugh"	"[大笑]"
"[english]dota_chatwheel_label_sven_laugh"	"Laugh"
"dota_chatwheel_label_vengefulspirit_laugh"	"[大笑]"
"[english]dota_chatwheel_label_vengefulspirit_laugh"	"Laugh"
"dota_chatwheel_label_windrunner_laugh"	"[大笑]"
"[english]dota_chatwheel_label_windrunner_laugh"	"Laugh"
"dota_chatwheel_label_zuus_laugh"	"[大笑]"
"[english]dota_chatwheel_label_zuus_laugh"	"Laugh"
"dota_chatwheel_label_kunkka_laugh"	"[大笑]"
"[english]dota_chatwheel_label_kunkka_laugh"	"Laugh"
"dota_chatwheel_label_lina_laugh"	"[大笑]"
"[english]dota_chatwheel_label_lina_laugh"	"Laugh"
"dota_chatwheel_label_lion_laugh"	"[大笑]"
"[english]dota_chatwheel_label_lion_laugh"	"Laugh"
"dota_chatwheel_label_shadow_shaman_laugh"	"[大笑]"
"[english]dota_chatwheel_label_shadow_shaman_laugh"	"Laugh"
"dota_chatwheel_label_slardar_laugh"	"[大笑]"
"[english]dota_chatwheel_label_slardar_laugh"	"Laugh"
"dota_chatwheel_label_tidehunter_laugh"	"[大笑]"
"[english]dota_chatwheel_label_tidehunter_laugh"	"Laugh"
"dota_chatwheel_label_witch_doctor_laugh"	"[大笑]"
"[english]dota_chatwheel_label_witch_doctor_laugh"	"Laugh"
"dota_chatwheel_label_lich_laugh"	"[大笑]"
"[english]dota_chatwheel_label_lich_laugh"	"Laugh"
"dota_chatwheel_label_riki_laugh"	"[大笑]"
"[english]dota_chatwheel_label_riki_laugh"	"Laugh"
"dota_chatwheel_label_enigma_laugh"	"[大笑]"
"[english]dota_chatwheel_label_enigma_laugh"	"Laugh"
"dota_chatwheel_label_tinker_laugh"	"[大笑]"
"[english]dota_chatwheel_label_tinker_laugh"	"Laugh"
"dota_chatwheel_label_sniper_laugh"	"[大笑]"
"[english]dota_chatwheel_label_sniper_laugh"	"Laugh"
"dota_chatwheel_label_necrolyte_laugh"	"[大笑]"
"[english]dota_chatwheel_label_necrolyte_laugh"	"Laugh"
"dota_chatwheel_label_warlock_laugh"	"[大笑]"
"[english]dota_chatwheel_label_warlock_laugh"	"Laugh"
"dota_chatwheel_label_beastmaster_laugh"	"[大笑]"
"[english]dota_chatwheel_label_beastmaster_laugh"	"Laugh"
"dota_chatwheel_label_queenofpain_laugh"	"[大笑]"
"[english]dota_chatwheel_label_queenofpain_laugh"	"Laugh"
"dota_chatwheel_label_venomancer_laugh"	"[大笑]"
