"lang"
{
"Language"	"latam"
"Tokens"
{
"npc_dota_hero_antimage_bio"	"Los monjes de Turstarkuri observaban los accidentados valles por debajo de su monasterio en la montaña a medida que oleadas y oleadas de invasores se extendían por los reinos inferiores. Ascéticos y pragmáticos, se mantuvieron al margen de las luchas mundanas en su nido monástico, envueltos en la meditación que no conocía a los dioses o los elementos de la magia. Entonces vino la Legión del Dios Muerto, cruzados con el siniestro encargo de sustituir todos los cultos locales con el venenoso nihilismo de su Señor Sin Vida. De un paisaje que no conocía nada más que sangre y batallas durante miles de años, arrancaron las almas y los huesos de las legiones caídas y los lanzaron contra Turstarkuri. El monasterio solo resistió el asalto un par de semanas, y los pocos monjes que se preocuparon en salir de su meditación creyeron que los invasores eran visiones demoníacas enviadas para distraerlos de su meditación. Murieron sobre los cojines de seda en los que estaban sentados. Solo un joven sobrevivió: un peregrino que había llegado como acólito buscando la sabiduría, pero que aún no había sido admitido en el monasterio. Con horror, vio cómo los monjes a los que había servido té y ortigas primero eran asesinados y luego obligados a unirse a las filas del sacerdocio del Dios Muerto. Con nada más que unos pocos de los preciados pergaminos dogmáticos de Turstarkuri, se alejó hacia la relativa seguridad de otras tierras, jurando no solo destruir a los hechiceros del Dios Muerto, sino también poner fin a la magia por completo."
"[english]npc_dota_hero_antimage_bio"	"The monks of Turstarkuri watched the rugged valleys below their mountain monastery as wave after wave of invaders swept through the lower kingdoms. Ascetic and pragmatic, in their remote monastic eyrie they remained aloof from mundane strife, wrapped in meditation that knew no gods or elements of magic. Then came the Legion of the Dead God, crusaders with a sinister mandate to replace all local worship with their Unliving Lord's poisonous nihilosophy. From a landscape that had known nothing but blood and battle for a thousand years, they tore the souls and bones of countless fallen legions and pitched them against Turstarkuri. The monastery stood scarcely a fortnight against the assault, and the few monks who bothered to surface from their meditations believed the invaders were but demonic visions sent to distract them from meditation. They died where they sat on their silken cushions. Only one youth survived--a pilgrim who had come as an acolyte, seeking wisdom, but had yet to be admitted to the monastery. He watched in horror as the monks to whom he had served tea and nettles were first slaughtered, then raised to join the ranks of the Dead God's priesthood. With nothing but a few of Turstarkuri's prized dogmatic scrolls, he crept away to the comparative safety of other lands, swearing to obliterate not only the Dead God's magic users--but to put an end to magic altogether. "
"npc_dota_hero_queenofpain_bio"	"El Rey Eclesiasta de Elze abrigaba un deseo por el dolor... el dolor prohibido. En una figura menos prominente a nivel político, este tipo de deseos se podrían considerar inapropiados. Sin embargo, para un monarca de su importancia, la satisfacción de tales deseos habría amenazado la virtud del mismísimo Trono Divino. Así pues se retiró a su mazmorra llena de demonólogos, prometiendo la libertad a quien lograse invocar y ligar totalmente a su servicio a un súcubo de tormento personal. La criatura que llegó, llamada Akasha, realizó para él unos tormentos tan exquisitos que él la designó su Reina Secreta. A partir de ese momento dedicó cada minuto libre del que disponía a someterse a sus deliciosos tormentos, llegando incluso a abdicar de todas sus responsabilidades para disfrutar de los placeres más dolorosos que solo ella le podía proporcionar. Queen of Pain lo podía llevar al borde de la muerte, sin embargo la runa a la que estaba ligada lo obligaba a mantenerlo con vida. Finalmente, el estado de abandono del Rey provocó una revuelta. Fue arrastrado desde su habitación y arrojado desde lo alto de la Torre de las Invocaciones. En el momento de su muerte, Queen of Pain accedió al mundo, libre de su esclavitud... libre para infligir sus tormentos a quien se le antojara."
"[english]npc_dota_hero_queenofpain_bio"	"The Ecclesiast-King of Elze nursed a desire for pain--forbidden pain. In a less prominent political figure, such desires might be considered unwise, but in a monarch of his stature, to satisfy such thirsts would have threatened the virtue of the Divine Throne itself. Therefore he turned to his dungeon full of demonologists, promising freedom to whoever could summon a personal succubus of torment and bind it entirely to his service. The creature who arrived, Akasha by name, visited upon him such exquisite torments that he named her his Secret Queen, and he began to spend all his spare moments submitting to her clever torments--eventually abdicating all his responsibilities in his pursuit of the painful pleasures that only she could bring. Queen of Pain could bring him to the brink of death, but she was rune-bound to keep him alive. At last the King's neglect of state brought on an uprising. He was dragged from his chamber and hurled from the Tower of Invocations, and at the moment of death, Queen of Pain was let loose into the world, freed from servitude--freed to visit her sufferings on anyone she deigned to notice."
"npc_dota_hero_lina_bio"	"La rivalidad fraterna entre Lina la Asesina y su hermana pequeña Rylai, la Doncella de Cristal (Crystal Maiden), hizo correr ríos de tinta en la templada región donde pasaron su infancia en una lucha continua. Lina siempre tuvo ventaja. Sin embargo, aunque Crystal era cándida e ingenua, el feroz ardor de Lina se veía atenuado por el ingenio y la manipulación. Los exasperados padres de estos incompatibles retoños llegaron a utilizar media docena de moradas, perdiendo unas por fuego y otras por hielo, antes de comprender que la vida sería mucho más sencilla si las niñas vivieran separadas. Como hermana mayor, Lina fue enviada lejos hacia el Sur para vivir con una paciente tía suya en el abrasador Desierto de Misrule, un clima en el que la feroz Asesina se encontraba como pez en el agua. Su llegada causó una gran conmoción entre los aletargados lugareños. Más de un pretendiente acabó con sus dedos abrasados o tuvo que huir con las cejas chamuscadas y el rabo entre las piernas. Lina es orgullosa y segura de sí misma, nada puede apagar su fuego."
"[english]npc_dota_hero_lina_bio"	"The sibling rivalries between Lina the Slayer, and her younger sister Rylai, the Crystal Maiden, were the stuff of legend in the temperate region where they spent their quarrelsome childhoods together. Lina always had the advantage, however, for while Crystal was guileless and naive, Lina's fiery ardor was tempered by cleverness and conniving. The exasperated parents of these incompatible offspring went through half a dozen homesteads, losing one to fire, the next to ice, before they realized life would be simpler if the children were separated. As the oldest, Lina was sent far south to live with a patient aunt in the blazing Desert of Misrule, a climate that proved more than comfortable for the fiery Slayer. Her arrival made quite an impression on the somnolent locals, and more than one would-be suitor scorched his fingers or went away with singed eyebrows, his advances spurned. Lina is proud and confident, and nothing can dampen her flame."
"npc_dota_hero_mirana_bio"	"La princesa Mirana, nacida en una familia real y la siguiente en la línea de sucesión al Trono Solar, renunció voluntariamente a cualquier derecho a tierras mundanas y títulos cuando se dedicó por completo al servicio de Selemene, Diosa de la Luna. Conocida desde entonces como la Princesa de la Luna, Mirana merodea por los sagrados Bosques de la Noche Plateada en busca de cualquiera que se atreva a robar el sagrado loto luminoso de las charcas plateadas en los dominios de la diosa. Montada sobre su amigo felino, no conoce el miedo, y está preparada, orgullosa y en sintonía con las fases de la luna y los ciclos de las constelaciones mayores. Su arco, con afilados fragmentos de mineral lunar en sus extremos, obtiene su poder de la luna, lo que le permite recargar sus flechas de luz."
"[english]npc_dota_hero_mirana_bio"	"Born to a royal family, a blood princess next in line for the Solar Throne, Mirana willingly surrendered any claim to mundane land or titles when she dedicated herself completely to the service of Selemene, Goddess of the Moon. Known ever since as Princess of the Moon, Mirana prowls the sacred Nightsilver Woods searching for any who would dare poach the sacred luminous lotus from the silvery pools of the Goddess's preserve. Riding on her enormous feline familiar, she is poised, proud and fearless, attuned to the phases of the moon and the wheeling of the greater constellations. Her bow, tipped with sharp shards of lunar ore, draws on the moon's power to charge its arrows of light."
"npc_dota_hero_furion_bio"	"Cuando Verodicia, Diosa de los bosques, había terminado de poblar los verdes parajes, habiendo plantado el rizado espíritu en la semilla, habiendo tentado a las sutiles aguas de muy dentro de la roca, habiendo jurado al Sol su completa atención al crecer de las cosas, ella se dio cuenta de que su propio tiempo había llegado a su fin y como una de las hojas cuyo destino ella había impreso en la semilla, ella caería sin ver el fruto de su sueño. Le apenó dejar al mundo despojado, ya que los brotes aún no habían salido de la tierra y serían tiernos y vulnerables a cualquier tipo de daño. Ella halló en su bolsa de semillas una última simiente que no había encontrado durante la siembra. Entonces dijo una sola palabra a la semilla y la tragó mientras caía. Su inmenso cuerpo descomponiéndose durante el largo invierno, se convertiría en el humus que alimentaría a los plantones en primavera. Y en la mañana del equinoccio vernal, antes de que el resto del bosque hubiera empezado a despertar, esa última semilla maduró y rompió en un instante. De ella nació Nature's Prophet, en todo su esplendor, fuerte y sabio, poseyendo el poder de Verodicia de prever dónde sería más necesitado en defensa de los verdes parajes y cualquiera podría ser lo bastante afortunado de llamarlo aliado."
