"lang"
{ 
	"Language" "polish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"pkt. zdrowia"					// $health
		"dota_ability_variable_mana"				"pkt. many"						// $mana
		"dota_ability_variable_armor"				"pkt. pancerza"						// $armor
		"dota_ability_variable_damage"				"pkt. obrażeń"					// $damage
		"dota_ability_variable_str"					"pkt. Siły"					// $str
		"dota_ability_variable_int"					"pkt. Inteligencji"				// $int
		"dota_ability_variable_agi"					"pkt. Zręczności"					// $agi
		"dota_ability_variable_all"					"pkt. wszystkich atrybutów"			// $all
		"dota_ability_variable_primary_attribute"	"pkt. głównego atrybutu"			// $primary_attribute
		"dota_ability_variable_attack"				"jedn. szybkości ataku"				// $attack
		"dota_ability_variable_hp_regen"			"pkt. regeneracji zdrowia"			// $hp_regen
"dota_ability_variable_mana_regen"			"pkt. regeneracji many"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"jedn. aury regeneracji many"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"obrażeń od czarów"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"czasu trwanie negatywnych efektów"			// $debuff_amp
		"dota_ability_variable_move_speed"			"szybkości ruchu"			// $move_speed
		"dota_ability_variable_evasion"				"szansy na unik"					// $evasion
		"dota_ability_variable_spell_resist"		"odporności na magię"			// $spell_resist
"dota_ability_variable_spell_lifesteal_creep"	"kradzieży zdrowia z czarów (creepy)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"kradzieży zdrowia z czarów (bohaterowie)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"pkt. wybranego atrybutu"		// $selected_attribute
		"dota_ability_variable_attack_range"		"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko dla dystansowych)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko walczący wręcz)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"zasięgu rzutu"				// $cast_range
		"dota_ability_variable_status_resist"		"odporności na statusy"			// $status_resist
		"dota_ability_variable_projectile_speed"	"jedn. szybkości pocisku"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"redukcji kosztów many"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Skrócenie czasów oczekiwania"		// $cooldown_reduction 

		//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"Premia do atrybutów"
		"DOTA_Tooltip_ability_attribute_bonus_Description"								"Zwiększa wszystkie atrybuty za każdy wydany punkt"
		"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"				"PREMIA:"

		"DOTA_Tooltip_Ability_invoker_attribute_bonus"									"Premia do atrybutów"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_Description"						"Zwiększa wszystkie atrybuty za każdy wydany punkt"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_attribute_bonus_per_level"		"PREMIA:"

		"DOTA_Tooltip_Ability_dota_base_ability_Description"							"Poziom atrybutów"
		
		//ATTACK
		"DOTA_Tooltip_ability_default_attack"											"Ataki"
		"DOTA_Tooltip_ability_default_attack_Description"								"Obrażenia zadawane przez bezpośrednie ataki."
		
		//FOUNTAIN
		"DOTA_Tooltip_ability_fountain_glyph"											"Glif fortyfikacji {s:glyph_hotkey}"
		"DOTA_Tooltip_ability_fountain_glyph_Description"								"Sprawia, że twoje budowle i creepy stają się niewrażliwe na obrażenia na 6 sekund. Czas oczekiwania odświeża się za każdym razem, gdy zniszczona zostanie wieża pierwszego rzędu."
		"DOTA_Tooltip_ability_fountain_glyph_duration"									"CZAS TRWANIA:"
		"DOTA_Tooltip_glyph_cooldown_ready"												"Gotowy"
		"DOTA_Tooltip_glyph_cooldown"													"Dost. za: %s1"
		"DOTA_Tooltip_ability_fountain_buyback"											"Wykup"
		"DOTA_Tooltip_ability_fountain_buyback_Description"								"Natychmiastowe odrodzenie bohatera za opłatą."
		"DOTA_Tooltip_ability_fountain_buyback_cost"									"KOSZT:"

		// Radar
		"DOTA_Tooltip_ability_radar"													"Skan {s:scan_hotkey}"
		"DOTA_Tooltip_ability_radar_Description"										"Skanuje wyznaczony obszar o promieniu 900 jednostek na 8 sekund. Przez ten czas pokazuje, czy na tym obszarze znajdują się wrogowie."
		"DOTA_Tooltip_radar_cooldown_ready"												"Gotowy"
		"DOTA_Tooltip_radar_cooldown"													"Czas oczekiwania: %s1"

		// Courier Tooltip		
		"DOTA_Tooltip_courier_status"													"Status kuriera"
		"DOTA_Tooltip_courier_no_couriers"												"Nie znaleziono kurierów"
		"DOTA_Tooltip_courier_status_at_base"											"W bazie"					// idle at the fountain, or working with the stash
		"DOTA_Tooltip_courier_status_idle_in_world"										"Bezczynny poza bazą"			// idle somewhere out in the world
		"DOTA_Tooltip_courier_status_moving"											"W ruchu"				// moving somewhere
		"DOTA_Tooltip_courier_status_returning"											"Wraca do bazy"			// move dest is the fountain
		"DOTA_Tooltip_courier_status_delivering"										"Niesie przedmioty do %s1"	// moving to a hero

		"DOTA_Tooltip_courier_respawn"													"Poległy\nOdrodzenie za %s1"
		
        // Game mode modifiers
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable"								"Nietykalność"
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable_Description"					"Kurier nie lęka się waszych czarów."
		"DOTA_Tooltip_modifier_turbo_courier_haste"										"Szybkolot"
		"DOTA_Tooltip_modifier_turbo_courier_haste_Description"							"Zwiększenie szybkości ruchu."

		"DOTA_Tooltip_ability_ad_scepter_grant"											"Aghanim's Scepter przyznaje nową umiejętność: <font color=\"#ffffff\"><b>%s1</b></font>"
		"DOTA_Tooltip_ability_ad_shard_grant"											"Aghanim's Shard przyznaje nową umiejętność: <font color=\"#ffffff\"><b>%s1</b></font>"

		// BUILDING
		"DOTA_Tooltip_ability_backdoor_protection"										"Backdoor Protection"
		"DOTA_Tooltip_ability_backdoor_protection_Description"										"Budynek otrzymuje zredukowane obrażenia i szybko regeneruje zdrowie utracone w czasie, kiedy w pobliżu nie ma wrogich creepów."
		"DOTA_Tooltip_ability_backdoor_protection_in_base"								"Backdoor Protection"
		"DOTA_Tooltip_ability_backdoor_protection_in_base_Description"			"Budynek otrzymuje zredukowane obrażenia i szybko regeneruje zdrowie utracone w czasie, kiedy w pobliżu nie ma wrogich creepów."
		"DOTA_Tooltip_ability_filler_ability"										"Sanctuary"
		"DOTA_Tooltip_ability_filler_ability_Description"						"Po aktywacji zapewnia aurę zwiększającą regenerację zdrowia i many pobliskich sojuszników."
		"DOTA_Tooltip_ability_filler_ability_Note0"								"Kliknij PPM na kapliczce, aby ją aktywować."
		"DOTA_Tooltip_ability_filler_ability_Note1"								"Wartość regeneracji zwiększa się o 2 zdrowia i 1 many na minutę."
		"DOTA_Tooltip_ability_filler_ability_Note2"								"Dodatkowo przywraca 2% maksymalnego zdrowia/many na sekundę."
		"DOTA_Tooltip_ability_filler_ability_hp_heal"							"REGENERACJA ZDROWIA:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal"							"REGENERACJA MANY:"
		"DOTA_Tooltip_ability_filler_ability_duration"							"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_filler_ability_radius"							"PROMIEŃ:"

		//COURIER
		"DOTA_Tooltip_ability_courier_return_to_base"									"Powrót do bazy"
		"DOTA_Tooltip_ability_courier_return_to_base_Description"						"Odsyła kuriera do bazy"
		"DOTA_Tooltip_ability_courier_transfer_items"									"Przekaż przedmioty"
		"DOTA_Tooltip_ability_courier_transfer_items_Description"						"Przekazuje przedmioty bohaterowi"
		"DOTA_Tooltip_ability_courier_go_to_secretshop"									"Udaj się do ukrytego sklepu"
		"DOTA_Tooltip_ability_courier_go_to_secretshop_Description"						"Wysyła kuriera do ukrytego sklepu po twojej stronie mapy"
		"DOTA_Tooltip_ability_courier_return_stash_items"								"Zwróć przedmioty"
		"DOTA_Tooltip_ability_courier_return_stash_items_Description"					"Zwraca przedmioty do schowka"
		"DOTA_Tooltip_ability_courier_shield"											"Tarcza"
		"DOTA_Tooltip_ability_courier_shield_Description"								"Przywołuje tarczę ochronną wokół kuriera"
		"DOTA_Tooltip_ability_courier_shield_duration"									"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_courier_burst"											"Zryw szybkości"
		"DOTA_Tooltip_ability_courier_burst_Description"								"Sprawia, że kurier porusza się szybciej przez %duration% s."
		"DOTA_Tooltip_ability_courier_burst_movement_speed"				"%SZYBKOŚĆ RUCHU (ZRYW):"
		"DOTA_Tooltip_ability_courier_take_stash_items"									"Odbierz przedmioty"
		"DOTA_Tooltip_ability_courier_take_stash_items_Description"						"Odbiera przedmioty ze schowka"
		"DOTA_Tooltip_ability_courier_autodeliver"									"Automatyczne dostarczanie"
		"DOTA_Tooltip_ability_courier_autodeliver_Description"						"Przełącz automatyczne dostarczanie przedmiotów."
		
		//NECRONOMICON
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"							"Mana Break"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"				"Każdy cios spala manę, której część zostaje zamieniona na obrażenia."
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"				"SPALONA MANA PRZY TRAFIENIU:"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%ZAMIANA NA OBRAŻENIA:"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will"							"Last Will"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"				"Zadaje obrażenia jednostce, która zabiła Necronomicon Warriora."
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"					"OBRAŻENIA:"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight"								"True Sight"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"					"Ujawnia niewidzialne jednostki."
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"						"PROMIEŃ:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"							"Mana Burn"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"				"Wystrzeliwuje strzałę, która spala manę trafionej jednostce, zadając obrażenia równe spalonej manie."
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"				"SPALONA MANA PRZY TRAFIENIU:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_as_damage_tooltip"				"%ZAMIANA NA OBRAŻENIA:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_abilitycastrange"		"ZASIĘG RZUTU:"
		
		"DOTA_Tooltip_ability_necronomicon_archer_purge"								"Purge"
