"lang"
{
"Language"	"french"
"Tokens"
{
"#DOTA_RP_INIT"	"Menu principal"
"#DOTA_RP_IDLE"	"Menu principal (AFK)"
"#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%} : en attente des chargements"
"#DOTA_RP_COACHING"	"{%param0%} : en train de coacher"
"#DOTA_RP_HERO_SELECTION"	"{%param0%} : choix du héros"
"#DOTA_RP_STRATEGY_TIME"	"{%param0%} : phase de stratégie"
"#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%} : en attente de chargement du jeu"
"#DOTA_RP_PRE_GAME"	"{%param0%} : avant-match"
"#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%} : en train de jouer"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"Joue à %param0%"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"Joue à un jeu custom"
"#DOTA_RP_LOBBY_CUSTOM"	"Lobby %param0%"
"#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"Lobby du jeu custom"
"#DOTA_RP_PLAYING_AS"	"{%param0%} : {%param2%} (niv. %param1%)"
"#DOTA_RP_POST_GAME"	"{%param0%} : post-match"
"#DOTA_RP_DISCONNECT"	"{%param0%} : en cours de déconnexion"
"#DOTA_RP_SPECTATING"	"Regarde une partie"
"#DOTA_RP_CASTING"	"Commente une partie"
"#DOTA_RP_PRIVATE_LOBBY"	"Lobby privé"
"#DOTA_RP_LEAGUE_MATCH"	"Participe à un tournoi"
"#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%} : niveau {%param1%} (tournoi)"
"#DOTA_RP_WATCHING_REPLAY"	"Regarde une rediffusion"
"#DOTA_RP_WATCHING_TOURNAMENT"	"Regarde un match de tournoi"
"#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"Regarde une redif. d'un tournoi"
"#DOTA_RP_FINDING_MATCH"	"Cherche un match"
"#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"Cherche un combat de la Year Beast"
"#DOTA_RP_FINDING_EVENT_MATCH"	"Cherche un match {%param0%}"
"#DOTA_RP_UNKNOWN_EVENT_GAME"	"Événement"
"#DOTA_RP_SPECTATING_WHILE_FINDING"	"Cherche et regarde un match"
"#DOTA_RP_PENDING"	"Demande en attente"
"#DOTA_RP_ONLINE"	"En ligne"
"#DOTA_RP_BUSY"	"Occupé"
"#DOTA_RP_AWAY"	"Absent"
"#DOTA_RP_SNOOZE"	"Non disponible"
"#DOTA_RP_LOOKING_TO_TRADE"	"Souhaite échanger"
"#DOTA_RP_LOOKING_TO_PLAY"	"Souhaite jouer"
"#DOTA_RP_PLAYING_OTHER"	"Joue à un autre jeu"
"#DOTA_RP_ACCOUNT_DISABLED"	"Matchmaking temporairement désactivé"
"#DOTA_RP_QUEST"	"En mission d'entraînement"
"#DOTA_RP_BOTPRACTICE"	"Joue contre des bots"
"#DOTA_RP_COOPBOT"	"Match coop avec des bots"
"#DOTA_RP_TRAINING"	"En mission d'entraînement"
"#DOTA_RP_OPEN_SOLO"	"Cherche des joueurs pour former un groupe"
"#DOTA_RP_OPEN_PARTY"	"En attente de joueurs dans le groupe"
"#DOTA_RP_PLAYING_DOTA_S1"	"Joue à Dota 2"
"#custom_game_mode_status"	"Joue à un jeu custom"
"#npc_dota_hero_none"	"--"
"#npc_dota_hero_queenofpain"	"Queen of Pain"
"#npc_dota_hero_antimage"	"Anti-Mage"
"#npc_dota_hero_kunkka"	"Kunkka"
"#npc_dota_hero_lina"	"Lina"
"#npc_dota_hero_mirana"	"Mirana"
"#npc_dota_hero_slardar"	"Slardar"
"#npc_dota_hero_lion"	"Lion"
"#npc_dota_hero_phantom_assassin"	"Phantom Assassin"
"#npc_dota_hero_tidehunter"	"Tidehunter"
"#npc_dota_hero_witch_doctor"	"Witch Doctor"
"#npc_dota_hero_vengefulspirit"	"Vengeful Spirit"
"#npc_dota_hero_juggernaut"	"Juggernaut"
"#npc_dota_hero_earthshaker"	"Earthshaker"
"#npc_dota_hero_pudge"	"Pudge"
"#npc_dota_hero_bane"	"Bane"
"#npc_dota_hero_crystal_maiden"	"Crystal Maiden"
"#npc_dota_hero_sven"	"Sven"
"#npc_dota_hero_skeleton_king"	"Wraith King"
"#npc_dota_hero_storm_spirit"	"Storm Spirit"
"#npc_dota_hero_sand_king"	"Sand King"
"#npc_dota_hero_nevermore"	"Shadow Fiend"
"#npc_dota_hero_drow_ranger"	"Drow Ranger"
"#npc_dota_hero_axe"	"Axe"
"#npc_dota_hero_bloodseeker"	"Bloodseeker"
"#npc_dota_hero_phantom_lancer"	"Phantom Lancer"
"#npc_dota_hero_razor"	"Razor"
"#npc_dota_hero_morphling"	"Morphling"
"#npc_dota_hero_zuus"	"Zeus"
"#npc_dota_hero_tiny"	"Tiny"
"#npc_dota_hero_puck"	"Puck"
"#npc_dota_hero_windrunner"	"Windranger"
"#npc_dota_hero_lich"	"Lich"
"#npc_dota_hero_shadow_shaman"	"Shadow Shaman"
"#npc_dota_hero_riki"	"Riki"
"#npc_dota_hero_enigma"	"Enigma"
"#npc_dota_hero_tinker"	"Tinker"
"#npc_dota_hero_sniper"	"Sniper"
"#npc_dota_hero_necrolyte"	"Necrophos"
"#npc_dota_hero_warlock"	"Warlock"
"#npc_dota_hero_beastmaster"	"Beastmaster"
"#npc_dota_hero_venomancer"	"Venomancer"
"#npc_dota_hero_faceless_void"	"Faceless Void"
"#npc_dota_hero_death_prophet"	"Death Prophet"
"#npc_dota_hero_pugna"	"Pugna"
"#npc_dota_hero_templar_assassin"	"Templar Assassin"
"#npc_dota_hero_viper"	"Viper"
"#npc_dota_hero_luna"	"Luna"
"#npc_dota_hero_dragon_knight"	"Dragon Knight"
"#npc_dota_hero_dazzle"	"Dazzle"
"#npc_dota_hero_rattletrap"	"Clockwerk"
"#npc_dota_hero_leshrac"	"Leshrac"
"#npc_dota_hero_furion"	"Nature's Prophet"
"#npc_dota_hero_life_stealer"	"Lifestealer"
"#npc_dota_hero_dark_seer"	"Dark Seer"
"#npc_dota_hero_clinkz"	"Clinkz"
"#npc_dota_hero_omniknight"	"Omniknight"
"#npc_dota_hero_enchantress"	"Enchantress"
"#npc_dota_hero_huskar"	"Huskar"
"#npc_dota_hero_night_stalker"	"Night Stalker"
"#npc_dota_hero_broodmother"	"Broodmother"
"#npc_dota_hero_bounty_hunter"	"Bounty Hunter"
"#npc_dota_hero_weaver"	"Weaver"
"#npc_dota_hero_jakiro"	"Jakiro"
"#npc_dota_hero_batrider"	"Batrider"
"#npc_dota_hero_chen"	"Chen"
"#npc_dota_hero_spectre"	"Spectre"
"#npc_dota_hero_doom_bringer"	"Doom"
"#npc_dota_hero_ancient_apparition"	"Ancient Apparition"
"#npc_dota_hero_ursa"	"Ursa"
"#npc_dota_hero_spirit_breaker"	"Spirit Breaker"
"#npc_dota_hero_gyrocopter"	"Gyrocopter"
"#npc_dota_hero_alchemist"	"Alchemist"
"#npc_dota_hero_invoker"	"Invoker"
"#npc_dota_hero_silencer"	"Silencer"
"#npc_dota_hero_obsidian_destroyer"	"Outworld Devourer"
"#npc_dota_hero_lycan"	"Lycan"
"#npc_dota_hero_brewmaster"	"Brewmaster"
"#npc_dota_hero_shadow_demon"	"Shadow Demon"
"#npc_dota_hero_lone_druid"	"Lone Druid"
"#npc_dota_hero_chaos_knight"	"Chaos Knight"
"#npc_dota_hero_treant"	"Treant Protector"
"#npc_dota_hero_meepo"	"Meepo"
"#npc_dota_hero_ogre_magi"	"Ogre Magi"
"#npc_dota_hero_undying"	"Undying"
"#npc_dota_hero_rubick"	"Rubick"
"#npc_dota_hero_disruptor"	"Disruptor"
"#npc_dota_hero_nyx_assassin"	"Nyx Assassin"
"#npc_dota_hero_naga_siren"	"Naga Siren"
"#npc_dota_hero_keeper_of_the_light"	"Keeper of the Light"
"#npc_dota_hero_visage"	"Visage"
"#npc_dota_hero_wisp"	"Io"
"#npc_dota_hero_slark"	"Slark"
"#npc_dota_hero_medusa"	"Medusa"
"#npc_dota_hero_troll_warlord"	"Troll Warlord"
"#npc_dota_hero_centaur"	"Centaur Warrunner"
"#npc_dota_hero_magnataur"	"Magnus"
"#npc_dota_hero_shredder"	"Timbersaw"
"#npc_dota_hero_bristleback"	"Bristleback"
"#npc_dota_hero_tusk"	"Tusk"
"#npc_dota_hero_skywrath_mage"	"Skywrath Mage"
"#npc_dota_hero_abaddon"	"Abaddon"
"#npc_dota_hero_elder_titan"	"Elder Titan"
"#npc_dota_hero_legion_commander"	"Legion Commander"
"#npc_dota_hero_ember_spirit"	"Ember Spirit"
"#npc_dota_hero_earth_spirit"	"Earth Spirit"
