"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_antimage_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_antimage_laugh"	"Смях"
"[english]dota_chatwheel_label_antimage_laugh"	"Laugh"
"dota_chatwheel_message_antimage_thank"	"Ще им дам такъв пердах, който няма да забравят скоро!"
"[english]dota_chatwheel_message_antimage_thank"	"I'll give them a drubbing they'll not soon forget!"
"dota_chatwheel_label_antimage_thank"	"Ще им дам такъв пердах…"
"[english]dota_chatwheel_label_antimage_thank"	"I'll give them a drubbing..."
"dota_chatwheel_message_antimage_deny"	"Стараете ли се изобщо?"
"[english]dota_chatwheel_message_antimage_deny"	"Are you even trying?"
"dota_chatwheel_label_antimage_deny"	"Стараете ли се изобщо?"
"[english]dota_chatwheel_label_antimage_deny"	"Are you even trying?"
"dota_chatwheel_message_antimage_1"	"Магията е нещо отвратително."
"[english]dota_chatwheel_message_antimage_1"	"Magic is an abomination."
"dota_chatwheel_label_antimage_1"	"Магията е нещо отвратително."
"[english]dota_chatwheel_label_antimage_1"	"Magic is an abomination."
"dota_chatwheel_message_antimage_2"	"Какво разочарование."
"[english]dota_chatwheel_message_antimage_2"	"A disappointment."
"dota_chatwheel_label_antimage_2"	"Какво разочарование."
"[english]dota_chatwheel_label_antimage_2"	"A disappointment."
"dota_chatwheel_message_antimage_3"	"'Що не се измъкнете с магия от това."
"[english]dota_chatwheel_message_antimage_3"	"Magic thyself out of that."
"dota_chatwheel_label_antimage_3"	"'Що не се измъкнете с магия от това."
"[english]dota_chatwheel_label_antimage_3"	"Magic thyself out of that."
"dota_chatwheel_message_antimage_4"	"Прокълнати сте Вий!"
"[english]dota_chatwheel_message_antimage_4"	"Thou art damned!"
"dota_chatwheel_label_antimage_4"	"Прокълнати сте Вий."
"[english]dota_chatwheel_label_antimage_4"	"Thou art damned."
"dota_chatwheel_message_antimage_5"	"Изпратете легионите на своя мъртъв бог, а аз ще избия всинца от тях."
"[english]dota_chatwheel_message_antimage_5"	"Send thy Dead God's legions, I will put them all to death."
"dota_chatwheel_label_antimage_5"	"Изпратете легионите на своя мъртъв бог…"
"[english]dota_chatwheel_label_antimage_5"	"Send thy Dead God's legions..."
"dota_chatwheel_message_axe_laugh"	"Ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_axe_laugh"	"Ha ha ha ha ha ha!"
"dota_chatwheel_label_axe_laugh"	"Смях"
"[english]dota_chatwheel_label_axe_laugh"	"Laugh"
"dota_chatwheel_message_axe_thank"	"Axe много харесва това."
"[english]dota_chatwheel_message_axe_thank"	"Axe likes this very much."
"dota_chatwheel_label_axe_thank"	"Axe много харесва това."
"[english]dota_chatwheel_label_axe_thank"	"Axe likes this very much."
"dota_chatwheel_message_axe_deny"	"Нищо не заслужавате!"
"[english]dota_chatwheel_message_axe_deny"	"You deserve nothing!"
"dota_chatwheel_label_axe_deny"	"Нищо не заслужавате!"
"[english]dota_chatwheel_label_axe_deny"	"You deserve nothing!"
"dota_chatwheel_message_axe_1"	"Сражавахте се лошо… умряхте още по-зле."
"[english]dota_chatwheel_message_axe_1"	"You fought badly--died worse."
"dota_chatwheel_label_axe_1"	"Сражавахте се лошо…"
"[english]dota_chatwheel_label_axe_1"	"You fought badly"
"dota_chatwheel_message_axe_2"	"Казах хубав ден, сър!"
"[english]dota_chatwheel_message_axe_2"	"I said good day, sir!"
"dota_chatwheel_label_axe_2"	"Казах хубав ден, сър!"
"[english]dota_chatwheel_label_axe_2"	"I said good day, sir!"
"dota_chatwheel_message_axe_3"	"Axe е преценил погрешно?"
"[english]dota_chatwheel_message_axe_3"	"Axe misjudged?"
"dota_chatwheel_label_axe_3"	"Axe е преценил погрешно?"
"[english]dota_chatwheel_label_axe_3"	"Axe misjudged?"
"dota_chatwheel_message_axe_4"	"Axe няма време за всички тия врели-некипели."
"[english]dota_chatwheel_message_axe_4"	"Axe has no time for all this jibber-jabber."
"dota_chatwheel_label_axe_4"	"Axe няма време за всички тия врели-некипели."
"[english]dota_chatwheel_label_axe_4"	"Axe has no time for all this jibber-jabber."
"dota_chatwheel_message_axe_5"	"Какво Ви сполетя ли? Axe Ви сполетя!"
"[english]dota_chatwheel_message_axe_5"	"What happened? Axe happened!"
"dota_chatwheel_label_axe_5"	"Какво Ви сполетя ли? Axe Ви сполетя!"
"[english]dota_chatwheel_label_axe_5"	"What happened? Axe happened!"
"dota_chatwheel_message_bane_laugh"	"Ха-ха-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_bane_laugh"	"Ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_bane_laugh"	"Смях"
"[english]dota_chatwheel_label_bane_laugh"	"Laugh"
"dota_chatwheel_message_bane_thank"	"Токова сте мили."
"[english]dota_chatwheel_message_bane_thank"	"You're so nice."
"dota_chatwheel_label_bane_thank"	"Токова сте мили."
"[english]dota_chatwheel_label_bane_thank"	"You're so nice."
"dota_chatwheel_message_bane_deny"	"Повече късмет следващият път."
"[english]dota_chatwheel_message_bane_deny"	"Better luck next time."
"dota_chatwheel_label_bane_deny"	"Повече късмет следващият път."
"[english]dota_chatwheel_label_bane_deny"	"Better luck next time."
"dota_chatwheel_message_bane_1"	"Проклятието на съществуванието Ви."
"[english]dota_chatwheel_message_bane_1"	"Bane of your existence."
"dota_chatwheel_label_bane_1"	"Проклятието на съществуванието Ви."
"[english]dota_chatwheel_label_bane_1"	"Bane of your existence."
"dota_chatwheel_message_bane_2"	"Мечтаех си за този миг."
"[english]dota_chatwheel_message_bane_2"	"I've been dreaming of this moment."
"dota_chatwheel_label_bane_2"	"Мечтаех си за този миг."
"[english]dota_chatwheel_label_bane_2"	"I've been dreaming of this moment."
"dota_chatwheel_message_bane_3"	"Справедлива размяна."
"[english]dota_chatwheel_message_bane_3"	"Fair exchange."
"dota_chatwheel_label_bane_3"	"Справедлива размяна."
"[english]dota_chatwheel_label_bane_3"	"Fair exchange."
"dota_chatwheel_message_bane_4"	"Сега кошмарът Ви ще трае навеки."
"[english]dota_chatwheel_message_bane_4"	"Now your nightmare lasts forever."
"dota_chatwheel_label_bane_4"	"Сега кошмарът Ви ще трае навеки."
"[english]dota_chatwheel_label_bane_4"	"Now your nightmare lasts forever."
"dota_chatwheel_message_bane_5"	"Ах, да, да, да, да, да, даа, даааа!"
"[english]dota_chatwheel_message_bane_5"	"Ah ya ya ya ya ya yai eeyas!"
"dota_chatwheel_label_bane_5"	"Ах, да, да, да, да, да, даа, даааа!"
"[english]dota_chatwheel_label_bane_5"	"Ah ya ya ya ya ya yai eeyas!"
"dota_chatwheel_message_bloodseeker_laugh"	"Хмм-хех-хех-хех-хех-ха!"
"[english]dota_chatwheel_message_bloodseeker_laugh"	"Hmm-heh-heh-heh-heh-ha!"
"dota_chatwheel_label_bloodseeker_laugh"	"Смях"
"[english]dota_chatwheel_label_bloodseeker_laugh"	"Laugh"
"dota_chatwheel_message_bloodseeker_thank"	"Толкова много кръв."
"[english]dota_chatwheel_message_bloodseeker_thank"	"So much blood."
"dota_chatwheel_label_bloodseeker_thank"	"Толкова много кръв."
"[english]dota_chatwheel_label_bloodseeker_thank"	"So much blood."
"dota_chatwheel_message_bloodseeker_deny"	"За Вас няма кръв."
"[english]dota_chatwheel_message_bloodseeker_deny"	"No blood for you."
"dota_chatwheel_label_bloodseeker_deny"	"За Вас няма кръв."
"[english]dota_chatwheel_label_bloodseeker_deny"	"No blood for you."
"dota_chatwheel_message_bloodseeker_1"	"Привижда ми се червено… и това е невероятно!"
"[english]dota_chatwheel_message_bloodseeker_1"	"I'm seeing red...and it's amazing!"
"dota_chatwheel_label_bloodseeker_1"	"Привижда ми се червено… и това е невероятно!"
"[english]dota_chatwheel_label_bloodseeker_1"	"I'm seeing red...and it's amazing!"
"dota_chatwheel_message_bloodseeker_2"	"Не бъдете песимисти… Бъдете оптимисти."
"[english]dota_chatwheel_message_bloodseeker_2"	"Don't be negative...be positive."
"dota_chatwheel_label_bloodseeker_2"	"Не бъдете песимисти…"
"[english]dota_chatwheel_label_bloodseeker_2"	"Don't be negative..."
"dota_chatwheel_message_bloodseeker_3"	"Хайде… побегнете."
"[english]dota_chatwheel_message_bloodseeker_3"	"Go ahead...run."
"dota_chatwheel_label_bloodseeker_3"	"Хайде… побегнете."
"[english]dota_chatwheel_label_bloodseeker_3"	"Go ahead...run."
