"lang"
{ 
	"Language" "japanese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"HP"					// $health
		"dota_ability_variable_mana"				"マナ"						// $mana
		"dota_ability_variable_armor"				"アーマー"						// $armor
		"dota_ability_variable_damage"				"ダメージ"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"すべての属性"			// $all
		"dota_ability_variable_attack"				"攻撃速度"				// $attack
		"dota_ability_variable_mana_regen"			"マナ自然回復"			// $mana_regen
		"dota_ability_variable_spell_amp"			"スペルダメージ"				// $spell_amp
		"dota_ability_variable_move_speed"			"移動速度"			// $move_speed
		"dota_ability_variable_evasion"				"回避"					// $evasion
		"dota_ability_variable_selected_attrib"		"選択中の属性"		// $selected_attribute
		"dota_ability_variable_attack_range"		"攻撃範囲 <font color='#7d7d7d'>(Ranged のみ)</font>"	// $attack_range
		"dota_ability_variable_cast_range"			"キャスト範囲"				// $cast_range
//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"属性値ボーナス"
		"DOTA_Tooltip_ability_attribute_bonus_Description"								"ポイントを使用するごとにすべての属性値を上昇させる"
		"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"				"ボーナス："

		"DOTA_Tooltip_Ability_invoker_attribute_bonus"									"属性ボーナス"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_Description"						"ポイント消費ごとにすべての属性を向上"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_attribute_bonus_per_level"		"ボーナス:"

		//ATTACK
		"DOTA_Tooltip_ability_default_attack"											"攻撃"
		"DOTA_Tooltip_ability_default_attack_Description"								"直接攻撃によるダメージ。"
		
		//FOUNTAIN
		"DOTA_Tooltip_ability_fountain_glyph"											"Glyph of Fortification {s:glyph_hotkey}"
		"DOTA_Tooltip_ability_fountain_glyph_duration"									"持続時間："
		"DOTA_Tooltip_glyph_cooldown_ready"												"使用可能"
		"DOTA_Tooltip_glyph_cooldown"													"クールダウン: %s1"
		"DOTA_Tooltip_ability_fountain_buyback"											"バイバック"
		"DOTA_Tooltip_ability_fountain_buyback_Description"								"ゴールドを消費して、直ちに復活する。"
		"DOTA_Tooltip_ability_fountain_buyback_cost"									"コスト:"
		"DOTA_Tooltip_radar_cooldown_ready"												"使用可能"
		"DOTA_Tooltip_radar_cooldown"													"クールダウン: %s1"

		// Courier Tooltip		
		"DOTA_Tooltip_courier_status"													"クーリエのステータス"
		"DOTA_Tooltip_courier_no_couriers"												"クーリエが見つかりません"
		"DOTA_Tooltip_courier_status_at_base"											"ベースにいる"					// idle at the fountain, or working with the stash
		"DOTA_Tooltip_courier_status_idle_in_world"										"フィールド上で待機中"			// idle somewhere out in the world
		"DOTA_Tooltip_courier_status_moving"											"移動中"				// moving somewhere
