"lang"
{
"Language"	"dutch"
"Tokens"
{
"GameUI_ReverseMouse"	"Muisrichting omkeren"
"[english]GameUI_ReverseMouse"	"Reverse mouse"
"GameUI_ReverseMouseLabel"	"Omhoog/omlaag"
"[english]GameUI_ReverseMouseLabel"	"Reverse mouse up-down axis"
"GameUI_MouseLook"	"Kijken met de muis"
"[english]GameUI_MouseLook"	"Mouse look"
"GameUI_MouseLookLabel"	"Kijk met de muis om je heen"
"[english]GameUI_MouseLookLabel"	"Use the mouse to look around"
"GameUI_MouseFilter"	"Muis filteren"
"[english]GameUI_MouseFilter"	"Mouse filter"
"GameUI_MouseFilterLabel"	"Muisbeweging over 2 frames versoepelen."
"[english]GameUI_MouseFilterLabel"	"Smooth out mouse movement over 2 frames."
"GameUI_MouseSensitivity"	"Muisgevoeligheid"
"[english]GameUI_MouseSensitivity"	"Mouse sensitivity"
"GameUI_Joystick"	"Gamepad"
"[english]GameUI_Joystick"	"Gamepad"
"GameUI_JoystickLabel"	"Gamepad inschakelen"
"[english]GameUI_JoystickLabel"	"Enable the gamepad"
"GameUI_ReverseJoystick"	"Gamepadrichting omkeren (omhoog/omlaag)"
"[english]GameUI_ReverseJoystick"	"Reverse gamepad up-down axis"
"GameUI_JoystickLook"	"Kijken met de joystick"
"[english]GameUI_JoystickLook"	"Joystick look"
"GameUI_JoystickLookLabel"	"Kijk met de gamepad om je heen"
"[english]GameUI_JoystickLookLabel"	"Use the gamepad to look around"
"GameUI_JoystickLookType"	"Weergavetype"
"[english]GameUI_JoystickLookType"	"Look type"
"GameUI_JoystickNormal"	"Normaal"
"[english]GameUI_JoystickNormal"	"Normal"
"GameUI_JoystickInverted"	"Omgekeerd"
"[english]GameUI_JoystickInverted"	"Inverted"
"GameUI_JoystickMoveLookSticks"	"Sticks voor bewegen/kijken"	[$WIN32]
"[english]GameUI_JoystickMoveLookSticks"	"Move/Look sticks"
"GameUI_JoystickMoveLookSticks"	"Analoge sticks"	[$X360]
"[english]GameUI_JoystickMoveLookSticks"	"Thumbsticks"
"GameUI_JoystickSouthpaw"	"Sticks omwisselen op controllers met twee sticks"	[$WIN32]
"[english]GameUI_JoystickSouthpaw"	"Swap sticks on dual-stick controllers"
"GameUI_JoystickSouthpaw"	"Southpaw (Linkshandig)"	[$X360]
"[english]GameUI_JoystickSouthpaw"	"Southpaw"
"GameUI_JoystickLookSpeedPitch"	"Verticale gevoeligheid"
"[english]GameUI_JoystickLookSpeedPitch"	"Vertical sensitivity"
"GameUI_JoystickLookSpeedYaw"	"Horizontale gevoeligheid"
"[english]GameUI_JoystickLookSpeedYaw"	"Horizontal sensitivity"
"GameUI_JoystickDuckZoomMode"	"Buk-/zoommodus"
"[english]GameUI_JoystickDuckZoomMode"	"Duck/Zoom mode"
"GameUI_JoystickDuckMode"	"Bukmodus"
"[english]GameUI_JoystickDuckMode"	"Duck mode"
"GameUI_JoystickSprintMode"	"Sticky Sprint"
"[english]GameUI_JoystickSprintMode"	"Sticky Sprint"
"GameUI_AutoAim"	"Automatisch richten"
"[english]GameUI_AutoAim"	"Auto-Aim"
"GameUI_AutoaimLabel"	"Richt automatisch op de vijand."
"[english]GameUI_AutoaimLabel"	"Aims at enemies automatically."
"GameUI_ContentLock"	"Contentvergrendeling"
"[english]GameUI_ContentLock"	"Content lock"
"GameUI_ContentLockLabel"	"Druk op deze knop en geef het wachtwoord op om de vergrendeling uit te schakelen voor\nbeelden die niet geschikt zijn voor jongere spelers."
"[english]GameUI_ContentLockLabel"	"Press this button and enter password to disable\nvisuals inappropriate for younger players."
"GameUI_ContentStatusDisabled"	"Geef een wachtwoord op om de contentvergrendeling te activeren."
"[english]GameUI_ContentStatusDisabled"	"Enter a password to enable the content lock."
"GameUI_ContentStatusEnabled"	"Geef een wachtwoord op om de contentvergrendeling uit te schakelen."
"[english]GameUI_ContentStatusEnabled"	"Enter a password to disable the content lock."
"GameUI_Enable"	"Inschakelen"
"[english]GameUI_Enable"	"Enable"
"GameUI_Disable"	"Uitschakelen"
"[english]GameUI_Disable"	"Disable"
"GameUI_PasswordPrompt"	"Geef een wachtwoord op"
"[english]GameUI_PasswordPrompt"	"Please enter a password"
"GameUI_PasswordDisablePrompt"	"Geef wachtwoord op"
"[english]GameUI_PasswordDisablePrompt"	"Please enter password"
"GameUI_PasswordReentryPrompt"	"Geef het wachtwoord opnieuw op"
"[english]GameUI_PasswordReentryPrompt"	"Re-enter a password"
"GameUI_Cancel"	"Annuleren"
"[english]GameUI_Cancel"	"Cancel"
"GameUI_Back"	"Terug"
"[english]GameUI_Back"	"Back"
"GameUI_Apply"	"Toepassen"
"[english]GameUI_Apply"	"Apply"
"GameUI_DemoPlayer"	"Demospeler"
"[english]GameUI_DemoPlayer"	"Demo Player"
"GameUI_LoadDemo"	"Demobestand kiezen"
"[english]GameUI_LoadDemo"	"Choose Demo File"
"GameUI_Load"	"Laden"
"[english]GameUI_Load"	"Load"
"GameUI_DemoFile"	"Demobestand"
"[english]GameUI_DemoFile"	"Demo File"
"GameUI_Map"	"Map"
"[english]GameUI_Map"	"Map"
"GameUI_Close"	"Sluiten"
"[english]GameUI_Close"	"Close"
"GameUI_NeverShowButton"	"Dit dialoogvenster niet meer weergeven"
"[english]GameUI_NeverShowButton"	"Do not show this dialog again"
"GameUI_BonusMapsHelp"	"Selecteer een bonusmap hieronder en klik vervolgens op 'Laden'"
"[english]GameUI_BonusMapsHelp"	"Select a bonus map or folder below, then click 'Load'"
"GameUI_BonusMaps"	"BONUSMAPS"
"[english]GameUI_BonusMaps"	"BONUS MAPS"
"GameUI_BonusMapsCompletion"	"Voltooid"
"[english]GameUI_BonusMapsCompletion"	"Complete"
"GameUI_BonusMapsUnlocked"	"+Bonus"
"[english]GameUI_BonusMapsUnlocked"	"+Bonus"
"GameUI_BonusMapsStandard"	"Standaard"
"[english]GameUI_BonusMapsStandard"	"Standard"
"GameUI_BonusMapsAdvanced"	"Geavanceerd"
"[english]GameUI_BonusMapsAdvanced"	"Advanced"
"GameUI_BonusMapsBest"	"Beste: %s1"
"[english]GameUI_BonusMapsBest"	"Best: %s1"
"GameUI_BonusMapsGoal"	"Doel: %s1"
"[english]GameUI_BonusMapsGoal"	"Goal: %s1"
"GameUI_LoadGameHelp"	"Kies een opgeslagen spel in de onderstaande lijst en klik daarna op Spel laden."
"[english]GameUI_LoadGameHelp"	"Select a saved game in the list below, then click 'Load game'."
"GameUI_LoadGame"	"SPEL LADEN"
"[english]GameUI_LoadGame"	"LOAD GAME"
"GameUI_MultiplayerAdvanced"	"VOOR MEERDERE SPELERS - GEAVANCEERD"
"[english]GameUI_MultiplayerAdvanced"	"MULTIPLAYER ADVANCED"
"GameUI_MultiplayerCustomize"	"Aanpassen voor meerdere spelers"
"[english]GameUI_MultiplayerCustomize"	"Multiplayer Customize"
"GameUI_Multiplayer"	"Meerdere spelers"
"[english]GameUI_Multiplayer"	"Multiplayer"
"GameUI_OK"	"OK"
"[english]GameUI_OK"	"OK"
"GameUI_AdvancedEllipsis"	"Geavanceerd..."
"[english]GameUI_AdvancedEllipsis"	"Advanced..."
"GameUI_AdvancedNoEllipsis"	"Geavanceerd"
"[english]GameUI_AdvancedNoEllipsis"	"Advanced"
"GameUI_PlayerName"	"Naam speler"
"[english]GameUI_PlayerName"	"Player name"
"GameUI_PrimaryColor"	"Primaire kleur"
"[english]GameUI_PrimaryColor"	"Primary color"
"GameUI_SecondaryColor"	"Secundaire kleur"
"[english]GameUI_SecondaryColor"	"Secondary color"
"GameUI_HighModels"	"Modellen van hoge kwaliteit gebruiken"
"[english]GameUI_HighModels"	"Use high quality models"
"GameUI_PlayerModel"	"Model speler"
"[english]GameUI_PlayerModel"	"Player model"
"GameUI_SpraypaintImage"	"Graffitibeeld"
"[english]GameUI_SpraypaintImage"	"Spraypaint image"
"GameUI_SpraypaintServerNote"	"Als je je graffitibeeld verandert, merk je dat pas als je je aanmeldt bij een server."
"[english]GameUI_SpraypaintServerNote"	"Changes to your spraypaint image take effect when you join a server."
"GameUI_NewGame"	"NIEUW SPEL"
"[english]GameUI_NewGame"	"NEW GAME"
"GameUI_NewGameHelpText"	"Kies een moeilijkheidsgraad of kies voor de Trainingsruimte\nen klik daarna op Spelen."
"[english]GameUI_NewGameHelpText"	"Select a level of difficulty or the Training\nroom, then click 'Play'."
"GameUI_TrainingRoom"	"TRAININGSRUIMTE"
"[english]GameUI_TrainingRoom"	"TRAINING ROOM"
"GameUI_Easy"	"Gemakkelijk"
"[english]GameUI_Easy"	"Easy"
"GameUI_Medium"	"Normaal"
"[english]GameUI_Medium"	"Medium"
"GameUI_Hard"	"Moeilijk"
"[english]GameUI_Hard"	"Hard"
