"lang"
{
"Language"	"korean"
"Tokens"
{
"#DOTA_RP_INIT"	"주 메뉴"
"#DOTA_RP_IDLE"	"주 메뉴 (자리 비움)"
"#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: 참가 대기 중"
"#DOTA_RP_COACHING"					"{%param0%}: 멘토링"
"#DOTA_RP_HERO_SELECTION"	"{%param0%}: 영웅 선택"
"#DOTA_RP_STRATEGY_TIME"	"{%param0%}: 작전 시간"
"#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}: 게임 불러오기 대기 중"
"#DOTA_RP_PRE_GAME"	"{%param0%}: 게임 준비 중"
"#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}: 게임 중"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"%param0% 플레이 중"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"맞춤 플레이 게임 중"
"#DOTA_RP_LOBBY_CUSTOM"	"%param0% 로비"
"#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"맞춤 게임 로비"
"#DOTA_RP_PLAYING_AS"	"{%param0%}: {%param2%} %param1%레벨"
"#DOTA_RP_POST_GAME"	"{%param0%}: 게임 종료 후"
"#DOTA_RP_DISCONNECT"	"{%param0%}: 연결을 끊는 중"
"#DOTA_RP_SPECTATING"	"관전 중"
"#DOTA_RP_CASTING"	"게임 캐스팅 중"
"#DOTA_RP_PRIVATE_LOBBY"	"비공개 로비"
"#DOTA_RP_LEAGUE_MATCH"	"대회 경기 플레이"
"#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}: {%param1%}(대회)"
"#DOTA_RP_WATCHING_REPLAY"	"리플레이 관전 중"
"#DOTA_RP_WATCHING_TOURNAMENT"	"토너먼트 게임 관전 중"
"#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"토너먼트 리플레이 보는 중"
"#DOTA_RP_FINDING_MATCH"	"매치 찾는 중"
"#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"해괴수 격돌 찾는 중"
"#DOTA_RP_FINDING_EVENT_MATCH"	"{%param0%} 매치 찾는 중"
"#DOTA_RP_PLAYING_EVENT_MATCH"	"{%param0%} 플레이 중"
"#dota_rp_playing_event_match_2020"	 "미궁: {%param0%} 깊이 %param1%층"
"#DOTA_RP_UNKNOWN_EVENT_GAME"	"맞춤 이벤트"
"#DOTA_RP_SPECTATING_WHILE_FINDING"	"매치 찾으면서 관전"
"#DOTA_RP_PENDING"	"친구 요청 수락 대기 중"
"#DOTA_RP_ONLINE"	"온라인"
"#DOTA_RP_BUSY"	"다른 용무 중"
"#DOTA_RP_AWAY"	"자리 비움"
"#DOTA_RP_SNOOZE"	"수면 중"
"#DOTA_RP_LOOKING_TO_TRADE"	"거래할 사람 찾는 중"
"#DOTA_RP_LOOKING_TO_PLAY"	"같이 게임 해요"
"#DOTA_RP_PLAYING_OTHER"	"다른 게임 플레이 중"
"#DOTA_RP_ACCOUNT_DISABLED"	"매치메이킹이 일시적으로 비활성화되었습니다"
"#DOTA_RP_QUEST"	"배우기 임무 중"
"#DOTA_RP_BOTPRACTICE"	"봇을 상대로 플레이 중"
"#DOTA_RP_COOPBOT"	"협동 봇 매치"
"#DOTA_RP_TRAINING"	"배우기 임무 중"
"#DOTA_RP_OPEN_SOLO"	"함께 플레이할 파티원 찾는 중"
"#DOTA_RP_OPEN_PARTY"	"파티에 참여할 플레이어 찾는 중"
"#DOTA_RP_PLAYING_DOTA_S1"	"도타 2 플레이 중"
"#DOTA_RP_TOURNEY_REGISTERING"				"{%param0%} Battle Cup 등록하는 중"
"#DOTA_RP_TOURNEY_FINDING_MATCH"			"{%param1%} 상대 찾는 중"
"#DOTA_RP_TOURNEY_BETWEEN_GAMES"			"Battle Cup {%param1%} (휴식 시간)"
"#DOTA_RP_TOURNEY_GAME_IN_PROGRESS"			"Battle Cup {%param0%}"
"#DOTA_RP_TOURNEY_PLAYING_AS"				"{%param1%}|으로|로| Battle Cup {%param2%}"
"#weekendtourney_round_quarterfinals"		"준준결승전"
"#weekendtourney_round_semifinals"			"준결승전"
"#weekendtourney_round_finals"				"최종 결승전"
"#DOTA_EventGameName_International2018" "지하동굴"
"#custom_game_mode_status"	"맞춤 플레이 게임 중"
"#DOTA_EventName_Frostivus2018"	"서리안식처"
"#DOTA_EventGameName_International2020"	"아가님의 미궁"
"#DOTA_EventGameName_Diretide2020" 			"다이어타이드"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH"			"다이어타이드: {%param1%}|으로|로| %param0%라운드"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH_PREGAME"	"다이어타이드: 영웅 선택"
"#dota_eventgamedifficulty_international2020_0" 	"수습생"
"#dota_eventgamedifficulty_international2020_1" 	"마술사"
"#dota_eventgamedifficulty_international2020_2" 	"마법사"
"#dota_eventgamedifficulty_international2020_3" 	"대마도사"
"#dota_eventgamedifficulty_international2020_4" 	"정점의 마법사"
"#npc_dota_hero_none"	"--"
"#npc_dota_hero_queenofpain"	"고통의 여왕"
"#npc_dota_hero_antimage"	"항마사"
"#npc_dota_hero_kunkka"	"컨카"
"#npc_dota_hero_lina"	"리나"
"#npc_dota_hero_mirana"	"미라나"
"#npc_dota_hero_slardar"	"슬라다"
"#npc_dota_hero_lion"	"라이온"
"#npc_dota_hero_phantom_assassin"	"유령 자객"
"#npc_dota_hero_tidehunter"	"파도사냥꾼"
"#npc_dota_hero_witch_doctor"	"저주술사"
"#npc_dota_hero_vengefulspirit"	"복수 혼령"
"#npc_dota_hero_juggernaut"	"가면무사"
"#npc_dota_hero_earthshaker"	"지진술사"
"#npc_dota_hero_pudge"	"퍼지"
"#npc_dota_hero_bane"	"악몽의 그림자"
"#npc_dota_hero_crystal_maiden"	"수정의 여인"
"#npc_dota_hero_sven"	"스벤"
"#npc_dota_hero_skeleton_king"	"망령 제왕"
"#npc_dota_hero_storm_spirit"	"폭풍령"
"#npc_dota_hero_sand_king"	"모래 제왕"
"#npc_dota_hero_nevermore"	"그림자 마귀"
"#npc_dota_hero_drow_ranger"	"드로우 레인저"
"#npc_dota_hero_axe"	"도끼전사"
"#npc_dota_hero_bloodseeker"	"혈귀"
"#npc_dota_hero_phantom_lancer"	"환영 창기사"
"#npc_dota_hero_razor"	"레이저"
"#npc_dota_hero_morphling"	"모플링"
"#npc_dota_hero_zuus"	"제우스"
"#npc_dota_hero_tiny"	"타이니"
"#npc_dota_hero_puck"	"퍽"
"#npc_dota_hero_windrunner"	"바람순찰자"
"#npc_dota_hero_lich"	"리치"
"#npc_dota_hero_shadow_shaman"	"그림자 주술사"
"#npc_dota_hero_riki"	"리키"
"#npc_dota_hero_enigma"	"에니그마"
"#npc_dota_hero_tinker"	"땜장이"
"#npc_dota_hero_sniper"	"저격수"
"#npc_dota_hero_necrolyte"	"강령사제"
"#npc_dota_hero_warlock"	"흑마법사"
"#npc_dota_hero_beastmaster"	"야수지배자"
"#npc_dota_hero_venomancer"	"맹독사"
"#npc_dota_hero_faceless_void"	"얼굴없는 전사"
"#npc_dota_hero_death_prophet"	"죽음의 예언자"
"#npc_dota_hero_pugna"	"퍼그나"
"#npc_dota_hero_templar_assassin"	"암살 기사"
"#npc_dota_hero_viper"	"바이퍼"
"#npc_dota_hero_luna"	"루나"
"#npc_dota_hero_dragon_knight"	"용기사"
"#npc_dota_hero_dazzle"	"대즐"
"#npc_dota_hero_rattletrap"	"태엽장이"
"#npc_dota_hero_leshrac"	"레슈락"
"#npc_dota_hero_furion"	"자연의 예언자"
"#npc_dota_hero_life_stealer"	"흡혈마"
"#npc_dota_hero_dark_seer"	"어둠 현자"
"#npc_dota_hero_clinkz"	"클링츠"
"#npc_dota_hero_omniknight"	"전능기사"
"#npc_dota_hero_enchantress"	"요술사"
"#npc_dota_hero_huskar"	"허스카"
"#npc_dota_hero_night_stalker"	"밤의 추격자"
"#npc_dota_hero_broodmother"	"거미여왕"
"#npc_dota_hero_bounty_hunter"	"현상금 사냥꾼"
"#npc_dota_hero_weaver"	"길쌈꾼"
"#npc_dota_hero_jakiro"	"자키로"
"#npc_dota_hero_batrider"	"박쥐기수"
"#npc_dota_hero_chen"	"첸"
"#npc_dota_hero_spectre"	"악령"
"#npc_dota_hero_doom_bringer"	"파멸의 사도"
"#npc_dota_hero_ancient_apparition"	"고대 영혼"
"#npc_dota_hero_ursa"	"우르사"
"#npc_dota_hero_spirit_breaker"	"영혼 파괴자"
"#npc_dota_hero_gyrocopter"	"자이로콥터"
"#npc_dota_hero_alchemist"	"연금술사"
"#npc_dota_hero_invoker"	"원소술사"
"#npc_dota_hero_silencer"	"침묵술사"
