"lang"
{ 
	"Language" "schinese" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"特价！"
		"DOTA_SalePrice"		"特价"
		"DOTA_MoreInfo"			"更多信息"
		"DOTA_MoreInformation"	"更多信息"
		
		"DOTA_AttackMove"		"攻击移动/强制攻击"
		"DOTA_Move"			"移动"
		"DOTA_UnitQuery"		"查看对象/单位"
		"DOTA_ExecuteAbility0"		"技能1"
		"DOTA_ExecuteAbility1"		"技能2"
		"DOTA_ExecuteAbility2"		"技能3"
		"DOTA_ExecuteAbility3"		"技能4"
		"DOTA_ExecuteAbility4"		"技能5"
		"DOTA_ExecuteAbility5"		"终极技能"
		"DOTA_AutocastAbility0"		"自动施放技能1"
		"DOTA_AutocastAbility1"		"自动施放技能2"
		"DOTA_AutocastAbility2"		"自动施放技能3"
		"DOTA_AutocastAbility3"		"自动施放技能4"
		"DOTA_AutocastAbility4"		"自动施放技能5"
		"DOTA_AutocastAbility5"		"自动施放终极技能"
		"DOTA_QuickCastAbility0"	"快速施法技能1"
		"DOTA_QuickCastAbility1"	"快速施法技能2"
		"DOTA_QuickCastAbility2"	"快速施法技能3"
		"DOTA_QuickCastAbility3"	"快速施法技能4"
		"DOTA_QuickCastAbility4"	"快速施法技能5"
		"DOTA_QuickCastAbility5"	"快速施法终极技能"
		"DOTA_CourierAbility1"		"返回基地"
		"DOTA_CourierAbility2"		"前往神秘商店"
		"DOTA_CourierAbility3"		"寄存物品至储藏处"
		"DOTA_CourierAbility4"		"从储藏处取回物品"
		"DOTA_CourierAbility5"		"运送物品"
		"DOTA_CourierAbility6"		"加速"
		"DOTA_NeutralAbility1"		"中立生物技能1"
		"DOTA_NeutralAbility2"		"中立生物技能2"
		"DOTA_NeutralAbility3"		"中立生物技能3"
		"DOTA_NeutralAbility4"		"中立生物技能4"
		"DOTA_NeutralAbility5"		"中立生物技能5"
		"DOTA_NeutralAbility6"		"中立生物终极技能"
		"DOTA_RespawnTime"			"%s1秒后重生"
		"DOTA_RespawnOutOfLives"	"无法复活，复活次数已达上限"
		"DOTA_RespawnTimeShort"		"%s1秒后重生"
		"DOTA_UnitLevel"		"等级%s1"
		"DOTA_StrengthStatus"		"%s1力量"
		"DOTA_STR"			"力量"
		"DOTA_AgilityStatus"		"%s1敏捷"
		"DOTA_AGI"			"敏捷"
		"DOTA_IntellectStatus"		"%s1智力"
		"DOTA_INT"			"智力"
		"DOTA_DamageStatus"		"%s1攻击力"
		"DOTA_ArmorStatus"		"%s1护甲"
		"DOTA_ARMOR"			"护甲"
		"DOTA_UnitHold"			"固守原位"
		"DOTA_UnitStop"			"停止行动"
		"DOTA_LevelUp_Req"		"需要英雄等级%s1"
		"DOTA_AttributesUp"		"等级%s1"
		"DOTA_Abilities"		"技能"
		"DOTA_Items"			"已装备物品"
		"DOTA_Shop"			"打开商店"
		"DOTA_HUDShop"	"商店"
		"DOTA_AttribArmor"		"护甲"
