"lang"
{
"Language"	"schinese"
"Tokens"
{
"#DOTA_RP_INIT"	"主菜单（空闲）"
"#DOTA_RP_IDLE"	"主菜单"
"#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: 等待其他玩家读取游戏"
"#DOTA_RP_COACHING"					"{%param0%}: 教练"
"#DOTA_RP_HERO_SELECTION"	"{%param0%}: 英雄选择"
"#DOTA_RP_STRATEGY_TIME"	"{%param0%}：策略时间"
"#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}：等待游戏载入"
"#DOTA_RP_PRE_GAME"	"{%param0%}：赛前"
"#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}：游戏中"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"正在进行 %param0%"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"进行自定义游戏"
"#DOTA_RP_LOBBY_CUSTOM"	"%param0%房间"
"#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"自定义游戏房间"
"#DOTA_RP_PLAYING_AS"	"{%param0%}：{%param2%}（%param1%级）"
"#DOTA_RP_POST_GAME"	"{%param0%}：赛后"
"#DOTA_RP_DISCONNECT"	"{%param0%}：正在断开连接"
"#DOTA_RP_SPECTATING"	"观战中"
"#DOTA_RP_CASTING"	"正在解说比赛"
"#DOTA_RP_PRIVATE_LOBBY"	"私人房间"
"#DOTA_RP_LEAGUE_MATCH"	"正在参加一项锦标赛"
"#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}：{%param1%}（锦标赛）"
"#DOTA_RP_WATCHING_REPLAY"	"观看录像"
"#DOTA_RP_WATCHING_TOURNAMENT"	"正在观看锦标赛"
"#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"正在观看比赛录像"
"#DOTA_RP_FINDING_MATCH"	"寻找比赛中"
"#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"寻找年兽乱斗比赛"
"#DOTA_RP_FINDING_EVENT_MATCH"	"寻找{%param0%}比赛"
"#DOTA_RP_PLAYING_EVENT_MATCH"	"正在游玩{%param0%}"
"#dota_rp_playing_event_match_2020"	 "天地迷宫：{%param0%} 第%param1%层"
"#DOTA_RP_UNKNOWN_EVENT_GAME"	"自定义活动"
"#DOTA_RP_SPECTATING_WHILE_FINDING"	"边寻找比赛边观战"
"#DOTA_RP_PENDING"	"请求加为好友"
"#DOTA_RP_ONLINE"	"在线"
"#DOTA_RP_BUSY"	"忙碌"
"#DOTA_RP_AWAY"	"离开"
"#DOTA_RP_SNOOZE"	"打盹"
"#DOTA_RP_LOOKING_TO_TRADE"	"想交易"
"#DOTA_RP_LOOKING_TO_PLAY"	"想玩游戏"
"#DOTA_RP_PLAYING_OTHER"	"进行其它游戏"
"#DOTA_RP_ACCOUNT_DISABLED"	"匹配比赛已被暂时禁用"
"#DOTA_RP_QUEST"	"训练任务中"
"#DOTA_RP_BOTPRACTICE"	"进行机器人对抗赛"
"#DOTA_RP_COOPBOT"	"合作对抗机器人比赛"
"#DOTA_RP_TRAINING"	"训练任务中"
"#DOTA_RP_OPEN_SOLO"	"正在寻找开黑队友"
"#DOTA_RP_OPEN_PARTY"	"正在寻找开黑队友"
"#DOTA_RP_PLAYING_DOTA_S1"	"正在玩Dota 2"
"#DOTA_RP_TOURNEY_REGISTERING"				"参加{%param0%}勇士联赛"
"#DOTA_RP_TOURNEY_FINDING_MATCH"			"寻找{%param1%}对手中"
"#DOTA_RP_TOURNEY_BETWEEN_GAMES"			"勇士联赛{%param1%}（中场休息）"
"#DOTA_RP_TOURNEY_GAME_IN_PROGRESS"			"勇士联赛{%param0%}"
"#DOTA_RP_TOURNEY_PLAYING_AS"				"勇士联赛{%param2%}中使用{%param1%}"
"#weekendtourney_round_quarterfinals"		"四分之一决赛"
"#weekendtourney_round_semifinals"			"半决赛"
"#weekendtourney_round_finals"				"总决赛"
"#DOTA_EventGameName_International2018" "幽穴风云"
"#custom_game_mode_status"	"进行自定义游戏"
"#DOTA_EventName_Frostivus2018"	"凌霜圣地"
"#DOTA_EventGameName_International2020"	"阿哈利姆的天地迷宫"
"#DOTA_EventGameName_Diretide2020" 			"夜魇暗潮"
"#dota_eventgamename_nemestice"			"天陨旦"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH"			"夜魇暗潮：第%param0%轮中使用{%param1%}"
"#DOTA_RP_PLAYING_DIRETIDE_MATCH_PREGAME"	"夜魇暗潮：英雄选择"
"#dota_eventgamedifficulty_international2020_0" 	"学徒"
"#dota_eventgamedifficulty_international2020_1" 	"法师"
"#dota_eventgamedifficulty_international2020_2" 	"巫师"
"#dota_eventgamedifficulty_international2020_3" 	"大魔导师"
"#dota_eventgamedifficulty_international2020_4" 	"巅峰法师"
"#npc_dota_hero_none"	"--"
"#npc_dota_hero_queenofpain"	"痛苦女王"
"#npc_dota_hero_antimage"	"敌法师"
"#npc_dota_hero_kunkka"	"昆卡"
"#npc_dota_hero_lina"	"莉娜"
"#npc_dota_hero_mirana"	"米拉娜"
"#npc_dota_hero_slardar"	"斯拉达"
"#npc_dota_hero_lion"	"莱恩"
"#npc_dota_hero_phantom_assassin"	"幻影刺客"
"#npc_dota_hero_tidehunter"	"潮汐猎人"
"#npc_dota_hero_witch_doctor"	"巫医"
"#npc_dota_hero_vengefulspirit"	"复仇之魂"
"#npc_dota_hero_juggernaut"	"主宰"
"#npc_dota_hero_earthshaker"	"撼地者"
"#npc_dota_hero_pudge"	"帕吉"
"#npc_dota_hero_bane"	"祸乱之源"
"#npc_dota_hero_crystal_maiden"	"水晶室女"
"#npc_dota_hero_sven"	"斯温"
"#npc_dota_hero_skeleton_king"	"冥魂大帝"
"#npc_dota_hero_storm_spirit"	"风暴之灵"
"#npc_dota_hero_sand_king"	"沙王"
"#npc_dota_hero_nevermore"	"影魔"
"#npc_dota_hero_drow_ranger"	"卓尔游侠"
"#npc_dota_hero_axe"	"斧王"
"#npc_dota_hero_bloodseeker"	"血魔"
"#npc_dota_hero_phantom_lancer"	"幻影长矛手"
"#npc_dota_hero_razor"	"剃刀"
"#npc_dota_hero_morphling"	"变体精灵"
"#npc_dota_hero_zuus"	"宙斯"
"#npc_dota_hero_tiny"	"小小"
"#npc_dota_hero_puck"	"帕克"
"#npc_dota_hero_windrunner"	"风行者"
"#npc_dota_hero_lich"	"巫妖"
"#npc_dota_hero_shadow_shaman"	"暗影萨满"
"#npc_dota_hero_riki"	"力丸"
"#npc_dota_hero_enigma"	"谜团"
"#npc_dota_hero_tinker"	"修补匠"
"#npc_dota_hero_sniper"	"狙击手"
"#npc_dota_hero_necrolyte"	"瘟疫法师"
"#npc_dota_hero_warlock"	"术士"
"#npc_dota_hero_beastmaster"	"兽王"
"#npc_dota_hero_venomancer"	"剧毒术士"
"#npc_dota_hero_faceless_void"	"虚空假面"
"#npc_dota_hero_death_prophet"	"死亡先知"
"#npc_dota_hero_pugna"	"帕格纳"
"#npc_dota_hero_templar_assassin"	"圣堂刺客"
"#npc_dota_hero_viper"	"冥界亚龙"
"#npc_dota_hero_luna"	"露娜"
"#npc_dota_hero_dragon_knight"	"龙骑士"
"#npc_dota_hero_dazzle"	"戴泽"
"#npc_dota_hero_rattletrap"	"发条技师"
"#npc_dota_hero_leshrac"	"拉席克"
"#npc_dota_hero_furion"	"先知"
"#npc_dota_hero_life_stealer"	"噬魂鬼"
"#npc_dota_hero_dark_seer"	"黑暗贤者"
"#npc_dota_hero_clinkz"	"克林克兹"
"#npc_dota_hero_omniknight"	"全能骑士"
"#npc_dota_hero_enchantress"	"魅惑魔女"
"#npc_dota_hero_huskar"	"哈斯卡"
"#npc_dota_hero_night_stalker"	"暗夜魔王"
"#npc_dota_hero_broodmother"	"育母蜘蛛"
"#npc_dota_hero_bounty_hunter"	"赏金猎人"
"#npc_dota_hero_weaver"	"编织者"
"#npc_dota_hero_jakiro"	"杰奇洛"
"#npc_dota_hero_batrider"	"蝙蝠骑士"
"#npc_dota_hero_chen"	"陈"
"#npc_dota_hero_spectre"	"幽鬼"
"#npc_dota_hero_doom_bringer"	"末日使者"
"#npc_dota_hero_ancient_apparition"	"远古冰魄"
"#npc_dota_hero_ursa"	"熊战士"
"#npc_dota_hero_spirit_breaker"	"裂魂人"
"#npc_dota_hero_gyrocopter"	"矮人直升机"
"#npc_dota_hero_alchemist"	"炼金术士"
"#npc_dota_hero_invoker"	"祈求者"
"#npc_dota_hero_silencer"	"沉默术士"
"#npc_dota_hero_obsidian_destroyer"	"殁境神蚀者"
"#npc_dota_hero_lycan"	"狼人"
"#npc_dota_hero_brewmaster"	"酒仙"
