"lang"
{
"Language"	"latam"
"Tokens"
{
"addon_game_name"	"Nemestice"
"[english]addon_game_name"	"Nemestice"
"DOTA_GameMode_15"	"Nemestice"
"[english]DOTA_GameMode_15"	"Nemestice"
"DOTA_GameMode_19"	"Nemestice"
"[english]DOTA_GameMode_19"	"Nemestice"
"DOTA_HUD_Nemestice_Tower_Lost_Dire"	"¡Cayó una torre Dire! <font color='#E99FB8'>{d:int_value}</font>¡La(s) torre(s) restante(s) se hace(n) más fuerte(s)!"
"[english]DOTA_HUD_Nemestice_Tower_Lost_Dire"	"A Dire Tower has fallen! The <font color='#E99FB8'>{d:int_value}</font> tower(s) remaining grow stronger!"
"DOTA_HUD_Nemestice_Tower_Lost_Radiant"	"¡Cayó una torre Radiant! ¡La(s) <font color='#E99FB8'>{d:int_value}</font> torre(s) restante(s) se hace(n) más fuerte(s)!"
"[english]DOTA_HUD_Nemestice_Tower_Lost_Radiant"	"A Radiant Tower has fallen! The <font color='#E99FB8'>{d:int_value}</font> tower(s) remaining grow stronger!"
"Nemestice_BattlePointsFound_DireFirstTower"	"¡Cada uno de los Dire obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por destruir la primera torre!"
"[english]Nemestice_BattlePointsFound_DireFirstTower"	"The Dire earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for destroying the first tower!"
"Nemestice_BattlePointsFound_RadiantFirstTower"	"¡Cada uno de los Radiant obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por destruir la primera torre!"
"[english]Nemestice_BattlePointsFound_RadiantFirstTower"	"The Radiant earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for destroying the first tower!"
"Nemestice_BattlePointsFound_RadiantMeteorStun"	"¡Cada uno de los Radiant obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por atrapar a un héroe enemigo bajo un meteorito!"
"[english]Nemestice_BattlePointsFound_RadiantMeteorStun"	"The Radiant earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for trapping an enemy hero under a meteorite!"
"Nemestice_BattlePointsFound_DireMeteorStun"	"¡Cada uno de los Dire obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por atrapar a un héroe enemigo bajo un meteorito!"
"[english]Nemestice_BattlePointsFound_DireMeteorStun"	"The Dire earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for trapping an enemy hero under a meteorite!"
"Nemestice_BattlePointsFound_RadiantShrineTeamfight"	"¡Cada uno de los Radiant obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por usar un Santuario en las peleas de equipo!"
"[english]Nemestice_BattlePointsFound_RadiantShrineTeamfight"	"The Radiant earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for using a Shrine to help in their teamfight!"
"Nemestice_BattlePointsFound_DireShrineTeamfight"	"¡Cada uno de los Dire obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por usar un Santuario en las peleas de equipo!"
"[english]Nemestice_BattlePointsFound_DireShrineTeamfight"	"The Dire earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for using a Shrine to help in their teamfight!"
"Nemestice_BattlePointsFound_RadiantNeutralSteal"	"¡Cada uno de los Radiant obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por robar un objeto neutral!"
"[english]Nemestice_BattlePointsFound_RadiantNeutralSteal"	"The Radiant earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for stealing a neutral item!"
"Nemestice_BattlePointsFound_DireNeutralSteal"	"¡Cada uno de los Dire obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por robar un objeto neutral!"
"[english]Nemestice_BattlePointsFound_DireNeutralSteal"	"The Dire earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for stealing a neutral item!"
"Nemestice_BattlePointsFound_RadiantFullChannel"	"¡Cada uno de los Radiant obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por canalizar un meteorito por completo!"
"[english]Nemestice_BattlePointsFound_RadiantFullChannel"	"The Radiant earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for channeling an entire meteorite!"
"Nemestice_BattlePointsFound_DireFullChannel"	"¡Cada uno de los Dire obtuvo <font color='#E99FB8'>{d:int_value}</font> puntos de batalla por canalizar un meteorito por completo!"
"[english]Nemestice_BattlePointsFound_DireFullChannel"	"The Dire earned <font color='#E99FB8'>{d:int_value}</font> Battle Points each for channeling an entire meteorite!"
"DOTA_HUD_Nemestice_MeteorAnnouncement"	"¡El meteorito va a caer!"
"[english]DOTA_HUD_Nemestice_MeteorAnnouncement"	"The Meteorite is coming!"
"DOTA_HUD_Nemestice_TowerAnnouncement_RadiantTowerFallen"	"La torre Radiant cayó..."
"[english]DOTA_HUD_Nemestice_TowerAnnouncement_RadiantTowerFallen"	"Radiant's Tower has fallen..."
"DOTA_HUD_Nemestice_TowerAnnouncement_DireTowerFallen"	"La torre Dire cayó..."
"[english]DOTA_HUD_Nemestice_TowerAnnouncement_DireTowerFallen"	"Dire's Tower has fallen..."
"DOTA_HUD_Nemestice_TowerAnnouncement_TowersRemaining_Plural"	"Quedan {d:towers_remaining} torres"
"[english]DOTA_HUD_Nemestice_TowerAnnouncement_TowersRemaining_Plural"	"{d:towers_remaining} Towers Remain"
"DOTA_HUD_Nemestice_TowerAnnouncement_TowersRemaining_Singular"	"Queda {d:towers_remaining} torre"
"[english]DOTA_HUD_Nemestice_TowerAnnouncement_TowersRemaining_Singular"	"{d:towers_remaining} Tower Remains"
"DOTA_HUD_Nemestice_TowerAnnouncement_Kobolds"	"Los Kóbolds enloquecidos por Nemestice se unieron a la batalla."
"[english]DOTA_HUD_Nemestice_TowerAnnouncement_Kobolds"	"Nemestice-crazed Kobolds have joined the fight"
"DOTA_HUD_Nemestice_TowerAnnouncement_Hellbears"	"Los Osos Infernales enloquecidos por Nemestice se unieron a la batalla."
"[english]DOTA_HUD_Nemestice_TowerAnnouncement_Hellbears"	"Nemestice-crazed Hellbears have joined the fight"
"DOTA_HUD_Nemestice_Overtime"	"Tiempo extra de <br><span class=\"BoldMessageSmall\">+{d:extra_time} s añadido</span>"
"[english]DOTA_HUD_Nemestice_Overtime"	"Overtime<br><span class=\"BoldMessageSmall\">+{d:extra_time}s Added</span>"
"DOTA_HUD_Nemestice_SuddenDeath"	"Muerte súbita"
"[english]DOTA_HUD_Nemestice_SuddenDeath"	"Sudden Death"
"npc_dota_tower_radiant_top"	"Radiant 1"
"[english]npc_dota_tower_radiant_top"	"Radiant 1"
"npc_dota_tower_radiant_mid_back"	"Radiant 2"
"[english]npc_dota_tower_radiant_mid_back"	"Radiant 2"
"npc_dota_tower_radiant_mid_forward"	"Radiant 3"
"[english]npc_dota_tower_radiant_mid_forward"	"Radiant 3"
"npc_dota_tower_radiant_bot"	"Radiant 4"
"[english]npc_dota_tower_radiant_bot"	"Radiant 4"
"npc_dota_tower_dire_top"	"Dire 1"
"[english]npc_dota_tower_dire_top"	"Dire 1"
"npc_dota_tower_dire_mid_forward"	"Dire 2"
"[english]npc_dota_tower_dire_mid_forward"	"Dire 2"
"npc_dota_tower_dire_mid_back"	"Dire 3"
"[english]npc_dota_tower_dire_mid_back"	"Dire 3"
"npc_dota_tower_dire_bot"	"Dire 4"
"[english]npc_dota_tower_dire_bot"	"Dire 4"
"DOTA_HUD_Nemestice_TimeLeft1"	"1"
"[english]DOTA_HUD_Nemestice_TimeLeft1"	"1"
"DOTA_HUD_Nemestice_TimeLeft2"	"2"
"[english]DOTA_HUD_Nemestice_TimeLeft2"	"2"
"DOTA_HUD_Nemestice_TimeLeft3"	"3"
"[english]DOTA_HUD_Nemestice_TimeLeft3"	"3"
"DOTA_HUD_Nemestice_TimeLeft10"	"Quedan 10 s"
"[english]DOTA_HUD_Nemestice_TimeLeft10"	"10s Remaining"
"DOTA_HUD_Nemestice_TimeLeft20"	"Quedan 20 s"
"[english]DOTA_HUD_Nemestice_TimeLeft20"	"20s Remaining"
"DOTA_nemestice_gameplay_tips_count"	"CONSEJO {d:current_tip_num} DE {d:num_tips}"
"[english]DOTA_nemestice_gameplay_tips_count"	"TIP {d:current_tip_num} / {d:num_tips}"
"DOTA_nemestice_gameplay_tips_text"	"{s:tip_text}"
"[english]DOTA_nemestice_gameplay_tips_text"	"{s:tip_text}"
"DOTA_nemestice_gameplay_tip_00"	"Cuando una torre es destruida, todas las torres aliadas restantes serán mejoradas."
"[english]DOTA_nemestice_gameplay_tip_00"	"When a tower is destroyed, all remaining allied towers will be upgraded."
"DOTA_nemestice_gameplay_tip_01"	"La primera mejora de torres otorga torres de Kóbolds."
