"lang"
{
"Language"	"brazilian"
"Tokens"
{
"DOTA_nemestice_gameplay_tips_count"	"Dica {d:current_tip_num} de {d:num_tips}"
"[english]DOTA_nemestice_gameplay_tips_count"	"TIP {d:current_tip_num} / {d:num_tips}"
"DOTA_nemestice_gameplay_tips_text"	"{s:tip_text}"
"[english]DOTA_nemestice_gameplay_tips_text"	"{s:tip_text}"
"DOTA_nemestice_gameplay_tip_00"	"Quando uma torre é destruída, todas as torres aliadas remanescentes serão aprimoradas."
"[english]DOTA_nemestice_gameplay_tip_00"	"When a tower is destroyed, all remaining allied towers will be upgraded."
"DOTA_nemestice_gameplay_tip_01"	"Após o 1º aprimoramento, torres passam a invocar Kobolds."
"[english]DOTA_nemestice_gameplay_tip_01"	"The first tower upgrade gives Kobolds towers."
"DOTA_nemestice_gameplay_tip_02"	"Kobolds reduzem a armadura dos seus alvos."
"[english]DOTA_nemestice_gameplay_tip_02"	"Kobolds reduce the armor of their targets."
"DOTA_nemestice_gameplay_tip_03"	"Após o 2º aprimoramento, torres passam a invocar Trolls Sacerdotes."
"[english]DOTA_nemestice_gameplay_tip_03"	"The second tower upgrade gives Troll Priests to towers."
"DOTA_nemestice_gameplay_tip_04"	"Trolls Sacerdotes têm uma aura poderosa de cura e regeneração de mana."
"[english]DOTA_nemestice_gameplay_tip_04"	"Troll Priests have a powerful heal and a mana regeneration aura."
"DOTA_nemestice_gameplay_tip_05"	"Após o 3º e último aprimoramento, torres passam a invocar Ursos Infernais."
"[english]DOTA_nemestice_gameplay_tip_05"	"The third and final tower upgrage gives Hellbears to towers."
"DOTA_nemestice_gameplay_tip_06"	"Ursos Infernais podem atingir uma grande área com o seu ataque."
"[english]DOTA_nemestice_gameplay_tip_06"	"Hellbears have a powerful area of effect clap."
"DOTA_nemestice_gameplay_tip_07"	"A cada vez que um meteorito central aterrissa, torres e criaturas ficam mais fortes."
"[english]DOTA_nemestice_gameplay_tip_07"	"Every time the central meteorite arrives, towers and creeps grow stronger."
"DOTA_nemestice_gameplay_tip_08"	"O primeiro grande meteorito aterrissa no centro do mapa em 1:30 de partida, repetindo-se a cada 3 minutos."
"[english]DOTA_nemestice_gameplay_tip_08"	"The first large meteorite in the map center arrives at 1:30, and then every 3:00 after that."
"DOTA_nemestice_gameplay_tip_09"	"Cuidado! O impacto de todos os meteoritos causarão dano e atordoamento."
"[english]DOTA_nemestice_gameplay_tip_09"	"Watch out! All meteorites will hurt and stun you on impact."
"DOTA_nemestice_gameplay_tip_10"	"Quando estiver carregando três ou mais Lascas Nemestícias, o seu herói eletrizará inimigos próximos periodicamente."
"[english]DOTA_nemestice_gameplay_tip_10"	"When you are holding three or more Nemestice Embers, your hero will periodically shock nearby enemies."
"DOTA_nemestice_gameplay_tip_11"	"Cada Lasca adicional acima de três aumentará o número de alvos eletrizados."
"[english]DOTA_nemestice_gameplay_tip_11"	"Each additional Ember beyond three will add additional targets to the Embershock ability."
"DOTA_nemestice_gameplay_tip_12"	"Lascas não eletrizarão unidades protegidas por BKB."
"[english]DOTA_nemestice_gameplay_tip_12"	"BKB will block the targeting of the Embershock ability."
"DOTA_nemestice_gameplay_tip_13"	"Os meteoritos de trilhas laterais contêm itens neutros."
"[english]DOTA_nemestice_gameplay_tip_13"	"The meteorites in the side lanes contain neutral items."
"DOTA_nemestice_gameplay_tip_14"	"Os meteoritos de trilhas laterais aterrissam a cada 1:30."
"[english]DOTA_nemestice_gameplay_tip_14"	"The side lane meteorites arrive every 1:30."
"DOTA_nemestice_gameplay_tip_15"	"Cada torre tem um santuário que a equipe pode usar para se curar."
"[english]DOTA_nemestice_gameplay_tip_15"	"Each tower has a shrine the team can use to heal."
"DOTA_nemestice_gameplay_tip_16"	"Santuários têm um grande intervalo entre usos, mas podem ser usados múltiplas vezes ao longo da partida."
"[english]DOTA_nemestice_gameplay_tip_16"	"Shrines have a long cooldown but can be used multiple times throughout the match."
"DOTA_nemestice_gameplay_tip_17"	"Pergaminhos de Teletransporte são ilimitados e têm um intervalo entre usos reduzido no modo de jogo do Nemestício."
"[english]DOTA_nemestice_gameplay_tip_17"	"Town Portal Scrolls are unlimited and have a shorter cooldown in the Nemestice game mode."
"DOTA_nemestice_gameplay_tip_18"	"Torres regeneram vida caso não sofram dano por um tempo."
"[english]DOTA_nemestice_gameplay_tip_18"	"Towers regenerate health if they are not damaged for a time."
"DOTA_nemestice_gameplay_tip_19"	"Torres não regenerarão vida caso todas as 4 ainda estejam de pé."
"[english]DOTA_nemestice_gameplay_tip_19"	"Towers will not regenerate health if all 4 are standing for the team."
"DOTA_nemestice_gameplay_tip_20"	"Quando uma torre é destruída, ela lança uma onda de choque que mata todas as criaturas inimigas próximas."
"[english]DOTA_nemestice_gameplay_tip_20"	"When a tower is destroyed, it releases a shockwave that kills all nearby enemy creeps."
"DOTA_nemestice_gameplay_tip_21"	"Quando uma torre é destruída, outras torres aliadas são curadas em uma grande porcentagem de vida."
"[english]DOTA_nemestice_gameplay_tip_21"	"When a tower is destroyed, other allied towers are healed for a large percentage of their health."
"DOTA_nemestice_gameplay_tip_22"	"O intervalo entre usos do Glifo de Fortificação é zerado a cada torre destruída."
"[english]DOTA_nemestice_gameplay_tip_22"	"The Glyph of Fortification cooldown is refreshed each time you lose a tower."
"DOTA_nemestice_gameplay_tip_23"	"Cada Lasca Nemestícia tem a sua própria duração."
"[english]DOTA_nemestice_gameplay_tip_23"	"Each Nemestice Ember has its own independent expiration time."
"DOTA_nemestice_gameplay_tip_24"	"Lascargas concedem ao seu herói amplificação arcana, dano de ataque e velocidade de movimento adicionais. Além disso, a partir de três Lascas ou mais, também eletriza inimigos próximos."
"[english]DOTA_nemestice_gameplay_tip_24"	"Embercharge gives you attack damage, spell amplification, and move speed. It also grants a shocking ability at three or more Embers."
"DOTA_nemestice_gameplay_tip_25"	"Múltiplos heróis podem canalizar os meteoritos juntos."
"[english]DOTA_nemestice_gameplay_tip_25"	"Multiple heroes can channel the large and side lane meteorites at once."
"DOTA_nemestice_gameplay_tip_26"	"Conforme a partida avança, meteoritos concedem mais Lascas."
"[english]DOTA_nemestice_gameplay_tip_26"	"Meteorites have more Embers inside of them as the match wears on."
"DOTA_nemestice_gameplay_tip_27"	"O tempo de canalização para extrair Lascas de meteoritos cai ao longo do tempo."
"[english]DOTA_nemestice_gameplay_tip_27"	"The channel time to extract an ember from a meteorites decreases over time."
"DOTA_nemestice_gameplay_tip_28"	"O herói que canalizar a última Lasca de um meteorito de trilha lateral terá um item neutro lançado na sua direção."
"[english]DOTA_nemestice_gameplay_tip_28"	"The hero that channels the final Ember from a side lane meteorites will cause a neutral item to be tossed at them."
"DOTA_nemestice_gameplay_tip_29"	"Itens neutros podem ser pegos e usados por quaisquer equipes."
"[english]DOTA_nemestice_gameplay_tip_29"	"Neutral items can be picked up and used by either team."
"DOTA_nemestice_gameplay_tip_30"	"Lascas Nemestícias caem do inventário ao morrer."
"[english]DOTA_nemestice_gameplay_tip_30"	"Nemestice Embers are dropped on death."
}
}
