"lang"
{
	"Language"		"schinese"
	"Tokens"
	{		
		"addon_game_name"			"天陨旦"
		"DOTA_GameMode_15"			"天陨旦"
		"DOTA_GameMode_19"			"天陨旦"


		"DOTA_HUD_Nemestice_Tower_Lost_Dire"					"一座夜魇防御塔已被摧毁！剩余的<font color='#E99FB8'>{d:int_value}</font>座防御塔提升了威力！"
		"DOTA_HUD_Nemestice_Tower_Lost_Radiant"					"一座天辉防御塔已被摧毁！剩余的<font color='#E99FB8'>{d:int_value}</font>座防御塔提升了威力！"
		"Nemestice_BattlePointsFound_DireFirstTower"			"夜魇方因率先摧毁防御塔各赢得了<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_RadiantFirstTower"			"天辉方因率先摧毁防御塔各赢得了<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_RadiantMeteorStun"			"天辉方因导致一名敌方英雄被困于陨石下各赢得<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_DireMeteorStun"			"夜魇方因导致一名敌方英雄被困于陨石下各赢得<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_RadiantShrineTeamfight"	"天辉方因团战中使用圣坛各赢得了<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_DireShrineTeamfight"		"夜魇方因团战中使用圣坛各赢得了<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_RadiantNeutralSteal"		"天辉方因窃取一件中立物品各赢得了<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_DireNeutralSteal"			"夜魇方因窃取一件中立物品各赢得了<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_RadiantFullChannel"		"天辉方因引导了一整块陨石各赢得了<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"
		"Nemestice_BattlePointsFound_DireFullChannel"			"夜魇方因引导了一整块陨石各赢得了<font color='#E99FB8'>{d:int_value}</font>点勇士积分！"

		"DOTA_HUD_Nemestice_MeteorAnnouncement"		"流星雨要来了！"

		"DOTA_HUD_Nemestice_TowerAnnouncement_RadiantTowerFallen"		"天辉防御塔已被摧毁……"
		"DOTA_HUD_Nemestice_TowerAnnouncement_DireTowerFallen"			"夜魇防御塔已被摧毁……"
		"DOTA_HUD_Nemestice_TowerAnnouncement_TowersRemaining_Plural"	"还剩{d:towers_remaining}座防御塔"
		"DOTA_HUD_Nemestice_TowerAnnouncement_TowersRemaining_Singular"	"还剩{d:towers_remaining}座防御塔"

		"DOTA_HUD_Nemestice_TowerAnnouncement_Kobolds" 					"天陨旦疯狂狗头人已经加入战斗"
		"DOTA_HUD_Nemestice_TowerAnnouncement_Priests" 					"天陨旦疯狂牧师已经加入战斗"
		"DOTA_HUD_Nemestice_TowerAnnouncement_Hellbears" 				"天陨旦疯狂地狱熊怪已经加入战斗"


		"DOTA_HUD_Nemestice_Overtime"				"加时赛<br><span class=\"BoldMessageSmall\">+{d:extra_time}秒</span>"
		"DOTA_HUD_Nemestice_SuddenDeath"			"突然死亡"

		"npc_dota_tower_radiant_top"			"天辉 1"
		"npc_dota_tower_radiant_mid_back"		"天辉 2"
		"npc_dota_tower_radiant_mid_forward"	"天辉 3"
		"npc_dota_tower_radiant_bot"			"天辉 4"
		"npc_dota_tower_dire_top"				"夜魇 1"
		"npc_dota_tower_dire_mid_forward"		"夜魇 2"
		"npc_dota_tower_dire_mid_back"			"夜魇 3"
		"npc_dota_tower_dire_bot"				"夜魇 4"

		"DOTA_HUD_Nemestice_TimeLeft1"				"1"
		"DOTA_HUD_Nemestice_TimeLeft2"				"2"
		"DOTA_HUD_Nemestice_TimeLeft3"				"3"
		"DOTA_HUD_Nemestice_TimeLeft10"				"还剩10秒"
		"DOTA_HUD_Nemestice_TimeLeft20"				"还剩20秒"

		"DOTA_nemestice_gameplay_tips_count"	"小贴士 {d:current_tip_num} / {d:num_tips}"
		"DOTA_nemestice_gameplay_tips_text"		"{s:tip_text}"

		"DOTA_nemestice_gameplay_tip_00"	"一座防御塔被摧毁后，它的所有剩余友方防御塔都会升级。"
		"DOTA_nemestice_gameplay_tip_01"	"第一座防御塔被摧毁后会向其他防御塔提供狗头人。"
		"DOTA_nemestice_gameplay_tip_02"	"狗头人会降低其目标的护甲。"
		"DOTA_nemestice_gameplay_tip_03"	"第二座防御塔被摧毁后会向其他防御塔提供巨魔牧师。"
		"DOTA_nemestice_gameplay_tip_04"	"巨魔牧师拥有强大的治疗技能和魔法恢复光环。"
		"DOTA_nemestice_gameplay_tip_05"	"第三座，也是最后一座防御塔被摧毁后会向其他防御塔提供地狱熊怪。"
		"DOTA_nemestice_gameplay_tip_06"	"地狱熊怪拥有范围效果非常强大的猛击技能。"
		"DOTA_nemestice_gameplay_tip_07"	"每次流星雨坠落到战场中央时，防御塔和小兵的威力都会提升。"
		"DOTA_nemestice_gameplay_tip_08"	"首个大陨石会在1:30坠落于地图中心，然后每3:00来一波。"
		"DOTA_nemestice_gameplay_tip_09"	"当心！所有陨石坠落时击中单位都会造成伤害和眩晕。"
		"DOTA_nemestice_gameplay_tip_10"	"英雄获得了3颗以上天陨旦之烬后，就会周期性震击附近敌人。"
		"DOTA_nemestice_gameplay_tip_11"	"超出三颗余烬后每多一颗都会使余烬震击技能增加额外的目标。"
		"DOTA_nemestice_gameplay_tip_12"	"黑皇杖可以抵挡余烬震击技能的效果。"
		"DOTA_nemestice_gameplay_tip_13"	"坠落到边路的流星含有中立物品。"
		"DOTA_nemestice_gameplay_tip_14"	"边路的流星雨每1:30发生一次。"
		"DOTA_nemestice_gameplay_tip_15"	"每座防御塔都拥有一座圣坛，可以用于治疗。"
		"DOTA_nemestice_gameplay_tip_16"	"圣坛的冷却时间很长，不过在比赛中可以多次使用。"
		"DOTA_nemestice_gameplay_tip_17"	"回城卷轴是无限的，在天陨旦游戏模式中冷却时间更短。"
		"DOTA_nemestice_gameplay_tip_18"	"防御塔在一段时间内未受到伤害后会恢复生命值。"
		"DOTA_nemestice_gameplay_tip_19"	"四座防御塔均完好的情况下不会恢复生命值。"
		"DOTA_nemestice_gameplay_tip_20"	"防御塔被摧毁时会放出一道震荡波，消灭周围所有敌方小兵。"
		"DOTA_nemestice_gameplay_tip_21"	"防御塔被摧毁时，其他友方防御塔会回复高额百分比的生命值。"
		"DOTA_nemestice_gameplay_tip_22"	"防御符文的冷却时间会在每次失去一座防御塔时刷新。"
		"DOTA_nemestice_gameplay_tip_23"	"每颗天陨旦之烬的到期时间相互独立。"
		"DOTA_nemestice_gameplay_tip_24"	"余烬之能提供攻击力、技能增强，和移动速度。另外达到三颗以上余烬后还将提供震击技能。"
		"DOTA_nemestice_gameplay_tip_25"	"多名英雄可以同时引导大陨石和边路陨石。"
		"DOTA_nemestice_gameplay_tip_26"	"随着比赛的进行，陨石迸发的余烬也会增加。"
		"DOTA_nemestice_gameplay_tip_27"	"从陨石中提取余烬的引导时间会逐渐减少。"
		"DOTA_nemestice_gameplay_tip_28"	"从边路陨石中引导出最后一颗余烬的英雄会引发一件中立物品向其抛去。"
		"DOTA_nemestice_gameplay_tip_29"	"中立物品可以拾取，并且双方队伍都可以使用。"
		"DOTA_nemestice_gameplay_tip_30"	"天陨旦之烬在英雄死亡时会掉落。"

		"DOTA_HUD_Scoreboard_Nemestice_towers_name"		"防御塔"
		"DOTA_HUD_Scoreboard_Nemestice_upgrades_name"	"升级"

		"DOTA_HUD_Scoreboard_Nemestice_tower_name_northwest"	"西北防御塔"
		"DOTA_HUD_Scoreboard_Nemestice_tower_name_north"		"北防御塔"
		"DOTA_HUD_Scoreboard_Nemestice_tower_name_northeast"	"东北防御塔"
		"DOTA_HUD_Scoreboard_Nemestice_tower_name_east"			"东防御塔"
		"DOTA_HUD_Scoreboard_Nemestice_tower_name_west"			"西防御塔"
		"DOTA_HUD_Scoreboard_Nemestice_tower_name_southwest"	"西南防御塔"
		"DOTA_HUD_Scoreboard_Nemestice_tower_name_south"		"南防御塔"
		"DOTA_HUD_Scoreboard_Nemestice_tower_name_southeast"	"东南防御塔"

		"DOTA_Tooltip_modifier_barracks_buff"									"高塔恢复力"
		"DOTA_Tooltip_modifier_barracks_buff_Description"						"未受到攻击时逐渐恢复生命。"

		"DOTA_Tooltip_modifier_hero_buy_phase"									"购物环节！"
		"DOTA_Tooltip_modifier_hero_buy_phase_Description"						"购物时被缴械/沉默/锁闭！"

		"npc_dota_nemestice_tower_radiant"											"天辉防御塔"
