"dota"
{
"DOTA_Accept"	"Godta"
"DOTA_Cancel"	"Avbryt"
"DOTA_Console"	"Konsoll"
"DOTA_Create"	"Opprett"
"DOTA_Decline"	"Avslå"
"DOTA_Error"	"Feil"
"DOTA_Join"	"Bli med"
"DOTA_Leave"	"Forlat"
"DOTA_New"	"Nytt"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Salg"
"DOTA_Close"	"Lukk"
"DOTA_Continue"	"Fortsett"
"DOTA_Add"	"Legg til"
"DOTA_Edit"	"Rediger"
"DOTA_Enable"	"Aktiver"
"DOTA_Disable"	"Deaktiver"
"DOTA_Refresh"	"Oppdater"
"DOTA_Loading"	"Laster"
"DOTA_None"	"Ingen"
"DOTA_Customize"	"Tilpass"
"DOTA_AcceptChanges"	"Godta endringer"
"Unknown"	"Ukjent"
"UI_Yes"	"Ja"
"UI_No"	"Nei"
"UI_File_Filter_Any"	"Alle filer (*.*)"
"DOTA_MainMenu_Heroes"	"Helter"
"DOTA_MainMenu_Watch"	"Se på"
"DOTA_MainMenu_Learn"	"Lær"
"DOTA_MainMenu_Mods"	"Arkade"
"DOTA_TabName_GlobalItems"	"Globale gjenstander"
"DOTA_TabName_Armory"	"Arsenal"
"DOTA_ConfirmQuit"	"Avslutt spill"
"DOTA_ConfirmQuitDesc"	"Vil du virkelig avslutte Dota 2?"
"DOTA_ConfirmQuitDescUnsafe"	"Å forlate en kamp før den er ferdig kan ødelegge spillopplevelsen for andre spillere. Vil du virkelig avslutte Dota 2?"
"DOTA_InvalidPersonaName"	"[ukjent]"
"DOTA_Friends_WindowTitle"	"VENNER"
"DOTA_FriendsCategory_ReadyToPlay"	"I åpne spill <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"I Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"Tilkoblet <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"Venter <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Frakoblet <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Din venneliste er for øyeblikket tom"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Venner"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_Wins"	"Seire"
"DOTA_ProfileCard_StatTitle_Commends"	"Anbefalinger"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Kamper"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Første kamp"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Trofeer"
"DOTA_ProfileCard_SlotTab_Items"	"Arsenal"
"DOTA_ProfileCard_SlotTab_Heroes"	"Helter"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Uttrykksikon"
"DOTA_ProfileCard_NoTrophies"	"Ingen trofeer er tilgjengelige."
"DOTA_ProfileCard_NoItems"	"Ingen gjenstander er tilgjengelige."
"DOTA_ProfileCard_HeroShowWins"	"Vis seire"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Vis seire/tap"
"DOTA_ProfileCard_ItemSearchPrefix"	"Søk etter:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Gjenstander etter navn"
