"dota"
{
"DOTA_Accept"	"Accepter"
"DOTA_Cancel"	"Annuler"
"DOTA_Console"	"Console"
"DOTA_Create"	"Créer"
"DOTA_Decline"	"Refuser"
"DOTA_Error"	"Erreur"
"DOTA_Join"	"Rejoindre"
"DOTA_Leave"	"Quitter"
"DOTA_New"	"Nouveau"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Vente"
"DOTA_Close"	"Fermer"
"DOTA_Continue"	"Continuer"
"DOTA_Add"	"Ajouter"
"DOTA_Edit"	"Modifier"
"DOTA_Enable"	"Activer"
"DOTA_Disable"	"Désactiver"
"DOTA_Refresh"	"Rafraichir"
"DOTA_Loading"	"Charger"
"DOTA_None"	"Aucun"
"DOTA_Customize"	"Personnaliser"
"DOTA_AcceptChanges"	"Accepter les modifications"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"Inconnu"
"UI_Yes"	"Oui"
"UI_No"	"Non"
"UI_File_Filter_Any"	"Tous les fichiers (*.*)"
"DOTA_MainMenu_Heroes"	"Héros"
"DOTA_MainMenu_Watch"	"Regarder"
"DOTA_MainMenu_Learn"	"Apprendre"
"DOTA_MainMenu_Mods"	"Arcade"
"DOTA_TabName_GlobalItems"	"Objets globaux"
"DOTA_TabName_Treasury"	"Trésor"
"DOTA_TabName_Armory"	"Armurerie"
"DOTA_ConfirmQuit"	"Confirmer l'arrêt ?"
"DOTA_ConfirmQuitDesc"	"Voulez-vous vraiment quitter Dota 2 ?"
"DOTA_ConfirmQuitDescUnsafe"	"Quitter une partie avant la fin peut ruiner la partie pour les autres joueurs. Voulez-vous vraiment quitter Dota 2 ?"
"DOTA_InvalidPersonaName"	"[inconnu]"
"DOTA_Friends_WindowTitle"	"AMIS"
"DOTA_FriendsCategory_ReadyToPlay"	"Dans des parties publiques <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"Dans Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"En ligne <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"En attente <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Hors-ligne <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Votre liste d'amis est actuellement vide"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Amis"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"MMR solo"
"DOTA_ProfileCard_StatTitle_PartyRank"	"MMR de groupe"
"DOTA_ProfileCard_StatTitle_Wins"	"Victoires"
"DOTA_ProfileCard_StatTitle_Commends"	"Recommandations"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Parties"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Première partie"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Trophées"
"DOTA_ProfileCard_SlotTab_Items"	"Armurerie"
"DOTA_ProfileCard_SlotTab_Heroes"	"Héros"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Émoticônes"
"DOTA_ProfileCard_NoTrophies"	"Aucun trophée n'est disponible."
"DOTA_ProfileCard_NoItems"	"Aucun objet n'est disponible."
"DOTA_ProfileCard_HeroOnly"	"Héros seulement"
"DOTA_ProfileCard_HeroShowWins"	"Afficher les victoires"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Afficher victoires et défaites"
"DOTA_ProfileCard_ItemSearchPrefix"	"Rechercher :"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Objets par nom"
"DOTA_ProfileCard_ItemArmoryLink"	"Voir l'armurerie complète"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Rechercher le nom du héros"
"DOTA_Wins_Singular"	"1 Victoire"
"DOTA_Wins_Plural"	"{d:hero_wins} Victoires"
"DOTA_Losses_Singular"	"1 Défaite"
"DOTA_Losses_Plural"	"{d:hero_losses} Défaites"
"DOTA_Profile_TotalGames"	"Parties totales"
"DOTA_Profile_Solo_MMR"	"MMR solo"
"DOTA_Profile_Team_MMR"	"MMR d'équipe"
"DOTA_Profile_Party_MMR"	"MMR de groupe"
"DOTA_Profile_VictoryCount"	"Victoires"
"DOTA_Profile_ProfilePage"	"Profil"
"DOTA_Profile_TrophyPage"	"Trophées"
"DOTA_Profile_RecentGamesPage"	"Parties récentes"
"DOTA_Profile_HeroPage"	"Héros"
"DOTA_Profile_PlayStyle"	"Style de jeu"
"DOTA_Profile_MostRecent"	"{s:num_style_games} match(s) le(s) plus récent(s)"
"DOTA_Profile_RecentActivity"	"Activité récente"
"DOTA_Profile_Fighting"	"Combat"
"DOTA_Profile_Fighting_TooltipTitle"	"Combat"
"DOTA_Profile_Fighting_Tooltip"	"Joueurs qui affrontent les héros ennemis."
"DOTA_Profile_Farming"	"Farming"
"DOTA_Profile_Farming_TooltipTitle"	"Farming"
"DOTA_Profile_Farming_Tooltip"	"Joueurs qui farment de l'or en tuant des créatures."
"DOTA_Profile_Supporting"	"Support"
"DOTA_Profile_Supporting_TooltipTitle"	"Support"
