"lang"
{
	"Language"		"bulgarian"
	"Tokens"
	{		
		//"npc_dota_event_npc_aghanim"				"Aghanim"
		"npc_dota_announcer_aghanim"				"Aghanim"

		"npc_dota_aghanim_clone_mecha"				"Aghanim"
		"npc_dota_aghanim_clone_mad_maghs"			"Aghanim"
		"npc_dota_aghanim_clone_goat"				"Aghanim"
		"npc_dota_aghanim_clone_dude"				"Aghanim"
		"npc_dota_aghanim_clone_bucket"				"Aghanim"
		"npc_dota_aghanim_clone_blacksmith"			"Aghanim"
		"npc_dota_aghanim_clone_barbarian"			"Aghanim"

		"DOTA_HUD_Upgrades_Cooldown"				"Намаляване на изчакването"
		"DOTA_HUD_Upgrades_ManaCost"				"Намаляване на нужната мана"
		
		"npc_dota_creature_yak"								"Angry Yak"
		"npc_dota_creature_frozen_giant"					"Frosty Behemoth"
		"DOTA_Tooltip_modifier_frozen_giant_dance_smash"				"Dance Smash"
		"DOTA_Tooltip_modifier_frozen_giant_dance_smash_Description"	"Бронята е намалена с %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

		"npc_dota_creature_treant_miniboss"			"Forest Sentinel"
		"npc_dota_creature_forest_bear"				"Young Kodiak"
		"npc_dota_creature_small_eimermole"			"Small Eimermole"
		"npc_dota_creature_large_eimermole"			"Large Eimermole"
		"npc_dota_creature_fat_golem"				"Fat Golem"
		"npc_dota_creature_skeleton_mage"			"Bone Wizard"
		"npc_dota_creature_big_skeleton"			"Bonelord"
		"npc_dota_creature_small_skeleton"			"Skelemeeny"
		"npc_dota_creature_skeleteeny"				"Skeleteeny"
		"npc_dota_creature_tinker_turret"			"Ten Ton Tinker Turret"
		"npc_dota_creature_rattletrap"				"Rat-tat-tattletrap"
		"npc_dota_creature_crypt_bone_giant"		"Crypt Guardian"
		"npc_dota_crypt_gate_skeleton"				"Crypt Legion"
		"npc_dota_boss_earthshaker"					"Elder Tremor"
		"npc_dota_creature_earthshaker_minion"		"Muddite"
		"npc_dota_boss_clockwerk"					"Clonker"
		"npc_dota_boss_tinker"						"Tinkwerk"
		"npc_dota_creature_keen_minion"				"Little Tin Man"
		"npc_dota_boss_tinker_structure"			"Keen Node"
		"npc_aghsfort_morty_mango_orchard"			"Fruit Enjoyer"
		"npc_dota_creature_ogre_tank_mango_farmer"	"Fruit Dealer"
		"npc_dota_creature_aghsfort_primal_beast_boss"		"Primal Beast"
		"aghsfort_primal_beast_rock"				"Rock"
		"aghsfort_primal_beast_rock_golem"			"Primordial Rock Golem"
		"npc_dota_creature_slardar_smashy"			"Smashy"
		"npc_dota_creature_slardar_bashy"			"Bashy"
		"npc_dota_creature_fortress_crab"			"Crabby"
		"npc_dota_creature_thundergod_zeus"						"Zoos"
		"npc_dota_creature_large_thunder_mountain_guardian"		"Thunder Knight"
		"npc_dota_creature_small_thunder_mountain_guardian"		"Thunder Squire"	
		"npc_dota_creature_bear_cave_ursa_cub"					"Lair Cub"
		"npc_dota_creature_bear_cave_ursa"						"Lair Ranger"
		"npc_dota_creature_stonehall_general"				"Stonehall General"
		"npc_dota_creature_stonehall_melee_creep"			"Stonehall Legionnaire"
		"npc_dota_creature_stonehall_ranged_creep"			"Stonehall Captain"
		"npc_dota_creature_bonus_chicken_small"				"Chicken"
		"npc_dota_creature_bonus_ogre_tank"					"Hungry Fella"


		"npc_dota_creature_od_satyr"				"Outworld Prowler"
		"npc_dota_creature_outworld"				"Outworld Meteorologist"
		
		"npc_dota_creature_dire_assault_captain_diretide"	"Decayed Treater"
		"npc_dota_creature_large_ogre_seal_diretide"		"Decayed Ogre Seal"
		"npc_dota_building_candy_well"						"Toothy Decayums"
		"npc_dota_creature_bucket_soldier"					"Decayed Tricker"

		"npc_dota_creature_polarity_ghost_positive"			"Positive Poltergeist"
		"npc_dota_creature_polarity_ghost_negative"			"Negative Ghast"
		"npc_dota_creature_polarity_ghost_neutral"			"Detached Phantom"
		"npc_dota_creature_polarity_ghost_captain_positive"	"Positive Poltergeist"
		"npc_dota_creature_polarity_ghost_captain_negative"	"Negative Revenant"
		"npc_dota_creature_polarity_tower"					"Tower of Power"

		"DOTA_Tooltip_modifier_polarity"					"Hue Attunement"
		"DOTA_Tooltip_modifier_polarity_Description"		"Абсорбира снаряди, чийто цвят съответства на този за щита Ви. Опитайте да не се обагрите."

		"npc_dota_creature_bloodbound_warlock_baby"			"Grimwar Loc"
		"npc_dota_creature_bloodbound_baby_ogre_magi"		"Bloodbag"
		"npc_dota_creature_bloodbound_ogre_magi"			"Ogre McGee"
		"npc_dota_creature_bloodbound_bloodseeker"			"Carl's Assistant"

		"npc_dota_creature_vengeful_spirit_captain"			"Vengeful Captain"
		"npc_dota_creature_crystal_maiden_miniboss"			"Ice Princess"
		"npc_dota_creature_ice_wolf"						"Icewrack Howler"

		"npc_dota_creature_pugna_grandmaster"				"Pugna Grandmaster"
		"npc_dota_creature_viper_hatchling"					"Viperling"

		"npc_dota_creature_dark_willow_boss"				"Corrupted Fae"

		"npc_dota_creature_pull_urn"						"Drain"
		"npc_dota_creature_magnus_push"						"Sweeper"
		"npc_dota_creature_magnus"							"Custodian"
		"npc_dota_creature_eidolon"							"Duster"
		
		
		//"DOTA_Tooltip_modifier_bloodbound"					"Bloodbound"
		//"DOTA_Tooltip_modifier_bloodbound_Description"		"Increased attack damage for each unit killed."

		"DOTA_Tooltip_modifier_bloodseeker_engorge"				"Engorged"
		"DOTA_Tooltip_modifier_bloodseeker_engorge_Description"	"Броят на консумирани Bloodbags."

		"DOTA_Tooltip_Ability_item_mango_orchard_mango"						"Delicious Mango"
		"DOTA_Tooltip_Ability_mango_orchard_toss_mango"						"Toss Mango"	
		"DOTA_Tooltip_Ability_mango_orchard_toss_mango_Description"			"Метнете Mango към приятел!"	

		"DOTA_Tooltip_Ability_aghsfort_treant_miniboss_natures_guise"				"Nature's Guise"
		"DOTA_Tooltip_Ability_aghsfort_treant_miniboss_natures_guise_Description"	"Предоставя преминаване през дървета и вкореняващо круше."

		"DOTA_Tooltip_Ability_boss_earthshaker_smash"				"Smash"
		"DOTA_Tooltip_Ability_boss_earthshaker_fissure"				"Fissure"

		"DOTA_Tooltip_Ability_boss_earthshaker_enchant_totem"		"Enchant Totem"

		"DOTA_Tooltip_modifier_aghsfort_boss_earthshaker_enchant_totem_land_debuff" 			"Enchant Totem"
		"DOTA_Tooltip_modifier_aghsfort_boss_earthshaker_enchant_totem_land_debuff_Description" "Тази единица разполага със забавено движение."

		"DOTA_Tooltip_modifier_boss_dark_willow_shadow_realm_debuff"				"Shadow Realm"
		"DOTA_Tooltip_modifier_boss_dark_willow_shadow_realm_debuff_Description"	"Докоснати от Shadow Realm на Corrupted Fae. Скоростта на движение е забавена с %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		"DOTA_Tooltip_Ability_boss_earthshaker_aftershock"			"Aftershock"
		"DOTA_Tooltip_Ability_boss_earthshaker_echo_slam"			"Echo Slam"
		"DOTA_Tooltip_Ability_boss_earthshaker_quake"				"Quake"
		"DOTA_Tooltip_Ability_aghsfort_boss_earthshaker_skewer"		"Skewer"

		"DOTA_Tooltip_modifier_boss_tinker_laser_debuff"				"Laser Blind"
		"DOTA_Tooltip_modifier_boss_tinker_laser_debuff_Description"	"Разполага със 100%% шанс за пропуск."

		"DOTA_Tooltip_modifier_boss_tinker_polymorph"				"Polymorph"
		"DOTA_Tooltip_modifier_boss_tinker_polymorph_Description"	"Тази единица е преобразувана."

		"DOTA_Tooltip_Ability_boss_tinker_shivas"				"Shivas"
		"DOTA_Tooltip_Ability_boss_tinker_shivas_Description"	"Взрив с площ на ефекта."

		"DOTA_Tooltip_modifier_aghsfort_treant_miniboss_natures_guise_root"				"Nature's Guise Root"
		"DOTA_Tooltip_modifier_aghsfort_treant_miniboss_natures_guise_root_Description"	"Тази единица не може да се движи."

		"DOTA_Tooltip_modifier_twilight_maze_vision_aura_effect"				"Twilight Maze"
		"DOTA_Tooltip_modifier_twilight_maze_vision_aura_effect_Description"	"Тази единица разполага с намален обсег за видимост."

		"DOTA_Tooltip_modifier_fat_golem_burst_debuff"				"Corpse Explosion"
		"DOTA_Tooltip_modifier_fat_golem_burst_debuff_Description"	"Заглушени."

		"DOTA_Tooltip_modifier_skeleton_mage_grenade"				"Bone Wizard Grenade"
		"DOTA_Tooltip_modifier_skeleton_mage_grenade_Description"	"Периодично поемане на щети."

		"DOTA_Tooltip_Ability_trap_room_sprint"								"Spirit of Lycan"
		"DOTA_Tooltip_Ability_trap_room_sprint_Description"					"Предоставя Ви бонус скорост на движение."
