maps/backgrounds/hero_showcase_qop_arcana.vmap_c CRC:0097f42cd2 size:7264
maps/backgrounds/hero_showcase_qop_arcana/entities/default_ents.vents_c CRC:00269423f4 size:4044
maps/backgrounds/hero_showcase_qop_arcana/world.vrman_c CRC:00dd10489e size:590
maps/backgrounds/hero_showcase_qop_arcana/world.vwrld_c CRC:00c34bc1b9 size:1312
maps/backgrounds/hero_showcase_qop_arcana/world_visibility.vvis_c CRC:00be57f2b8 size:776
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000.vrman_c CRC:0052d6bea9 size:551
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000.vwnod_c CRC:004e960f08 size:4375
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b16_im1_cb1_mesh_nocollapse0.vmdl_c CRC:00884d4fa1 size:1751
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b16_im1_cb1_mesh_nocollapse0.vmesh_c CRC:00e6bb0638 size:1610
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b24_im1_cb1_mesh_nocollapse0.vmdl_c CRC:00fdd87b47 size:1751
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b24_im1_cb1_mesh_nocollapse0.vmesh_c CRC:00eff93be6 size:1610
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b31_im1_cb1_mesh_nocollapse0.vmdl_c CRC:0068324bb1 size:1751
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b31_im1_cb1_mesh_nocollapse0.vmesh_c CRC:00d5211975 size:1636
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b36_im1_cb1_mesh_nocollapse0.vmdl_c CRC:00022fb2ab size:1751
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b36_im1_cb1_mesh_nocollapse0.vmesh_c CRC:006006f884 size:1610
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse0.vmdl_c CRC:000ef701d1 size:1751
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse0.vmesh_c CRC:0075630857 size:1636
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse1.vmdl_c CRC:005a3adbb6 size:1751
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse1.vmesh_c CRC:00badcb41c size:1636
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse2.vmdl_c CRC:00f3da6444 size:1751
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse2.vmesh_c CRC:00ad6a88e6 size:1636
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse3.vmdl_c CRC:00bace7057 size:1751
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse3.vmesh_c CRC:0037e9cb55 size:1636
maps/backgrounds/hero_showcase_qop_arcana/worldnodes/node000_lr0_b39_im1_cb1_mesh_nocollapse4.vmdl_c CRC:00b827eb9b size:1751
