"lang"
{
	"Language"		"schinese"
	"Tokens"
	{		
		"addon_game_name"							"英雄试玩模式"

		"Refresh_Msg"								"已刷新英雄"
		"LevelUp_Msg"								"已升级英雄"
		"MaxLevel_Msg"								"英雄已升至满级"
		"FreeSpellsOn_Msg"							"无限技能：开启"
		"FreeSpellsOff_Msg"							"无限技能：关闭"
		"InvulnerabilityOn_Msg"						"无敌状态：开启"
		"InvulnerabilityOff_Msg"					"无敌状态：关闭"
		"SpawnAlly_Msg"								"已创建友方英雄"
		"MaxAllies_Msg"								"无法创建更多友方英雄"
		"SpawnEnemy_Msg"							"已创建敌方英雄"		
		"MaxEnemies_Msg"							"无法创建更多敌方英雄"
		"LevelUpEnemy_Msg"							"已升级敌方英雄"
		"MaxLevelEnemy_Msg"							"敌人已升至满级"
		"SpawnDummyTarget_Msg"						"已创建傀儡目标"
		"RemoveSpawnedUnits_Msg"					"已移除创建的单位"
		"LaneCreepsOn_Msg"							"小兵：开启"
		"LaneCreepsOff_Msg"							"小兵：关闭"		

		"DemoOptions_MinimizeButton"				"试玩选项"
		"DemoOptions_UnMinimizeButton"				"  >&#xD;&#xD;&#xD;&#xD;  >"
		"HeroDemo_ButtonCategory"					"英雄试玩"
		"Hero_ButtonCategory"						"英雄"
		"Spawn_ButtonCategory"						"创建英雄"
		"Misc_ButtonCategory"						"试穿物品"
		"Global_ButtonCategory"						"全图设置"
		"Map_ButtonCategory"						"地图"

		"SpawnCreeps_Button"						"出兵"
		"SpawnCreepsOn_Msg"							"出兵：开启"
		"SpawnCreepsOff_Msg"						"出兵：关闭"
		"SpawnSingleCreepWave_Button"				"+"
		"SpawnSingleCreepWave_Tooltip"				"产生一波小兵"

		"TowersEnabled_Button"						"防御塔"
		"TowersEnabledOn_Msg"						"防御塔：开启"
		"TowersEnabledOff_Msg"						"防御塔：关闭"

		"Refresh_Button"							"刷新状态"
		"LevelUp_Button"							"升级"
		"MaxLevel_Button"							"升至满级"
		"UltraMaxLevel_Button"						"+"
		"UltraMaxLevel_Tooltip"						"升至30级并点满天赋，拥有神杖和魔晶"
		"FreeSpells_Button"							"无限技能"
		"Invulnerability_Button"					"无敌状态"
		"Reset_Button"								"重置"
		"InvulnOn_Button"							"无敌开启"
		"InvulnOff_Button"							"无敌关闭"

		"Enemy_Button"								"+ 敌人"
		"SelectHero_Button"							"选择敌方英雄"
		"LevelUpEnemy_Button"						"升级敌方英雄"
		"MaxLevelEnemy_Button"						"敌人升至满级"

		"Ally_Button"								"+ 友军"
		"SelectAllyHero_Button"						"选择友方英雄"
		"LevelUpAlly_Button"						"升级友军"
		"MaxLevelAlly_Button"						"友军升至满级"

		"DummyTarget_Button"						"+ 傀儡目标"
		"RemoveSpawns_Button"						"移除"
		"SelectCosmetics_Button"					"更换展示"
		"ChangeHero_Button"							"更换英雄"
		"PauseDemo_Button"							"暂停"
		"QuitDemo_Button"							"退出"
		"NightEnable_Button"						"夜晚时间"

		"Runes_ButtonCategory"						"神符"
		"RuneSpawn_DoubleDamage_Button"				"双倍伤害"
		"RuneSpawn_Haste_Button"					"极速"
		"RuneSpawn_Illusion_Button"					"幻象"
		"RuneSpawn_Invisibility_Button"				"隐身"
		"RuneSpawn_Regeneration_Button"				"恢复"
		"RuneSpawn_Arcane_Button"					"奥术"

		"NewSpawn_ButtonCategory"					"单位"
		"SpawnUnits_ButtonCategory"					"产生"
		"EditUnits_ButtonCategory"					"编辑选定单位"

		"LevelUpSelectedHeroes_Button"				"升级"
		"MaxLevelUpSelectedHeroes_Button"			"升至满级"
		"ScepterSelectedHeroes_Button"				"神杖"
		"ShardSelectedHeroes_Button"				"魔晶"

		"ChooseHero_Button"							"产生英雄中"
		"SpawnEnemyHero_Button"						"敌人"
		"SpawnAllyHero_Button"						"友军"

		"CombatLog_Button"							"战斗日志"
		"AutoSkill_Button"							"自动加点"
		"NewHero_Button"							"新英雄"

		"GameState_ButtonCategory"					"游戏状态"
		"SaveState_Button"							"保存"
		"RestoreState_Button"						"加载"

		"SpawnDummyTargeT_Tooltip"					"产生傀儡目标"
		"Invulnerable_Tooltip"						"切换选中英雄的无敌状态"
		"ToggleShard_Tooltip"						"切换选中英雄的魔晶状态"
		"ToggleScepter_Tooltip"						"切换选中英雄的神杖状态"

		"SpeedIncrement_Tooltip"					"增加速度"
		"SpeedDecrement_Tooltip"					"减少速度"
		"SpeedReset_Tooltip"						"重置为正常速度"
	}
}
