"dota"
{
"InfoScreenClose"	"Pokračovat"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Ukončit"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"Poškození od věže"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"Nepřátelské věže udělují vysoké poškození. Stáhni se!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Léčení"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"Použij předmět Tango, aby ses vyléčil."
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveTitle"	"Velmi vysoké poškození"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseSalveBody"	"Vyléči se pomocí předmětu Healing Salve. Ale pozor, příchozí poškození léčení přeruší."
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"Málo many"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"Obnov svou manu pomocí předmětu Clarity. Ale pozor, příchozí poškození obnovování přeruší."
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_FirstDeathTitle"	"Cena smrti a oživení"
"[english]basics_alert_FirstDeathTitle"	"Death: Costs & Respawning"
"basics_alert_FirstDeathBody"	"Když zemřeš, přijdeš o část svých zlaťáků a hrdina nebo hrdinové zodpovědní za tvoji smrt získají zkušenosti a zesílí tak.\n\nOživneš u fontány tvého týmu, až odpočet dosáhne nuly. Odpočet můžeš také vidět pod portrétem svého hrdiny v horní části obrazovky."
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
"basics_alert_SecondDeathTitle"	"Smrt číhá všude"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"Dávej si pozor na své okolí. Jakmile na tebe začne útočit nepřátelská věž, hrdina nebo dokonce i creep, popřemýšlej o úprku. Někdy ti to může zachránit život.\n\nS každou získanou úrovní se prodlužuje doba, po kterou je hrdina mrtev."
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
"basics_alert_RespawnTitle"	"Za chvíli oživneš"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"Tvůj hrdina za chvíli oživne u fontány tvého týmu.\n\nPokus se co nejrychleji dostat zpět do akce!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_alert_TangoUsageTitle"	"Jak použít předmět Tango"
"[english]basics_alert_TangoUsageTitle"	"Using a Tango"
"basics_alert_TangoUsageBody"	"Předmět Tango ti umožní spořádat strom, a postupně tak obnovit část zdraví.\n\nUž jsi jej aktivoval, buď kliknutím v inventáři nebo stiskem příslušné klávesy, takže nyní levým tlačítkem myši klikni na strom, který chceš sníst. Všechny stromy chutnají stejně."
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_alert_SalveUsageTitle"	"Jak použít předmět Healing Salve"
"[english]basics_alert_SalveUsageTitle"	"Using a Healing Salve"
"basics_alert_SalveUsageBody"	"Předmět Healing Salve dokáže rychle vyléčit hrdinu, kterého po nakliknutí předmětu vybereš levým tlačítkem myši.\n\nPokud utržíš poškození od nepřátelského hrdiny, je efekt předmětu přerušen."
"[english]basics_alert_SalveUsageBody"	"Healing Salves can quickly heal the hero you target (left-click).\n\nTaking damage will cancel the healing effect."
"basics_alert_ClarityUsageTitle"	"Jak použít předmět Clarity"
"[english]basics_alert_ClarityUsageTitle"	"Using a Clarity"
"basics_alert_ClarityUsageBody"	"Předmět Clarity dokáže pomalu obnovit manu hrdinovi, kterého vybereš.\n\nPokud utržíš poškození od nepřátelského hrdiny, je efekt předmětu přerušen."
"[english]basics_alert_ClarityUsageBody"	"The Clarity potion slowly regenerates mana on the hero you target.\n\nTaking damage will cancel the regenerating effect."
"basics_ExcessiveTowerDamageTitle"	"Věže, nebezpeční soupeři"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
"basics_ExcessiveTowerDamageBody"	"Pozor, ta věž ti dává pořádnou nakládačku!\n\nRaději se stáhni a počkej, až věž začne útočit na někoho jiného."
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"Zavři obchod levým tlačítkem myši"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"Klikni znovu na tlačítko se zlaťáky a zavři obchod."
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"Vrať se na prostřední linku"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_objective_BackToCombatBody"	"Tam se totiž odehrává tutoriál!"
"[english]basics_objective_BackToCombatBody"	"That's where the tutorial is!"
"basics_HeroIntroTitle"	"Tvůj hrdina a tvůj tým"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"V tomto tutoriálu se ujmeš ovládání Luny, rychlé hrdinky schopné na krátkou vzdálenost házet přeskakující hvězdice a sesílat z nebes smrtící paprsky.\n\nBojovat budeš za tým Radiant, takže tvým nepřítelem bude vše na straně Dire."
"[english]basics_HeroIntroBody"	"In this tutorial, you will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky.\n\nYou will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"Fontána, zdroj léčení"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"Každý hrdina začíná zápas u fontány svého týmu. Pokud padneš v boji, poblíž fontány také následně oživneš.\n\nKdyž se nacházíš u fontány, tvoje zdraví a mana se obnovují podstatně rychleji než obvykle."
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_MovingYourHeroTitle"	"Základy ovládání hrdiny a kamery"
"[english]basics_MovingYourHeroTitle"	"Basic Hero & Camera Controls"
"basics_MovingYourHeroBody"	"Abys hrdinu pobídl k přesunu na vybrané místo nebo útoku na vybranou jednotku, klikni na požadovaný cíl pravým tlačítkem myši.\n\nKameru lze posouvat tak, že kurzorem myši najedeš k okraji obrazovky. Pokud bys náhodou ztratil svého hrdinu, vycentruj pohled na něj stiskem klávesy „{g:dota_key:keyname}“."
"[english]basics_MovingYourHeroBody"	"Movement and attack commands are issued by right-clicking where you would like them to go, or on what you would like them to attack.\n\nThe camera view can be moved by touching your mouse cursor to the edge of the screen. At any time, you may center the view on your hero by pressing {g:dota_key:keyname}."
"basics_objective_MoveToAncientTitle"	"Přesuň se ke svému Ancientovi"
"[english]basics_objective_MoveToAncientTitle"	"Move to your Ancient"
"basics_objective_MoveToAncientBody"	"Klikni pravým tlačítkem myši na místo, kam chceš vyslat hrdinu."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"Tvůj Ancient, to nejdůležitější ve hře"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"Toto je Ancient týmu Radiant, tedy tvého týmu.\n\nVe hře Dota 2 je pro vítězství třeba zničit nepřátelského Ancienta předtím, než nepřátelé zničí toho tvého."
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"Vždy utrať co nejvíce svých počátečních zlaťáků"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_SpendGoldBody"	"Na začátku zápasu získá každý hráč pár zlaťáků. Než se vrhneš do víru bitvy, nezapomeň je utratit za důležité předměty.\n\nObchod je dostupný u fontány tvého týmu. Tam nyní zamiř."
"[english]basics_SpendGoldBody"	"At the start of every match, players are given a small amount of starting gold. Always remember spend this gold on items from the shop before heading into the field.\n\nThe shop is available back at your team's fountain. Head there now."
"basics_objective_MoveToShopTitle"	"Vrať se k fontáně"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"Vrať se pomocí pravého tlačítka myši zpět k fontáně."
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"Otevři obchod"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"Klikni levým tlačítkem myši na zlaté tlačítko s počtem tvých zlaťáků."
"[english]basics_objective_OpenShopBody"	"Left-click the golden Shop button in lower corner of your screen."
