"dota"
{
"InfoScreenClose"	"Продължаване"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Изход"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"Нападат ни!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"Вражеските кули нанасят много щети. Отстъпление!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Лекуване"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"Опитайте да ползвате Tango, така ще поддържате здравето си пълно."
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveTitle"	"Тежки щети"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseSalveBody"	"Използвайте Healing Salve, за да се излекувате. Входящите щети отменят ефекта."
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"Възстановяване на мана"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"Използвайте Clarity, за да възстановите мана. Входящите щети отменят ефекта."
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_FirstDeathTitle"	"Смърт: Цена и прераждане"
"[english]basics_alert_FirstDeathTitle"	"Death: Costs & Respawning"
"basics_alert_FirstDeathBody"	"Когато умрете, ще загубите част от златото си, а героят или героите отговорни за смъртта Ви печелят опит, ставайки по-силни.\n\nЩе се преродите до фонтана на отбора Ви, когато смъртния брояч изтече. Можете да го видите под портрета на героя Ви в горната част от екрана."
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
"basics_alert_SecondDeathTitle"	"Мъртви сте: Отстъпвайте, когато сте в опасност"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"Грижете се за позицията на героя Ви. Ако някоя кула, герой или вражески крийп започне да Ви атакува, помислете за отстъпление.\n\nВсяко придобито ниво увеличава колко дълго даден герой ще бъде мъртъв."
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
"basics_alert_RespawnTitle"	"Скоро ще се преродите"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
