"dota"
{
"InfoScreenClose"	"ดำเนินการต่อ"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"ออก"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"มีการโจมตีเข้ามา!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"ป้อมปราการฝั่งศัตรูสร้างความเสียหายหนัก ถอยกลับ!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"การฟื้นฟูรักษา"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"ลองใช้ Tango รักษาพลังชีวิตของคุณดูสิ"
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveTitle"	"ได้รับความเสียหายหนัก"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseSalveBody"	"ใช้ Salve เพื่อรักษา และหากถูกโจมตีผลฟื้นฟูรักษาจะถูกยกเลิก"
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"ฟื้นฟูมานา"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"ใช้ Clarity เพื่อฟื้นฟูมานา และหากถูกโจมตีผลฟื้นฟูจะถูกยกเลิก"
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_FirstDeathTitle"	"การตาย: ค่าใช้จ่ายและการเกิดใหม่"
"[english]basics_alert_FirstDeathTitle"	"Death: Costs & Respawning"
"basics_alert_FirstDeathBody"	"เมื่อคุณตาย คุณจะเสียโกลด์ส่วนหนึ่ง และฮีโร่ที่มีส่วนร่วมหรือฮีโร่ที่ทำให้คุณตายก็จะได้รับค่าประสบการณ์และแข็งแกร่งขึ้นอีกด้วย\n\nคุณจะเกิดใหม่ที่บ่อน้ำพุของทีมของคุณเมื่อเวลาตายหมดลง คุณสามารถดูเวลาตายของคุณได้ที่ภาพย่อของฮีโร่ที่ด้านบนของหน้าจอ"
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
"basics_alert_SecondDeathTitle"	"การตาย: ถอยกลับเมื่อตกอยู่ในอันตราย"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"ดูให้ดีว่าคุณเดินฮีโร่ไปที่ไหน หากป้อมปราการ ฮีโร่ หรือครีปฝั่งศัตรูเริ่มโจมตีคุณ คุณควรถอยกลับ\n\nยิ่งฮีโร่มีเลเวลมากขึ้นเวลาที่ฮีโร่ตายก็จะยิ่งนานขึ้นด้วย"
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
