"dota"
{
"InfoScreenClose"	"Continuar"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Sair"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"Estás a ser atacado!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"As Torres inimigas causam muito dano. Recua!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Cura-te"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"Usa um Tango para manteres a tua vida cheia."
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveTitle"	"Demasiado dano"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseSalveBody"	"Usa uma Healing Salve para te curares. Se receberes dano enquanto sob o efeito da Healing Salve, o efeito será cancelado."
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"Restaura mana"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"Usa o item Clarity para recuperares mana. Se receberes dano enquanto sob este efeito, ele será cancelado."
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_FirstDeathTitle"	"Morrer: Custos e reentrada"
"[english]basics_alert_FirstDeathTitle"	"Death: Costs & Respawning"
"basics_alert_FirstDeathBody"	"Quando morres, perdes uma porção do teu ouro e os heróis responsáveis pela tua morte ganham XP e ouro, tornando-se mais fortes.\n\nIrás reentrar em jogo, ao lado da Fonte da tua equipa, quando o número por baixo da imagem do teu herói no topo do ecrã chegar a 0."
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
"basics_alert_SecondDeathTitle"	"Morte: Recua em caso de perigo"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"Tem cuidado onde deixas o teu herói. Se uma Torre, herói ou creep inimigo te começarem a atacar, pensa em recuar.\n\nCada nível ganho aumenta o tempo que um herói permanece morto."
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
"basics_alert_RespawnTitle"	"Vais reentrar em breve"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"O teu herói vai reentrar em jogo ao lado da Fonte da tua equipa dentro de momentos.\n\nTenta voltar à ação o mais depressa possível!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_alert_TangoUsageTitle"	"Como usar um Tango"
"[english]basics_alert_TangoUsageTitle"	"Using a Tango"
"basics_alert_TangoUsageBody"	"Um Tango permite-te consumir uma árvore para restaurares uma pequena porção de vida ao longo do tempo.\n\nJá o ativaste clicando no seu ícone ou premindo a tecla respetiva. Agora clica com o botão esquerdo numa árvore para o usares."
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_alert_SalveUsageTitle"	"Como usar uma Healing Salve"
"[english]basics_alert_SalveUsageTitle"	"Using a Healing Salve"
"basics_alert_SalveUsageBody"	"Healing Salves podem curar rapidamente o herói alvo (usando o botão esquerdo do rato).\n\nO efeito será cancelado ao receber dano."
"[english]basics_alert_SalveUsageBody"	"Healing Salves can quickly heal the hero you target (left-click).\n\nTaking damage will cancel the healing effect."
"basics_alert_ClarityUsageTitle"	"Como usar uma poção Clarity"
"[english]basics_alert_ClarityUsageTitle"	"Using a Clarity"
"basics_alert_ClarityUsageBody"	"A poção Clarity regenera lentamente a mana do herói alvo (usando o botão esquerdo do rato).\n\nO efeito será cancelado ao receber dano."
"[english]basics_alert_ClarityUsageBody"	"The Clarity potion slowly regenerates mana on the hero you target.\n\nTaking damage will cancel the regenerating effect."
"basics_ExcessiveTowerDamageTitle"	"As Torres são perigosas. Recua!"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
"basics_ExcessiveTowerDamageBody"	"Cuidado! Estás a receber muito dano da torre!\n\nTenta recuar até que a torre comece a atacar outro alvo."
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"Fecha a loja (botão esquerdo do rato)"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"Clica no botão da Loja novamente para a fechares."
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"Regressa à lane do meio"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_objective_BackToCombatBody"	"O tutorial é lá!"
"[english]basics_objective_BackToCombatBody"	"That's where the tutorial is!"
"basics_HeroIntroTitle"	"O teu herói e a tua equipa"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"Bem-vindo ao Dota! Neste tutorial vamos-te ensinar o básico.\n\nVais jogar com a Luna, um herói ágil que lança lâminas aos seus inimigos a uma curta distância e invoca raios do céu que causam dano. Vais jogar na equipa dos Radiant contra a equipa dos Dire."
"[english]basics_HeroIntroBody"	"Welcome to Dota! In this tutorial, we will teach you the basics.\n\nYou will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky. You will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"A Fonte: Uma fonte de cura"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"O teu herói começa sempre ao lado da fonte da tua equipa, tanto no início da partida como quando voltares ao jogo depois de morreres.\n\nA Fonte irá restaurar rapidamente a vida e a mana do teu herói."
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_MovingYourHeroTitle"	"Controlos básicos do herói e da câmara"
"[english]basics_MovingYourHeroTitle"	"Basic Hero & Camera Controls"
"basics_MovingYourHeroBody"	"Ordens de movimento e de ataque são dadas ao clicares com o botão direito onde queres que o herói vá ou no que queres que ele ataque.\n\nA câmara pode ser deslocada ao moveres o cursor do rato para os cantos do ecrã. A qualquer momento, podes centrar a câmara no teu herói pressionando {g:dota_key:keyname}."
"[english]basics_MovingYourHeroBody"	"Movement and attack commands are issued by right-clicking where you would like them to go, or on what you would like them to attack.\n\nThe camera view can be moved by touching your mouse cursor to the edge of the screen. At any time, you may center the view on your hero by pressing {g:dota_key:keyname}."
"basics_objective_MoveToAncientTitle"	"Desloca-te até ao teu Ancient"
"[english]basics_objective_MoveToAncientTitle"	"Move to your Ancient"
"basics_objective_MoveToAncientBody"	"Clica com o botão direito do rato para moveres o teu herói."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"O teu Ancient: Defende-o custe o que custar"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"Este é o Ancient. Mais especificamente o Ancient dos Radiant, a tua equipa.\n\nNo Dota, a equipa que destruir o Ancient da equipa adversária primeiro, ganha a partida."
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"Gasta sempre o ouro inicial"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_SpendGoldBody"	"No início de cada partida, os jogadores recebem uma pequena quantia de ouro inicial. Lembra-te sempre de gastar este ouro em itens da Loja antes de ires para a batalha.\n\nA Loja fica ao lado da Fonte da tua equipa. Vai para lá agora."
"[english]basics_SpendGoldBody"	"At the start of every match, players are given a small amount of starting gold. Always remember spend this gold on items from the shop before heading into the field.\n\nThe shop is available back at your team's fountain. Head there now."
"basics_objective_MoveToShopTitle"	"Regressa à Fonte"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"Desloca-te (clicando com o botão direito) para a Loja ao pé da Fonte."
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"Abre a Loja"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"Clica com o botão esquerdo no botão da Loja no canto inferior direito do teu ecrã."
"[english]basics_objective_OpenShopBody"	"Left-click the Shop button near the lower corner of your screen to open the shop."
"basics_BuyFromShopTitle"	"A Loja: Como equipar o herói para a vitória"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"Cada item tem uma função no Dota. Alguns curam o teu herói, outros aumentam passivamente o poder do teu herói e alguns até proporcionam habilidades únicas.\n\nNota que a Loja apresenta uma lista de Itens Sugeridos para o teu herói. Recomendamos que compres itens desta lista à medida que aprendes como se joga."
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"Compra um Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"Na loja, clica com o botão direito no item \"Tango\" para o comprares."
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"Compra uma Healing Salve"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"Na loja, clica com o botão direito no item \"Healing Salve\" para o comprares."
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"Compra uma poção Clarity"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"Na loja, clica com o botão direito no item \"Clarity\" para o comprares."
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"Compra uma Circlet"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"Na loja, clica com o botão direito no item \"Circlet\" para o comprares."
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"Compra umas Slippers of Agility"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"Na loja, clica com o botão direito no item \"Slippers of Agility\" para o comprares."
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_BoughtStartingTitle"	"Itens iniciais: Como sobreviver no campo de batalha"
"[english]basics_BoughtStartingTitle"	"Starting Items: Surviving in the Field"
"basics_BoughtStartingBody"	"Alguns dos teus Itens Iniciais podem ser consumidos para te curares ou restaurar mana:\n- Tango: Usa este item para comeres uma árvore, que restaura uma porção da tua vida lentamente\n- Healing Salve: Restaura muita vida gradualmente\n- Clarity: Restaura muita mana lentamente\n\nAtenção que os efeitos da Healing Salve e da Clarity serão cancelados se sofreres dano."
"[english]basics_BoughtStartingBody"	"Some of your Starting Items can be consumed to heal or restore mana:\n- Tango: Use this to swallow a tree and slowly heal\n- Healing Salve: Gradually heals a large amount of health\n- Clarity: Slowly restores a large amount of mana\n\nNOTE: Healing Salve and Clarity's effects are cancelled if you are damaged."
"basics_LaneIntroTitle"	"Lanes: Três vias de ataque"
"[english]basics_LaneIntroTitle"	"Lanes: Three Paths of Attack"
"basics_LaneIntroBody"	"Existem três caminhos principais ao longo do campo de batalha (chamados de Lanes), que ligam as bases de ambas as equipas. Um em cima, um no meio e outro em baixo."
"[english]basics_LaneIntroBody"	"There are three lanes that cross the battlefield, connecting the bases of both teams. These lanes are called Top, Middle, and Bottom."
"basics_objective_MoveToMidLaneTitle"	"Vai para a lane do meio"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Desloca-te para a lane do meio (clicando com o botão direito do rato)"
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_CreepsIntroTitle"	"Creeps: A infantaria desta guerra"
"[english]basics_CreepsIntroTitle"	"Creeps: Foot Soldiers of War"
"basics_CreepsIntroBody"	"Os soldados da tua equipa, chamados de creeps, irão aparecer em cada lane, na borda da tua base, a cada 30 segundos.\n\nOs creeps marcham automaticamente em direção à base inimiga, atacando quaisquer unidades ou edifícios inimigos que encontrarem."
"[english]basics_CreepsIntroBody"	"Your team's foot soldiers, called creeps, will spawn in each lane near the edge of your base every 30 seconds.\n\nCreeps automatically march toward the enemy base, attacking any enemy units or buildings they encounter."
"basics_LaningIntroTitle"	"A batalha começa: Segue os teus creeps"
"[english]basics_LaningIntroTitle"	"The Battle Begins: Follow Your Creeps"
