"dota"
{
"InfoScreenClose"	"Continuar"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Salir"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"¡Fuego enemigo!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"Las torres enemigas infligen mucho daño. ¡Retrocede!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Curación"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"Intenta utilizar un Tango para mantener tu vida al máximo."
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveTitle"	"Gran daño"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseSalveBody"	"Usa un Bálsamo para curarte. Recibir daño cancelará el efecto de curación."
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"Restaurar el maná"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"Usa una Claridad para restaurar maná. Recibir daño cancelará el efecto de regeneración."
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_FirstDeathTitle"	"Muerte: Costes y reaparición"
"[english]basics_alert_FirstDeathTitle"	"Death: Costs & Respawning"
"basics_alert_FirstDeathBody"	"Cuando mueras, perderás una parte de tu oro, y el héroe o héroes responsables de tu muerte ganarán experiencia que los hará más fuertes.\n\nReaparecerás en la fuente de tu equipo cuando tu tiempo de muerte finalice. Puedes ver tu tiempo de muerte bajo el retrato de tu héroe en la parte superior de la pantalla."
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
"basics_alert_SecondDeathTitle"	"Muerte: Retírate cuando estés en peligro"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"Ten cuidado con dónde sitúas a tu héroe. Si una torre, héroe o creep enemigo te ataca, considera retroceder.\n\nCada nivel ganado aumentará el tiempo que un héroe permanece muerto."
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
"basics_alert_RespawnTitle"	"Reapareciendo dentro de poco"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"Tu héroe reaparecerá en la fuente de tu equipo dentro de poco.\n\n¡Intenta volver a la batalla rápidamente!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_alert_TangoUsageTitle"	"Usar un Tango"
"[english]basics_alert_TangoUsageTitle"	"Using a Tango"
"basics_alert_TangoUsageBody"	"Un Tango te permite consumir un árbol para recuperar una pequeña cantidad de vida a lo largo del tiempo.\n\nYa has activado el tango, bien haciendo clic en su icono o pulsando su tecla. Ahora, haz clic izquierdo en un árbol para usar un Tango."
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_alert_SalveUsageTitle"	"Usar un Bálsamo Curativo"
"[english]basics_alert_SalveUsageTitle"	"Using a Healing Salve"
"basics_alert_SalveUsageBody"	"Los Bálsamos Curativos pueden curar rápidamente al héroe que selecciones como objetivo (clic izquierdo).\n\nRecibir daño cancelará el efecto curativo."
"[english]basics_alert_SalveUsageBody"	"Healing Salves can quickly heal the hero you target (left-click).\n\nTaking damage will cancel the healing effect."
"basics_alert_ClarityUsageTitle"	"Usar una Claridad"
"[english]basics_alert_ClarityUsageTitle"	"Using a Clarity"
"basics_alert_ClarityUsageBody"	"La poción de Claridad regenera lentamente el maná del héroe que selecciones como objetivo.\n\nRecibir daño cancelará el efecto de regeneración."
"[english]basics_alert_ClarityUsageBody"	"The Clarity potion slowly regenerates mana on the hero you target.\n\nTaking damage will cancel the regenerating effect."
"basics_ExcessiveTowerDamageTitle"	"Las torres son peligrosas. ¡Retrocede!"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
"basics_ExcessiveTowerDamageBody"	"¡Ups! ¡Estás recibiendo demasiado daño de la torre!\n\nRetrocede hasta que la torre empiece a atacar a otra unidad."
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"Cierra la tienda (clic izquierdo)"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"Haz clic en el botón Tienda de nuevo para cerrar la tienda."
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"Vuelve a la senda central"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_objective_BackToCombatBody"	"¡El tutorial está ahí!"
"[english]basics_objective_BackToCombatBody"	"That's where the tutorial is!"
"basics_HeroIntroTitle"	"Tu héroe y tu equipo"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"¡Bienvenido a Dota! En este tutorial te enseñaremos todo lo básico.\n\nControlarás a Luna, un ágil héroe que lanza cuchillas a sus enemigos desde corta distancia e invoca haces que infligen daño desde el cielo. Jugarás en el equipo Radiant contra el equipo enemigo Dire."
"[english]basics_HeroIntroBody"	"Welcome to Dota! In this tutorial, we will teach you the basics.\n\nYou will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky. You will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"La Fuente: Un lugar de curación"
