"dota"
{
"InfoScreenClose"	"Kontynuuj"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Wyjście"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"Nadchodzi atak!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"Wrogie wieże zadają mnóstwo obrażeń. Odwrót!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Leczenie"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"Wykorzystaj Tango, by utrzymać zdrowie na poziomie."
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveTitle"	"Ciężkie obrażenia"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseSalveBody"	"Wykorzystaj Salve do uleczenia. Otrzymanie obrażeń przerwie efekt leczniczy."
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"Przywróć manę"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"Użyj Clarity do przywrócenia many. Otrzymanie obrażeń przerwie efekt."
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_FirstDeathTitle"	"Śmierć: cena i odrodzenie"
"[english]basics_alert_FirstDeathTitle"	"Death: Costs & Respawning"
"basics_alert_FirstDeathBody"	"Gdy zginiesz, stracisz część złota, zaś bohater lub bohaterowie odpowiedzialni za twoją śmierć zdobędą doświadczenie, by stać się silniejszymi.\n\nOdrodzisz się przy fontannie twojej drużyny, gdy twój czas śmierci dobiegnie końca. Możesz zobaczyć swój czas pozostały do odrodzenia pod portretem bohatera na górze ekranu."
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
"basics_alert_SecondDeathTitle"	"Śmierć: wycofaj się w wypadku niebezpieczeństwa"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"Zwracaj uwagę na umiejscowienie swojego bohatera. Jeśli atakuje cię wieża, bohater, lub wrogi creep to warto rozważyć odwrót.\n\nZ każdym poziomem twój bohater będzie dłużej się odradzał."
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
"basics_alert_RespawnTitle"	"Niedługo się odrodzisz"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"Twój bohater odrodzi się za chwilę przy fontannie twojej drużyny.\n\nPostaraj się wrócić do walki jak najszybciej!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_alert_TangoUsageTitle"	"Używanie Tango"
"[english]basics_alert_TangoUsageTitle"	"Using a Tango"
"basics_alert_TangoUsageBody"	"Tango pozwoli ci na skonsumowanie drzewa, by przywrócić niewielką ilość zdrowia w krótkim czasie.\n\nAktywowano już Tango poprzez kliknięcie na ikonę tego przedmiotu lub naciśnięcie jego klawisza. Kliknij teraz lewym przyciskiem myszy na drzewie, by użyć Tango."
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_alert_SalveUsageTitle"	"Używanie Healing Salve"
"[english]basics_alert_SalveUsageTitle"	"Using a Healing Salve"
"basics_alert_SalveUsageBody"	"Healing Salve potrafi błyskawicznie uleczyć wybranego bohatera (lewy przycisk myszy).\n\nOtrzymanie obrażeń przerywa efekt leczenia."
"[english]basics_alert_SalveUsageBody"	"Healing Salves can quickly heal the hero you target (left-click).\n\nTaking damage will cancel the healing effect."
"basics_alert_ClarityUsageTitle"	"Używanie Clarity"
"[english]basics_alert_ClarityUsageTitle"	"Using a Clarity"
"basics_alert_ClarityUsageBody"	"Mikstura Clarity powoli regeneruje manę wybranego bohatera.\n\nOtrzymanie obrażeń przerywa efekt regeneracji."
"[english]basics_alert_ClarityUsageBody"	"The Clarity potion slowly regenerates mana on the hero you target.\n\nTaking damage will cancel the regenerating effect."
"basics_ExcessiveTowerDamageTitle"	"Wieże są niebezpieczne. Odwrót!"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
