"dota"
{
"InfoScreenClose"	"Jatka"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Poistu"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"Vihollistulta!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"Vihollisen tornit tekevät paljon vahinkoa. Peräänny!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Parantaminen"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"Käytä Tangoa terveytesi palauttamiseen."
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveTitle"	"Vakavat vauriot"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseSalveBody"	"Käytä Healing Salvea parantamiseen. Vahingoittuminen keskeyttää vaikutuksen."
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"Manan palauttaminen"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"Käytä Claritya manan palauttamiseen. Vahingoittuminen keskeyttää vaikutuksen."
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_FirstDeathTitle"	"Kuolema: Menetykset & uudelleensyntyminen"
"[english]basics_alert_FirstDeathTitle"	"Death: Costs & Respawning"
"basics_alert_FirstDeathBody"	"Kun kuolet, menetät osan kullastasi, ja sinut lyönyt vihollissankari tai -sankarit saavat kokemusta voimistuakseen.\n\nSynnyt uudestaan joukkueesi lähteelle, kun ajastin laskee nollaan. Näet ajastimen ruudun yläreunassa sankarisi kuvan alla."
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
