"lang"
{
"Language"	"korean"
"Tokens"
{
"DOTA_HUD_Yes"	"예"
"[english]DOTA_HUD_Yes"	"YES"
"DOTA_Holdout_Award_MostDeadly_Desc"	" 님이 이번 라운드에서 가장 많이 처치"
"[english]DOTA_Holdout_Award_MostDeadly_Desc"	" got the most kills this round "
"DOTA_Holdout_Award_MostSaves_Desc"	" 님이 이번 라운드에서 다른 플레이어를 가장 많이 살려냄"
"[english]DOTA_Holdout_Award_MostSaves_Desc"	" revived the most other players this round "
"DOTA_Holdout_Award_MostBags_Desc"	" 님이 이번 라운드에서 돈주머니를 가장 많이 획득"
"[english]DOTA_Holdout_Award_MostBags_Desc"	" picked up the most gold bags this round "
"DOTA_Holdout_Award_LeastDeaths_Desc"	" 님이 이번 라운드에서 가장 적게 사망"
"[english]DOTA_Holdout_Award_LeastDeaths_Desc"	" had the least deaths this round "
"DOTA_Holdout_Award_MostPotions_Desc"	" 님이 이번 라운드에서 물약을 가장 많이 획득"
"[english]DOTA_Holdout_Award_MostPotions_Desc"	" took the most potions this round "
"DOTA_Holdout_Award_Clutched_Desc"	" 님이 마지막 생존자로서 이번 라운드 승리"
"[english]DOTA_Holdout_Award_Clutched_Desc"	" won the round as the last one alive "
"DOTA_Holdout_Award_MostDeaths_Desc"	" 님이 해당 라운드에서 가장 많이 사망"
"[english]DOTA_Holdout_Award_MostDeaths_Desc"	" had the most deaths that round "
"DOTA_Holdout_Award_KillingSpree_Desc"	" 님이 죽지 않고 100 연속 처치"
"[english]DOTA_Holdout_Award_KillingSpree_Desc"	" has a streak of 100 kills without dying "
"DOTA_Holdout_Award_Dominating_Desc"	" 님이 죽지 않고 200 연속 처치"
"[english]DOTA_Holdout_Award_Dominating_Desc"	" has a streak of 200 kills without dying "
"DOTA_Holdout_Award_MegaKill_Desc"	" 님이 죽지 않고 300 연속 처치"
"[english]DOTA_Holdout_Award_MegaKill_Desc"	" has a streak of 300 kills without dying "
"DOTA_Holdout_Award_Unstoppable_Desc"	" 님이 죽지 않고 400 연속 처치"
"[english]DOTA_Holdout_Award_Unstoppable_Desc"	" has a streak of 400 kills without dying "
"DOTA_Holdout_Award_WickedSick_Desc"	" 님이 죽지 않고 500 연속 처치"
"[english]DOTA_Holdout_Award_WickedSick_Desc"	" has a streak of 500 kills without dying "
"DOTA_Holdout_Award_MonsterKill_Desc"	" 님이 죽지 않고 600 연속 처치"
"[english]DOTA_Holdout_Award_MonsterKill_Desc"	" has a streak of 600 kills without dying "
"DOTA_Holdout_Award_GodLike_Desc"	" 님이 죽지 않고 700 연속 처치"
"[english]DOTA_Holdout_Award_GodLike_Desc"	" has a streak of 700 kills without dying "
"DOTA_Holdout_Award_Beyond_GodLike_Desc"	" 님이 죽지 않고 800 연속 처치"
"[english]DOTA_Holdout_Award_Beyond_GodLike_Desc"	" has a streak of 800 kills without dying "
"DOTA_Holdout_Award_UltraKill_Desc"	" 님이 짧은 시간에 크립 25마리 이상 처치"
"[english]DOTA_Holdout_Award_UltraKill_Desc"	" killed 25 or more creeps in a short time "
"DOTA_Holdout_Award_Rampage_Desc"	" 님이 짧은 시간에 크립 50마리 이상 처치"
"[english]DOTA_Holdout_Award_Rampage_Desc"	" killed 50 or more creeps in a short time "
"Frosthaven_PlayerHelpedReviveAlly"	"{s:player_name} 님의 도움으로 <font color='#00CC66'>{s:locstring_value}</font> 님이 되살아났습니다!"
"[english]Frosthaven_PlayerHelpedReviveAlly"	"{s:player_name} helped revive <font color='#00CC66'>{s:locstring_value}!</font>"
"DOTA_Tooltip_Ability_creature_large_storm_spirit_ball_lightning_Description"	""
"[english]DOTA_Tooltip_Ability_creature_large_storm_spirit_ball_lightning_Description"	""
"DOTA_Tooltip_Ability_creature_large_storm_spirit_electric_vortex_Description"	""
"[english]DOTA_Tooltip_Ability_creature_large_storm_spirit_electric_vortex_Description"	""
"DOTA_Tooltip_Ability_creature_mini_zeus_static_field_Description"	""
"[english]DOTA_Tooltip_Ability_creature_mini_zeus_static_field_Description"	""
"DOTA_Tooltip_Ability_creature_mini_zeus_lightning_bolt_Description"	""
"[english]DOTA_Tooltip_Ability_creature_mini_zeus_lightning_bolt_Description"	""
"npc_dota_creature_large_elder_titan"	"세계 종결자"
"[english]npc_dota_creature_large_elder_titan"	"World Ender"
"DOTA_Tooltip_ability_monkey_king_jingu_mastery_active_Description"	"<font color='#70EA72'>시전 기술</font> 원숭이 왕이 보너스 피해 및 흡혈 효과가 있는 공격을 네 번 할 수 있습니다."
"[english]DOTA_Tooltip_ability_monkey_king_jingu_mastery_active_Description"	"<font color='#70EA72'>Active ability.</font> Monkey King gains four charged attacks that have bonus damage and lifesteal."
"DOTA_Tooltip_ability_special_bonus_unique_keeper_of_the_light_2"	"차크라 마법 마나/피해 +300"
"[english]DOTA_Tooltip_ability_special_bonus_unique_keeper_of_the_light_2"	"+300 Chakra Magic Mana/Damage"
"DOTA_Tooltip_ability_frostivus2018_pangolier_shield_crash_hero_stacks"	"%타격당 감소:"
"[english]DOTA_Tooltip_ability_frostivus2018_pangolier_shield_crash_hero_stacks"	"%REDUCTION PER HIT:"
"DOTA_Tooltip_ability_frostivus2018_troll_warlord_battle_trance_lifesteal"	"%흡혈:"
"[english]DOTA_Tooltip_ability_frostivus2018_troll_warlord_battle_trance_lifesteal"	"%LIFESTEAL:"
"DOTA_Tooltip_ability_frostivus2018_troll_warlord_battle_trance_movement_speed"	"%이동 속도:"
"[english]DOTA_Tooltip_ability_frostivus2018_troll_warlord_battle_trance_movement_speed"	"%MOVEMENT SPEED:"
"DOTA_Tooltip_ability_special_bonus_unique_troll_warlord_4_Description"	"전투 결의 상태에서 20% 보너스 피해를 줍니다."
"[english]DOTA_Tooltip_ability_special_bonus_unique_troll_warlord_4_Description"	"20% Bonus Damage when in Battle Trance."
"DOTA_Tooltip_ability_special_bonus_unique_weaver_1"	"축지술 피해 +100"
"[english]DOTA_Tooltip_ability_special_bonus_unique_weaver_1"	"+100 Shukuchi Damage"
"DOTA_Tooltip_ability_frostivus2018_centaur_stampede_armor_amount"	"<font color='#70EA72'>%중첩당 피해 감소:</font>"
"[english]DOTA_Tooltip_ability_frostivus2018_centaur_stampede_armor_amount"	"<font color='#70EA72'>%DAMAGE REDUCTION PER STACK:</font>"
"DOTA_Tooltip_ability_frostivus2018_centaur_stampede_damage_reduction_tooltip_scepter"	"%홀 장착 시 피해 감소:"
"[english]DOTA_Tooltip_ability_frostivus2018_centaur_stampede_damage_reduction_tooltip_scepter"	"%SCEPTER DAMAGE REDUCTION:"
"DOTA_Tooltip_ability_frostivus2018_centaur_double_edge_strength_damage"	"<font color='#70EA72'>%힘 피해:</font>"
"[english]DOTA_Tooltip_ability_frostivus2018_centaur_double_edge_strength_damage"	"<font color='#70EA72'>%STRENGTH DAMAGE:</font>"
"DOTA_Tooltip_ability_frostivus2018_centaur_double_edge_self_damage_percent"	"<font color='#70EA72'>%자기 피해:</font>"
"[english]DOTA_Tooltip_ability_frostivus2018_centaur_double_edge_self_damage_percent"	"<font color='#70EA72'>%SELF DAMAGE:</font>"
"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_move_speed_bonus_pct"	"%보너스 이동 속도:"
"[english]DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_move_speed_bonus_pct"	"%BONUS MOVEMENT SPEED:"
"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_attack_steal_duration"	"<font color='#70EA72'>공격 훔치기 지속시간:</font>"
"[english]DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_attack_steal_duration"	"<font color='#70EA72'>ATTACK STEAL DURATION:</font>"
"DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_bonus_base_dmg_per_stack"	"<font color='#70EA72'>중첩당 공격력:</font>"
"[english]DOTA_Tooltip_ability_frostivus2018_clinkz_wind_walk_bonus_base_dmg_per_stack"	"<font color='#70EA72'>ATTACK DMG PER STACK:</font>"
"DOTA_Tooltip_ability_frostivus2018_clinkz_burning_army_attack_rate"	"<font color='#70EA72'>공격 속도:</font>"
"[english]DOTA_Tooltip_ability_frostivus2018_clinkz_burning_army_attack_rate"	"<font color='#70EA72'>ATTACK RATE:</font>"
"DOTA_Tooltip_ability_frostivus2018_dark_willow_shadow_realm_slow_radius"	"<font color='#70EA72'>범위 둔화 반경:</font>"
"[english]DOTA_Tooltip_ability_frostivus2018_dark_willow_shadow_realm_slow_radius"	"<font color='#70EA72'>AREA SLOW RADIUS:</font>"
"DOTA_Tooltip_ability_frostivus2018_dark_willow_shadow_realm_slow_duration"	"<font color='#70EA72'>범위 둔화 지속시간:</font>"
