"lang"
{
"Language"	"tchinese"
"Tokens"
{
"addon_game_name"	"凌霜庇境"
"[english]addon_game_name"	"Frosthaven"
"DOTA_Tooltip_ability_item_bag_of_gold"	"錢袋"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_GameMode_15"	"凌霜庇境"
"[english]DOTA_GameMode_15"	"Frosthaven"
"DOTA_GameMode_19"	"凌霜庇境"
"[english]DOTA_GameMode_19"	"Frosthaven"
"DOTA_HUD_Round"	"回合"
"[english]DOTA_HUD_Round"	"ROUND"
"DOTA_HUD_EnemiesRemaining"	"剩餘敵人："
"[english]DOTA_HUD_EnemiesRemaining"	"ENEMIES REMAINING:"
"DOTA_HUD_TimeRemaining"	"剩餘時間："
"[english]DOTA_HUD_TimeRemaining"	"TIME REMAINING:"
"DOTA_HUD_NextRound"	"下回合倒數："
"[english]DOTA_HUD_NextRound"	"NEXT ROUND: "
"DOTA_HUD_RoundStart"	"回合開始！"
"[english]DOTA_HUD_RoundStart"	"ROUND START!"
"DOTA_HUD_Victory"	"勝利！"
"[english]DOTA_HUD_Victory"	"VICTORY!"
"DOTA_HUD_Defeat"	"失敗！"
"[english]DOTA_HUD_Defeat"	"DEFEAT!"
"DOTA_HUD_Kills"	"擊殺"
"[english]DOTA_HUD_Kills"	"KILLS"
"DOTA_HUD_Deaths"	"死亡"
"[english]DOTA_HUD_Deaths"	"DEATHS"
"DOTA_HUD_Saves"	"復活數"
"[english]DOTA_HUD_Saves"	"REVIVES"
"DOTA_HUD_Bags"	"錢袋"
"[english]DOTA_HUD_Bags"	"BAGS"
"DOTA_HUD_PlayAgain"	"再玩一次？"
"[english]DOTA_HUD_PlayAgain"	"Play Again?"
"DOTA_HUD_Yes"	"是"
"[english]DOTA_HUD_Yes"	"YES"
"DOTA_HUD_No"	"否"
"[english]DOTA_HUD_No"	"NO"
"DOTA_HUD_Score"	"回合成績"
"[english]DOTA_HUD_Score"	"ROUND SCORE"
"DOTA_HUD_TowersRemaining"	"剩餘防禦塔"
"[english]DOTA_HUD_TowersRemaining"	"TOWERS REMAINING"
"DOTA_HUD_GoldBags"	"錢袋拾取數"
"[english]DOTA_HUD_GoldBags"	"GOLD BAGS COLLECTED"
"DOTA_HUD_GoldBagsMissed"	"錢袋蒸發數"
"[english]DOTA_HUD_GoldBagsMissed"	"GOLD BAGS MISSED"
"DOTA_HUD_TeamDeaths"	"隊伍死亡數"
"[english]DOTA_HUD_TeamDeaths"	"TEAM DEATHS"
"DOTA_HUD_DarkMoonPoints"	"點"
"[english]DOTA_HUD_DarkMoonPoints"	"POINTS"
"DOTA_HUD_ThisRound"	"本回得點"
"[english]DOTA_HUD_ThisRound"	"POINTS THIS ROUND"
"DOTA_HUD_TotalPoints"	"本場總得點"
"[english]DOTA_HUD_TotalPoints"	"TOTAL POINTS EARNED THIS MATCH"
"DOTA_HUD_RankThisRound"	"本回評價"
"[english]DOTA_HUD_RankThisRound"	"RANK THIS ROUND"
"DOTA_HUD_RankInfoIcon"	"評價是由剩餘防禦塔數、錢袋拾取數以及隊伍死亡數所決定的。評價的好壞不影響得點。"
"[english]DOTA_HUD_RankInfoIcon"	"Rank is determined based on performance in Towers Remaining, Gold Bags Collected, and Total Team Deaths.  Points earned are not affected by Rank."
"DOTA_HUD_Mute"	"靜音"
"[english]DOTA_HUD_Mute"	"MUTE"
"dota_game_end_victory_title_radiant"	"成功守護迎霜節之魂！"
"[english]dota_game_end_victory_title_radiant"	"Saved The Spirit of Frostivus!"
"dota_game_end_victory_title_dire"	"迎霜節已萬劫不復！"
"[english]dota_game_end_victory_title_dire"	"Frostivus Is Ruined Forever!"
"DOTA_Holdout_Award_MostDeadly_Title"	"最為致命"
"[english]DOTA_Holdout_Award_MostDeadly_Title"	"Most Deadly"
"DOTA_Holdout_Award_MostDeadly_Desc"	" 取得了最多擊殺"
"[english]DOTA_Holdout_Award_MostDeadly_Desc"	" got the most kills this round "
"DOTA_Holdout_Award_MostSaves_Title"	"幫復天使"
"[english]DOTA_Holdout_Award_MostSaves_Title"	"Field Medic"
"DOTA_Holdout_Award_MostSaves_Desc"	" 於本回合復活了最多人"
"[english]DOTA_Holdout_Award_MostSaves_Desc"	" revived the most other players this round "
"DOTA_Holdout_Award_MostBags_Title"	"見錢眼開"
"[english]DOTA_Holdout_Award_MostBags_Title"	"Eyes on the Prize"
"DOTA_Holdout_Award_MostBags_Desc"	" 拾取最多錢袋"
"[english]DOTA_Holdout_Award_MostBags_Desc"	" picked up the most gold bags this round "
"DOTA_Holdout_Award_LeastDeaths_Title"	"生龍活虎"
"[english]DOTA_Holdout_Award_LeastDeaths_Title"	"Stayin' Alive"
"DOTA_Holdout_Award_LeastDeaths_Desc"	" 本回合死亡次數最少"
"[english]DOTA_Holdout_Award_LeastDeaths_Desc"	" had the least deaths this round "
"DOTA_Holdout_Award_MostPotions_Title"	"人人為我"
"[english]DOTA_Holdout_Award_MostPotions_Title"	"All for Me"
"DOTA_Holdout_Award_MostPotions_Desc"	" 取用了最多藥劑"
"[english]DOTA_Holdout_Award_MostPotions_Desc"	" took the most potions this round "
"DOTA_Holdout_Award_Clutched_Title"	"臨危不亂"
"[english]DOTA_Holdout_Award_Clutched_Title"	"Clutched"
"DOTA_Holdout_Award_Clutched_Desc"	" 身為殘員贏下本回合"
"[english]DOTA_Holdout_Award_Clutched_Desc"	" won the round as the last one alive "
"DOTA_Holdout_Award_MostDeaths_Title"	"有勇無謀？"
"[english]DOTA_Holdout_Award_MostDeaths_Title"	"Bravery, or Stupidity?"
"DOTA_Holdout_Award_MostDeaths_Desc"	" 本回合死亡最多次"
"[english]DOTA_Holdout_Award_MostDeaths_Desc"	" had the most deaths that round "
"DOTA_Holdout_Award_KillingSpree_Title"	"大殺特殺"
"[english]DOTA_Holdout_Award_KillingSpree_Title"	"Killing Spree"
"DOTA_Holdout_Award_KillingSpree_Desc"	" 同命連殺 100 名敵人"
"[english]DOTA_Holdout_Award_KillingSpree_Desc"	" has a streak of 100 kills without dying "
"DOTA_Holdout_Award_Dominating_Title"	"宰制全場"
"[english]DOTA_Holdout_Award_Dominating_Title"	"Dominating"
"DOTA_Holdout_Award_Dominating_Desc"	" 同命連殺 200 名敵人"
"[english]DOTA_Holdout_Award_Dominating_Desc"	" has a streak of 200 kills without dying "
"DOTA_Holdout_Award_MegaKill_Title"	"殺敵無數"
"[english]DOTA_Holdout_Award_MegaKill_Title"	"Mega Kill"
"DOTA_Holdout_Award_MegaKill_Desc"	" 同命連殺 300 名敵人"
"[english]DOTA_Holdout_Award_MegaKill_Desc"	" has a streak of 300 kills without dying "
"DOTA_Holdout_Award_Unstoppable_Title"	"人擋殺人"
"[english]DOTA_Holdout_Award_Unstoppable_Title"	"Unstoppable"
"DOTA_Holdout_Award_Unstoppable_Desc"	" 同命連殺 400 名敵人"
"[english]DOTA_Holdout_Award_Unstoppable_Desc"	" has a streak of 400 kills without dying "
"DOTA_Holdout_Award_WickedSick_Title"	"變態殺戮"
"[english]DOTA_Holdout_Award_WickedSick_Title"	"Wicked Sick"
"DOTA_Holdout_Award_WickedSick_Desc"	" 同命連殺 500 名敵人"
"[english]DOTA_Holdout_Award_WickedSick_Desc"	" has a streak of 500 kills without dying "
"DOTA_Holdout_Award_MonsterKill_Title"	"殺戮狂人"
"[english]DOTA_Holdout_Award_MonsterKill_Title"	"Monster Kill"
"DOTA_Holdout_Award_MonsterKill_Desc"	" 同命連殺 600 名敵人"
"[english]DOTA_Holdout_Award_MonsterKill_Desc"	" has a streak of 600 kills without dying "
"DOTA_Holdout_Award_GodLike_Title"	"如神一般"
"[english]DOTA_Holdout_Award_GodLike_Title"	"Godlike"
"DOTA_Holdout_Award_GodLike_Desc"	" 同命連殺 700 名敵人"
"[english]DOTA_Holdout_Award_GodLike_Desc"	" has a streak of 700 kills without dying "
"DOTA_Holdout_Award_Beyond_GodLike_Title"	"超神境界"
"[english]DOTA_Holdout_Award_Beyond_GodLike_Title"	"Beyond Godlike"
"DOTA_Holdout_Award_Beyond_GodLike_Desc"	" 同命連殺 800 名敵人"
"[english]DOTA_Holdout_Award_Beyond_GodLike_Desc"	" has a streak of 800 kills without dying "
"DOTA_Holdout_Award_UltraKill_Title"	"終極連殺"
"[english]DOTA_Holdout_Award_UltraKill_Title"	"Ultra Kill"
"DOTA_Holdout_Award_UltraKill_Desc"	" 短時間內擊殺 25 名敵人"
"[english]DOTA_Holdout_Award_UltraKill_Desc"	" killed 25 or more creeps in a short time "
"DOTA_Holdout_Award_Rampage_Title"	"暴走"
"[english]DOTA_Holdout_Award_Rampage_Title"	"RAMPAGE"
