"addon"
{
	"InstructionsObjective"							"MÅL"
	"InstructionsHowToPlay"							"SLIK SPILLER DU"
	"Scoreboard_Goal"								"Mål"

	"ItemHasSpawned"								"ER PÅ VEI!"

	"RecentScore"									"+{d:score}"

	"NoTeam"          								"Intet lag"

	"OverthrowHeroPickup"							"{s:hero_id}"
	"OverthrowTextPickup"							"HAR PLUKKET OPP"
	"OverthrowItemPickup"							"{s:item_id}!"

	"Remaining"										"GJENSTÅR"

	"Overtime"										"OVERTID!"
	"OvertimeInstructions"							"POENG FOR Å VINNE"

	"KillMessageHero"								"{s:hero_id}"
	"KillMessageText"								"HAR DREPT LEDEREN"
	"KillMessageBounty"								"FOR 500 EKSTRA GULL!"
	
	"overthrow_game_info_header_objective"			"Mål:"
	"overthrow_game_info_header_how_to_play"		"Slik spiller du:"
	"overthrow_game_info_tips_header"				"Tips:"
	//crow_mask_66_comment
	//crow_mask_67_comment
	//crow_mask_68_comment
	//crow_mask_69_comment
	//crow_mask_70_comment
	//crow_mask_71_comment
	//crow_mask_72_comment
}

