"lang"
{
"Language"	"bulgarian"
"Tokens"
{
"#DOTA_RP_INIT"	"главно меню"
"[english]#DOTA_RP_INIT"	"Main Menu"
"#DOTA_RP_IDLE"	"главно меню (бездействащ)"
"[english]#DOTA_RP_IDLE"	"Main Menu (Idle)"
"#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: изчакване за зареждащите"
"[english]#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: Waiting for loaders"
"#DOTA_RP_COACHING"	"{%param0%}: обучава"
"[english]#DOTA_RP_COACHING"	"{%param0%}: Coaching"
"#DOTA_RP_HERO_SELECTION"	"{%param0%}: избира герой"
"[english]#DOTA_RP_HERO_SELECTION"	"{%param0%}: Hero Selection"
"#DOTA_RP_STRATEGY_TIME"	"{%param0%}: стратегически стадий"
"[english]#DOTA_RP_STRATEGY_TIME"	"{%param0%}: Strategy Time"
"#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}: изчакващ зареждането на играта"
"[english]#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}: Waiting for game to load"
"#DOTA_RP_PRE_GAME"	"{%param0%}: преди игра"
"[english]#DOTA_RP_PRE_GAME"	"{%param0%}: Pre Game"
"#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}: в момента играе"
"[english]#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}: Playing A Game"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"играе %param0%"
"[english]#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"Playing %param0%"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"в персонализирана игра"
"[english]#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"Playing Custom Game"
"#DOTA_RP_LOBBY_CUSTOM"	"%param0% лоби"
"[english]#DOTA_RP_LOBBY_CUSTOM"	"%param0% Lobby"
"#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"лоби за персонализирана игра"
"[english]#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"Custom Game Lobby"
"#DOTA_RP_PLAYING_AS"	"{%param0%}: ниво %param1% {%param2%}"
"[english]#DOTA_RP_PLAYING_AS"	"{%param0%}: Lvl %param1% {%param2%}"
"#DOTA_RP_POST_GAME"	"{%param0%}: приключва играта"
"[english]#DOTA_RP_POST_GAME"	"{%param0%}: Post Game"
"#DOTA_RP_DISCONNECT"	"{%param0%}: разкачва се"
"[english]#DOTA_RP_DISCONNECT"	"{%param0%}: Disconnecting"
"#DOTA_RP_SPECTATING"	"наблюдава игра"
"[english]#DOTA_RP_SPECTATING"	"Spectating A Game"
"#DOTA_RP_CASTING"	"предава игра"
"[english]#DOTA_RP_CASTING"	"Casting A Game"
"#DOTA_RP_PRIVATE_LOBBY"	"лично лоби"
"[english]#DOTA_RP_PRIVATE_LOBBY"	"Private Lobby"
"#DOTA_RP_LEAGUE_MATCH"	"играе в турнир"
"[english]#DOTA_RP_LEAGUE_MATCH"	"Playing in a Tournament"
"#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}: {%param1%} (турнир)"
"[english]#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}: {%param1%} (Tournament)"
"#DOTA_RP_WATCHING_REPLAY"	"наблюдава повторение"
"[english]#DOTA_RP_WATCHING_REPLAY"	"Watching A Replay"
"#DOTA_RP_WATCHING_TOURNAMENT"	"наблюдава турнирна игра"
"[english]#DOTA_RP_WATCHING_TOURNAMENT"	"Watching A Tournament Game"
"#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"наблюдава повторение от турнир"
"[english]#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"Watching A Tournament Replay"
"#DOTA_RP_FINDING_MATCH"	"търси мач"
"[english]#DOTA_RP_FINDING_MATCH"	"Finding A Match"
"#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"намиране на битка с Year Beast"
"[english]#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"Finding Year Beast Brawl"
"#DOTA_RP_FINDING_EVENT_MATCH"	"търсещ {%param0%} мач"
"[english]#DOTA_RP_FINDING_EVENT_MATCH"	"Finding {%param0%} Match"
"#DOTA_RP_UNKNOWN_EVENT_GAME"	"персонализирано събитие"
"[english]#DOTA_RP_UNKNOWN_EVENT_GAME"	"Custom Event"
"#DOTA_RP_SPECTATING_WHILE_FINDING"	"търси мач и наблюдава"
"[english]#DOTA_RP_SPECTATING_WHILE_FINDING"	"Finding A Match & Spectacting"
"#DOTA_RP_PENDING"	"висяща покана за приятелство"
"[english]#DOTA_RP_PENDING"	"Friend Request Pending"
"#DOTA_RP_ONLINE"	"на линия"
"[english]#DOTA_RP_ONLINE"	"Online"
"#DOTA_RP_BUSY"	"зает"
"[english]#DOTA_RP_BUSY"	"Busy"
"#DOTA_RP_AWAY"	"отсъстващ"
"[english]#DOTA_RP_AWAY"	"Away"
"#DOTA_RP_SNOOZE"	"отпочиващ"
"[english]#DOTA_RP_SNOOZE"	"Snooze"
"#DOTA_RP_LOOKING_TO_TRADE"	"искащ да търгува"
"[english]#DOTA_RP_LOOKING_TO_TRADE"	"Looking To Trade"
"#DOTA_RP_LOOKING_TO_PLAY"	"искащ да играе"
"[english]#DOTA_RP_LOOKING_TO_PLAY"	"Looking To Play"
"#DOTA_RP_PLAYING_OTHER"	"играе друга игра"
"[english]#DOTA_RP_PLAYING_OTHER"	"Playing Other Game"
"#DOTA_RP_ACCOUNT_DISABLED"	"търсенето на мачове е временно изключено"
"[english]#DOTA_RP_ACCOUNT_DISABLED"	"Matchmaking Disabled Temporarily"
"#DOTA_RP_QUEST"	"на тренировъчна мисия"
"[english]#DOTA_RP_QUEST"	"On A Training Mission"
"#DOTA_RP_BOTPRACTICE"	"играе срещу ботове"
"[english]#DOTA_RP_BOTPRACTICE"	"Playing Against Bots"
"#DOTA_RP_COOPBOT"	"кооперативен мач с ботове"
"[english]#DOTA_RP_COOPBOT"	"Co-op Bot match"
"#DOTA_RP_TRAINING"	"на тренировъчна мисия"
"[english]#DOTA_RP_TRAINING"	"On a Training Mission"
"#DOTA_RP_OPEN_SOLO"	"търсещ екипни членове"
"[english]#DOTA_RP_OPEN_SOLO"	"Looking for party members"
"#DOTA_RP_OPEN_PARTY"	"в екип, търсещ членове"
"[english]#DOTA_RP_OPEN_PARTY"	"In party looking for members"
"#DOTA_RP_PLAYING_DOTA_S1"	"играе Dota 2"
"[english]#DOTA_RP_PLAYING_DOTA_S1"	"Playing Dota 2"
"#custom_game_mode_status"	"в персонализирана игра"
"[english]#custom_game_mode_status"	"Playing Custom Game"
"#npc_dota_hero_none"	"—"
"[english]#npc_dota_hero_none"	"--"
"#npc_dota_hero_queenofpain"	"Queen of Pain"
"[english]#npc_dota_hero_queenofpain"	"Queen of Pain"
"#npc_dota_hero_antimage"	"Anti-Mage"
"[english]#npc_dota_hero_antimage"	"Anti-Mage"
"#npc_dota_hero_kunkka"	"Kunkka"
"[english]#npc_dota_hero_kunkka"	"Kunkka"
"#npc_dota_hero_lina"	"Lina"
"[english]#npc_dota_hero_lina"	"Lina"
"#npc_dota_hero_mirana"	"Mirana"
"[english]#npc_dota_hero_mirana"	"Mirana"
"#npc_dota_hero_slardar"	"Slardar"
"[english]#npc_dota_hero_slardar"	"Slardar"
"#npc_dota_hero_lion"	"Lion"
"[english]#npc_dota_hero_lion"	"Lion"
"#npc_dota_hero_phantom_assassin"	"Phantom Assassin"
"[english]#npc_dota_hero_phantom_assassin"	"Phantom Assassin"
"#npc_dota_hero_tidehunter"	"Tidehunter"
"[english]#npc_dota_hero_tidehunter"	"Tidehunter"
"#npc_dota_hero_witch_doctor"	"Witch Doctor"
"[english]#npc_dota_hero_witch_doctor"	"Witch Doctor"
"#npc_dota_hero_vengefulspirit"	"Vengeful Spirit"
"[english]#npc_dota_hero_vengefulspirit"	"Vengeful Spirit"
"#npc_dota_hero_juggernaut"	"Juggernaut"
"[english]#npc_dota_hero_juggernaut"	"Juggernaut"
"#npc_dota_hero_earthshaker"	"Earthshaker"
"[english]#npc_dota_hero_earthshaker"	"Earthshaker"
"#npc_dota_hero_pudge"	"Pudge"
"[english]#npc_dota_hero_pudge"	"Pudge"
"#npc_dota_hero_bane"	"Bane"
"[english]#npc_dota_hero_bane"	"Bane"
"#npc_dota_hero_crystal_maiden"	"Crystal Maiden"
"[english]#npc_dota_hero_crystal_maiden"	"Crystal Maiden"
"#npc_dota_hero_sven"	"Sven"
"[english]#npc_dota_hero_sven"	"Sven"
"#npc_dota_hero_skeleton_king"	"Wraith King"
