"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_antimage_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_antimage_laugh"	"[大笑]"
"[english]dota_chatwheel_label_antimage_laugh"	"[Laugh]"
"dota_chatwheel_message_antimage_thank"	"看我给他们来一场深刻的痛击！"
"[english]dota_chatwheel_message_antimage_thank"	"I'll give them a drubbing they'll not soon forget!"
"dota_chatwheel_label_antimage_thank"	"看我给他们……"
"[english]dota_chatwheel_label_antimage_thank"	"I'll give them a drubbing..."
"dota_chatwheel_message_antimage_deny"	"不要做无谓挣扎。"
"[english]dota_chatwheel_message_antimage_deny"	"Are you even trying?"
"dota_chatwheel_label_antimage_deny"	"不要做无谓挣扎。"
"[english]dota_chatwheel_label_antimage_deny"	"Are you even trying?"
"dota_chatwheel_message_antimage_1"	"魔法令人深恶痛绝。"
"[english]dota_chatwheel_message_antimage_1"	"Magic is an abomination."
"dota_chatwheel_label_antimage_1"	"魔法令人深恶痛绝。"
"[english]dota_chatwheel_label_antimage_1"	"Magic is an abomination."
"dota_chatwheel_message_antimage_2"	"太失望了。"
"[english]dota_chatwheel_message_antimage_2"	"A disappointment."
"dota_chatwheel_label_antimage_2"	"太失望了。"
"[english]dota_chatwheel_label_antimage_2"	"A disappointment."
"dota_chatwheel_message_antimage_3"	"汝之魔法无法自救。"
"[english]dota_chatwheel_message_antimage_3"	"Magic thyself out of that."
"dota_chatwheel_label_antimage_3"	"汝之魔法无法自救。"
"[english]dota_chatwheel_label_antimage_3"	"Magic thyself out of that."
"dota_chatwheel_message_antimage_4"	"你已注定死亡！"
"[english]dota_chatwheel_message_antimage_4"	"Thou art damned!"
"dota_chatwheel_label_antimage_4"	"你已注定死亡。"
"[english]dota_chatwheel_label_antimage_4"	"Thou art damned."
"dota_chatwheel_message_antimage_5"	"死神军团放马过来，我要把你们一网打尽。"
"[english]dota_chatwheel_message_antimage_5"	"Send thy Dead God's legions, I will put them all to death."
"dota_chatwheel_label_antimage_5"	"死神军团放马过来……"
"[english]dota_chatwheel_label_antimage_5"	"Send thy Dead God's legions..."
"dota_chatwheel_message_axe_laugh"	"哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_axe_laugh"	"Ha ha ha ha ha ha!"
"dota_chatwheel_label_axe_laugh"	"[大笑]"
"[english]dota_chatwheel_label_axe_laugh"	"[Laugh]"
"dota_chatwheel_message_axe_thank"	"斧王非常喜欢这个。"
"[english]dota_chatwheel_message_axe_thank"	"Axe likes this very much."
"dota_chatwheel_label_axe_thank"	"斧王非常喜欢这个。"
"[english]dota_chatwheel_label_axe_thank"	"Axe likes this very much."
"dota_chatwheel_message_axe_deny"	"你应该空手而归！"
"[english]dota_chatwheel_message_axe_deny"	"You deserve nothing!"
"dota_chatwheel_label_axe_deny"	"你应该空手而归！"
"[english]dota_chatwheel_label_axe_deny"	"You deserve nothing!"
"dota_chatwheel_message_axe_1"	"你的死亡比你的战斗更加丑陋。"
"[english]dota_chatwheel_message_axe_1"	"You fought badly--died worse."
"dota_chatwheel_label_axe_1"	"你的战斗很丑陋"
"[english]dota_chatwheel_label_axe_1"	"You fought badly"
"dota_chatwheel_message_axe_2"	"我都说了祝你愉快啊，哥们儿！"
"[english]dota_chatwheel_message_axe_2"	"I said good day, sir!"
"dota_chatwheel_label_axe_2"	"我都说了祝你愉快啊，哥们儿！"
"[english]dota_chatwheel_label_axe_2"	"I said good day, sir!"
"dota_chatwheel_message_axe_3"	"判断失误了？"
"[english]dota_chatwheel_message_axe_3"	"Axe misjudged?"
"dota_chatwheel_label_axe_3"	"判断失误了？"
"[english]dota_chatwheel_label_axe_3"	"Axe misjudged?"
"dota_chatwheel_message_axe_4"	"斧王没时间废话。"
"[english]dota_chatwheel_message_axe_4"	"Axe has no time for all this jibber-jabber."
"dota_chatwheel_label_axe_4"	"斧王没时间废话。"
"[english]dota_chatwheel_label_axe_4"	"Axe has no time for all this jibber-jabber."
"dota_chatwheel_message_axe_5"	"刚才是什么？是斧头！"
"[english]dota_chatwheel_message_axe_5"	"What happened? Axe happened!"
"dota_chatwheel_label_axe_5"	"刚才是什么？是斧头！"
"[english]dota_chatwheel_label_axe_5"	"What happened? Axe happened!"
"dota_chatwheel_message_bane_laugh"	"哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_bane_laugh"	"Ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_bane_laugh"	"[大笑]"
"[english]dota_chatwheel_label_bane_laugh"	"[Laugh]"
"dota_chatwheel_message_bane_thank"	"你真慷慨。"
"[english]dota_chatwheel_message_bane_thank"	"You're so nice."
"dota_chatwheel_label_bane_thank"	"你真慷慨。"
