"lang"
{
"Language"	"schinese"
"Tokens"
{
"#DOTA_RP_INIT"	"主菜单（空闲）"
"[english]#DOTA_RP_INIT"	"Main Menu"
"#DOTA_RP_IDLE"	"主菜单"
"[english]#DOTA_RP_IDLE"	"Main Menu (Idle)"
"#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: 等待其他玩家读取游戏"
"[english]#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: Waiting for loaders"
"#DOTA_RP_COACHING"	"{%param0%}: 教练"
"[english]#DOTA_RP_COACHING"	"{%param0%}: Coaching"
"#DOTA_RP_HERO_SELECTION"	"{%param0%}: 英雄选择"
"[english]#DOTA_RP_HERO_SELECTION"	"{%param0%}: Hero Selection"
"#DOTA_RP_STRATEGY_TIME"	"{%param0%}：策略时间"
"[english]#DOTA_RP_STRATEGY_TIME"	"{%param0%}: Strategy Time"
"#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}：等待游戏载入"
"[english]#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}: Waiting for game to load"
"#DOTA_RP_PRE_GAME"	"{%param0%}：赛前"
"[english]#DOTA_RP_PRE_GAME"	"{%param0%}: Pre Game"
"#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}：游戏中"
"[english]#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}: Playing A Game"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"正在进行 %param0%"
"[english]#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"Playing %param0%"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"进行自定义游戏"
"[english]#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"Playing Custom Game"
"#DOTA_RP_LOBBY_CUSTOM"	"%param0%房间"
"[english]#DOTA_RP_LOBBY_CUSTOM"	"%param0% Lobby"
"#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"自定义游戏房间"
"[english]#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"Custom Game Lobby"
"#DOTA_RP_PLAYING_AS"	"{%param0%}：{%param2%}（%param1%级）"
"[english]#DOTA_RP_PLAYING_AS"	"{%param0%}: Lvl %param1% {%param2%}"
"#DOTA_RP_POST_GAME"	"{%param0%}：赛后"
"[english]#DOTA_RP_POST_GAME"	"{%param0%}: Post Game"
"#DOTA_RP_DISCONNECT"	"{%param0%}：正在断开连接"
"[english]#DOTA_RP_DISCONNECT"	"{%param0%}: Disconnecting"
"#DOTA_RP_SPECTATING"	"观战中"
"[english]#DOTA_RP_SPECTATING"	"Spectating A Game"
"#DOTA_RP_CASTING"	"正在解说比赛"
"[english]#DOTA_RP_CASTING"	"Casting A Game"
"#DOTA_RP_PRIVATE_LOBBY"	"私人房间"
"[english]#DOTA_RP_PRIVATE_LOBBY"	"Private Lobby"
"#DOTA_RP_LEAGUE_MATCH"	"正在参加一项锦标赛"
"[english]#DOTA_RP_LEAGUE_MATCH"	"Playing in a Tournament"
"#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}：{%param1%}（锦标赛）"
"[english]#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}: {%param1%} (Tournament)"
"#DOTA_RP_WATCHING_REPLAY"	"观看录像"
"[english]#DOTA_RP_WATCHING_REPLAY"	"Watching A Replay"
"#DOTA_RP_WATCHING_TOURNAMENT"	"正在观看锦标赛"
"[english]#DOTA_RP_WATCHING_TOURNAMENT"	"Watching A Tournament Game"
"#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"正在观看比赛录像"
"[english]#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"Watching A Tournament Replay"
"#DOTA_RP_FINDING_MATCH"	"寻找比赛中"
"[english]#DOTA_RP_FINDING_MATCH"	"Finding A Match"
"#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"寻找年兽乱斗比赛"
"[english]#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"Finding Year Beast Brawl"
"#DOTA_RP_FINDING_EVENT_MATCH"	"寻找{%param0%}比赛"
"[english]#DOTA_RP_FINDING_EVENT_MATCH"	"Finding {%param0%} Match"
"#DOTA_RP_UNKNOWN_EVENT_GAME"	"自定义活动"
"[english]#DOTA_RP_UNKNOWN_EVENT_GAME"	"Custom Event"
"#DOTA_RP_SPECTATING_WHILE_FINDING"	"边寻找比赛边观战"
"[english]#DOTA_RP_SPECTATING_WHILE_FINDING"	"Finding A Match & Spectacting"
"#DOTA_RP_PENDING"	"请求加为好友"
"[english]#DOTA_RP_PENDING"	"Friend Request Pending"
"#DOTA_RP_ONLINE"	"在线"
"[english]#DOTA_RP_ONLINE"	"Online"
"#DOTA_RP_BUSY"	"忙碌"
"[english]#DOTA_RP_BUSY"	"Busy"
"#DOTA_RP_AWAY"	"离开"
"[english]#DOTA_RP_AWAY"	"Away"
"#DOTA_RP_SNOOZE"	"打盹"
"[english]#DOTA_RP_SNOOZE"	"Snooze"
"#DOTA_RP_LOOKING_TO_TRADE"	"想交易"
"[english]#DOTA_RP_LOOKING_TO_TRADE"	"Looking To Trade"
"#DOTA_RP_LOOKING_TO_PLAY"	"想玩游戏"
"[english]#DOTA_RP_LOOKING_TO_PLAY"	"Looking To Play"
"#DOTA_RP_PLAYING_OTHER"	"进行其它游戏"
"[english]#DOTA_RP_PLAYING_OTHER"	"Playing Other Game"
"#DOTA_RP_ACCOUNT_DISABLED"	"匹配比赛已被暂时禁用"
"[english]#DOTA_RP_ACCOUNT_DISABLED"	"Matchmaking Disabled Temporarily"
"#DOTA_RP_QUEST"	"训练任务中"
"[english]#DOTA_RP_QUEST"	"On A Training Mission"
"#DOTA_RP_BOTPRACTICE"	"进行机器人对抗赛"
"[english]#DOTA_RP_BOTPRACTICE"	"Playing Against Bots"
"#DOTA_RP_COOPBOT"	"合作对抗机器人比赛"
"[english]#DOTA_RP_COOPBOT"	"Co-op Bot match"
"#DOTA_RP_TRAINING"	"训练任务中"
"[english]#DOTA_RP_TRAINING"	"On a Training Mission"
"#DOTA_RP_OPEN_SOLO"	"正在寻找开黑队友"
"[english]#DOTA_RP_OPEN_SOLO"	"Looking for party members"
"#DOTA_RP_OPEN_PARTY"	"正在寻找开黑队友"
"[english]#DOTA_RP_OPEN_PARTY"	"In party looking for members"
"#DOTA_RP_PLAYING_DOTA_S1"	"正在玩Dota 2"
"[english]#DOTA_RP_PLAYING_DOTA_S1"	"Playing Dota 2"
"#custom_game_mode_status"	"进行自定义游戏"
"[english]#custom_game_mode_status"	"Playing Custom Game"
"#npc_dota_hero_none"	"--"
"[english]#npc_dota_hero_none"	"--"
"#npc_dota_hero_queenofpain"	"痛苦女王"
"[english]#npc_dota_hero_queenofpain"	"Queen of Pain"
"#npc_dota_hero_antimage"	"敌法师"
"[english]#npc_dota_hero_antimage"	"Anti-Mage"
"#npc_dota_hero_kunkka"	"昆卡"
"[english]#npc_dota_hero_kunkka"	"Kunkka"
"#npc_dota_hero_lina"	"莉娜"
"[english]#npc_dota_hero_lina"	"Lina"
"#npc_dota_hero_mirana"	"米拉娜"
"[english]#npc_dota_hero_mirana"	"Mirana"
"#npc_dota_hero_slardar"	"斯拉达"
"[english]#npc_dota_hero_slardar"	"Slardar"
"#npc_dota_hero_lion"	"莱恩"
"[english]#npc_dota_hero_lion"	"Lion"
"#npc_dota_hero_phantom_assassin"	"幻影刺客"
"[english]#npc_dota_hero_phantom_assassin"	"Phantom Assassin"
"#npc_dota_hero_tidehunter"	"潮汐猎人"
"[english]#npc_dota_hero_tidehunter"	"Tidehunter"
"#npc_dota_hero_witch_doctor"	"巫医"
"[english]#npc_dota_hero_witch_doctor"	"Witch Doctor"
"#npc_dota_hero_vengefulspirit"	"复仇之魂"
"[english]#npc_dota_hero_vengefulspirit"	"Vengeful Spirit"
"#npc_dota_hero_juggernaut"	"主宰"
"[english]#npc_dota_hero_juggernaut"	"Juggernaut"
"#npc_dota_hero_earthshaker"	"撼地者"
"[english]#npc_dota_hero_earthshaker"	"Earthshaker"
"#npc_dota_hero_pudge"	"帕吉"
"[english]#npc_dota_hero_pudge"	"Pudge"
"#npc_dota_hero_bane"	"祸乱之源"
"[english]#npc_dota_hero_bane"	"Bane"
"#npc_dota_hero_crystal_maiden"	"水晶室女"
"[english]#npc_dota_hero_crystal_maiden"	"Crystal Maiden"
"#npc_dota_hero_sven"	"斯温"
"[english]#npc_dota_hero_sven"	"Sven"
"#npc_dota_hero_skeleton_king"	"冥魂大帝"
"[english]#npc_dota_hero_skeleton_king"	"Wraith King"
