"lang"
{
"Language"	"turkish"
"Tokens"
{
"DOTA_AttackMove"	"Saldırı Hamlesi / Saldırıya Zorla"
"DOTA_Move"	"Hareket Et"
"DOTA_UnitQuery"	"Nesneye/birime göz at"
"DOTA_ExecuteAbility0"	"1. Yetenek"
"DOTA_ExecuteAbility1"	"2. Yetenek"
"DOTA_ExecuteAbility2"	"3. Yetenek"
"DOTA_ExecuteAbility3"	"4. Yetenek"
"DOTA_ExecuteAbility4"	"5. Yetenek"
"DOTA_ExecuteAbility5"	"Nihai Yetenek"
"DOTA_RespawnTime"	"%s1 saniye içinde canlanıyor"
"DOTA_RespawnTimeShort"	"Canlanmaya %s1 sn"
"DOTA_UnitLevel"	"Seviye %s1"
"DOTA_StrengthStatus"	"%s1 KVT"
"DOTA_STR"	"KVT"
"DOTA_AgilityStatus"	"%s1 ÇVK"
"DOTA_AGI"	"ÇVK"
"DOTA_IntellectStatus"	"%s1 ZEK"
"DOTA_INT"	"ZEK"
"DOTA_DamageStatus"	"%s1 Hasar"
"DOTA_ArmorStatus"	"%s1 Zırh"
"DOTA_ARMOR"	"Zırhı"
"DOTA_UnitHold"	"Konumunu Koru"
"DOTA_UnitStop"	"Dur"
"DOTA_LevelUp"	"SEVİYE"
"DOTA_LevelUp_Req"	"Kahraman %s1. Seviyede Olmalı"
"DOTA_AttributesUp"	"%s1. SEVİYE"
"DOTA_Abilities"	"YETENEKLER"
"DOTA_Items"	"KUŞANILMIŞ EŞYALAR"
"DOTA_HUDShop"	"DÜKKÂN"
"DOTA_AttribArmor"	"Zırhı"
"DOTA_AttribDamage"	"Hasar"
"DOTA_More"	"DAHASI"
"DOTA_Developer"	"Geliştirici"
"DOTA_NeedMana"	"%s1 sn"
"DOTA_ManaCost"	"MANA BEDELİ %s1"
"DOTA_Basics"	"TEMEL"
"DOTA_Upgrades"	"YÜKSELTMELER"
"DOTA_Attributes"	"ÖZELLİKLER"
"DOTA_LevelLabel"	"Seviye: %s1"
"DOTA_StackCount"	"İstif Adedi: %s1"
"DOTA_Charges"	"Şarj: %s1"
"DOTA_Health"	"SAĞLIK"
"DOTA_Mana"	"MANA"
"DOTA_Skills"	"YETENEKLER"
"DOTA_AttributeFooter"	"HASAR: %s1 ZIRH: %s2"
"DOTA_UnitSelection_Title"	"BİRİM SEÇİMİ"
"DOTA_SelectHeroAndCenter"	"Kahramanı Seç ve Kamerayı Ortala"
"DOTA_TabUnit"	"Seçili Birimler Arasında Geçiş Yap"
"DOTA_ControlGroup1"	"1. Grup"
"DOTA_ControlGroup2"	"2. Grup"
"DOTA_ControlGroup3"	"3. Grup"
"DOTA_ControlGroup4"	"4. Grup"
"DOTA_ControlGroup5"	"5. Grup"
"DOTA_StatTooltip_Header"	"Kahraman Özellikleri:\n\n"
"DOTA_StatTooltip_Strength"	"Kuvvet:"
"DOTA_StatTooltip_Agility"	"Çeviklik:"
"DOTA_StatTooltip_Intelligence"	"Zekâ:"
"DOTA_StatTooltip_PrimaryAttrib"	" Ana Özellik\n"
"DOTA_StatTooltip_StrengthBonus"	"- Her puan sağlık puanını 20 arttırır\n- Her puan sağlık yenilenmesini 0.03 hızlandırır\n"
"DOTA_StatTooltip_AgilityBonus"	"- Her 7 puan zırhı 1 arttırır\n- Her puan saldırı hızını 1 arttırır\n"
"DOTA_StatTooltip_IntelligenceBonus"	"- Her puan manayı 12 arttırır\n- Her puan mana yenilenmesini 0.04 hızlandırır\n- Her 16 puan büyü hasarını %1 artırır\n"
"DOTA_StatTooltip_PrimaryBonus"	"- Her puan verilen hasarı 1 arttırır\n"
"DOTA_StatTooltip_Buyback"	"Anında Canlanma Maliyeti: %s1\n"
"DOTA_GoodGuys"	"Radiant"
"DOTA_BadGuys"	"Dire"
"DOTA_Towers"	"Kalan Kule: %s1"
"DOTA_Barracks"	"Baraka: %s1"
"DOTA_NotAvailable"	"Mevcut Değil"
"DOTA_MoveForward"	"Kamera İleri"
"DOTA_MoveBack"	"Kamera Geri"
"DOTA_MoveLeft"	"Kamera Sola"
"DOTA_MoveRight"	"Kamera Sağa"
"DOTA_CameraGrip"	"Kamerayı Tut"
"DOTA_HeroSelect"	"Kahramanı Seç"
"DOTA_HeroCenter"	"Kahramanı Ortala"
"DOTA_HeroMoveHome"	"Kahramanı Üsse Döndür"
"DOTA_ControlGroupCycle"	"Sonraki Birim"
"DOTA_ControlGroup6"	"6. Grup"
"DOTA_Escape"	"Kapat"
"DOTA_Scoreboard"	"Skor Tabelası"
"DOTA_Screenshot"	"Ekran Görüntüsü"
"DOTA_Voice"	"Sesli İletişim"
"DOTA_VoiceLane"	"Kulvara Ses"
"DOTA_ChatGlobal"	"Herkese Yaz"
"DOTA_ChatTeam"	"Takıma Yaz"
"DOTA_Learn_Abilities"	"Yetenek Öğren"
"DOTA_Learn_Stats"	"Özelliklerini Yükselt"
"DOTA_UseActionItem_Key"	"Eylem Eşyası"
"DOTA_StatTooltip_TotalAttributesSkilled"	"Özellik Seviyesi: "
"DOTA_DmgArmorTooltip_AttackSpeed"	"Saldırı Hızı: "
"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	" saniye (saldırı başına)"
"DOTA_DmgArmorTooltip_MoveSpeed"	"Hareket Hızı: "
"DOTA_DmgArmorTooltip_AttackDamage"	"Saldırı Hasarı:"
"DOTA_DmgArmorTooltip_AttackRange"	"Saldırı Menzili:"
"DOTA_DmgArmorTooltip_Armor"	"Fiziksel Zırh: "
"DOTA_DmgArmorTooltip_DmgResist"	"Fiziksel Hasar Direnci: "
"DOTA_DmgArmorTooltip_MagicArmor"	"Büyüsel Zırh: "
"DOTA_DmgArmorTooltip_MagicDmgResist"	"Büyüsel Hasar Direnci: "
"DOTA_HeroTaunt_Key"	"Alay Eşyası"
"DOTAUI_AspectNormal"	"4:3"
"DOTAUI_AspectWide16x9"	"16:9"
"DOTAUI_AspectWide16x10"	"16:10"
"DOTAUI_Fullscreen"	"Tam Ekran"
"DOTAUI_Window"	"Pencere"
"DOTAUI_BorderlessWindow"	"Çerçevesiz Pencere"
"DOTA_Welcome"	"DotA'ya Hoş Geldin"
"DOTA_Chat_Team"	"[TAKIM] %s1: %s2"
"DOTA_Chat_Team_Dead"	"*ÖLÜ*[TAKIM] %s1: %s2"
"DOTA_Chat_Spec"	"[İzleyici] %s1: %s2"
"DOTA_Chat_All"	"%s1: %s2"
"DOTA_Chat_PlayerKilled"	"%s1, %s2 adlı oyuncunun kellesini %s3 altına aldı!"
"DOTA_Chat_PlayerDenied"	"%s1 %s2 adlı oyuncuyu reddetti!"
"DOTA_Chat_PlayerDeniedSelf"	"%s1 intihar etti!"
"DOTA_Chat_PlayerKilledGood"	"%s1 Dire tarafından öldürüldü! %s2 altın Dire kahramanları arasında paylaştırıldı."
"DOTA_Chat_PlayerKilledBad"	"%s1 Radiant tarafından öldürüldü! %s2 altın Radiant kahramanları arasında paylaştırıldı."
"DOTA_Chat_PlayerKilledGeneric"	"%s1 bir Tarafsız Yaratık tarafından öldürüldü!"
"DOTA_Chat_PlayerKilledAssist"	"%s1 öldürüldü! %s2 altın, asist yapanlar arasında paylaştırıldı:"
"DOTA_Chat_TowerPlayerKilled"	"%s1 bir kule yıktı!"
"DOTA_Chat_TowerKilledGood"	"Bir kule Dire tarafından yıkıldı!"
"DOTA_Chat_TowerKilledBad"	"Bir kule Radiant tarafından yıkıldı!"
"DOTA_Chat_BarracksKilled"	"%s1 %s2 %s3 Barakaları yerle bir edildi!"
"DOTA_Chat_TowerDenied"	"%s1 bir kuleyi reddetti!"
"DOTA_Chat_FirstBlood"	"%s1 %s2, %s3 oyuncusunu öldürerek ilk kanı akıttı"
"DOTA_Chat_DoubleKill"	"%s1 %s2 iki kişi öldürdü!"
"DOTA_Chat_TripleKill"	"%s1 %s2 ÜÇ kişi öldürdü!"
"DOTA_Chat_QuadKill"	"%s1 %s2 DÖRT KİŞİ öldürdü!"
"DOTA_Chat_QuintupleKill"	"%s1 %s2 KATLİAM YAPTI!"
"DOTA_Chat_BuyBack"	"%s1 erken canlanarak oyuna dahil oldu!"
"DOTA_Chat_PickedUpAegis"	"%s1 Aegis of the Immortal'ı aldı!"
"DOTA_Chat_KilledRoshanGood"	"Roshan, Radiant tarafından öldürüldü! Tüm Radiant kahramanlarına %s1 altın verildi!"
"DOTA_Chat_KilledRoshanBad"	"Roshan, Dire tarafından öldürüldü! Tüm Dire kahramanlarına %s1 altın verildi!"
"DOTA_Chat_SuperCreepsGood"	"Tüm Dire Barakaları yıkıldı. Radiant artık Dev yaratıklara sahip!"
"DOTA_Chat_SuperCreepsBad"	"Tüm Radiant Barakaları yıkıldı. Dire artık dev yaratıklara sahip!"
