"lang"
{
"Language"	"turkish"
"Tokens"
{
"#DOTA_RP_INIT"	"Ana Menü"
"[english]#DOTA_RP_INIT"	"Main Menu"
"#DOTA_RP_IDLE"	"Ana Menü (Boşta)"
"[english]#DOTA_RP_IDLE"	"Main Menu (Idle)"
"#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: Yükleyenleri bekliyor"
"[english]#DOTA_RP_WAIT_FOR_PLAYERS_TO_LOAD"	"{%param0%}: Waiting for loaders"
"#DOTA_RP_COACHING"	"{%param0%}: Koçluk Yapıyor"
"[english]#DOTA_RP_COACHING"	"{%param0%}: Coaching"
"#DOTA_RP_HERO_SELECTION"	"{%param0%}: Kahraman Seçimi"
"[english]#DOTA_RP_HERO_SELECTION"	"{%param0%}: Hero Selection"
"#DOTA_RP_STRATEGY_TIME"	"{%param0%}: Planlama Aşaması"
"[english]#DOTA_RP_STRATEGY_TIME"	"{%param0%}: Strategy Time"
"#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}: Oyunun yüklenmesi bekleniyo"
"[english]#DOTA_RP_WAIT_FOR_MAP_TO_LOAD"	"{%param0%}: Waiting for game to load"
"#DOTA_RP_PRE_GAME"	"{%param0%}: Oyun Öncesi"
"[english]#DOTA_RP_PRE_GAME"	"{%param0%}: Pre Game"
"#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}: Oyunda"
"[english]#DOTA_RP_GAME_IN_PROGRESS"	"{%param0%}: Playing A Game"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"%param0% Oynuyor"
"[english]#DOTA_RP_GAME_IN_PROGRESS_CUSTOM"	"Playing %param0%"
"#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"Özel Oyun Oynuyor"
"[english]#DOTA_RP_GAME_IN_PROGRESS_CUSTOM_UNNAMED"	"Playing Custom Game"
"#DOTA_RP_LOBBY_CUSTOM"	"%param0% Lobi"
"[english]#DOTA_RP_LOBBY_CUSTOM"	"%param0% Lobby"
"#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"Özel Oyun Lobisi"
"[english]#DOTA_RP_LOBBY_CUSTOM_UNNAMED"	"Custom Game Lobby"
"#DOTA_RP_PLAYING_AS"	"{%param0%}: %param1% Seviye {%param2%}"
"[english]#DOTA_RP_PLAYING_AS"	"{%param0%}: Lvl %param1% {%param2%}"
"#DOTA_RP_POST_GAME"	"{%param0%}: Oyun Sonrası"
"[english]#DOTA_RP_POST_GAME"	"{%param0%}: Post Game"
"#DOTA_RP_DISCONNECT"	"{%param0%}: Bağlantı Sonlandırılıyor"
"[english]#DOTA_RP_DISCONNECT"	"{%param0%}: Disconnecting"
"#DOTA_RP_SPECTATING"	"Oyun İzliyor"
"[english]#DOTA_RP_SPECTATING"	"Spectating A Game"
"#DOTA_RP_CASTING"	"Oyun Sunuyor"
"[english]#DOTA_RP_CASTING"	"Casting A Game"
"#DOTA_RP_PRIVATE_LOBBY"	"Özel Lobi"
"[english]#DOTA_RP_PRIVATE_LOBBY"	"Private Lobby"
"#DOTA_RP_LEAGUE_MATCH"	"Bir Turnuvada Oynuyor"
"[english]#DOTA_RP_LEAGUE_MATCH"	"Playing in a Tournament"
"#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}: {%param1%} (Turnuva)"
"[english]#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}: {%param1%} (Tournament)"
"#DOTA_RP_WATCHING_REPLAY"	"Tekrarı İzliyor"
"[english]#DOTA_RP_WATCHING_REPLAY"	"Watching A Replay"
"#DOTA_RP_WATCHING_TOURNAMENT"	"Turnuva Maçını İzliyor"
"[english]#DOTA_RP_WATCHING_TOURNAMENT"	"Watching A Tournament Game"
"#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"Turnuva Tekrarını İzliyor"
"[english]#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"Watching A Tournament Replay"
"#DOTA_RP_FINDING_MATCH"	"Maç Arıyor"
"[english]#DOTA_RP_FINDING_MATCH"	"Finding A Match"
"#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"Yıl Canavar Savaşı Aranıyor"
"[english]#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"Finding Year Beast Brawl"
"#DOTA_RP_FINDING_EVENT_MATCH"	"{%param0%} Maçı Bulunuyor"
"[english]#DOTA_RP_FINDING_EVENT_MATCH"	"Finding {%param0%} Match"
"#DOTA_RP_UNKNOWN_EVENT_GAME"	"Özel Etkinlik"
"[english]#DOTA_RP_UNKNOWN_EVENT_GAME"	"Custom Event"
"#DOTA_RP_SPECTATING_WHILE_FINDING"	"Maç Aranıyor ve İzleniyor"
"[english]#DOTA_RP_SPECTATING_WHILE_FINDING"	"Finding A Match & Spectacting"
"#DOTA_RP_PENDING"	"Bekleyen Arkadaşlık İstekleri"
"[english]#DOTA_RP_PENDING"	"Friend Request Pending"
"#DOTA_RP_ONLINE"	"Çevrimiçi"
"[english]#DOTA_RP_ONLINE"	"Online"
"#DOTA_RP_BUSY"	"Meşgul"
"[english]#DOTA_RP_BUSY"	"Busy"
"#DOTA_RP_AWAY"	"Uzakta"
"[english]#DOTA_RP_AWAY"	"Away"
"#DOTA_RP_SNOOZE"	"Uyuyor"
"[english]#DOTA_RP_SNOOZE"	"Snooze"
"#DOTA_RP_LOOKING_TO_TRADE"	"Takas Arıyor"
"[english]#DOTA_RP_LOOKING_TO_TRADE"	"Looking To Trade"
"#DOTA_RP_LOOKING_TO_PLAY"	"Oyun Arıyor"
"[english]#DOTA_RP_LOOKING_TO_PLAY"	"Looking To Play"
"#DOTA_RP_PLAYING_OTHER"	"Başka Bir Oyun Oynuyor"
"[english]#DOTA_RP_PLAYING_OTHER"	"Playing Other Game"
"#DOTA_RP_ACCOUNT_DISABLED"	"Eşleştirme Geçici Olarak Devre Dışı"
"[english]#DOTA_RP_ACCOUNT_DISABLED"	"Matchmaking Disabled Temporarily"
"#DOTA_RP_QUEST"	"Eğitim Görevinde"
"[english]#DOTA_RP_QUEST"	"On A Training Mission"
"#DOTA_RP_BOTPRACTICE"	"Botlara Karşı Oynuyor"
"[english]#DOTA_RP_BOTPRACTICE"	"Playing Against Bots"
"#DOTA_RP_COOPBOT"	"Eşli Bot maçı"
"[english]#DOTA_RP_COOPBOT"	"Co-op Bot match"
"#DOTA_RP_TRAINING"	"Eğitim Görevinde"
"[english]#DOTA_RP_TRAINING"	"On a Training Mission"
"#DOTA_RP_OPEN_SOLO"	"Parti üyeleri aranıyor"
"[english]#DOTA_RP_OPEN_SOLO"	"Looking for party members"
"#DOTA_RP_OPEN_PARTY"	"Partide, üye arıyor"
"[english]#DOTA_RP_OPEN_PARTY"	"In party looking for members"
"#DOTA_RP_PLAYING_DOTA_S1"	"Dota 2 Oynuyor"
"[english]#DOTA_RP_PLAYING_DOTA_S1"	"Playing Dota 2"
"#custom_game_mode_status"	"Özel Oyun Oynuyor"
"[english]#custom_game_mode_status"	"Playing Custom Game"
"#npc_dota_hero_none"	"--"
"[english]#npc_dota_hero_none"	"--"
"#npc_dota_hero_queenofpain"	"Queen of Pain"
"[english]#npc_dota_hero_queenofpain"	"Queen of Pain"
"#npc_dota_hero_antimage"	"Anti-Mage"
"[english]#npc_dota_hero_antimage"	"Anti-Mage"
"#npc_dota_hero_kunkka"	"Kunkka"
"[english]#npc_dota_hero_kunkka"	"Kunkka"
"#npc_dota_hero_lina"	"Lina"
"[english]#npc_dota_hero_lina"	"Lina"
"#npc_dota_hero_mirana"	"Mirana"
"[english]#npc_dota_hero_mirana"	"Mirana"
"#npc_dota_hero_slardar"	"Slardar"
"[english]#npc_dota_hero_slardar"	"Slardar"
"#npc_dota_hero_lion"	"Lion"
"[english]#npc_dota_hero_lion"	"Lion"
"#npc_dota_hero_phantom_assassin"	"Phantom Assassin"
"[english]#npc_dota_hero_phantom_assassin"	"Phantom Assassin"
"#npc_dota_hero_tidehunter"	"Tidehunter"
"[english]#npc_dota_hero_tidehunter"	"Tidehunter"
"#npc_dota_hero_witch_doctor"	"Witch Doctor"
"[english]#npc_dota_hero_witch_doctor"	"Witch Doctor"
"#npc_dota_hero_vengefulspirit"	"Vengeful Spirit"
"[english]#npc_dota_hero_vengefulspirit"	"Vengeful Spirit"
"#npc_dota_hero_juggernaut"	"Juggernaut"
"[english]#npc_dota_hero_juggernaut"	"Juggernaut"
"#npc_dota_hero_earthshaker"	"Earthshaker"
"[english]#npc_dota_hero_earthshaker"	"Earthshaker"
"#npc_dota_hero_pudge"	"Pudge"
"[english]#npc_dota_hero_pudge"	"Pudge"
"#npc_dota_hero_bane"	"Bane"
