"lang"
{
"Language"	"bulgarian"
"Tokens"
{
"DOTA_BroadcasterToasts_HeroAbilityMovie_Title"	"<hc>{s:hero_name}:</hc> <ac>{s:ability_name}</ac>"
"[english]DOTA_BroadcasterToasts_HeroAbilityMovie_Title"	"<hc>{s:hero_name}:</hc> <ac>{s:ability_name}</ac>"
"DOTA_BroadcasterToasts_ItemMovie_Title"	"<ic>{s:item_name}</ic>"
"[english]DOTA_BroadcasterToasts_ItemMovie_Title"	"<ic>{s:item_name}</ic>"
"DOTA_BroadcastFact_Stat_item_hero_win_percent"	"Играещите като <hc>{s:hero_name}</hc> са купували <ic>{s:item_name}</ic>, спечелвайки <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_item_hero_win_percent"	"<hc>{s:hero_name}</hc> players have bought <ic>{s:item_name}</ic> and won <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_item_hero_pick_percent"	"Играещите като <hc>{s:hero_name}</hc> са купували <ic>{s:item_name}</ic> в <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_item_hero_pick_percent"	"<hc>{s:hero_name}</hc> players have bought <ic>{s:item_name}</ic> in <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_item_player_win_percent"	"Играчите, които са купували <ic>{s:item_name}</ic>, имат <nc>{s:percent}%</nc> успеваемост."
"[english]DOTA_BroadcastFact_Stat_item_player_win_percent"	"Players who bought <ic>{s:item_name}</ic> have a <nc>{s:percent}%</nc> win rate."
"DOTA_BroadcastFact_Stat_item_player_pick_percent"	"Предметът <ic>{s:item_name}</ic> е бил купуван в <nc>{s:percent}%</nc> от мачовете."
"[english]DOTA_BroadcastFact_Stat_item_player_pick_percent"	"<ic>{s:item_name}</ic> has been bought in <nc>{s:percent}%</nc> of games."
"DOTA_BroadcastFact_Stat_hero_player_win_rate"	"{s:player_name} е избирал <hc>{s:hero_name}</hc>, спечелвайки <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_hero_player_win_rate"	"{s:player_name} has picked <hc>{s:hero_name}</hc> and won <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_hero_player_pick_rate"	"{s:player_name} е избирал <hc>{s:hero_name}</hc> в <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_hero_player_pick_rate"	"{s:player_name} has picked <hc>{s:hero_name}</hc> in <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_item_pick_rate"	"Предметът <ic>{s:item_name}</ic> е бил купуван в <nc>{s:percent}%</nc> от всички мачове."
"[english]DOTA_BroadcastFact_Stat_item_pick_rate"	"<ic>{s:item_name}</ic> has been picked in <nc>{s:percent}%</nc> of all games."
"DOTA_BroadcastFact_Stat_item_win_rate"	"Когато предметът <ic>{s:item_name}</ic> е бил купуван, играчите са спечелили <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_item_win_rate"	"<ic>In games where {s:item_name}</ic> was picked, players have won <nc>{s:percent}%</nc> of the games."
"DOTA_BroadcastFact_Stat_hero_pick_rate"	"<hc>{s:hero_name}</hc> е бил избиран в <nc>{s:percent}%</nc> от всички мачове."
"[english]DOTA_BroadcastFact_Stat_hero_pick_rate"	"<hc>{s:hero_name}</hc> has been picked in <nc>{s:percent}%</nc> of all games."
"DOTA_BroadcastFact_Stat_hero_win_rate"	"<hc>{s:hero_name}</hc> има <nc>{s:percent}%</nc> успеваемост в мачовете."
"[english]DOTA_BroadcastFact_Stat_hero_win_rate"	"<hc>{s:hero_name}</hc> has a <nc>{s:percent}%</nc> win rate in games."
"DOTA_BroadcastFact_Stat_league_item_hero_win_percent"	"През <ec>{s:event_name}</ec>, играещите като <hc>{s:hero_name}</hc> са купували <ic>{s:item_name}</ic>, спечелвайки <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_league_item_hero_win_percent"	"At <ec>{s:event_name}</ec>, <hc>{s:hero_name}</hc> players have bought <ic>{s:item_name}</ic> and won <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_league_item_hero_pick_percent"	"През <ec>{s:event_name}</ec>, играещите като <hc>{s:hero_name}</hc> са купували <ic>{s:item_name}</ic> в <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_league_item_hero_pick_percent"	"At <ec>{s:event_name}</ec>, <hc>{s:hero_name}</hc> players have bought <ic>{s:item_name}</ic> in <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_league_item_player_win_percent"	"Играчите, които са купували <ic>{s:item_name}</ic>, имат <nc>{s:percent}%</nc> успеваемост през <ec>{s:event_name}</ec>."
"[english]DOTA_BroadcastFact_Stat_league_item_player_win_percent"	"Players who bought <ic>{s:item_name}</ic> have a <nc>{s:percent}%</nc> win rate at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_item_player_pick_percent"	"Предметът <ic>{s:item_name}</ic> е бил купуван в <nc>{s:percent}%</nc> от мачовете през <ec>{s:event_name}</ec>."
"[english]DOTA_BroadcastFact_Stat_league_item_player_pick_percent"	"<ic>{s:item_name}</ic> has been bought in <nc>{s:percent}%</nc> of games at <ec>{s:event_name}</ec>."
"DOTA_BroadcastFact_Stat_league_hero_player_win_rate"	"По време на <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> е избирал <hc>{s:hero_name}</hc> с <nc>{s:percent}%</nc> успеваемост."
"[english]DOTA_BroadcastFact_Stat_league_hero_player_win_rate"	"During <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> with a <nc>{s:percent}%</nc> win rate."
"DOTA_BroadcastFact_Stat_league_hero_player_pick_rate"	"През <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> е избирал <hc>{s:hero_name}</hc> в <nc>{s:percent}%</nc> от мачовете."
"[english]DOTA_BroadcastFact_Stat_league_hero_player_pick_rate"	"At <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> has picked <hc>{s:hero_name}</hc> and <nc>{s:percent}%</nc> of games."
"DOTA_BroadcastFact_Stat_league_item_pick_rate"	"През <ec>{s:event_name}</ec>, предметът <ic>{s:item_name}</ic> е бил купуван в <nc>{s:percent}%</nc> от всички мачове."
"[english]DOTA_BroadcastFact_Stat_league_item_pick_rate"	"At <ec>{s:event_name}</ec>, <ic>{s:item_name}</ic> has been picked in <nc>{s:percent}%</nc> of all games."
"DOTA_BroadcastFact_Stat_league_item_win_rate"	"Когато предметът <ic>{s:item_name}</ic> е бил купуван през {s:event_name}, играчите са спечелили <nc>{s:percent}%</nc> от мачовете."
"[english]DOTA_BroadcastFact_Stat_league_item_win_rate"	"In games where <ic>{s:item_name}</ic> was purchased at {s:event_name}, they have won <nc>{s:percent}%</nc> of the games."
"DOTA_BroadcastFact_Stat_league_hero_pick_rate"	"През <ec>{s:event_name}</ec>, <hc>{s:hero_name}</hc> е бил избиран в <nc>{s:percent}%</nc> от всички мачове."
"[english]DOTA_BroadcastFact_Stat_league_hero_pick_rate"	"At <ec>{s:event_name}</ec>, <hc>{s:hero_name}</hc> has been picked in <nc>{s:percent}%</nc> of games."
"DOTA_BroadcastFact_Stat_league_hero_win_rate"	"По време на <ec>{s:event_name}</ec>, <hc>{s:hero_name}</hc> има <nc>{s:percent}%</nc> успеваемост."
"[english]DOTA_BroadcastFact_Stat_league_hero_win_rate"	"During <ec>{s:event_name}</ec>, <hc>{s:hero_name}</hc> has a <nc>{s:percent}%</nc> win rate."
"DOTA_BroadcastFact_Stat_league_full_set_win_rate"	"През <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> е купувал <ic>{s:item_name}</ic>, докато играе като <hc>{s:hero_name}</hc>, спечелвайки <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_league_full_set_win_rate"	"At <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> has picked <ic>{s:item_name}</ic> while playing <hc>{s:hero_name}</hc> and won <nc>{s:percent}%</nc> of their games."
"DOTA_BroadcastFact_Stat_league_full_set_pick_rate"	"По време на <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> е купувал <ic>{s:item_name}</ic>, докато играе като <hc>{s:hero_name}</hc> в <nc>{s:percent}%</nc> от своите мачове."
"[english]DOTA_BroadcastFact_Stat_league_full_set_pick_rate"	"During <ec>{s:event_name}</ec>, <pc>{s:player_name}</pc> has picked <ic>{s:item_name}</ic> while playing <hc>{s:hero_name}</hc> in <nc>{s:percent}%</nc> of their games."
