"lang"
{
"Language"	"hungarian"
"Tokens"
{
"TextEntry_Cut"	"Kivág"
"[english]TextEntry_Cut"	"Cut"
"TextEntry_Copy"	"Másol"
"[english]TextEntry_Copy"	"Copy"
"TextEntry_Paste"	"Beilleszt"
"[english]TextEntry_Paste"	"Paste"
"FileOpenDialog_Open"	"Megnyit"
"[english]FileOpenDialog_Open"	"Open"
"FileOpenDialog_Save"	"Ment"
"[english]FileOpenDialog_Save"	"Save"
"FileOpenDialog_Select"	"Kiválaszt"
"[english]FileOpenDialog_Select"	"Select"
"FileOpenDialog_Cancel"	"Mégse"
"[english]FileOpenDialog_Cancel"	"Cancel"
"FileOpenDialog_Look_in"	"Tallózás:"
"[english]FileOpenDialog_Look_in"	"Look in:"
"FileOpenDialog_File_Name"	"Fájlnév:"
"[english]FileOpenDialog_File_Name"	"File name:"
"FileOpenDialog_Directory_Name"	"Könyvtárnév:"
"[english]FileOpenDialog_Directory_Name"	"Directory name:"
"FileOpenDialog_File_Type"	"Fájltípus:"
"[english]FileOpenDialog_File_Type"	"File type:"
"FileOpenDialog_Icon"	" "
"[english]FileOpenDialog_Icon"	" "
"FileOpenDialog_Name"	"Név"
"[english]FileOpenDialog_Name"	"Name"
"FileOpenDialog_Type"	"Típus"
"[english]FileOpenDialog_Type"	"Type"
"SysMenu_Minimize"	" Kis méret "
"[english]SysMenu_Minimize"	" Minimize "
"SysMenu_Maximize"	" Teljes méret "
"[english]SysMenu_Maximize"	" Maximize "
"SysMenu_Close"	" Bezár "
"[english]SysMenu_Close"	" Close "
"Frame_Untitled"	"Névtelen"
"[english]Frame_Untitled"	"Untitled"
"MessageBox_OK"	"OK"
"[english]MessageBox_OK"	"OK"
"PropertyDialog_OK"	"OK"
"[english]PropertyDialog_OK"	"OK"
"PropertyDialog_Cancel"	"Mégse"
"[english]PropertyDialog_Cancel"	"Cancel"
"PropertyDialog_Apply"	"Alkalmaz"
"[english]PropertyDialog_Apply"	"Apply"
"QueryBox_Cancel"	"Mégse"
"[english]QueryBox_Cancel"	"Cancel"
"WizardPanel_Next"	"Tovább >"
"[english]WizardPanel_Next"	"Next >"
"WizardPanel_Back"	"< Vissza"
"[english]WizardPanel_Back"	"< Back"
"WizardPanel_Finish"	"Vége"
"[english]WizardPanel_Finish"	"Finish"
"WizardPanel_Cancel"	"Mégse"
"[english]WizardPanel_Cancel"	"Cancel"
"vgui_ok"	"OK"
"[english]vgui_ok"	"OK"
"vgui_close"	"Bezár"
"[english]vgui_close"	"Close"
"vgui_Cancel"	"Mégse"
"[english]vgui_Cancel"	"Cancel"
"vgui_select"	"Választ"
"[english]vgui_select"	"Select"
"vgui_createfolder"	"Új mappa..."
"[english]vgui_createfolder"	"Create Folder..."
"vgui_next"	"Tovább >"
"[english]vgui_next"	"Next >"
"vgui_back"	"< Vissza"
"[english]vgui_back"	"< Back"
"vgui_TimeLeftMinutesSeconds"	"%s1 perc %s2 másodperc"
"[english]vgui_TimeLeftMinutesSeconds"	"%s1 minutes %s2 seconds"
"vgui_TimeLeftMinuteSeconds"	"%s1 perc %s2 másodperc"
"[english]vgui_TimeLeftMinuteSeconds"	"%s1 minute %s2 seconds"
"vgui_TimeLeftMinutesSecond"	"%s1 perc %s2 másodperc"
"[english]vgui_TimeLeftMinutesSecond"	"%s1 minutes %s2 second"
"vgui_TimeLeftMinuteSecond"	"%s1 perc %s2 másodperc"
"[english]vgui_TimeLeftMinuteSecond"	"%s1 minute %s2 second"
"vgui_TimeLeftSeconds"	"%s1 másodperc"
"[english]vgui_TimeLeftSeconds"	"%s1 seconds"
"vgui_TimeLeftSecond"	"%s1 másodperc"
"[english]vgui_TimeLeftSecond"	"%s1 second"
"vgui_TimeLeftMinutesSecondsRemaining"	"%s1 perc %s2 másodperc van hátra"
"[english]vgui_TimeLeftMinutesSecondsRemaining"	"%s1 minutes %s2 seconds remaining"
"vgui_TimeLeftMinuteSecondsRemaining"	"%s1 perc %s2 másodperc van hátra"
"[english]vgui_TimeLeftMinuteSecondsRemaining"	"%s1 minute %s2 seconds remaining"
"vgui_TimeLeftMinutesSecondRemaining"	"%s1 perc %s2 másodperc van hátra"
"[english]vgui_TimeLeftMinutesSecondRemaining"	"%s1 minutes %s2 second remaining"
"vgui_TimeLeftMinuteSecondRemaining"	"%s1 perc %s2 másodperc van hátra"
"[english]vgui_TimeLeftMinuteSecondRemaining"	"%s1 minute %s2 second remaining"
"vgui_TimeLeftSecondsRemaining"	"%s1 másodperc van hátra"
"[english]vgui_TimeLeftSecondsRemaining"	"%s1 seconds remaining"
"vgui_TimeLeftSecondRemaining"	"%s1 másodperc van hátra"
"[english]vgui_TimeLeftSecondRemaining"	"%s1 second remaining"
"vgui_CreateDirectoryFail_Title"	"Új mappa létrehozása - Hiba"
"[english]vgui_CreateDirectoryFail_Title"	"Create Directory - Error"
"vgui_CreateDirectoryFail_Info"	"Nem lehetett mappát létrehozni, a meghajtó csak olvasható."
"[english]vgui_CreateDirectoryFail_Info"	"Failed to create directory, drive is read-only."
"vgui_CreateDirectoryFail_AlreadyExists"	"Ez a mappa már létezik."
"[english]vgui_CreateDirectoryFail_AlreadyExists"	"That folder already exists."
"TextEntry_Language"	"Nyelv"
"[english]TextEntry_Language"	"Language"
"TextEntry_ConversionMode"	"Konverzió mód"
"[english]TextEntry_ConversionMode"	"Conversion Mode"
"TextEntry_SentenceMode"	"Mondat mód"
"[english]TextEntry_SentenceMode"	"Sentence Mode"
"IME_English"	"Angol"
"[english]IME_English"	"English"
"IME_Chinese"	"Kínai"
"[english]IME_Chinese"	"Chinese"
"IME_Korean"	"Koreai"
"[english]IME_Korean"	"Korean"
"IME_Hiragana"	"Hiragana"
"[english]IME_Hiragana"	"Hiragana"
"IME_FullWidthKatakana"	"Széles Katakana"
"[english]IME_FullWidthKatakana"	"Full-width Katakana"
"IME_FullWidthAlphanumeric"	"Széles alfanumerikus"
"[english]IME_FullWidthAlphanumeric"	"Full-width Alphanumeric"
"IME_HalfWidthKatakana"	"Félszéles Katakana"
"[english]IME_HalfWidthKatakana"	"Half-width Katakana"
"IME_HalfWidthAlphanumeric"	"Félszéles alfanumerikus"
"[english]IME_HalfWidthAlphanumeric"	"Half-width Alphanumeric"
"IME_General"	"Általános"
"[english]IME_General"	"General"
"IME_BiasNames"	"Nevek előtérben"
"[english]IME_BiasNames"	"Bias for Names"
"IME_BiasSpeech"	"Beszéd előtérben"
"[english]IME_BiasSpeech"	"Bias for Speech"
"IME_NoConversion"	"Nincs konverzió"
"[english]IME_NoConversion"	"No Conversion"
"IME_0404"	"Kínai (Tajvan)"
"[english]IME_0404"	"Chinese (Taiwan)"
"IME_0804"	"Kínai (Kínai Népköztársaság)"
"[english]IME_0804"	"Chinese (PRC)"
"IME_0409"	"Angol (Egyesült Államok)"
"[english]IME_0409"	"English (United States)"
"IME_0411"	"Japán"
"[english]IME_0411"	"Japanese"
"IME_0412"	"Koreai"
"[english]IME_0412"	"Korean"
"IME_0419"	"Orosz"
"[english]IME_0419"	"Russian"
"IME_041e"	"Thai"
"[english]IME_041e"	"Thai"
"IME_040c"	"Francia (szabványos)"
"[english]IME_040c"	"French (Standard)"
"IME_0407"	"Német (szabványos)"
"[english]IME_0407"	"German (Standard)"
"IME_0410"	"Olasz (szabványos)"
"[english]IME_0410"	"Italian (Standard)"
"IME_040a"	"Spanyol (Spanyolország, hagyományos)"
"[english]IME_040a"	"Spanish (Spain, Traditional Sort)"
"KBEditorTitle"	"Billentyűkiosztás-szerkesztő"
"[english]KBEditorTitle"	"Key Bindings Editor"
"KBEditorSave"	"OK"
"[english]KBEditorSave"	"OK"
"KBEditorCancel"	"Mégse"
"[english]KBEditorCancel"	"Cancel"
"KBEditorRevert"	"Visszavonás"
"[english]KBEditorRevert"	"Revert Changes"
"KBEditorUseDefaults"	"Alapértelmezettre"
"[english]KBEditorUseDefaults"	"Use Defaults"
"KBEditorBindingName"	"Név"
"[english]KBEditorBindingName"	"Name"
"KBEditorBinding"	"Jelenlegi kiosztás"
"[english]KBEditorBinding"	"Current Binding"
"KBEditorModifiers"	"Módosítók"
"[english]KBEditorModifiers"	"Modifiers"
"KBEditorCommand"	"Parancs"
"[english]KBEditorCommand"	"Command"
"KBEditorDescription"	"Leírás"
"[english]KBEditorDescription"	"Description"
"KBEditor_SHIFT"	"Shift"
"[english]KBEditor_SHIFT"	"Shift"
"KBEditor_CONTROL"	"Ctrl"
"[english]KBEditor_CONTROL"	"Ctrl"
"KBEditor_ALT"	"Alt"
"[english]KBEditor_ALT"	"Alt"
"KBHelpDialogTitle"	"Segítség a kiosztás-szerkesztőhöz"
"[english]KBHelpDialogTitle"	"Key Bindings Help"
