"lang"
{
"Language"	"hungarian"
"Tokens"
{
"cavern_game_info_roshan_header"	"Roshan"
"[english]cavern_game_info_roshan_header"	"Roshan"
"DOTA_Underhollow_Points_X"	"{d:num_earned} X "
"[english]DOTA_Underhollow_Points_X"	"{d:num_earned} X "
"DOTA_TEAM_CUSTOM_1"	"Rózsaszín"
"[english]DOTA_TEAM_CUSTOM_1"	"Pink"
"DOTA_TEAM_CUSTOM_2"	"Narancssárga"
"[english]DOTA_TEAM_CUSTOM_2"	"Orange"
"DOTA_TEAM_CUSTOM_3"	"Kék"
"[english]DOTA_TEAM_CUSTOM_3"	"Blue"
"DOTA_TEAM_CUSTOM_4"	"Zöld"
"[english]DOTA_TEAM_CUSTOM_4"	"Green"
"DOTA_TEAM_CUSTOM_5"	"Barna"
"[english]DOTA_TEAM_CUSTOM_5"	"Brown"
"DOTA_TEAM_CUSTOM_6"	"Ciánkék"
"[english]DOTA_TEAM_CUSTOM_6"	"Cyan"
"DOTA_TEAM_CUSTOM_7"	"Olajzöld"
"[english]DOTA_TEAM_CUSTOM_7"	"Olive"
"DOTA_TEAM_CUSTOM_8"	"Lila"
"[english]DOTA_TEAM_CUSTOM_8"	"Purple"
"DOTA_Tooltip_ability_ghost_invis_Description"	"
"
"[english]DOTA_Tooltip_ability_ghost_invis_Description"	""
"DOTA_ColorName_GoodGuys"	"Piros"
"[english]DOTA_ColorName_GoodGuys"	"Red"
"DOTA_ColorName_BadGuys"	"Zöld"
"[english]DOTA_ColorName_BadGuys"	"Green"
"DOTA_ColorName_Custom1"	"Sárga"
"[english]DOTA_ColorName_Custom1"	"Yellow"
"DOTA_ColorName_Custom2"	"Narancssárga"
"[english]DOTA_ColorName_Custom2"	"Orange"
"DOTA_ColorName_Custom3"	"Kék"
"[english]DOTA_ColorName_Custom3"	"Blue"
"DOTA_ColorName_Custom4"	"Zöld"
"[english]DOTA_ColorName_Custom4"	"Green"
"DOTA_ColorName_Custom5"	"Barna"
"[english]DOTA_ColorName_Custom5"	"Brown"
"DOTA_ColorName_Custom6"	"Ciánkék"
"[english]DOTA_ColorName_Custom6"	"Cyan"
"DOTA_ColorName_Custom7"	"Olajzöld"
"[english]DOTA_ColorName_Custom7"	"Olive"
"DOTA_ColorName_Custom8"	"Lila"
"[english]DOTA_ColorName_Custom8"	"Purple"
"DOTA_Custom1"	"Sárga"
"[english]DOTA_Custom1"	"Yellow"
"DOTA_Custom2"	"Narancssárga"
"[english]DOTA_Custom2"	"Orange"
"DOTA_Custom3"	"Kék"
"[english]DOTA_Custom3"	"Blue"
"DOTA_Custom4"	"Zöld"
"[english]DOTA_Custom4"	"Green"
"DOTA_Custom5"	"Barna"
"[english]DOTA_Custom5"	"Brown"
"DOTA_Custom6"	"Ciánkék"
"[english]DOTA_Custom6"	"Cyan"
"DOTA_Custom7"	"Olajzöld"
"[english]DOTA_Custom7"	"Olive"
"DOTA_Custom8"	"Lila"
"[english]DOTA_Custom8"	"Purple"
"DOTA_EventUI_Player"	"Játékos"
"[english]DOTA_EventUI_Player"	"Player"
"DOTA_EventUI_Kills"	"Ö"
"[english]DOTA_EventUI_Kills"	"K"
"DOTA_EventUI_Mute"	"Némítás"
"[english]DOTA_EventUI_Mute"	"Mute"
"DOTA_EventUI_OK"	"OK"
"[english]DOTA_EventUI_OK"	"OK"
"DOTA_EventUI_BP"	"CSP:"
"[english]DOTA_EventUI_BP"	"BP:"
}
}
