"lang"
{
"Language"	"portuguese"
"Tokens"
{
"addon_game_name"	"Underhollow"
"[english]addon_game_name"	"The Underhollow"
"cavern_game_info_header_how_to_play"	"COMO JOGAR:"
"[english]cavern_game_info_header_how_to_play"	"HOW TO PLAY:"
"cavern_game_info_brief_description"	"A tua equipa tem de lutar para ser a última sobrevivente! Explora salas para encontrares tesouros e ficares forte o suficiente para derrotares inimigos. Vence a partida, encontra queijos ou elimina a oposição para ganhares Pontos de Batalha."
"[english]cavern_game_info_brief_description"	"Battle to be the last team standing! Clear rooms to find treasures and build up your power—then use that power to destroy your opponents. Win the game, find rare and valuable cheeses, or eliminate opposing players to earn Battle Points."
"cavern_game_info_encounters_header"	"Dificuldade"
"[english]cavern_game_info_encounters_header"	"Room Difficulty"
"cavern_game_info_encounters"	"As salas mais próximas do centro do labirinto são mais difíceis."
"[english]cavern_game_info_encounters"	"Rooms closer to the center of the Underhollow are more challenging."
"cavern_game_info_roshan_header"	"Roshan"
"[english]cavern_game_info_roshan_header"	"Roshan"
"cavern_game_info_roshan"	"O Roshan destrói um anel de salas de 5 em 5 minutos, começando pelo anel exterior."
"[english]cavern_game_info_roshan"	"Roshan destroys a ring of rooms every six minutes, starting with the easier outer ring."
"cavern_game_info_tombstone_header"	"Lápides"
"[english]cavern_game_info_tombstone_header"	"Tombstones"
"cavern_game_info_tombstone"	"Interage com as lápides para ressuscitares aliados ou eliminares inimigos."
"[english]cavern_game_info_tombstone"	"Tombstones can be used to revive teammates or eliminate enemies."
"cavern_game_info_special_items"	"Itens especiais"
"[english]cavern_game_info_special_items"	"Special Items"
"cavern_game_info_roshefort_header"	"Itens especiais"
"[english]cavern_game_info_roshefort_header"	"Special Items"
"cavern_game_info_roshefort"	"Usa Dinamite para rebentares com obstáculos (ou inimigos), ou usa a Poção de Fuga para te escapares sem ser visto."
"[english]cavern_game_info_roshefort"	"Blast through obstacles—or enemies—with Dynamite, or slip away unseen with the Escape Potion."
"DOTA_Underhollow_Defeated"	"A tua equipa foi eliminada!"
"[english]DOTA_Underhollow_Defeated"	"Your team was eliminated!"
"DOTA_Underhollow_FinishPosition"	"A equipa ficou em {s:finish_position}"
"[english]DOTA_Underhollow_FinishPosition"	"You finished in {s:finish_position}"
"DOTA_Underhollow_PlayAgain"	"JOGAR DE NOVO"
"[english]DOTA_Underhollow_PlayAgain"	"PLAY AGAIN"
"DOTA_Underhollow_Disconnect"	"SAIR"
"[english]DOTA_Underhollow_Disconnect"	"DISCONNECT"
"DOTA_Underhollow_TotalEarnedPoints"	"TOTAL DE PONTOS:"
"[english]DOTA_Underhollow_TotalEarnedPoints"	"TOTAL POINTS EARNED:"
"DOTA_Underhollow_PointsAvaiable"	"OS PONTOS SÃO DADOS APÓS A PARTIDA ACABAR"
"[english]DOTA_Underhollow_PointsAvaiable"	"POINTS WILL BE AWARDED WHEN GAME FINISHES"
"DOTA_Underhollow_Elimination_RewardAmount"	"30 PB"
"[english]DOTA_Underhollow_Elimination_RewardAmount"	"30 BP"
"DOTA_Underhollow_SmallCheeses_RewardAmount"	"20 PB"
"[english]DOTA_Underhollow_SmallCheeses_RewardAmount"	"20 BP"
"DOTA_Underhollow_BigCheeses_RewardAmount"	"300 PB"
"[english]DOTA_Underhollow_BigCheeses_RewardAmount"	"300 BP"
"DOTA_Underhollow_Points_X"	"{d:num_earned} x "
"[english]DOTA_Underhollow_Points_X"	"{d:num_earned} X "
"DOTA_Tooltip_Ability_item_cavern_bag_of_gold"	"Saco de Ouro"
"[english]DOTA_Tooltip_Ability_item_cavern_bag_of_gold"	"Bag of Gold"
"DOTA_Tooltip_Ability_item_big_cheese_cavern"	"Queijo Roshefort"
"[english]DOTA_Tooltip_Ability_item_big_cheese_cavern"	"Roshefort Cheese"
"DOTA_Tooltip_modifier_item_big_cheese_cavern_effect"	"Queijo Roshefort"
"[english]DOTA_Tooltip_modifier_item_big_cheese_cavern_effect"	"Roshefort Cheese"
"DOTA_Tooltip_Ability_item_health_potion"	"Poção de Vida"
"[english]DOTA_Tooltip_Ability_item_health_potion"	"Health Potion"
"DOTA_Tooltip_Ability_item_mana_potion"	"Poção de Mana"
"[english]DOTA_Tooltip_Ability_item_mana_potion"	"Mana Potion"
"DOTA_Tooltip_ability_item_book_of_strength"	"Livro da Força"
"[english]DOTA_Tooltip_ability_item_book_of_strength"	"Book of Strength"
"DOTA_Tooltip_ability_item_book_of_strength_Description"	"Ao ser consumido, este item concede um bónus permanente de 3 pontos de Força."
"[english]DOTA_Tooltip_ability_item_book_of_strength_Description"	"Consume to gain 3 Strength permanently."
"DOTA_Tooltip_ability_item_book_of_agility"	"Livro da Agilidade"
"[english]DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
"DOTA_Tooltip_ability_item_book_of_agility_Description"	"Ao ser consumido, este item concede um bónus permanente de 3 pontos de Agilidade."
"[english]DOTA_Tooltip_ability_item_book_of_agility_Description"	"Consume to gain 3 Agility permanently."
"DOTA_Tooltip_ability_item_book_of_intelligence"	"Livro da Inteligência"
"[english]DOTA_Tooltip_ability_item_book_of_intelligence"	"Book of Intelligence"
"DOTA_Tooltip_ability_item_book_of_intelligence_Description"	"Ao ser consumido, este item concede um bónus permanente de 3 pontos de Inteligência."
"[english]DOTA_Tooltip_ability_item_book_of_intelligence_Description"	"Consume to gain 3 Intelligence permanently."
"DOTA_Tooltip_modifier_book_of_strength"	"Livro da Força"
"[english]DOTA_Tooltip_modifier_book_of_strength"	"Book of Strength"
"DOTA_Tooltip_modifier_book_of_strength_Description"	"Força obtida com o consumo de livros."
"[english]DOTA_Tooltip_modifier_book_of_strength_Description"	"Strength gained from consumed Books."
"DOTA_Tooltip_modifier_book_of_agility"	"Livro da Agilidade"
"[english]DOTA_Tooltip_modifier_book_of_agility"	"Book of Agility"
"DOTA_Tooltip_modifier_book_of_agility_Description"	"Agilidade obtida com o consumo de livros."
"[english]DOTA_Tooltip_modifier_book_of_agility_Description"	"Agility gained from consumed Books."
"DOTA_Tooltip_modifier_book_of_intelligence"	"Livro da Inteligência"
"[english]DOTA_Tooltip_modifier_book_of_intelligence"	"Book of Intelligence"
"DOTA_Tooltip_modifier_book_of_intelligence_Description"	"Inteligência obtida com o consumo de livros."
"[english]DOTA_Tooltip_modifier_book_of_intelligence_Description"	"Intelligence gained from consumed Books."
"npc_dota_crate"	"Caixote"
"[english]npc_dota_crate"	"Crate"
"npc_treasure_chest"	"Arca de Tesouro"
"[english]npc_treasure_chest"	"Treasure Chest"
"npc_dota_pendulum_trap"	"Lâmina de pêndulo"
"[english]npc_dota_pendulum_trap"	"Pendulum Blade"
"npc_dota_cavern_gate_destructible_tier1"	"Portão tipo 1"
"[english]npc_dota_cavern_gate_destructible_tier1"	"Tier 1 Gate"
"npc_dota_cavern_gate_destructible_tier1_anim"	"Portão tipo 1 (Animação)"
"[english]npc_dota_cavern_gate_destructible_tier1_anim"	"Tier 1 Gate Animating"
"npc_dota_cavern_gate_destructible_tier2"	"Portão tipo 2"
"[english]npc_dota_cavern_gate_destructible_tier2"	"Tier 2 Gate"
"npc_dota_cavern_gate_destructible_tier2_anim"	"Portão tipo 2 (Animação)"
"[english]npc_dota_cavern_gate_destructible_tier2_anim"	"Tier 2 Gate Animating"
"npc_dota_cavern_gate_destructible_tier3"	"Portão tipo 3"
"[english]npc_dota_cavern_gate_destructible_tier3"	"Tier 3 Gate"
"npc_dota_cavern_gate_destructible_tier3_anim"	"Portão tipo 3 (Animação)"
"[english]npc_dota_cavern_gate_destructible_tier3_anim"	"Tier 3 Gate Animating"
"npc_dota_splitter_1"	"Rachador Grande"
"[english]npc_dota_splitter_1"	"Large Splitter"
"npc_dota_splitter_2"	"Rachador Médio"
"[english]npc_dota_splitter_2"	"Medium Splitter"
"npc_dota_splitter_3"	"Rachador Pequeno"
"[english]npc_dota_splitter_3"	"Small Splitter"
"npc_dota_cavern_roshan"	"Roshan"
"[english]npc_dota_cavern_roshan"	"Roshan"
"npc_dota_cavern_life_stealer"	"Ameaça Aprisionada"
"[english]npc_dota_cavern_life_stealer"	"Caged Menace"
"npc_dota_ranged_creep_linear"	"Feiticeiro Deformado"
"[english]npc_dota_ranged_creep_linear"	"Deformed Wizard"
"npc_dota_creature_techies_land_mine"	"Mina Terrestre"
"[english]npc_dota_creature_techies_land_mine"	"Land Mine"
"npc_dota_minimage"	"Mini-Mago"
"[english]npc_dota_minimage"	"Mini-Mage"
"trap_sun_strike"	"Raio Solar"
"[english]trap_sun_strike"	"Sun Strike"
"npc_dota_creature_pugna"	"Mestre do Oblívio"
"[english]npc_dota_creature_pugna"	"Lord Of Oblivion"
